"","jarjarbinks_29","korra_29","kubo_30","hamlet_31","jarjarbinks_32","goose_37","hera_37","kubo_37","lambchop_37","ophelia_37","wolverine_37","hamlet_41","hera_41","goose_42","lambchop_42","buddy_57","joans_57","ginger_58","henry_59","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","grogu_70"
"jarjarbinks_29",0,10.6331399312654,11.221847937806,16.0751099739472,10.6142498680716,10.6980927498649,17.0623374992525,16.4234499248045,10.9146251015298,16.7027085631904,18.6403017680092,17.9377211451053,15.7631917880053,12.2052620000581,15.3352634749944,12.0875726327404,11.0242353855112,14.69014829361,16.0042999307604,12.1548435108636,11.9085346124415,14.2216466386343,17.8305695758129,17.4299901585934,11.4701806813188,17.4036055453173
"korra_29",10.6331399312654,0,14.9539353667938,17.1356452457718,15.0837386373156,14.3695847468989,19.3797200840038,16.7272947523876,14.5149425052357,14.231827925549,19.6698832720196,18.8536351664801,16.270633681953,15.7713282788985,16.633793121265,17.1423244723849,12.0247223383511,16.4983699381348,17.0929959892225,12.5933555110007,12.3439866066491,15.6313787427052,20.0364184687638,15.5409855184837,12.8363065398428,16.2433697569005
"kubo_30",11.221847937806,14.9539353667938,0,17.1126350580542,15.3690162855436,12.9043517680298,17.7252647330862,15.6220898356777,13.1033615283618,17.5256914034057,18.0442403006636,18.6522818237149,16.8005317367187,14.0017220930838,15.2885103494277,12.5952122730058,13.6421900106487,16.9931248394082,18.223649046066,15.1943518451966,14.1000904864476,15.9901133813945,18.8706654024461,17.759389829453,14.1034002832788,19.6699952707621
"hamlet_31",16.0751099739472,17.1356452457718,17.1126350580542,0,18.4852209235575,18.6102291924314,12.1175188574397,16.5102209957931,19.2084573507581,16.7903519018145,17.779388590107,13.174722985647,10.5871563451939,18.7517715120233,19.2118831254702,17.4394804111371,17.8328767669299,16.4502065162307,15.6241213375253,18.0738396362981,19.9789413293393,19.3394945189835,18.115632219903,17.6652121795558,18.5227669559761,21.8380040646509
"jarjarbinks_32",10.6142498680716,15.0837386373156,15.3690162855436,18.4852209235575,0,13.5505169538176,19.2663735170443,19.7366999381654,13.255459430645,18.3546707285547,23.0940789584475,18.7135165940334,19.1334953917778,14.8945329019051,20.0442362472306,17.5771974497929,15.7652925027336,17.568410342981,19.0170020403925,16.4425245540723,14.2299140349048,18.2989516833819,21.0423685875122,19.9617149031645,14.7413214182112,21.0877535991623
"goose_37",10.6980927498649,14.3695847468989,12.9043517680298,18.6102291924314,13.5505169538176,0,19.4606214338414,17.2723707362363,5.91263688347934,19.1880940036195,19.0498340563187,20.0917045290587,18.8462295204519,7.2513774809409,14.6338667892159,11.642502842553,12.0768678475961,15.168481157082,16.2712499915884,11.5022909993183,12.4529139629554,11.7465031919584,19.7387164533418,19.6673906979531,10.8751172913625,18.6951921990222
"hera_37",17.0623374992525,19.3797200840038,17.7252647330862,12.1175188574397,19.2663735170443,19.4606214338414,0,16.8758249474215,19.6666805350302,18.4047901446245,15.9936257936224,13.5629486377029,11.4241809100176,19.4045431499384,20.0803788683482,16.9129428236829,19.7631287085951,17.0659376649225,17.114516771893,19.4701690580938,22.5219629342759,20.8367121894683,16.5663225175215,18.5720337470636,20.3343278139923,23.0763493581427
"kubo_37",16.4234499248045,16.7272947523876,15.6220898356777,16.5102209957931,19.7366999381654,17.2723707362363,16.8758249474215,0,18.0484422265679,17.3163935721301,15.7576081435165,16.7731406532544,15.4135716003689,18.492886707538,14.8187293548554,17.0069234425772,18.8798627001461,15.0841345766706,17.9169774090239,17.9814176529552,18.9207662903199,18.1161068472417,17.9908079934736,14.3117535690499,15.6572630007246,19.7064054750627
"lambchop_37",10.9146251015298,14.5149425052357,13.1033615283618,19.2084573507581,13.255459430645,5.91263688347934,19.6666805350302,18.0484422265679,0,19.6420741885481,20.0254993995004,20.113367583435,19.2304791199744,6.5821463325595,15.6608405718097,12.5103545490659,12.3209670622657,15.5717253415772,17.2597377049017,11.4265303166752,12.6281816553553,11.8977681834608,19.8548789344314,20.1913189439559,11.0460851767727,19.3771124256455
"ophelia_37",16.7027085631904,14.231827925549,17.5256914034057,16.7903519018145,18.3546707285547,19.1880940036195,18.4047901446245,17.3163935721301,19.6420741885481,0,20.0042403184619,17.2166681860626,14.8703978180992,21.4363119763684,21.2520882769968,21.0124434872628,17.8149442633606,21.2054935052676,21.1445997917456,19.1890988284278,17.075698760144,22.502016926826,21.0457073222163,16.4063370896615,18.7710907199128,19.632568858475
"wolverine_37",18.6403017680092,19.6698832720196,18.0442403006636,17.779388590107,23.0940789584475,19.0498340563187,15.9936257936224,15.7576081435165,20.0254993995004,20.0042403184619,0,20.1536349020293,16.9797262808679,20.28920882862,17.4987539262764,16.3560645624156,18.4970654406868,17.5891685299838,20.261842161887,18.1252981612843,22.6729382666305,19.896982387244,18.2253161384118,17.3747398978778,17.906922108443,23.626724393444
"hamlet_41",17.9377211451053,18.8536351664801,18.6522818237149,13.174722985647,18.7135165940334,20.0917045290587,13.5629486377029,16.7731406532544,20.113367583435,17.2166681860626,20.1536349020293,0,10.489646300138,20.5554674209636,22.6651753379173,20.4381828057298,20.3993001799911,19.6408371279688,20.7528224830331,19.8616046103342,21.0634914693567,22.4531055337826,21.2915653807621,18.5176704569658,19.6725305201371,24.4978819428208
"hera_41",15.7631917880053,16.270633681953,16.8005317367187,10.5871563451939,19.1334953917778,18.8462295204519,11.4241809100176,15.4135716003689,19.2304791199744,14.8703978180992,16.9797262808679,10.489646300138,0,19.512370011705,19.2825933881125,17.225986928326,17.3978742436069,17.8211661180839,17.8129299872762,17.3748565191734,19.8281223645368,19.9382112399545,17.9660412398067,17.0334454987167,18.5291725760591,21.0856448367232
"goose_42",12.2052620000581,15.7713282788985,14.0017220930838,18.7517715120233,14.8945329019051,7.2513774809409,19.4045431499384,18.492886707538,6.5821463325595,21.4363119763684,20.28920882862,20.5554674209636,19.512370011705,0,15.6571740696855,12.5351626647119,12.9544775501897,14.6883213962782,16.2671121352973,11.7091153872667,14.3301243951962,10.2454466205642,20.8644088706329,21.3372606473064,11.8251818232654,20.3197545341585
"lambchop_42",15.3352634749944,16.633793121265,15.2885103494277,19.2118831254702,20.0442362472306,14.6338667892159,20.0803788683482,14.8187293548554,15.6608405718097,21.2520882769968,17.4987539262764,22.6651753379173,19.2825933881125,15.6571740696855,0,13.2738502531905,16.0408828774844,14.5123719430989,14.7705162695943,15.9378294268689,17.7469079721886,13.6723426239451,17.1044226579628,18.198121601462,14.983727710243,17.767739270872
"buddy_57",12.0875726327404,17.1423244723849,12.5952122730058,17.4394804111371,17.5771974497929,11.642502842553,16.9129428236829,17.0069234425772,12.5103545490659,21.0124434872628,16.3560645624156,20.4381828057298,17.225986928326,12.5351626647119,13.2738502531905,0,12.4825196728099,15.4259682945115,15.296164992843,13.0225929745582,16.8390925192394,13.3408164022831,16.506707502249,20.1874251482036,13.9729879577684,19.5810701340671
"joans_57",11.0242353855112,12.0247223383511,13.6421900106487,17.8328767669299,15.7652925027336,12.0768678475961,19.7631287085951,18.8798627001461,12.3209670622657,17.8149442633606,18.4970654406868,20.3993001799911,17.3978742436069,12.9544775501897,16.0408828774844,12.4825196728099,0,17.2412603654846,18.0679947648603,8.25956351157139,13.1959529051655,13.4995841862101,20.724951790153,18.9504124871365,11.7182018108937,18.3573848468049
"ginger_58",14.69014829361,16.4983699381348,16.9931248394082,16.4502065162307,17.568410342981,15.168481157082,17.0659376649225,15.0841345766706,15.5717253415772,21.2054935052676,17.5891685299838,19.6408371279688,17.8211661180839,14.6883213962782,14.5123719430989,15.4259682945115,17.2412603654846,0,12.7017247459752,15.7187540760391,17.4412531635959,13.7986991040059,17.4125756247577,18.9011192470018,14.1671993167556,20.757779462266
"henry_59",16.0042999307604,17.0929959892225,18.223649046066,15.6241213375253,19.0170020403925,16.2712499915884,17.114516771893,17.9169774090239,17.2597377049017,21.1445997917456,20.261842161887,20.7528224830331,17.8129299872762,16.2671121352973,14.7705162695943,15.296164992843,18.0679947648603,12.7017247459752,0,17.5168282467162,18.6215369955317,14.5572301283705,15.8638557985894,20.721355176983,17.9493373998967,19.4490461080327
"joans_60",12.1548435108636,12.5933555110007,15.1943518451966,18.0738396362981,16.4425245540723,11.5022909993183,19.4701690580938,17.9814176529552,11.4265303166752,19.1890988284278,18.1252981612843,19.8616046103342,17.3748565191734,11.7091153872667,15.9378294268689,13.0225929745582,8.25956351157139,15.7187540760391,17.5168282467162,0,14.4835981182664,11.9277761681218,20.5435713483705,19.0849105936231,11.4939015956662,19.1025729291494
"marshmallow_60",11.9085346124415,12.3439866066491,14.1000904864476,19.9789413293393,14.2299140349048,12.4529139629554,22.5219629342759,18.9207662903199,12.6281816553553,17.075698760144,22.6729382666305,21.0634914693567,19.8281223645368,14.3301243951962,17.7469079721886,16.8390925192394,13.1959529051655,17.4412531635959,18.6215369955317,14.4835981182664,0,15.9790055696269,22.195067127055,20.114502355078,13.1267448450551,18.5370421575405
"joans_62",14.2216466386343,15.6313787427052,15.9901133813945,19.3394945189835,18.2989516833819,11.7465031919584,20.8367121894683,18.1161068472417,11.8977681834608,22.502016926826,19.896982387244,22.4531055337826,19.9382112399545,10.2454466205642,13.6723426239451,13.3408164022831,13.4995841862101,13.7986991040059,14.5572301283705,11.9277761681218,15.9790055696269,0,20.7726656713488,20.6335766366284,11.8908899664456,19.4949340412807
"henry_66",17.8305695758129,20.0364184687638,18.8706654024461,18.115632219903,21.0423685875122,19.7387164533418,16.5663225175215,17.9908079934736,19.8548789344314,21.0457073222163,18.2253161384118,21.2915653807621,17.9660412398067,20.8644088706329,17.1044226579628,16.506707502249,20.724951790153,17.4125756247577,15.8638557985894,20.5435713483705,22.195067127055,20.7726656713488,0,19.369988821505,21.0186263225583,20.941885158903
"ivy_67",17.4299901585934,15.5409855184837,17.759389829453,17.6652121795558,19.9617149031645,19.6673906979531,18.5720337470636,14.3117535690499,20.1913189439559,16.4063370896615,17.3747398978778,18.5176704569658,17.0334454987167,21.3372606473064,18.198121601462,20.1874251482036,18.9504124871365,18.9011192470018,20.721355176983,19.0849105936231,20.114502355078,20.6335766366284,19.369988821505,0,16.0447120882748,21.9431934469183
"franc_68",11.4701806813188,12.8363065398428,14.1034002832788,18.5227669559761,14.7413214182112,10.8751172913625,20.3343278139923,15.6572630007246,11.0460851767727,18.7710907199128,17.906922108443,19.6725305201371,18.5291725760591,11.8251818232654,14.983727710243,13.9729879577684,11.7182018108937,14.1671993167556,17.9493373998967,11.4939015956662,13.1267448450551,11.8908899664456,21.0186263225583,16.0447120882748,0,19.6002151644219
"grogu_70",17.4036055453173,16.2433697569005,19.6699952707621,21.8380040646509,21.0877535991623,18.6951921990222,23.0763493581427,19.7064054750627,19.3771124256455,19.632568858475,23.626724393444,24.4978819428208,21.0856448367232,20.3197545341585,17.767739270872,19.5810701340671,18.3573848468049,20.757779462266,19.4490461080327,19.1025729291494,18.5370421575405,19.4949340412807,20.941885158903,21.9431934469183,19.6002151644219,0
