"","ivy_17","korra_20","ophelia_20","kubo_21","franc_22","grogu_22","hamlet_23","franc_24","hera_24","ivy_24","kubo_24","ophelia_24","henry_25","kubo_25","ginger_44","iris_44","henry_45","korra_45","hamlet_46","joans_46","ginger_47","marshmallow_47","charles_48","grogu_48","henry_48","hera_48","kubo_48","kubo_49","franc_50","kubo_52","kubo_53","marshmallow_53","ginger_55","ophelia_55","buddy_56"
"ivy_17",0,14.8379726086795,18.7771843890031,15.2894133616091,8.86963463191539,17.3656319253784,18.0929057022629,9.06450404269933,17.5193662318786,19.8712705801128,13.2265522060547,19.9394653823988,16.0326036619318,17.4105039027149,14.8514043412745,16.854232162385,14.2843257769426,13.7169949521388,17.7756813856952,14.2249760657003,13.8896304914552,14.169239883501,23.1988958457981,16.6318908743724,16.0939878542766,17.3688001852633,16.8689438037901,15.0485619446081,11.9665519729519,13.7502833001127,16.5912344785366,16.616009511615,15.3289728649241,20.284192000865,15.2930645589906
"korra_20",14.8379726086795,0,16.2507241408629,14.0994475725939,14.6664376756755,19.9441241942051,18.0244663866076,16.6354239641998,17.5151042535903,21.4315451019774,8.52908489997276,19.7917986015311,13.6786700361596,17.9608963263096,16.6944430508734,21.9698422461332,15.9186022961188,12.304919830302,16.5625903090973,16.909550823878,14.3452983584902,13.769476936226,23.6541046079231,18.5830725572649,16.0790082565393,16.5482603158415,18.125731441207,17.3972562806986,17.4237185781339,11.9391518152913,18.329494591503,19.3751324400921,15.1326812781185,18.7371606336261,15.3072105774281
"ophelia_20",18.7771843890031,16.2507241408629,0,15.2963232538599,18.9633279791916,19.3595781421784,15.0728940147074,18.5755316103973,14.4735217073403,20.1657990251737,15.5762940492921,11.710829970528,16.8388803121565,16.7803168469911,20.031897951422,21.3098568791885,19.2487932324811,17.3465922668122,15.1411508755599,20.2854681255039,19.1439800739187,18.1030588233772,22.1097662560463,18.3198727442856,19.0563502930574,13.2720615422817,19.3351609912829,17.7100209279997,20.3044319649129,14.4429887056761,18.2562136614675,18.4549521667496,19.7026968806734,15.4675485022299,16.6741317028757
"kubo_21",15.2894133616091,14.0994475725939,15.2963232538599,0,15.9598513215985,17.5062957575504,16.1300891337659,15.8119114381174,16.0724276330236,18.9583395615674,12.4380649702802,16.3350194060713,16.1223654762346,12.2812778832401,16.9918431835175,21.0239693071787,16.4462827747531,14.4489377431894,16.5773962244449,16.0591554072445,16.6176840374541,13.5643929433122,21.7955691173752,15.8556597910189,15.5275975682263,14.8638236642158,16.9372513300581,14.661297388724,17.1404535121558,13.6168768823402,16.2057745939232,16.1668210789585,17.0259000029128,18.1412886108995,16.1091872960186
"franc_22",8.86963463191539,14.6664376756755,18.9633279791916,15.9598513215985,0,17.8147181658358,18.7400179254609,9.3243062959012,17.5234759013243,18.0754405779359,13.3404254503741,19.3900100413329,18.3144650812381,17.9263849188485,14.3034720593183,15.6856385236459,13.4815433896733,15.7003405648957,18.1440663163607,13.9084625309055,14.434483993043,16.1068926164412,23.6662819527334,17.2536968729456,16.1988058808281,17.4474700146328,15.0454028177001,14.105225612863,11.6178747941584,15.8936217611005,15.5282115554438,17.5064753321587,13.161675186409,20.8728474064437,15.9905977545066
"grogu_22",17.3656319253784,19.9441241942051,19.3595781421784,17.5062957575504,17.8147181658358,0,18.0208830343271,18.0696750626174,17.3730640690732,19.5097555946187,19.3279074561186,19.3499882196487,19.9046411779001,13.9630003265279,17.4355578684074,20.9801277649215,16.6499406765868,19.6145454756592,19.012652542237,14.956955998431,18.9793343896194,15.3938830194763,21.6309934583172,7.75448628070781,18.7872587435092,18.704022340305,18.2154712391914,17.6434993345545,16.2986916780971,19.9290497536763,19.4541515954163,7.28078270521239,17.9638170683696,21.2875362979282,16.3918972954641
"hamlet_23",18.0929057022629,18.0244663866076,15.0728940147074,16.1300891337659,18.7400179254609,18.0208830343271,0,18.0253491470984,10.8326771766805,17.1855009535633,17.4388643153384,16.4033324951752,17.7523807309616,15.4019372261582,18.8679879520476,20.9469479689664,17.4098569137556,17.9489821684721,12.550239739029,18.3387216695346,19.4179375795213,18.1666860938637,19.8521417297805,16.4651579840357,18.1680481767027,10.774592385384,16.337052706474,15.275811208367,19.2275405213085,17.3846567739384,17.1531909851689,16.6084934008688,19.1890034710268,17.5324512467286,19.5658960246127
"franc_24",9.06450404269933,16.6354239641998,18.5755316103973,15.8119114381174,9.3243062959012,18.0696750626174,18.0253491470984,0,17.7566779439471,17.5527429694989,15.1014531223451,19.0594007266689,18.0307861908049,17.7497938457833,15.7631071089522,15.4296672026101,14.8714721903435,16.5357764486253,18.3330550170661,15.9227831513884,15.8170020794846,17.0197127744668,22.0054062464458,18.0150140926491,17.247689235868,16.6147484051015,14.4559699058397,13.2747964299309,13.5949309816772,15.5274430157341,15.3591201816055,18.2874610723281,15.8307058401521,20.4067429879469,17.3801926911175
"hera_24",17.5193662318786,17.5151042535903,14.4735217073403,16.0724276330236,17.5234759013243,17.3730640690732,10.8326771766805,17.7566779439471,0,15.9127883518511,16.3487794199684,12.1983803019328,16.0982086456224,15.1425918697491,15.0211330304704,18.4732170653908,14.9829790761755,16.1320525964801,9.63555642407857,16.6164973925068,18.2081544885683,18.3724382122692,19.4959849146294,15.9190708490412,13.7981421759316,10.4817413341038,15.9299110383472,13.7842417936809,17.1929838560253,17.0518814877442,15.4755905916858,16.0586553075706,14.8937650371832,17.2623961671277,19.150186545529
"ivy_24",19.8712705801128,21.4315451019774,20.1657990251737,18.9583395615674,18.0754405779359,19.5097555946187,17.1855009535633,17.5527429694989,15.9127883518511,0,20.5574144698866,17.9495561213267,20.2590427672877,18.7687756927825,16.9862203671305,17.0417669061317,16.9636030410306,21.6510258361251,17.6665008714699,20.6674810133316,19.3693423028791,21.3259288004545,20.0421536028153,19.7666501852395,17.6847013486462,16.2785126706816,12.6230892989496,13.5949893910514,19.8590321808016,21.3335096041313,14.061083780638,19.3857665064007,16.5428168645542,19.9704904298633,21.785174808299
"kubo_24",13.2265522060547,8.52908489997276,15.5762940492921,12.4380649702802,13.3404254503741,19.3279074561186,17.4388643153384,15.1014531223451,16.3487794199684,20.5574144698866,0,18.3747936325736,13.9006289654721,17.2830137485744,14.5935550801881,20.7542628210741,14.3066498177163,11.0241290140372,15.9863682452911,16.4177102089328,12.4687602752578,13.6470566574078,23.4869101820895,18.0978536347803,14.157216239396,15.8493299506069,17.5842106001659,16.400309844778,16.5487754499649,11.5698021531138,17.3846213733539,18.5924945444414,14.2667451080556,17.9084740421029,14.8864189448411
"ophelia_24",19.9394653823988,19.7917986015311,11.710829970528,16.3350194060713,19.3900100413329,19.3499882196487,16.4033324951752,19.0594007266689,12.1983803019328,17.9495561213267,18.3747936325736,0,19.3393701498278,15.8232963181571,18.973658130852,19.022203658801,18.8505072166322,18.7100139996163,14.0588083882771,19.8365924999246,21.3336097955613,20.9453270464925,21.1212628686696,18.3361717406617,17.708533194624,13.157162145864,17.6712575651055,15.8114475600746,19.424193801746,18.1103330795217,17.1022177053954,18.3943453692951,18.5028184339087,16.9768471210233,20.6486809142106
"henry_25",16.0326036619318,13.6786700361596,16.8388803121565,16.1223654762346,18.3144650812381,19.9046411779001,17.7523807309616,18.0307861908049,16.0982086456224,20.2590427672877,13.9006289654721,19.3393701498278,0,18.1811015475649,15.9701589663172,22.5086487987635,16.3937797014609,11.4960606311441,16.1339751314746,18.5902565079392,13.5966490820087,14.0556311897667,22.9997971052844,18.9922544115922,14.0188531716954,17.4379258345743,19.5643728853394,18.1391689368615,19.513901490748,12.2545375455044,19.3192001815314,19.2170278948404,16.8450698986103,17.6204792312485,16.4531095329443
"kubo_25",17.4105039027149,17.9608963263096,16.7803168469911,12.2812778832401,17.9263849188485,13.9630003265279,15.4019372261582,17.7497938457833,15.1425918697491,18.7687756927825,17.2830137485744,15.8232963181571,18.1811015475649,0,17.5717919069172,20.4018371898819,16.3837567315506,15.9912551726498,15.7166462792388,13.0567223908589,18.9451592701064,13.982177735766,19.8782309997024,11.0588143329474,16.746061306128,15.5762273944312,15.9455631322514,14.5766406546756,16.6125702984493,16.102001477779,17.0643037632722,12.1855943754843,17.9631237755845,19.9461742341706,15.9842229618885
"ginger_44",14.8514043412745,16.6944430508734,20.031897951422,16.9918431835175,14.3034720593183,17.4355578684074,18.8679879520476,15.7631071089522,15.0211330304704,16.9862203671305,14.5935550801881,18.973658130852,15.9701589663172,17.5717919069172,0,17.8199356519591,6.01146897546172,15.1054976918759,16.4957399299962,15.1297011619846,10.7451996814461,17.0464309600603,23.3852751666089,16.5437619995979,10.7078285430213,18.6657600675019,15.5504931091988,13.798045478793,13.2176993155534,17.7136529150655,15.8717643591656,16.9041090764413,7.99325653940476,21.821416989569,18.186289597369
"iris_44",16.854232162385,21.9698422461332,21.3098568791885,21.0239693071787,15.6856385236459,20.9801277649215,20.9469479689664,15.4296672026101,18.4732170653908,17.0417669061317,20.7542628210741,19.022203658801,22.5086487987635,20.4018371898819,17.8199356519591,0,17.5269971380197,21.546858642554,19.8514508146509,18.1702290616917,20.3524196621842,22.6563274979248,22.0181634308865,20.3530136845973,19.4640932655252,19.6886508247708,17.2858204933382,16.9259217848582,15.4953947895326,21.4974938566942,18.0563094842807,20.2603005785922,17.6327605280551,22.9268649402088,21.1700776773882
"henry_45",14.2843257769426,15.9186022961188,19.2487932324811,16.4462827747531,13.4815433896733,16.6499406765868,17.4098569137556,14.8714721903435,14.9829790761755,16.9636030410306,14.3066498177163,18.8505072166322,16.3937797014609,16.3837567315506,6.01146897546172,17.5269971380197,0,15.0439707700564,16.4298322300426,14.1290192515396,10.5398231089576,16.4345207494468,22.1781138169227,15.5714347232908,11.8471646938565,17.8227986096609,14.5752737501674,12.7819064426111,12.5386370851777,16.7267390433857,15.3669238946756,16.0948992702329,8.95379119215985,21.5609499602178,17.9336342659588
