"","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","joans_36","franc_37","grogu_37","ginger_41","grogu_41","joans_41","marshmallow_41","ginger_42","grogu_42","henry_42","ivy_42","ophelia_57","wolverine_57","goose_58","wolverine_58","goose_59","hamlet_59","iris_59","ophelia_59","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68"
"ginger_29",0,0.0231135657572984,0.00987290040796178,0.0161733572949066,0.015777037260295,0.0162108175199052,0.00818515368763525,0.0244210409677011,0.0201062951765813,0.0258732933834399,0.0180846367240731,0.023119310680208,0.0319430226582074,0.0288441192490539,0.0124660817993674,0.00923066208059564,0.0375927303262131,0.0293683168367259,0.0318745892013245,0.0123879663666951,0.0297558655741231,0.00606446040777852,0.0240546218913362,0.0289527760112,0.0358597076825882,0.0385088807746573,0.0151854881846704,0.0378965521164707,0.0101628861947672,0.019475416108194
"henry_29",0.0231135657572984,0,0.0179650619950137,0.00885619196780439,0.0153883116202038,0.0108608686546611,0.0250458038853327,0.0151489126614827,0.0149702313737457,0.00593516352600695,0.0124356442149558,0.00633202350227059,0.0252411475141667,0.00687864006256128,0.0117749456325387,0.0199489502496337,0.0325324057728904,0.0173530760053882,0.0106384472223539,0.0121096557537027,0.00867513156773031,0.0176871188770105,0.00720041989274147,0.0166235908315032,0.0145359537193034,0.0253457484376756,0.00887709089299127,0.0331465845736921,0.0199101057859046,0.00751833217310902
"joans_29",0.00987290040796178,0.0179650619950137,0,0.0109900890949477,0.0100344456427402,0.00906221122094712,0.0094628842805209,0.0190295692535917,0.0148739275997093,0.022001044630331,0.0122400639789194,0.0185851725019685,0.0264260110837312,0.0245016986004254,0.0099485294392715,0.00614962986070194,0.032507904398163,0.023676745205574,0.027851794626738,0.0118096160624868,0.0255255028201573,0.00863668753604075,0.018229684976151,0.0234917730349926,0.0304771155665612,0.0321271123275007,0.00986449998471809,0.0332122070686834,0.00757840782582453,0.0147063124475096
"ginger_36",0.0161733572949066,0.00885619196780439,0.0109900890949477,0,0.00777259840652489,0.007316821325822,0.0188689090319989,0.0154917582322768,0.00995486826134186,0.0138806454722255,0.0105038200883739,0.0124992516853401,0.0211211830952181,0.0153833341333158,0.00700793548082908,0.0114180604931619,0.0282411861864673,0.0163839796970661,0.0189222803695287,0.00904923929732009,0.0168822774864728,0.011948179226561,0.0108309076164649,0.0176171160331774,0.0220577535752791,0.0254387307083373,0.00453541140426396,0.0287613513682295,0.0152323031444666,0.00774040524839394
"grogu_36",0.015777037260295,0.0153883116202038,0.0100344456427402,0.00777259840652489,0,0.00923514270346942,0.0186288424268531,0.0159226030354109,0.00660917950822508,0.0206904466732415,0.0110696633631388,0.0185787135674924,0.0177168086293719,0.021990639528676,0.0100946333996823,0.00907965254758663,0.0241535230906219,0.0154719027360685,0.0253210236428256,0.0142286359654214,0.0228917050916156,0.0135150718143361,0.0145661867506372,0.0173482517896328,0.0269785992695949,0.0237111597226787,0.0094900790419707,0.0248057203428539,0.0158279091596545,0.0121701027108027
"henry_36",0.0162108175199052,0.0108608686546611,0.00906221122094712,0.007316821325822,0.00923514270346942,0,0.0171574526087898,0.0119196444634717,0.0108277976286002,0.0151262032692675,0.00490849024259616,0.0112609683948406,0.0243285122323286,0.0173922862915043,0.00687069857849526,0.0127965759072911,0.0317194836079967,0.018105081455675,0.0206089971638279,0.0105689948050665,0.0178165202384993,0.0116299504412034,0.00989818672936093,0.0160010275030247,0.0223001049841159,0.0262899253149081,0.00480324849284537,0.0324797243712563,0.0113695681711167,0.0077248954988549
"joans_36",0.00818515368763525,0.0250458038853327,0.0094628842805209,0.0188689090319989,0.0186288424268531,0.0171574526087898,0,0.0263389226250294,0.0234210263022986,0.0278794953082864,0.0195551038809955,0.0243535308898252,0.0346748170356609,0.0309026146742111,0.0161867224438162,0.0114985530309508,0.0403234360621847,0.0324811053647704,0.0340535243080302,0.0156847376054191,0.0319968383714283,0.0107014504840391,0.0261090243135544,0.0317088421072414,0.0375018103867167,0.0410758059134428,0.0173748553937053,0.0409004476857445,0.00782816381048936,0.0219382229511528
"franc_37",0.0244210409677011,0.0151489126614827,0.0190295692535917,0.0154917582322768,0.0159226030354109,0.0119196444634717,0.0263389226250294,0,0.0121100892283564,0.0180690068065982,0.0085451171681445,0.0149391208602125,0.0251422496607815,0.019334549908564,0.0140279709541133,0.0218128656621824,0.0334554175712405,0.0140985797707284,0.0209988339175849,0.0188302820703122,0.0174371430513736,0.0199862203610455,0.00851209237102685,0.00768031964060929,0.0197260540488696,0.0210695184498318,0.013790691939849,0.0335282555093335,0.0194229179227397,0.0102663899465195
"grogu_37",0.0201062951765813,0.0149702313737457,0.0148739275997093,0.00995486826134186,0.00660917950822508,0.0108277976286002,0.0234210263022986,0.0121100892283564,0,0.0201533396645929,0.0104213488192501,0.0183245333628812,0.0157273957950175,0.0208980560811215,0.0116362352323959,0.0145358342142825,0.0237354725683129,0.0103906538467391,0.0237816849917677,0.0168552110357084,0.0210032354211268,0.0170376971951308,0.0120797932427295,0.0117313753442083,0.0241196341190695,0.0185549359112699,0.0113940894452449,0.0238909462471735,0.0191846827286991,0.0110100440412501
"ginger_41",0.0258732933834399,0.00593516352600695,0.022001044630331,0.0138806454722255,0.0206904466732415,0.0151262032692675,0.0278794953082864,0.0180690068065982,0.0201533396645929,0,0.0161044851979239,0.0054379179763382,0.0307017935223225,0.00396095698141149,0.0149582012128038,0.0243995445477414,0.0377697540981317,0.0218571370607589,0.00687770110025713,0.0137490920361622,0.00565024758111163,0.020124606298334,0.0106069112233654,0.0199124535150318,0.0133618579085226,0.0295240077386774,0.0129568722328165,0.0383424697903479,0.0225175130104128,0.0112049713721497
"grogu_41",0.0180846367240731,0.0124356442149558,0.0122400639789194,0.0105038200883739,0.0110696633631388,0.00490849024259616,0.0195551038809955,0.0085451171681445,0.0104213488192501,0.0161044851979239,0,0.011968638928178,0.0251624241832948,0.0183053964921317,0.00802302772626086,0.0157863926409882,0.032941065688428,0.0174144360869151,0.0210782836457723,0.0128922985940364,0.0178139431138933,0.0134468322560686,0.00923586332628972,0.0131274811192256,0.0218809337875835,0.0251196358188764,0.00804412908183369,0.0335252192029283,0.0128271801989774,0.00792297923600845
"joans_41",0.023119310680208,0.00633202350227059,0.0185851725019685,0.0124992516853401,0.0185787135674924,0.0112609683948406,0.0243535308898252,0.0149391208602125,0.0183245333628812,0.0054379179763382,0.011968638928178,0,0.0305456406686091,0.00865792161693852,0.0121906557181523,0.0219603356199869,0.0380682803538728,0.0216392823104274,0.0113081563332925,0.0118524974516502,0.00886993523692891,0.0172483181829542,0.00888256048783886,0.0182315336503982,0.0151679218652868,0.029391254316446,0.0102868376774157,0.0387323853718325,0.0182442980685413,0.00902851802362377
"marshmallow_41",0.0319430226582074,0.0252411475141667,0.0264260110837312,0.0211211830952181,0.0177168086293719,0.0243285122323286,0.0346748170356609,0.0251422496607815,0.0157273957950175,0.0307017935223225,0.0251624241832948,0.0305456406686091,0,0.0297166683531001,0.0259270453422179,0.0238592381802761,0.0111624852226469,0.013575056031637,0.0323288123066075,0.0296931543080009,0.0306603755314981,0.0302999748494742,0.0237927773247403,0.0214429475870261,0.0313630736930865,0.014910877981644,0.024365294967564,0.0108527778568349,0.0325373366197632,0.0242007748124407
"ginger_42",0.0288441192490539,0.00687864006256128,0.0245016986004254,0.0153833341333158,0.021990639528676,0.0173922862915043,0.0309026146742111,0.019334549908564,0.0208980560811215,0.00396095698141149,0.0183053964921317,0.00865792161693852,0.0297166683531001,0,0.0176599841367132,0.0264681528183971,0.0366051352702589,0.0209687117316499,0.00458713461629308,0.0168707179844194,0.0045985874146967,0.0232325328733391,0.0113841830758353,0.0199244261539072,0.0113144792610163,0.0278980515243053,0.0152953517409774,0.0371474735030618,0.0256980584679937,0.0129725187443449
"grogu_42",0.0124660817993674,0.0117749456325387,0.0099485294392715,0.00700793548082908,0.0100946333996823,0.00687069857849526,0.0161867224438162,0.0140279709541133,0.0116362352323959,0.0149582012128038,0.00802302772626086,0.0121906557181523,0.0259270453422179,0.0176599841367132,0,0.0117653243198972,0.0331747038905918,0.0196161680032556,0.0206909481325864,0.00606220149314218,0.0180903684425262,0.00715595347955538,0.0120192911525688,0.017960834055847,0.0240533627140959,0.0288395223764338,0.00499114934228517,0.0335238995216968,0.011208247652886,0.00780221555959652
"henry_42",0.00923066208059564,0.0199489502496337,0.00614962986070194,0.0114180604931619,0.00907965254758663,0.0127965759072911,0.0114985530309508,0.0218128656621824,0.0145358342142825,0.0243995445477414,0.0157863926409882,0.0219603356199869,0.0238592381802761,0.0264681528183971,0.0117653243198972,0,0.0294675668805707,0.0233853355930103,0.0299125652400451,0.0134795103735346,0.0278266929985536,0.00998778884223605,0.0207037691260256,0.0250591220243929,0.032795359652249,0.0319099465066176,0.0122332820602976,0.0299276281181021,0.0123234466896133,0.0168036368643295
"ivy_42",0.0375927303262131,0.0325324057728904,0.032507904398163,0.0282411861864673,0.0241535230906219,0.0317194836079967,0.0403234360621847,0.0334554175712405,0.0237354725683129,0.0377697540981317,0.032941065688428,0.0380682803538728,0.0111624852226469,0.0366051352702589,0.0331747038905918,0.0294675668805707,0,0.0215866471925398,0.0390903514362984,0.0363276871403311,0.0378732463946281,0.0367483971146157,0.031620062012692,0.0298193995576913,0.038748053365106,0.0216826548441366,0.0315051676408212,0.00400721752834006,0.0393454022768985,0.0319926006330359
"ophelia_57",0.0293683168367259,0.0173530760053882,0.023676745205574,0.0163839796970661,0.0154719027360685,0.018105081455675,0.0324811053647704,0.0140985797707284,0.0103906538467391,0.0218571370607589,0.0174144360869151,0.0216392823104274,0.013575056031637,0.0209687117316499,0.0196161680032556,0.0233853355930103,0.0215866471925398,0,0.0227886982632722,0.0239173434931068,0.0204597785451635,0.0258655910211201,0.0132529769315938,0.00985846783655185,0.0210116687870403,0.0103937497119577,0.0181045141417886,0.0212343091883499,0.0278005705985841,0.0152617328570405
"wolverine_57",0.0318745892013245,0.0106384472223539,0.027851794626738,0.0189222803695287,0.0253210236428256,0.0206089971638279,0.0340535243080302,0.0209988339175849,0.0237816849917677,0.00687770110025713,0.0210782836457723,0.0113081563332925,0.0323288123066075,0.00458713461629308,0.0206909481325864,0.0299125652400451,0.0390903514362984,0.0227886982632722,0,0.019852931603091,0.00368866970840961,0.0262113405576608,0.0136276555778298,0.0213669941499905,0.0102852339109651,0.0292501680453809,0.0184782229558965,0.0395258004238907,0.0286244064296771,0.0156753393995644
"goose_58",0.0123879663666951,0.0121096557537027,0.0118096160624868,0.00904923929732009,0.0142286359654214,0.0105689948050665,0.0156847376054191,0.0188302820703122,0.0168552110357084,0.0137490920361622,0.0128922985940364,0.0118524974516502,0.0296931543080009,0.0168707179844194,0.00606220149314218,0.0134795103735346,0.0363276871403311,0.0239173434931068,0.019852931603091,0,0.0180510036103633,0.00691600984802036,0.0150178268766126,0.0228544183225232,0.0249518855040192,0.0333470670751144,0.00728664204772254,0.0367766798129814,0.0121266984985848,0.0108355247948615
"wolverine_58",0.0297558655741231,0.00867513156773031,0.0255255028201573,0.0168822774864728,0.0228917050916156,0.0178165202384993,0.0319968383714283,0.0174371430513736,0.0210032354211268,0.00565024758111163,0.0178139431138933,0.00886993523692891,0.0306603755314981,0.0045985874146967,0.0180903684425262,0.0278266929985536,0.0378732463946281,0.0204597785451635,0.00368866970840961,0.0180510036103633,0,0.0239931451456544,0.0103828803903076,0.0181020403538753,0.00961788867869569,0.0272208958816996,0.0160714833430749,0.0382798946081424,0.0261169184398327,0.0127887267099863
"goose_59",0.00606446040777852,0.0176871188770105,0.00863668753604075,0.011948179226561,0.0135150718143361,0.0116299504412034,0.0107014504840391,0.0199862203610455,0.0170376971951308,0.020124606298334,0.0134468322560686,0.0172483181829542,0.0302999748494742,0.0232325328733391,0.00715595347955538,0.00998778884223605,0.0367483971146157,0.0258655910211201,0.0262113405576608,0.00691600984802036,0.0239931451456544,0,0.0188057489704431,0.024570221096958,0.0302860045397723,0.0351387945653253,0.0101825738695829,0.0371350720719562,0.00830458141295863,0.0143136227117205
