"","Hera_1","Wolverine_1","JarJarBinks_3","Goose_4","Korra_6","Hera_7","Iris_7","Korra_9","Hamlet_11","Hera_11","JarJarBinks_11","Hera_14","Iris_14","JarJarBinks_14","Kubo_14","Wolverine_14","JarJarBinks_15","Kubo_15","Iris_17","Kubo_17","Lambchop_17","Wolverine_17","Hamlet_18","Hera_18","Iris_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Ophelia_19","Wolverine_19","Goose_20","Hamlet_20","Hera_20","Iris_20","Korra_20","Ophelia_20","Hamlet_21","JarJarBinks_21","Korra_21","Kubo_21","Goose_22","Hamlet_22","Hera_22","Iris_22","Kubo_22","Hamlet_23","Iris_23","Korra_23","Hera_24","Kubo_24","Ophelia_24","Wolverine_24","Kubo_25","JarJarBinks_29","Korra_29","Kubo_30","Hamlet_31","JarJarBinks_32","Goose_37","Hera_37","Kubo_37","Lambchop_37","Ophelia_37","Wolverine_37","Hamlet_41","Hera_41","Goose_42","Lambchop_42","Ophelia_43","Goose_44","Iris_44","Lambchop_44","Hamlet_45","Hera_45","JarJarBinks_45","Korra_45","Ophelia_45","Goose_46","Hamlet_46","Iris_46","Lambchop_46","Hamlet_48","Hera_48","Iris_48","JarJarBinks_48","Korra_48","Kubo_48","Lambchop_48","Ophelia_48","Wolverine_48","Iris_49","JarJarBinks_49","Kubo_49","Ophelia_49","Wolverine_49","JarJarBinks_50","Korra_50","Kubo_50","Lambchop_50","Ophelia_50","Wolverine_50","Lambchop_51","Goose_52","JarJarBinks_52","Kubo_52","Hera_53","Kubo_53","Iris_55","Lambchop_55","Ophelia_55","Ophelia_57","Wolverine_57","Goose_58","Wolverine_58","Goose_59","Hamlet_59","Iris_59","Ophelia_59","Iris_60","Wolverine_60","Hera_67","JarJarBinks_68"
"Hera_1",0,0.0317965955815302,0.0398243159597967,0.080237603424311,0.0372874979421418,0.0337781791413485,0.0222441594251968,0.0382549816701192,0.0835483644274659,0.0514767442320426,0.0585208267588416,0.0288324212921658,0.0734966355311307,0.069787153793958,0.0870644081465875,0.0512539299916477,0.057592404644822,0.0447231164030475,0.0333296539444918,0.0302132027175592,0.0896259191795057,0.0372711526277398,0.0210285907367606,0.0241984341128777,0.0444989554898788,0.0204109792351464,0.021069188528055,0.0505540818593842,0.0362647010432916,0.0172596522124327,0.048488932389497,0.0561308580306201,0.0834045602685794,0.0214186699354658,0.0264059051906922,0.0689803547168956,0.0849595027739452,0.0430732091442681,0.0508474247606462,0.0622265548773627,0.0338734177648394,0.0570659794707342,0.0958438182005307,0.0536453376086754,0.0404799702767664,0.0270983474241487,0.0242721744697263,0.0414710218084189,0.0719480989212704,0.024615260191677,0.0436318713654833,0.0348487376716844,0.03339516698926,0.0284142386149765,0.035151647077849,0.0833026401627978,0.0201372216987901,0.0312621100661066,0.0500255644600774,0.0245624109235486,0.0630999840661787,0.0318460626027603,0.0356748714139783,0.0944975433062435,0.0318041808853871,0.0286158954818537,0.0277637589128051,0.0350275503865974,0.0368025683967811,0.0743454593028955,0.0434425330705845,0.0472998981692531,0.0482063939786152,0.0550292182122663,0.0468164992876755,0.11528934339711,0.0475816185108076,0.0532807946780811,0.025744987931617,0.0249233872239129,0.0588901305411596,0.0490337232992585,0.0362769262859855,0.0360510708504012,0.0351103704546625,0.0741567681960378,0.0503334451464349,0.048880261219014,0.0611318553960602,0.0671774849799916,0.0679821662748945,0.0308498765836727,0.0217631375279473,0.0258630262646949,0.065268049239806,0.0387852123600069,0.0456383142919415,0.0256839776411117,0.0237681448046505,0.0517186045176572,0.0981426209558794,0.0708928337419454,0.0597021402841886,0.0599244362349816,0.0429943277662072,0.0799689976496932,0.0161497653441939,0.0293915457515186,0.0245288341922462,0.0338232145504519,0.0779083979053004,0.0586465536713785,0.0869053488711227,0.0389421267248811,0.0726448262330556,0.0363540938557803,0.0393226206722292,0.0423298124384806,0.083039304802764,0.0813805181584261,0.0259960418301793,0.0334478380654068,0.0335156676423831
"Wolverine_1",0.0317965955815302,0,0.0514469981360044,0.0866422222719066,0.0376436094983599,0.0418255735144211,0.0263417387565095,0.0267505243915064,0.0894011873563303,0.0598184351338043,0.0580421174261817,0.0407882956360802,0.0524331986465649,0.0597104965951121,0.0865091403187157,0.052850534396227,0.0526084766597859,0.0492316101788454,0.0225705787453156,0.0381687076126074,0.0914011699157628,0.0282954412591655,0.0235121271899582,0.0281367366486147,0.029029308753859,0.029951582565925,0.0350849314562086,0.0547160736913251,0.019066979380139,0.0253380778257575,0.0263065749704768,0.0583513983835913,0.0807196093554801,0.0191323781824442,0.0154431191915795,0.0697959452374649,0.0820867849476519,0.0458104580244107,0.0515110666175963,0.0635078540287642,0.0319301446163837,0.0598706784713836,0.0933935342079227,0.0605099477679274,0.0332155430501232,0.032558813318796,0.0208224572882243,0.0381298884761694,0.073654644073089,0.0239319045182433,0.0516701411757093,0.030905722796703,0.0225947666474337,0.0262613552093598,0.0438646669722103,0.0846034811202032,0.0347650829231152,0.0493272931913663,0.0523159241743731,0.0369019711859008,0.0517061797764188,0.0357046622440671,0.0397922862463747,0.0929849651076775,0.0134548060037446,0.0389655783109684,0.0351039594384045,0.0458064579339075,0.0377271911281508,0.0749720946245909,0.052491930728941,0.0310521900172641,0.0657218805625019,0.0375433034788163,0.0315245747614847,0.116910452586493,0.0438612333013652,0.0593967670192041,0.0259686849559775,0.0204275552025034,0.0425959672085881,0.0638225722340522,0.0221797534868716,0.0268219460929633,0.0209539436935561,0.0755693287705092,0.0517119836790069,0.0351415345740045,0.0688495465067112,0.055428041800312,0.0586740238319026,0.0310402536109462,0.033006541863523,0.0244207712622573,0.0560834403596544,0.0279479601602285,0.049732612386172,0.039932982300379,0.02370362305128,0.0711462314573427,0.0969820466026926,0.0697043340064575,0.0694428920530684,0.0654454782298066,0.0455983435489186,0.0771563537776586,0.0338428226916383,0.0268109497627933,0.0154592811033656,0.0407440078666759,0.0802454902520742,0.036611621330122,0.0828258365982487,0.0451565195129173,0.0698380688207186,0.0455107208048781,0.0332720460906437,0.0263335805005115,0.082973772020293,0.0611396409291896,0.0289752693701551,0.0551831928926414,0.0319488578859373
"JarJarBinks_3",0.0398243159597967,0.0514469981360044,0,0.107659230924705,0.0730001126016797,0.0121824513640227,0.0324640043578131,0.0656233945110101,0.112965240821656,0.0870467696876407,0.0940431384267656,0.0636199709923081,0.0909622388666959,0.100519439360062,0.113300116711629,0.0882104340367005,0.0884352574087013,0.0795668288987022,0.0625500430114669,0.0640231306248968,0.113694119335569,0.0427351608934458,0.0461360618087247,0.0247008774220486,0.0729928951873861,0.032708836022598,0.0546785764618694,0.0634006454777681,0.0495281751615289,0.038949114657738,0.0681908358279395,0.0252354221085446,0.109458145221563,0.05168960803242,0.0438451058118714,0.0959393975286395,0.109687226386363,0.0679236510388474,0.0263616712939609,0.0842790743956677,0.0625883970373867,0.0776153366934097,0.119252633066011,0.0885517022521008,0.0329125194277701,0.0528376818210406,0.0487680993779731,0.0323234823039625,0.0958922576954444,0.0300546905606221,0.0680735911364881,0.0642764474560725,0.0564032207915635,0.050163923789605,0.0533364574762129,0.106895633875848,0.0502456191970908,0.0370023016340636,0.0704639040945113,0.0391774011343371,0.090352703801343,0.0548717101202092,0.0524073071953397,0.120245384960546,0.055906817934821,0.064016582913038,0.0584055003588825,0.0116100288262986,0.0319943220056151,0.106445005378217,0.0140640064097924,0.0682171017574547,0.0359895465289199,0.0715674093690917,0.0711288915023108,0.147171905386472,0.0683808474864152,0.0895353854558867,0.0303341563753158,0.0459231256165225,0.0760011777539893,0.0424521196340993,0.0629584348363522,0.0677934201472031,0.052458641523848,0.0986309654293123,0.0716754770634638,0.0694560733749778,0.0227801697944487,0.0993541131063283,0.0889985755272197,0.0265591300652133,0.0449843439269017,0.0587618075168403,0.0989970487021574,0.0629253216581624,0.0192619660356721,0.0255413246032703,0.0541492781312232,0.0327735860668651,0.124830785589463,0.091572732019275,0.021816039035746,0.0221489294132039,0.0233968720656659,0.104445865892658,0.0534234970855886,0.0649160531302864,0.0457524326627918,0.0286065424379675,0.11044964162519,0.0777167559955826,0.110150814635967,0.0418446152392437,0.0976656181841315,0.0154861223538289,0.0676025815886495,0.0714916148714264,0.115082186068738,0.104090015038388,0.0455348700602969,0.0222487996173288,0.055892027075206
"Goose_4",0.080237603424311,0.0866422222719066,0.107659230924705,0,0.0821761579886066,0.102278867565704,0.0888739557938738,0.0812035691105949,0.0900740392596927,0.0410496851282807,0.0514466187579941,0.0602807355104972,0.104128325357592,0.0851608546641198,0.0239705742534766,0.0796673200218148,0.0748031041178947,0.046834307685287,0.081406207830808,0.0643820564208598,0.02694525230143,0.0998319871525944,0.0792078624854224,0.0945584914834913,0.0855724804075744,0.0796394339590473,0.081386452699977,0.0526627641435614,0.092656587185634,0.0841991172091845,0.0927271240395503,0.118220699937389,0.0303175575033186,0.0766086489237021,0.0884989732679061,0.0257509864021008,0.0312052279380271,0.046828747612484,0.109123153944046,0.0331044007238327,0.0610887791364691,0.0394323562932112,0.0340981405668662,0.0871849214686636,0.106254633385795,0.0637947570208689,0.0776698670275113,0.103969729148432,0.0261876277413808,0.0944329147710814,0.04366194950017,0.0871219364794489,0.090971765177527,0.0895950899985244,0.057005109706416,0.0240756052865291,0.0669279936934062,0.0929245505857645,0.0426208980633914,0.0709221136870882,0.0897977504290026,0.0777936723699559,0.0601255314368682,0.0302801055751999,0.0837586190596256,0.0667260463533138,0.0701807882871266,0.100383398820844,0.102177576447013,0.0507184800924588,0.105932872511889,0.094648642998941,0.110075353105906,0.0977316780116779,0.0901919838608399,0.073061918712538,0.0483395173115051,0.055021968166816,0.0923573696047226,0.083943949456264,0.0933704862203473,0.108747261587906,0.0872156564110093,0.0724503187659265,0.0944732161097783,0.0264143965283814,0.0429265042872068,0.0949949930253428,0.125902431008241,0.0749748118162199,0.0405380742171483,0.0966054983716308,0.0660637553879923,0.0820472304100493,0.0623202034440212,0.0622365778042949,0.105688523289594,0.0888521553276828,0.0828882623790075,0.115786714474084,0.0322340646142215,0.0334315546483707,0.125948622760701,0.123872859777981,0.105247401155347,0.0261552503332481,0.0688687281285601,0.0741412641477446,0.0865352723989046,0.0959202491707875,0.0329349461936152,0.0855775673363279,0.0326590806932691,0.0724890495544489,0.0332994562865761,0.0982746468105723,0.057372265476477,0.0847106714474222,0.0410041200064457,0.1008149829043,0.0701392543420482,0.10371729492429,0.0640815294342956
"Korra_6",0.0372874979421418,0.0376436094983599,0.0730001126016797,0.0821761579886066,0,0.0665196070508342,0.0485328533152278,0.0301434966456013,0.0776348291583077,0.0475984901822544,0.0456533954496665,0.0304575117221896,0.0462885902162216,0.0576382528890137,0.0875792873046762,0.0289481862949506,0.0516897813855038,0.0386258025488479,0.0310516311683824,0.0289103398455219,0.094469917638687,0.0432797037528833,0.038641410156126,0.0534967925560078,0.036661694557933,0.0465791558850195,0.0227516972793317,0.0687732359722394,0.0475218187688106,0.0376413661949199,0.0315758310296944,0.0887758492485273,0.0854520983383258,0.0298843923557968,0.0381621642047768,0.0707487856468904,0.0881273983912649,0.0542213552507092,0.0823002206119384,0.0709747752091471,0.0338619292520099,0.0701554157727843,0.0997021227666711,0.0337891196900011,0.0604558492917159,0.0376537388137133,0.031635317726237,0.0702774096507277,0.0780827978109511,0.0488179987794837,0.0535123913998901,0.01931306111459,0.0300766069807534,0.0267965447384844,0.054660313377682,0.088267718174134,0.034476118560554,0.0459834145523138,0.0622004311888422,0.0506903451264133,0.0531253947534095,0.0279630973392184,0.0560459605232873,0.0955461096188605,0.0335790422655648,0.0238777817353802,0.0267142672875014,0.0681523281435799,0.0582053151174222,0.0690314901861345,0.0775831852123295,0.0256908690216821,0.0657082854198623,0.0319058614993775,0.025232277239577,0.110594506683288,0.0535139797566212,0.0463450856032968,0.0499174682736594,0.0329051922295655,0.0388972374052301,0.0587841936469154,0.0243863299741423,0.0249309833666469,0.0318152767827133,0.0807748058778444,0.0622618320232812,0.0229160785620345,0.0939237338156996,0.0534615750935062,0.0701222977288483,0.0599414346884049,0.0440099687739504,0.0201471442838722,0.0520647125466203,0.0374304561044804,0.077999914218355,0.053653314719688,0.0219347539893946,0.0723836464392194,0.0983325245389893,0.0801671888061797,0.0928548692741254,0.0927690279190507,0.0749837647017152,0.0812200775060979,0.0295348813076763,0.0175148251117595,0.0379412473215289,0.057959732754175,0.0734683584164885,0.0431647375871995,0.0913094572060386,0.0662089291470439,0.0777501528571088,0.0695760513383551,0.0374225856046678,0.0342053841061404,0.0790289815531067,0.0536631059215541,0.042526805798776,0.0624109340925561,0.0473862710214662
"Hera_7",0.0337781791413485,0.0418255735144211,0.0121824513640227,0.102278867565704,0.0665196070508342,0,0.0225116612869799,0.0584788001903795,0.105927723629329,0.0811978340084118,0.087986430832723,0.0584480102324894,0.0857475117324029,0.0925776827691868,0.10700845660901,0.0815940189581376,0.0811058394298698,0.0733201000680928,0.0535791123690635,0.0585606322742498,0.107921660747867,0.0380138135293819,0.0369795873812363,0.0163384274761944,0.0640715997434655,0.027304801697771,0.0498829433444631,0.0579100126691763,0.0396027611521172,0.0312661275903982,0.0597354580101719,0.0239356664714265,0.103021305321546,0.0433106380430081,0.0345359556291372,0.0899998452435075,0.103504795077681,0.0615018907270582,0.0235755756199866,0.0782262938643761,0.0557815637656547,0.0718248718440948,0.113261277849021,0.0830971484339594,0.0278668643313823,0.0477098795838353,0.0417236115437849,0.02177562950628,0.0900550086837627,0.0216174758035577,0.0632054278063558,0.0585229589592059,0.0490382814737838,0.0447939728819118,0.0481067660051399,0.10112223421391,0.0455757291894865,0.0383168887575898,0.064321803068465,0.03423090162622,0.0822094084373261,0.0497632549886015,0.0462028501790563,0.114224957219304,0.046292489611444,0.0592649857499816,0.0537407889159284,0.0108828971816495,0.0293120898390204,0.100033855508506,0.0153657520180652,0.0618295282502542,0.0429438566990427,0.0670021434893182,0.0640162797996306,0.141455148477991,0.0626973104923974,0.0839196235328582,0.0208844453029826,0.0386838363482644,0.0723707368505714,0.0474647172557088,0.0549890766063686,0.0600683017054225,0.0455143774136159,0.0926646761905739,0.065626372903306,0.0634773200343338,0.0287811154646715,0.091890361923537,0.0824055795495827,0.0157176506090951,0.0382830754632757,0.0513657235481104,0.0914494294886333,0.0557506315335042,0.0168424493190313,0.0252000131985179,0.047372539286627,0.0426669635548129,0.118919868974528,0.0853199514695491,0.0296843249893283,0.0267984725107302,0.015348971754669,0.0981821628750865,0.0468512334432451,0.0576058080597256,0.036120796689202,0.0275842535759355,0.104361831916816,0.072252575084911,0.103722898702561,0.0376310717696874,0.0909871788339156,0.0136075153256156,0.060585709437753,0.0625118439538958,0.108945636502554,0.0963368214062111,0.0400377522103832,0.0267716397712967,0.0503424558181666
"Iris_7",0.0222441594251968,0.0263417387565095,0.0324640043578131,0.0888739557938738,0.0485328533152278,0.0225116612869799,0,0.0417667601641964,0.0916261685587459,0.0655835532700368,0.0710179972269293,0.0437909979878344,0.0710009792230456,0.0759659488730288,0.0931263156460475,0.0632053483410491,0.0655198163720053,0.0572338075559184,0.0334195413458962,0.0438887869074895,0.0956994858789638,0.0298130089318219,0.0203193340889033,0.0154807286539361,0.0461358831228341,0.0224853027480246,0.0341350864060821,0.0539514513400446,0.0261501697945338,0.0154847877198568,0.0434822204412582,0.0407591958534408,0.0894906687079337,0.0268769312947893,0.0155378106007613,0.0758728163672198,0.0904435626690413,0.0483825220683803,0.0376871037383139,0.0661447308880096,0.0408564900064746,0.0601558703090636,0.100392680770441,0.0661170905688731,0.024398119247407,0.0351889486352606,0.0276442159143535,0.023068551975374,0.077545931435501,0.0146862026042044,0.0498506706921928,0.042610335001296,0.0336570964069496,0.0324468439329753,0.0406978402805403,0.0887991024466813,0.0331148438214817,0.0401960602552284,0.0541392915224226,0.02937282582672,0.0676982294962978,0.0386656414291213,0.0372823360689513,0.101133730944067,0.0277729621109874,0.0442387462117178,0.0400625131457957,0.0266817476527674,0.026874195097079,0.0854500862576598,0.0334806182218993,0.046650225731523,0.0522698325660487,0.0544786879393767,0.0494676860272809,0.127213338028701,0.0519943917814053,0.068790221281816,0.0078291067766966,0.02620210100243,0.0591941046484943,0.0537671149890611,0.0377761621679731,0.0432017272123707,0.0308722382413468,0.0799502540749887,0.0540785807409637,0.0498164726442862,0.0491449297302929,0.0751065985095759,0.0709544732887161,0.0131550113116165,0.0256935491594103,0.0328981688861428,0.0749448742193119,0.0421758233396125,0.033031751725675,0.0273499506274387,0.0293543917351892,0.0559823816172065,0.105378569315464,0.0744902426006194,0.0496920816635587,0.0464191645372019,0.0280353365563096,0.0853291635690702,0.0305442168405437,0.039514385680062,0.0157034402725185,0.0303283379126149,0.0892909639858648,0.05917659934114,0.0906408834198402,0.0390660654800626,0.077596470601042,0.0278163495378817,0.0457809498410679,0.0432252503320596,0.0935977966737859,0.0808272265647856,0.0298715330330896,0.0378400422131534,0.0390574269781796
"Korra_9",0.0382549816701192,0.0267505243915064,0.0656233945110101,0.0812035691105949,0.0301434966456013,0.0584788001903795,0.0417667601641964,0,0.0904453560697911,0.0511269608751461,0.0500532059030176,0.0359370082443526,0.0497241870002737,0.0429375547094848,0.0834486676265359,0.0368925815234645,0.0383993710089643,0.0400566781726254,0.02570967528244,0.0253066803866099,0.0878083199438362,0.0369097911899136,0.0283966948128209,0.0428926435164343,0.0167719370819589,0.0375614828586769,0.0308395182642342,0.0588237103551408,0.0308572772198267,0.0305407280249296,0.0261257823908928,0.077429349879425,0.0766788362062292,0.022651134320672,0.0305682429187336,0.0656086499110739,0.0783143867378726,0.042951491781531,0.0697711464599301,0.0612234226705985,0.0229136606326519,0.0587517830897803,0.0906398690495823,0.0480430802513659,0.0510790924159643,0.030287714755581,0.0310293451952677,0.0576262608400772,0.0699702367249189,0.0400988160173386,0.0476927248179351,0.0169774340474911,0.0138420825826223,0.0278157238863572,0.0455720342432888,0.0810918625554031,0.0297548331608345,0.0545518274639932,0.0518781569800765,0.0432777580646519,0.0381578735842472,0.0417808303901602,0.0439601906212533,0.0887908356041677,0.0192569431006889,0.0296080547440818,0.0308209877235641,0.0609233061747923,0.0552145487330135,0.0610062619667691,0.0688698918767514,0.0293267169112777,0.075869673046446,0.0339784507921586,0.0241474612632041,0.105545847525322,0.0436875480354115,0.0473616914656802,0.0443993955100421,0.0276032515384229,0.0369013003140011,0.0724865871373586,0.0141847278400679,0.0164869669924679,0.0258586248382671,0.0720509437838049,0.0500742703274855,0.0361054843910965,0.0859311339586716,0.0397022207080324,0.0586857545103456,0.0487124904940619,0.0341107456775717,0.0235678420602691,0.0395133764231591,0.0254802772618535,0.0669686591234769,0.0481028247102478,0.0229356512948019,0.0802947507575107,0.0923621376231508,0.0701633281293181,0.0861143744346018,0.0833612063187925,0.0633680451343401,0.0730173694150994,0.0324044656091652,0.0204289460594905,0.0274339569152235,0.0525454209205451,0.0705615677443979,0.0251609111258662,0.0812203954513681,0.0541413524588817,0.0669940582734389,0.061290324012758,0.0268970175496491,0.0151547398134479,0.0733826503946641,0.0496878667939199,0.0372131920806501,0.0637064471788317,0.0338542269671296
"Hamlet_11",0.0835483644274659,0.0894011873563303,0.112965240821656,0.0900740392596927,0.0776348291583077,0.105927723629329,0.0916261685587459,0.0904453560697911,0,0.0626644170268004,0.0543656998482298,0.0721330666608623,0.102003352351973,0.0922392055715809,0.096605935661206,0.0739575860535732,0.0849738313927651,0.0717761609936467,0.0854009722657427,0.0793603377650079,0.103508157270608,0.0997723504044122,0.0853721861524082,0.0988555941051503,0.0918203228120182,0.0949538002840471,0.081946380934812,0.100413227256016,0.0991095820674004,0.0871931722579588,0.091912401688173,0.124663798590795,0.0998794201872809,0.0834414706571451,0.0873910352484814,0.0898563556821558,0.102703393289056,0.087333175609824,0.120849325466676,0.092953177306413,0.0852013989630521,0.0946705548098645,0.108625231094677,0.0780427145167508,0.106760796228272,0.0862647518447705,0.0758823512028848,0.109500102556244,0.0937828184059081,0.0968823689180146,0.0867702831573542,0.0901854547858094,0.0944018709282656,0.091006585108787,0.0921007580442899,0.099469496106063,0.0837378034915191,0.0971209518929887,0.0923225559332717,0.093376421074157,0.0944980936858726,0.0748022311080036,0.0938159465195434,0.105296140077529,0.0861952657147581,0.0787495291696669,0.0818050565992901,0.109134798533066,0.0985324281414641,0.0884632586489851,0.115193341984812,0.093318166000023,0.10556697984341,0.100112152580777,0.0954188073368235,0.114999131661904,0.0901655706787374,0.0821509917976349,0.0935114072169251,0.0897932314534306,0.104479608260485,0.104060995109956,0.0913578336969532,0.0853139312013599,0.0945228911937816,0.0951730538456786,0.0918668292142153,0.092285176349483,0.130783367747349,0.0937322334297719,0.096078705138005,0.102383254861427,0.0879519486533685,0.0817460848500159,0.0866623751877203,0.0881241487056852,0.116353246978113,0.10124845916955,0.0839937165528621,0.114318967403654,0.107006538903672,0.0974505287584554,0.129810558208186,0.129354461869509,0.113301439074694,0.0980697995345804,0.0747958318966728,0.0761301530384687,0.0882159117758829,0.105022661541154,0.089825376670745,0.103623905215969,0.10400995279438,0.104005269553046,0.0961320657569303,0.109779593803423,0.0829915248572959,0.0903059978576344,0.100367016823382,0.111349622179938,0.0891916247592029,0.10339157414057,0.0917962651673888
"Hera_11",0.0514767442320426,0.0598184351338043,0.0870467696876407,0.0410496851282807,0.0475984901822544,0.0811978340084118,0.0655835532700368,0.0511269608751461,0.0626644170268004,0,0.0232417560207361,0.0285689649409444,0.0764063552596029,0.0591297871439945,0.0470173905734306,0.0452655352644826,0.0470120327561188,0.0138457123619801,0.052580729370605,0.0311355723684341,0.0532771361774967,0.0724071907786847,0.0537011558325541,0.0714064149583315,0.0572627230676383,0.0568584544168559,0.0492092171399678,0.0468944963395539,0.0684740687359094,0.0585276996767093,0.0624593575108447,0.101632532817488,0.0496279392700549,0.048482952904833,0.0603467046601223,0.0328498673445628,0.0520729276873508,0.0313393449227066,0.0924743494675281,0.0366080446387519,0.0326208635591761,0.0391054881080539,0.0604640650619295,0.0534476600383405,0.082085931371811,0.0373436531127738,0.0483856228292437,0.0852902671719524,0.0391313184244641,0.070133469959651,0.029048265799558,0.054690927054495,0.0612983702745277,0.058889004005334,0.0399475937822663,0.0471087185892967,0.0389770306519269,0.0665062451707743,0.0358878822111238,0.0498487983123486,0.0625396996347628,0.0486588904066427,0.0444439804489373,0.0563275375476216,0.0556637969936834,0.0333782607871352,0.0399592550964561,0.0802713782032081,0.0765213774624026,0.0428972888444685,0.08798942344916,0.0635380736786765,0.0838775825362481,0.0696733408428679,0.0616644399414747,0.0808578054427229,0.033625016660631,0.0315265998203372,0.0679189104262921,0.0570169508375997,0.0671598609433668,0.0823078211317891,0.0575626495218275,0.0431595291323522,0.0648129040335476,0.0415036321573229,0.0355105185435789,0.0643091550957917,0.107282613546873,0.051615415622564,0.0413195785804935,0.0760205798275188,0.0446796679510071,0.0503605721226024,0.0405369672441435,0.037172193403514,0.0888825891121014,0.0647205172377315,0.051917716728855,0.0909506015672102,0.0593215217933266,0.043513963335984,0.106063737360352,0.10616072735768,0.0874253640661436,0.044072802720784,0.0381978511601006,0.0410758220984807,0.0590956970876203,0.0722520759380143,0.0379342918332324,0.0615078329432765,0.0545519674292,0.0588702691873425,0.0428907380950542,0.079743939787936,0.0307297799660361,0.0564488986733618,0.0509840550376652,0.0775416318802734,0.0469825163266177,0.0788368111140471,0.0424708916569606
