"","hera_1","buddy_11","hera_11","jarjarbinks_11","padme_11","hera_14","iris_14","jarjarbinks_14","jarjarbinks_15","buddy_16","buddy_17","iris_17","lambchop_17","padme_17","buddy_18","hera_18","iris_18","jarjarbinks_18","lambchop_18","franc_19","hera_2","jarjarbinks_2","lambchop_2","goose_20","hera_20","iris_20","buddy_21","jarjarbinks_21","franc_22","goose_22","grogu_22","hera_22","iris_22","iris_23","franc_24","hera_24","jarjarbinks_29","jarjarbinks_3","jarjarbinks_32","grogu_36","franc_37","goose_37","grogu_37","hera_37","lambchop_37","goose_4","grogu_41","hera_41","goose_42","grogu_42","lambchop_42","buddy_44","franc_44","goose_44","iris_44","jarjarbinks_44","lambchop_44","buddy_45","franc_45","grogu_45","hera_45","jarjarbinks_45","buddy_46","goose_46","iris_46","lambchop_46","franc_47","buddy_48","franc_48","grogu_48","hera_48","iris_48","jarjarbinks_48","lambchop_48","franc_49","iris_49","jarjarbinks_49","padme_5","buddy_50","franc_50","grogu_50","jarjarbinks_50","lambchop_50","franc_51","lambchop_51","buddy_52","goose_52","grogu_52","jarjarbinks_52","franc_53","hera_53","iris_55","lambchop_55","buddy_56","franc_56","grogu_56","buddy_57","goose_58","goose_59","iris_59","padme_6","iris_60","hera_67","franc_68","jarjarbinks_68","hera_7","iris_7","padme_7","grogu_70","franc_9","grogu_9"
"hera_1",0,0.0170162177232575,0.0139144708880275,0.0163134610008624,0.0206811108988907,0.00727524012178762,0.0257088879278162,0.02729488924014,0.0220547985231168,0.0199186150101501,0.0118923836736551,0.0110939205408422,0.0214207068193312,0.0315440086701726,0.0236521788391646,0.00934663595443192,0.0179965388349197,0.00846429106841736,0.0131490942085373,0.0113375238140066,0.0200063550877127,0.0315734297386987,0.035177880471189,0.0173793861992766,0.00711315704036562,0.00955669753843069,0.0160759557142861,0.0178596373673065,0.00856315750952061,0.0137597328626859,0.0135441316076609,0.0185487011520837,0.0171927876003652,0.012699966159156,0.0120980167706529,0.00994123530541711,0.00926053508760359,0.0147242131311902,0.0123708549076486,0.0170568479233428,0.0108298416832698,0.00815923650606892,0.0124166298905803,0.024521524472828,0.00967314892316628,0.0171992835445449,0.00614824852952346,0.00759838150414104,0.0128032526579519,0.00931198813783597,0.0156481396314446,0.0125099152966404,0.015496516781623,0.0151068951879406,0.0170575450586852,0.0298206482814897,0.0167802084276845,0.0154264766519939,0.0116647783960082,0.0166134504868702,0.0164266439020272,0.0316132220131631,0.0167145121192099,0.00890392077490331,0.0220957062761534,0.0172991492228491,0.0190474273648749,0.00809375613114734,0.0161688106921858,0.0153427522205274,0.0117817354770917,0.0138633858724362,0.0178921927784242,0.0217585807318843,0.0121421664534058,0.00987142031465538,0.00548229467527821,0.0221722549110672,0.019775347782304,0.0189959263798383,0.0169814636082755,0.0154546019301976,0.0190930718846637,0.0147972175627067,0.0220508558213173,0.00892599290295897,0.020735645666569,0.010831960435182,0.012916711040689,0.0220409180173291,0.0048678187774919,0.00858161874808242,0.016160926680784,0.0193582709543454,0.0127569708618829,0.0148039918189906,0.00792978130691093,0.0125042209468982,0.0132350937948523,0.0165894639490332,0.0222047690065168,0.0296567576268594,0.0111992251144088,0.00973759031242531,0.0095697306782356,0.0114142698928499,0.00655194518218411,0.0227439112432555,0.021597318674705,0.0225607883689475,0.0164766104965913
"buddy_11",0.0170162177232575,0,0.0108017092803346,0.0120315578196588,0.0146354080423305,0.0126616336767969,0.0263643973187811,0.0270239104176783,0.0219366419744449,0.0279694409898176,0.0127877624184095,0.01649749698687,0.00504385881687637,0.0209330382837914,0.00895261845534143,0.0205588278833737,0.0204979233652082,0.0172417233549077,0.0107942005620963,0.00937693513390956,0.0248651243061231,0.0333501810232834,0.0347918691356899,0.0268883015906961,0.01565703097753,0.0179260062906707,0.0189565839770673,0.0252028424777308,0.0196154814189538,0.00482956953876962,0.022324673972464,0.0238286766866567,0.0247257706320457,0.0217445033584972,0.0151521586536589,0.0202159232020712,0.0115779222782611,0.0256738568640016,0.0069248021545305,0.0237826065386294,0.0183399753479633,0.0152214957414654,0.0188542632423807,0.0258362188289798,0.0111407967193319,0.00778293186659256,0.0179037344739639,0.0148471765092175,0.0231420916918874,0.0169258970361708,0.0234543547675514,0.0197101338428286,0.0157124405611885,0.0246649086346491,0.0210897408167113,0.0307572139222142,0.0276754782186083,0.0270975682652265,0.0178705017228077,0.0280329474383152,0.0206534402868611,0.0232252671826714,0.0242561412272781,0.0193047148936835,0.0233692979020417,0.0275108379632391,0.027504229306287,0.021632617456266,0.0232322292053928,0.0214894278855244,0.0152461419674981,0.020398410347148,0.00134914339458724,0.0314433922294313,0.0212551791701672,0.0203533162416889,0.0131250500139355,0.00536239099744815,0.00411240892349163,0.0284654993792266,0.0266368152158433,0.0240806468849794,0.0301346794268546,0.022193927689527,0.0319984488216548,0.0200938848290589,0.0303084737670817,0.0207129310439024,0.0227547052849014,0.0277862451429661,0.0150873006069963,0.0174099584285776,0.0233815783383568,0.00396227430428006,0.0186909761889046,0.0201983481083569,0.0196647097457721,0.0161841188834887,0.0225299603750942,0.0196389073725341,0.0058069883059537,0.0293174380476097,0.0246169898062192,0.0158496595125499,0.0124810891925175,0.0229461692852559,0.0183888850281882,0.00660903538989114,0.0115485775760131,0.00592725965944304,0.0220120799063809
"hera_11",0.0139144708880275,0.0108017092803346,0,0.00688080571339328,0.0110021867916235,0.00906671617953018,0.0267285372508238,0.0227678292616937,0.0173039170683807,0.0311241826779506,0.013082246265768,0.0142366849445614,0.0133274741067379,0.020114247111098,0.0127528276405693,0.0212943347837925,0.0189320482946973,0.0186355128203125,0.0163004609303268,0.0141873363367467,0.0265390055351808,0.0352139051789505,0.038351032758594,0.0292868332718786,0.0136520418486098,0.0177147952223911,0.0147224031219499,0.0287307150487959,0.0200140880998607,0.0120479631207861,0.0236087248935232,0.0149827070457839,0.0271284482171657,0.0238210829987353,0.0172296258137693,0.0210509828385522,0.0142920074916534,0.0268978307075263,0.0125926192076517,0.0253718213009243,0.0155375781261127,0.016836378035919,0.017958051255004,0.0227205309984524,0.0148673970008545,0.00941170116629009,0.0166248639021211,0.0130433590673386,0.0246348671940183,0.0191130978002642,0.0250669945905616,0.0195521575475584,0.0154800298307574,0.0266830533929607,0.0203965386506102,0.034247740377814,0.0270885312450578,0.0272094761438273,0.0206477100566564,0.0282327808591812,0.0200005794158895,0.0215649259839841,0.0248551170186698,0.0197407825009439,0.025452359329514,0.0270782269436497,0.03047759583406,0.0194697968509876,0.0251157333135237,0.0234247555079154,0.0137579239153983,0.0204695503090565,0.0111473428101113,0.0336460000505689,0.0225372183332255,0.0214847176507623,0.013523565796438,0.0141762083649829,0.0131778954825424,0.0297332804364152,0.0287595639350733,0.026786896392903,0.0301042525938295,0.0235868559378728,0.0339110286028425,0.0201755071282934,0.032670990804263,0.0215554216346452,0.0246841604445186,0.0309629682179786,0.0100116821954401,0.0168059631958113,0.0259849490411687,0.0129727058869313,0.0147408803518428,0.0194995073886139,0.0192954344424775,0.0202004838066029,0.0245822553618002,0.018220508873064,0.0145442143278567,0.029168684764146,0.0233954760298134,0.0179154004959297,0.014509267700613,0.0238160989746782,0.0179085712329611,0.0144923461279362,0.0184040899557798,0.0140300609173457,0.0250381673394283
"jarjarbinks_11",0.0163134610008624,0.0120315578196588,0.00688080571339328,0,0.00677344591665963,0.0103628090940345,0.0228351345541622,0.024041491385581,0.0192885693287502,0.0308004143375563,0.010691951610417,0.0145540651462183,0.0143684162966309,0.0211189356414013,0.0142451914065546,0.0218477954783488,0.0185871046077398,0.0191691680457792,0.0171750261214131,0.014562542409876,0.0239163389514774,0.031482771792194,0.0344390589551171,0.0300451685629908,0.0148041999767323,0.0171398123802182,0.0109552688962238,0.0290093643102329,0.0205487729070357,0.0133675260484551,0.0226790691679957,0.01877365289339,0.0258491063482979,0.0243417626547947,0.0160104132031768,0.0209985643054602,0.0156012550704056,0.0276676295455456,0.0134730108369295,0.023441839562292,0.0166467155396387,0.0178191018804001,0.0175217255274991,0.0233905703109593,0.0158965943382516,0.0127248289818893,0.0171255580653755,0.0132905056977322,0.025457010995215,0.0196099242256851,0.0235278840445951,0.0178892347945481,0.0125790335732577,0.0275953290572821,0.0179785125465556,0.0308924573858132,0.0270009641626393,0.0277583978592185,0.0202967502879909,0.0289132522692165,0.0180923483665056,0.0228849246829003,0.0231061296690998,0.0196848816476471,0.0223407759973159,0.0264360395017909,0.0302893995660862,0.0202584226847474,0.0238265989865205,0.0223140263468825,0.0136019211366549,0.0191387267689339,0.0125174791403762,0.0340662687027068,0.0222379413126944,0.0222125311007185,0.0153936961082591,0.0144353856822951,0.0135695084554516,0.028952035550645,0.0287788545710417,0.0275026468843956,0.030515403683169,0.0223167647319287,0.0343236160117118,0.0203319489805611,0.0331348900579136,0.0212786460237969,0.0258688437547947,0.0291965005089985,0.0132876932599674,0.0170013118096757,0.0251773298828093,0.0137728633248953,0.0147653297373352,0.017603878151253,0.0194303974223454,0.0208931291926187,0.0253125732434078,0.0177330441292968,0.0142666194455392,0.026447329388105,0.0249028291269495,0.0188477994175154,0.015054568686124,0.0247096967577964,0.0187643839634898,0.0138968851661048,0.0158311977827981,0.0149024876472651,0.0234934266722871
"padme_11",0.0206811108988907,0.0146354080423305,0.0110021867916235,0.00677344591665963,0,0.0155701728891779,0.0228716621332193,0.0224473544970754,0.0183873321412129,0.0343136124795832,0.0141235733096896,0.0166897669748058,0.0163617512605071,0.0201454120045222,0.0146575995376352,0.0256759893442371,0.0187329691126047,0.0232492953838698,0.0211787045015225,0.0180714039391709,0.0266000321908203,0.0327375968248029,0.0356861472648501,0.0336651344012543,0.0180920393305602,0.0199519676889077,0.0123263857006601,0.0325327983752175,0.0247992802029645,0.0167766161275174,0.0263549966296402,0.0209452232557771,0.0288629571308328,0.0274428385743641,0.0193399498755651,0.0246956600227504,0.0200984927868879,0.0318784506263136,0.0173566335682195,0.0267513867959581,0.0187445638252298,0.0222297139608051,0.019873455410348,0.0223719199286465,0.0197398125763288,0.0162960819818764,0.0211775401762999,0.017848580460025,0.0296266596077445,0.0234357583631233,0.0267080027607846,0.0210104912208446,0.0142856903385947,0.0316886075002047,0.0195386238864476,0.032292733033441,0.031487671578354,0.0323241598337445,0.0239904681596224,0.0335566540662471,0.0202555287277009,0.0210395272837516,0.0263936065203572,0.0231007008459351,0.0237951947372615,0.0308447836101005,0.03372997185499,0.0247880380253186,0.0266797846828123,0.0248374098629601,0.0161623226526086,0.0215479437880012,0.0150319030310839,0.0381015681319343,0.0254286611651097,0.0256060947347602,0.0195354177483726,0.0158831049980169,0.0155779611622403,0.03303163070235,0.0325968135901117,0.0312925996142821,0.0352716917599893,0.0253663489473534,0.0384852716531403,0.0241185748499764,0.0370405914294332,0.0249694285066616,0.0295163045005617,0.0317365325656397,0.0175547422561879,0.0198403194929224,0.0290332608936298,0.0161879426367978,0.0172270109789866,0.0205258843787386,0.0233640999409005,0.0249631027164015,0.0293831726739175,0.0183725400773771,0.0155819347598432,0.0256384892596071,0.0295853698754595,0.0234062316608901,0.0183441231172233,0.028753787032173,0.0221535384813052,0.0149883617196655,0.0179733283770191,0.0164907162269796,0.0267611041213805
"hera_14",0.00727524012178762,0.0126616336767969,0.00906671617953018,0.0103628090940345,0.0155701728891779,0,0.023481085627087,0.0264109965667057,0.0210897890327052,0.0231014313792286,0.00869006634745196,0.0117336404305353,0.0165234104030251,0.0269464951772808,0.0188190398445066,0.0134029784434309,0.0179059760189861,0.0105514549054137,0.0114270758465772,0.00943465051235338,0.0197595559407432,0.0300444098818324,0.0332357366935889,0.0218048345927782,0.0090504904017497,0.0111437493075022,0.0127215092033764,0.0212224352031393,0.0114765381158857,0.0104661801573962,0.0152549404011485,0.0179804226800169,0.0191384124645343,0.0169529365560845,0.010750840660717,0.0131460525668494,0.0078714107818751,0.0186026431249126,0.00904919325015153,0.0176660296280233,0.0121934667995122,0.00903083386626768,0.0132391487236281,0.0242669876990963,0.00917037177635991,0.0129943527061499,0.00908066659495073,0.00514317708672494,0.0165055298159437,0.0116004536711692,0.0168349008503411,0.0125720350176262,0.0126230574295368,0.0188868907598573,0.0157040485633024,0.0285560924152653,0.0183898358043932,0.0184391491507634,0.0129437654017789,0.0195932772155691,0.015394676715621,0.0279371000452991,0.0169593499142708,0.0120731931992507,0.0202926597851937,0.0182436287386642,0.0225115465254292,0.0108189103950104,0.0176724137065878,0.0168214052452573,0.0107117499899585,0.0142934597180864,0.0133408809285662,0.0254178448312214,0.0149574469880879,0.0142767245186336,0.00711202261313747,0.0172008349790108,0.014907191023491,0.0208201503950207,0.0203903283175207,0.0192172907242154,0.0214816724058105,0.0160057900114569,0.0255989935713565,0.0119697426564026,0.0246079172161566,0.0134822760854849,0.0175659004632131,0.0233911946653746,0.00632287482732475,0.0109554008749682,0.0175339717028101,0.014483927135079,0.0121854112076874,0.013962451347628,0.0109401056537155,0.0133279353208225,0.016639898417,0.0165818776791534,0.0171423956914991,0.0278796980821714,0.0151170674752904,0.0101370607551693,0.00885607032801166,0.0158818227727859,0.0109874383324903,0.0174585738908223,0.0168047981878636,0.0175697175361874,0.017417567262928
"iris_14",0.0257088879278162,0.0263643973187811,0.0267285372508238,0.0228351345541622,0.0228716621332193,0.023481085627087,0,0.0268569618002428,0.0256500918145069,0.0283233558074869,0.0221247064628197,0.0182481358871474,0.0295017809312782,0.0361462470260145,0.0294528330124986,0.0239840373026415,0.0156929228842433,0.0232298691592908,0.0273424937564129,0.0225393036379833,0.0130698880862148,0.0119282177739753,0.0163099355947599,0.0322079970610471,0.0205650173398872,0.0178041549307504,0.0235495847810168,0.0304000918480276,0.0242125644969112,0.0257736755739159,0.0204164662917356,0.0300094783508444,0.0214578853988878,0.0257414272200278,0.0163242787877971,0.021806565465704,0.0256532801485409,0.0307836114294524,0.0244421296148905,0.0167972462517709,0.0194759497680815,0.0253182959183532,0.0151581165997398,0.0227422516278805,0.0243789290693139,0.0294356378666599,0.0209280557063262,0.0201057065871151,0.0292554441374724,0.0237211538221568,0.0227324993063443,0.0148297282881674,0.0140849103189786,0.0317301892062651,0.00914436724537649,0.0138634130007932,0.0305258183773141,0.0305254981953531,0.0216953743666634,0.0323520254456885,0.0108918704427417,0.0345017748984578,0.0164563371261537,0.0221926658753092,0.00796747924102499,0.0281236931468792,0.02900844173199,0.0260111277512491,0.0173400983703195,0.0162975512859851,0.0163541452448702,0.01347123562796,0.0270520833312154,0.0355385738354259,0.020201254904807,0.0245596372001171,0.0242128746912613,0.0278516606051909,0.0265617990196903,0.0265609214960793,0.0287675709070648,0.0305948607861621,0.0339528149528682,0.016979941616312,0.0361144241599859,0.0216750606434252,0.0346009051024302,0.0209183475355764,0.0297108120308683,0.0202757888249136,0.0254674122274718,0.018955289537047,0.0250429561007827,0.0275091830946191,0.0167771142245626,0.0121452271294783,0.0225597594421211,0.0276883988009934,0.0292734231587978,0.014930002853058,0.0264271333313947,0.00956719545307444,0.0308127859925816,0.0265211477991595,0.0202969414801807,0.0285916273389088,0.0231105209168943,0.0261539236309073,0.0194165892734161,0.0296956443170055,0.0197589762552783
"jarjarbinks_14",0.02729488924014,0.0270239104176783,0.0227678292616937,0.024041491385581,0.0224473544970754,0.0264109965667057,0.0268569618002428,0,0.0058991020124638,0.0407903218882801,0.0291914370349596,0.019947190626288,0.0297105664927091,0.0289388052017594,0.0248822566961278,0.0317917465160045,0.0144554597485345,0.0311380518243428,0.0333021622579778,0.0284299379601946,0.0323555079394048,0.0372295192490289,0.0412458384432735,0.0408017464623137,0.0222051241339497,0.0261591374771237,0.0292775508437606,0.0403490117011166,0.0326684758316502,0.0286268474237048,0.0337006127600933,0.0183752992197574,0.0364116132093951,0.0333622549962597,0.0273734291975642,0.0312225051990263,0.0309402879435242,0.0397554689897115,0.0289252894252689,0.0337858909214525,0.0184668112898238,0.0321261210748117,0.0222444925814053,0.00640009779265623,0.0297252116930103,0.0270862316010788,0.0274197905051758,0.0261734660157274,0.037877269225688,0.0316426334652651,0.0368731454935738,0.0276077302142102,0.0233456584543697,0.040178273670088,0.0242414431758908,0.0379118307665015,0.0417678692762469,0.0407127366706791,0.0324463024206803,0.0423234817115553,0.0226970238633905,0.0238141461965804,0.0331314345633137,0.0307383098712203,0.029739083009861,0.0410453877271963,0.0409488216718043,0.0331258603780102,0.0322655724998189,0.0293064303896348,0.0194350461158371,0.0257634580622858,0.0274073389829805,0.0464738881833792,0.0307938360213131,0.0315538495962291,0.0274279207382435,0.0287311596291796,0.0281722001414406,0.0413615478773973,0.0402794239163775,0.0392127271002929,0.0447814404365793,0.0315009628436407,0.0471375462705363,0.0307230823522205,0.0450656302568355,0.0315567015987223,0.03617852981099,0.0382006564034119,0.0240785122289847,0.0246210042149626,0.0386913909675326,0.0290930606644812,0.017939966430547,0.0255464794104019,0.0311147966712825,0.0355141096489719,0.0380212772120796,0.0163596914400446,0.0282950579574991,0.0221189524082501,0.0373568975537314,0.0338464358818486,0.0257782171674246,0.0361360254260035,0.028414389046916,0.0280449270688379,0.0298922456477164,0.0295326787377745,0.0345637974243996
"jarjarbinks_15",0.0220547985231168,0.0219366419744449,0.0173039170683807,0.0192885693287502,0.0183873321412129,0.0210897890327052,0.0256500918145069,0.0058991020124638,0,0.0367339515221456,0.0241764925965857,0.0156292535123525,0.0248899721608671,0.0258371805170034,0.0206372619927729,0.0272461642136512,0.0120643917463647,0.0263414051583124,0.0279960448343021,0.0234056843841211,0.029511657072121,0.0359415040623098,0.039886479777417,0.036159819085045,0.0174121688657734,0.0219111375505035,0.0247377415307167,0.0357688785964311,0.0279080740421816,0.0233512157979588,0.0296167189734828,0.0147385609485146,0.0325278103829545,0.0289157427100089,0.023179546754129,0.0268229541070374,0.025611481351722,0.0349839482334799,0.0237117779121429,0.0302812633626958,0.0142387598008202,0.0269520213782691,0.0186903979404303,0.00760231523993,0.0245246775984511,0.021887691852483,0.022813565163966,0.0213883387328862,0.0330073035971044,0.0268106612233454,0.0325747180427237,0.023862964387452,0.0196684776922821,0.0352491492696484,0.021477841638576,0.0360293509460268,0.0370474885719876,0.03602441213997,0.0279123864730104,0.0375359101981465,0.0199717314129236,0.0217188472718118,0.0296824337491048,0.0261477309787364,0.0273528714840505,0.0365582578990374,0.0366839282840934,0.0282857769836868,0.0287664179560851,0.0258917479731197,0.0152721832790316,0.0223934624921741,0.0223659684247682,0.0418139413525638,0.0267665240160441,0.0269830037467287,0.0221625376731957,0.0241977075360759,0.0234062552196305,0.0372307312550758,0.035841175665561,0.0344308527847179,0.04000807589337,0.0278532936050768,0.0424379024576324,0.0262748526493417,0.0404291785152564,0.0272983700861658,0.0313966599248286,0.0349270863099347,0.0186474773602998,0.0202560347003305,0.0342343258519772,0.0241738434742432,0.014212424526433,0.0223311649033623,0.0264674435395767,0.0303631093089705,0.0331172648679749,0.0135968363600878,0.0239206467311484,0.0227829777316063,0.0324051262091494,0.0286497264340205,0.0210210491066117,0.0313266725501311,0.023660445305956,0.0237818117379681,0.0261318916367262,0.0248630614862202,0.030680314018236
"buddy_16",0.0199186150101501,0.0279694409898176,0.0311241826779506,0.0308004143375563,0.0343136124795832,0.0231014313792286,0.0283233558074869,0.0407903218882801,0.0367339515221456,0,0.0214448429151599,0.0237416441360747,0.0319358483923905,0.0457060614361229,0.0363758194449846,0.0109439797943774,0.0275543088410991,0.0128918796224932,0.0190303501308506,0.0189298191859693,0.0162737207655271,0.0275880856642457,0.0288233661844783,0.00839180267561922,0.0207020147107839,0.0164708217568693,0.0276930500890544,0.00623288749037012,0.0124645093665276,0.0235371644647669,0.0105138971456884,0.0368572162317067,0.00819750903625411,0.0102404320291303,0.0169904215482515,0.0113705348277096,0.0183789471475197,0.00921127830508692,0.0214972915240633,0.0129517562843076,0.0231118634379392,0.0154022271040086,0.0205249968116891,0.0357597662118932,0.0176108048498896,0.0308251119874495,0.0165697791783137,0.0200189556523487,0.00985294708278653,0.0124592595551518,0.0105393333961605,0.0167214797667539,0.0240829760751768,0.00983778887763899,0.0226453570402415,0.0233072868687815,0.0157555194565608,0.0123362042242002,0.0113137462165869,0.01319385315846,0.0221428801521749,0.045705841035594,0.0149425991731283,0.0128824521828281,0.0217999338721131,0.0155722321866445,0.00396189581781156,0.0166172781953328,0.0119072446379317,0.0136772661703348,0.0232244916662434,0.017793854090078,0.028826716927429,0.00994917997062136,0.0111707444135639,0.0115464679753703,0.0182455884258576,0.0319331554184309,0.0293138780401277,0.0102798043423325,0.00565046890602799,0.00809042540416508,0.0154074867338878,0.0127895863354038,0.0109886418290515,0.0127626162346549,0.0087202365234245,0.0113316414630027,0.0101004388705127,0.0110404256551609,0.0239688423653742,0.0176614289049052,0.00862064832206437,0.0291015448443115,0.0256752374220422,0.0206830141032597,0.0135247992906193,0.0137355180576752,0.00962775703593427,0.0260541490580522,0.0314536471506513,0.0343120807635232,0.0153583581741885,0.0152477255321236,0.0184448084572434,0.0101493776363726,0.0153310187497394,0.0322905552773879,0.0262518486162991,0.0329695648576809,0.00953192233820759
