"","wolverine_1","hamlet_11","joans_11","ginger_14","kubo_14","wolverine_14","kubo_15","ivy_17","kubo_17","wolverine_17","ginger_18","hamlet_18","ivy_18","kubo_18","wolverine_18","ivy_19","ophelia_19","wolverine_19","ginger_2","ginger_20","hamlet_20","korra_20","ophelia_20","hamlet_21","joans_21","korra_21","kubo_21","hamlet_22","henry_22","joans_22","korra_22","kubo_22","marshmallow_22","hamlet_23","korra_23","ginger_24","henry_24","ivy_24","kubo_24","marshmallow_24","ophelia_24","wolverine_24","henry_25","kubo_25","ginger_29","henry_29","joans_29","korra_29","kubo_30","hamlet_31","ginger_36","henry_36","joans_36","kubo_37","ophelia_37","wolverine_37","ginger_41","hamlet_41","joans_41","marshmallow_41","ginger_42","henry_42","ivy_42","ophelia_43","ginger_44","ivy_44","joans_44","marshmallow_44","hamlet_45","henry_45","ivy_45","joans_45","korra_45","marshmallow_45","ophelia_45","charles_46","hamlet_46","ivy_46","joans_46","marshmallow_46","ginger_47","ivy_47","marshmallow_47","charles_48","hamlet_48","henry_48","ivy_48","joans_48","korra_48","kubo_48","marshmallow_48","ophelia_48","wolverine_48","charles_49","ginger_49","henry_49","ivy_49","joans_49","kubo_49","marshmallow_49","ophelia_49","wolverine_49","charles_50","ginger_50","ivy_50","joans_50","korra_50","kubo_50","ophelia_50","wolverine_50","charles_51","joans_51","charles_52","ginger_52","kubo_52","marshmallow_52","kubo_53","marshmallow_53","charles_55","ginger_55","ivy_55","ophelia_55","joans_56","joans_57","ophelia_57","wolverine_57","ginger_58","wolverine_58","hamlet_59","henry_59","ophelia_59","korra_6","joans_60","marshmallow_60","wolverine_60","joans_62","henry_66","hamlet_67","ivy_67","ginger_7","charles_9","henry_9","ivy_9","korra_9","ophelia_9"
"wolverine_1",0,16.1513050825835,20.1283712109793,16.1138883648362,18.8874492220728,16.2421764685197,16.1145329516133,18.673726575537,17.3300532365533,11.3532466564931,17.5301302455781,13.6509276430221,15.1929206342267,14.9709518797967,9.96177683734222,14.7398741028524,15.1431758730548,15.2992056826788,22.0127999887417,16.9150777988612,16.6722950781976,20.9562028104279,18.0470048259293,15.9781109248833,21.9440536390946,19.6956907067469,17.0523490931874,19.1862105640132,18.5277916738555,17.4281981509108,19.599731133213,17.3629732285043,18.6238741256623,16.7029934425413,20.1415373121925,15.8320429966075,18.9229349595009,17.7373709634968,19.6857449454314,18.6642709976778,15.8056829374749,11.1547137364666,20.0500872901068,17.06719449448,16.0469641327242,18.2825219683781,16.8888602357004,20.2398231098414,18.1479187388051,17.1638120759206,17.4911529932969,17.3811558929214,20.4841020607269,14.1542298145566,19.937439281615,10.6853110251846,19.1442503134861,20.1857508022022,24.758245741844,23.5924235464196,20.1036680343232,16.4775408264336,13.6005951388359,17.9359142270662,16.7857873570756,22.0432684988259,21.4182002954212,19.3438786417884,16.7440677975382,16.8982610020579,15.6017008244883,20.6995056848028,20.6731634467702,17.8397450885765,18.3163796283646,18.5374601474024,16.9343595550172,14.5702158096978,19.4391418728736,19.0719311800062,19.8263336201704,12.02919912579,20.3949764908433,18.8042302597311,15.9886975799465,16.8657205766386,13.6759798417698,20.3003600391378,19.8066326555276,13.8610479911339,21.1465713830317,17.9443900226552,14.7256971443604,20.6069362232306,17.7239044244324,16.9736718445513,12.1610582939752,21.1700457697904,12.2235369344333,19.4891432450956,19.4861503228487,15.4239700718582,18.7924891441569,16.1726016495023,18.2131509292223,20.0066638457539,18.8455925127151,14.8336370044046,22.5910117003914,15.0757921186627,18.4726353716591,22.314803709934,17.3421089556946,16.4105285341819,19.5553411585007,21.2614061426973,13.5217241599662,18.7599428222958,15.0969154651313,19.055573053642,13.018130162011,20.3132051923327,19.4299581534785,20.4616652020426,17.5549064650457,14.4264408401312,17.5629543377607,13.2397386726984,17.1033191017281,19.768035934081,22.9279900329766,20.5547400114757,20.3007778156466,23.1105767107614,16.5185224371743,21.381308424774,17.311893797742,19.042446445305,15.8221663245634,23.8808900604903,21.2262606195217,22.998360890052,20.3648763379185,17.7954068636917,14.4988908034174
"hamlet_11",16.1513050825835,0,19.2245338429247,17.5410108041369,16.1987379922599,18.6967188121001,15.1073928686094,19.2146259126393,17.8008168568932,15.8474282987615,18.5759944027724,12.7987069437415,18.8823681450047,17.4781523065394,15.901734157981,18.8466924661919,14.845571111569,19.5023452678739,19.1130040177477,16.3364638234618,14.2529723267881,20.4405549880842,16.2885462885148,13.8075761860046,21.3669764167654,19.7198776141062,18.3577197166309,16.2096312272536,17.8919122708319,12.2895401932616,19.6949904229418,18.0589511778106,19.291868393478,10.4120096821935,19.8487033656018,17.8051971484332,18.6337911203513,20.8091264527446,19.3795881270074,17.8591513398431,16.2072698226639,16.3345973549747,18.5877445558278,17.3601827989579,18.3712157504526,17.2404322829715,16.4012571499552,19.4720898266252,17.9755824718028,14.7695709096778,18.8448583176392,15.9124573261939,20.7456898895846,14.1658655121366,16.625604763656,17.1236335337255,18.1022640128595,15.8605220604226,24.0639533271807,23.1134905679079,18.7329152143782,19.8289955021797,16.9770858208921,15.324273005501,19.7988390131054,23.1468074981464,21.2233805296092,19.8079264572323,12.8772979343773,19.3770231306536,18.2018517613772,20.5957325446394,19.6987769912649,17.5681947062845,16.2908436999296,19.0817852593205,14.4419454465407,18.0073236830938,20.0674547277433,19.5288126561908,20.9982689765095,16.3443559309894,19.817761267271,19.7208975086821,12.696133026629,19.4098497465348,16.6202894360094,20.1637803678726,19.2984053363692,15.831974996111,20.5469881671831,16.5365785583319,18.833615237203,19.8803654062648,20.0147360613795,18.6986027301407,14.8437303967305,21.5981303604137,15.6287676671619,19.3050466068867,17.0271866605103,19.2028889541779,20.5304039895677,19.0519100685937,20.2471638756434,20.257641071547,18.4971652943944,17.8075172028733,19.4128309496888,18.1792072524123,20.054031676288,22.2477123502069,18.3150595902166,19.2487679495916,18.9514582361881,20.997463740237,16.6690273989244,17.6366348226083,17.8255596236764,22.0862586856786,17.944961299364,17.2728994713949,19.5385371820569,19.8199549349476,16.2255601945781,17.0275863708835,19.5669915601249,16.8724321354132,11.6518514701386,20.0868953744928,21.2549277465859,20.060099345751,19.4351633067754,22.0722760549529,19.8316220197269,21.5418087712471,18.2735749426234,15.8030136601177,18.6416591169227,23.4902017143824,19.0550285064904,20.5867262551236,19.8564553230047,18.6164534951936,13.2765118081711
"joans_11",20.1283712109793,19.2245338429247,0,15.8683893581865,16.0223179774681,22.2843287997404,16.5785698957591,12.5513535847373,14.8908618120925,17.8960853666439,17.0167487206088,18.1928692593746,25.0778024276508,15.1618278803912,18.2215703056388,23.6122833896221,18.8433242173761,20.611383452309,12.8663298846418,16.0729547839002,18.6674303648401,16.2495257696766,19.9337318115508,18.1084884409535,16.982476711559,14.4170547322702,15.5978134196692,17.7297941104009,14.2861866587519,18.1571704546385,14.9842143235215,13.4688707741306,12.5662052740778,18.5257030891764,14.2358126784382,15.5878806476265,13.8523048462653,25.6970756144597,15.3750349758354,17.3888285997408,21.8853235795016,17.7495185461067,15.1252312470479,15.016058047723,15.263779035214,15.0993005236421,12.2107352235276,14.5143997019906,13.0943217955151,19.3338498396344,15.0250362180835,15.9835380224757,12.1033132085025,16.8271418771083,19.1538290316531,19.0241869727495,14.1718131086998,21.6595592913988,15.7927548737113,22.327779739117,14.8102506726326,18.4194458450507,22.8927055371716,20.9218976042498,16.9889403366078,16.5499536427447,13.2946254850777,11.7875374956916,20.5918152997179,16.3368102877016,20.4451404021191,12.6271082316608,13.4176972934971,14.1819851737893,21.4156736329381,12.318411827114,18.7038000045922,19.2050482840147,12.2101917258645,11.658900118818,14.8368610266896,19.6727018898571,10.7200563805038,22.8755108048739,19.315697549634,16.0271559090211,21.018348209002,12.9181531581386,12.9356107683286,19.5174948140225,11.8035341078212,22.9626664316973,18.6716864603279,22.2578125894704,16.3776253458326,14.3827901978005,17.7905974921681,13.5983427852504,17.7435229248871,10.3173230625302,21.7097434762804,19.166376258765,18.8934326225217,15.3293410392839,14.8282039018754,12.920557056877,12.3927962072225,18.8403022396841,21.3566001514723,16.8924554396814,19.881834536959,15.3958306185368,19.3837271643399,15.3651218229938,14.7240083279557,14.3703767091046,19.3018185073004,15.4609700924899,17.8194868895346,19.6925736689724,20.967376297403,21.5058310259285,12.5192775301994,11.9738139869278,21.3061474179399,18.4350243731995,16.7761023344631,17.6614264699198,19.2938878085391,16.7411222905914,22.6169364331357,21.1012064832639,12.1588865663655,13.0631422860453,19.738033668009,12.3896458767266,19.4497088952888,22.839132847572,19.6926379122868,16.0348082750729,18.3096490775894,20.2945355910171,16.6660348768323,16.167303015167,20.1270408430262
"ginger_14",16.1138883648362,17.5410108041369,15.8683893581865,0,18.9070266134786,18.4989779648319,18.1205561563119,15.4983672973302,16.4040324377744,13.2192783889914,13.5462075674697,15.7622872170574,20.9451878065641,15.3435690066415,14.764407706526,19.1090754933748,16.3524840721582,18.8142160692273,18.9631171878037,12.1380284121284,17.8600658975421,15.5387515122836,19.0764922433147,16.7159408392991,18.6174833198859,16.214343977699,17.3572285971366,18.2936447507745,14.3569656458179,17.6870801811652,16.6753502877561,16.9953881264389,14.7414532687577,17.5536451767072,15.8863489890789,9.21248348787097,13.9591653400408,20.12406143898,14.5824342775029,15.9546966644728,18.7296607309696,14.4393168151067,16.339777933164,18.0119314384713,9.74389951066979,15.4146582276453,14.5138852370932,16.7147351714197,16.9327281302554,16.3901392380351,11.7941427463166,12.5230181847167,15.4580411822032,14.1054728327033,19.9348949384076,16.4840188616226,14.2080670956667,19.8684516317816,18.2220988642485,22.0560374625379,16.0184906387194,11.2354862095467,18.5414242321961,19.3311309316703,11.055756580455,16.7868911427222,16.5352443108016,14.714973436858,18.322728998022,11.2003371343782,15.3706963752884,16.9015416402157,16.9674303516359,15.5599819331489,18.3591174399209,14.3696027244521,16.6136118346667,13.1253610802921,15.2737998098903,15.6806964416809,13.9039754818301,14.4388481069702,17.3826717751965,21.3849667444744,16.9123873169826,13.4131639736753,15.3349489695326,16.2271887294411,16.183782292086,14.2049054449207,15.8895633222072,19.8984948424667,17.8134285218523,21.2794202881877,10.912112719356,11.588416898935,13.9756500447286,17.1275339631191,13.6128474742477,15.6607126091934,20.2819333558111,16.8302930914363,17.2694461361788,10.3052591284286,13.6816961492271,16.3028710084161,14.2292143071623,14.4057621788664,22.6007889064552,15.316934747638,18.5279504073593,18.4892946986523,18.3571974560446,11.2409171258184,17.5100296518707,18.7841735793327,15.3499906634245,17.1975568466178,17.2258372911547,12.2598766287063,16.6515948291682,20.4770861980477,15.175992386374,17.3273244314436,20.2184895373318,17.6063213408681,10.2033898543925,16.2308562200818,18.9249551586425,13.6269591515903,22.963564765236,21.1048515209584,15.8081252903879,18.7613664489207,17.322763873924,15.3535913473625,16.7310612615662,20.9203610461413,17.1500186332939,17.8319691536569,20.6650826719739,20.0120720633109,18.1594752506974,16.1276043285476,16.2498119333194
"kubo_14",18.8874492220728,16.1987379922599,16.0223179774681,18.9070266134786,0,22.6823122736826,9.41223322316831,17.6957803882835,13.9056386568407,18.2614363072029,20.5282378834206,17.399424332303,21.6718030319627,15.946505072398,18.7237273705827,21.8564999036634,18.1578150384463,22.1332357895944,14.3173218458904,17.8741730370783,14.7723821611239,14.8548408302554,14.9032962851718,15.6734480818624,21.1571588921606,14.9756860810031,13.0016839919187,13.9428681568334,15.1599256957986,14.2219160206977,13.6686924766069,12.6227800032848,18.8970366561453,15.5795223064266,14.0612534506691,19.1006504598949,16.5630877280891,23.4921371672981,14.9919061686773,19.3347342917162,19.3655461192988,18.621864504355,15.319158203442,15.3959028206627,19.3003159603205,16.3062688013819,17.6447582479665,12.9978976377294,14.1935873599818,17.7513692735218,17.8026413272881,15.7559137981941,20.0032860042668,15.0010525090136,12.2434452425828,19.7240564220178,14.9410423457647,18.1005866971452,20.0884471859925,23.6840559658959,15.5977446967688,21.1837179935089,19.8046742743871,16.758608174524,20.9345093355909,21.6749037430738,20.7974144215675,17.3159508840483,18.9097394763137,20.3418217792917,19.344614403853,20.1923967822614,17.1336846460836,18.6172406813398,17.6700496467723,18.6868589934095,17.9944036604175,20.4067409623943,19.6398583758974,18.318334122542,18.0241898210233,18.8628134266101,14.7879790130505,21.2483616475353,17.7859379694901,19.4839542791828,19.6218834935195,17.6791764103775,16.9348666114441,18.0942769908735,16.0753422464645,18.5831862640862,17.6585324095769,21.4822912081756,20.7028530360164,17.7457878642551,16.2517987036243,21.0778669428596,18.0249862731416,16.3624448869357,16.5318321271887,17.9327581098525,20.6605660764676,19.656813111169,20.7468737498028,20.1956948542555,16.7357613320322,18.9125794217712,15.6239270049104,15.1408143148974,20.9299002518778,21.7763392305147,19.7013128463428,19.7701160416217,14.7386618590574,17.5607362003849,18.8560104710387,18.2922011676288,19.3157172730055,23.1761400344943,20.4477047768123,16.944513591845,19.9290982135735,15.2933553378195,17.9093180530917,15.2464148457013,20.6552645850879,16.2898068231204,14.7146430782739,19.962944683184,19.2336038241053,18.459889086763,17.1857097724186,15.7251297917557,19.6269060231156,19.8379409345321,20.5031105431338,19.2347819539324,15.6904167568321,18.4236007777157,16.2293131096161,18.3428337453658,16.6450717539682,17.7495869670836,17.8261189142701
"wolverine_14",16.2421764685197,18.6967188121001,22.2843287997404,18.4989779648319,22.6823122736826,0,19.7175688381174,19.6545509854387,20.1483406910288,16.6851231703108,22.9231225863768,18.5611917512717,21.1101470935827,19.8328695818464,15.1150199100752,19.9056681757852,19.9551824808029,12.0609433027521,25.9801142239097,20.9751558890592,20.6015403693111,23.5488543135762,21.8405617061785,19.9617760848453,22.9231129640242,23.199021496189,21.2779298935886,22.6933286903055,22.8197718436797,21.1144095946947,23.2455331650462,21.5753162939676,22.0597631033841,21.0435061374091,23.2181637676858,20.022148114702,22.7900592324253,19.0536491886156,21.7158094234472,20.4228796749566,19.0918929532224,15.4459484078955,24.4896730061158,21.7696482257424,20.1239314368852,22.9590808743932,19.1493915785773,23.9198452369234,21.5092827153485,20.0712380485852,21.6058228037226,20.2819849981134,21.9292502646225,17.4849218525365,22.6613874136683,14.5716569994859,22.9781740819716,21.1551355291944,25.133762971495,27.7591222461832,24.3715634573167,20.4611362166149,18.8604067410552,20.3528564682107,20.61682110495,20.9152656881964,22.4618004477871,22.3423523764317,21.2335109485271,20.4219340016948,19.6500568451945,22.6494446235008,23.711451755445,21.2850669320084,19.9826649855789,19.9838973599964,21.0424463431817,17.8654223972425,21.5377664499328,22.971783963074,22.9124913236027,18.4107821028981,23.6321584850812,20.5784806728541,18.897141942399,21.0956269097437,18.6705389282287,22.8638858301214,22.9561129382863,16.8094120364569,23.1660340258736,20.8769128974578,17.2521424720403,22.878848428062,20.3100794307159,20.8035087217259,17.9017709511368,22.7270974647337,17.4060714370601,22.6792875087958,22.0088100617362,17.3637216446615,21.1894683008825,19.9707103096027,19.1315576893594,22.2738392757584,22.6133402970389,18.4237856478322,25.2924679577707,18.8605284078224,21.2813766052583,23.4463511031315,20.2248291682392,20.5475477579692,22.7439951434098,24.8497571827219,17.2352589822453,22.2654746604922,20.6934020757182,21.6637128473508,18.8721189527625,22.4129539870114,21.7588550105319,23.2582773088542,22.0517107574988,17.9845978875242,20.3162159979047,17.3637263257945,20.414674160299,23.4454923579968,25.9884523905122,22.2714888890731,21.8344616810673,25.3042859827249,19.2632371648661,22.9104921424878,23.3824175838065,24.2018283868271,20.0870466536277,26.3467519879323,24.012684198532,26.9524621423528,22.304484189668,21.6189961288816,17.7323358321506
"kubo_15",16.1145329516133,15.1073928686094,16.5785698957591,18.1205561563119,9.41223322316831,19.7175688381174,0,16.7645558103285,10.5613367340623,16.3328447947573,20.2159607068416,15.3664204227254,21.1049174068438,14.0662670673471,15.7688277674256,20.2528651948319,16.020711844978,20.0602788995507,17.3610255845408,17.7018911750462,14.7565189948043,16.2738240244648,14.9694056013414,14.7576791739272,21.9619072273219,14.9457149846646,11.1188196007784,15.9945423195603,16.2404306215691,14.2772116368964,14.7106284305183,11.9336516363189,18.2551989671351,14.9571371235136,15.3991294500744,18.7184805879149,17.2468407458927,21.2593393700102,14.6127065354086,19.214977622352,16.7129422336602,16.3850340414116,17.0678689622848,15.2522665482735,18.7269700225219,16.7198635872952,16.5113316237293,15.1720432740007,14.0950961956714,16.7214660252975,17.8651671672446,16.1491695528209,19.8981427947176,13.7961479276053,14.5370264145592,17.0690106165724,16.3748008873915,16.5751678269774,20.1930520607664,24.3964566043659,17.2304049237393,20.2701589139936,18.6031000916051,14.3123146530217,20.0455203271252,20.3517338437551,21.1776614602006,17.4490037512922,17.7664481634339,19.7912487853798,18.2676225119561,20.3269687671974,17.1603108320096,17.9911051404716,15.8286732828879,17.8893340279082,16.9156800217659,18.2707202235197,19.4275042425765,17.839277959781,19.0539969818404,17.369588336887,16.1696341273151,20.2780490489131,15.9439087665654,18.3578729686025,18.4703856745451,18.0921768950041,15.9403481747629,16.1732059893103,16.9996682486292,17.4011675650254,17.2598606868433,21.5863464388008,19.963603180813,17.6244293214306,15.0499388932608,21.3469201569127,15.4475493710649,16.2393759757133,16.4092775988252,18.2412309028807,19.8479976444482,18.7670817694542,19.8693855604137,20.2838173886914,16.6865062699578,17.3447991133039,17.7438455428087,16.0325097583141,20.0558283680495,22.4053395825172,18.1917129361257,19.0963068992182,15.23632169763,17.8823648785498,15.9482193948165,18.9796926850027,17.4271498159835,22.0118654601988,18.3970025942241,16.6292266903883,19.5893100944675,16.7011689815889,16.2503520791595,15.0750569729896,20.1329885742987,15.3153459885944,13.0362833751239,20.6283372755674,20.0666127879888,16.9210952234265,17.6713785727478,17.8835559960601,19.5678761979329,20.5493859107704,19.9928116823143,20.1814783551917,14.8611556371452,20.6250619590321,17.4844316912494,20.9417774127738,17.5601697951865,15.5341876921497,14.6834474413015
"ivy_17",18.673726575537,19.2146259126393,12.5513535847373,15.4983672973302,17.6957803882835,19.6545509854387,16.7645558103285,0,14.7608704134318,15.7433757882372,18.2436750429305,17.3364404913841,24.0970682047064,15.3195391275068,15.698190616698,23.0564148242456,17.4950573386356,17.2701881900566,16.9802941453128,17.08296529005,17.6277201099212,14.9921398478702,18.6541180006485,17.4604057795661,18.6992941259466,13.2950820322218,15.6084199186878,17.7361086296546,14.9101534239878,17.8223287487274,14.018635688982,14.7967398885666,15.5273040961389,18.3942459746657,13.7960435390483,14.299553018656,15.1814749942238,24.4977479582662,13.392134760262,18.2005228447806,20.0573043883925,14.7353068940124,16.1315590641867,17.5587722273222,13.9374724835748,15.8553114875587,14.4415855113945,14.6441820202982,16.2362058558083,18.5150224825754,13.6111857617906,16.7397892073412,15.5770505626782,15.7042993609129,18.8467294467215,16.4880809276473,15.3825418632645,21.0067251204463,17.9842592470621,22.0848959245872,15.7107270082175,16.6190400489114,20.9754209010952,19.6884943666484,15.0790429812503,12.890051247564,15.374050896667,14.3261715349426,19.7587781868323,14.7342483368632,17.6791787544365,14.8946220759643,13.9462594178249,16.0425978035514,20.4460851403952,14.4183689929106,17.9351210443358,17.8945407310682,14.3955439059331,15.1538036068986,14.1160952857149,17.9720511108969,14.1856365942816,23.5356446491088,18.2999927890289,16.3141908774012,19.0114272402673,16.4378864912693,13.1569396179404,17.1190434774483,14.5572416711058,21.8652799551487,15.4376303908233,22.8972910967657,15.2058221023738,14.7985745193278,15.4471628706509,15.344682682964,15.3050287878595,13.7492005606791,20.628793580118,16.3030448226171,19.376423210805,13.931551655895,12.301234675321,14.776832049245,13.3219953400242,16.0274461348051,21.1228739127364,15.1137798611476,20.598462332825,16.9271784416149,20.2060485016082,13.6832498266052,13.8032190637013,15.6491576245284,16.643979899825,17.2754575295516,17.7040952433632,17.3925561730203,18.2721415176087,20.7975309754364,14.8422020619314,14.353861762483,20.0594047520837,15.850115319829,15.1676676333253,15.5428839235139,18.3916796261989,17.781193120106,22.3975817056089,22.3641355349897,13.3182556151413,15.7993542743893,17.7150962273366,13.9829045603995,19.3869020304097,22.1440306022962,17.4577064516179,16.3742312982216,19.8266775989653,20.4838692665486,16.0614158777107,14.4962514279826,18.9626199265902
"kubo_17",17.3300532365533,17.8008168568932,14.8908618120925,16.4040324377744,13.9056386568407,20.1483406910288,10.5613367340623,14.7608704134318,0,14.3692795255864,19.0450273017538,14.7378318116104,24.1183587998749,10.1232179987949,14.5944761313544,22.3339991655802,14.0818594336971,20.6002197789592,17.3264444935802,17.1079174111755,15.1906038425527,13.3011119387334,15.0240850360077,14.2112699457506,21.7915349599335,11.8676338230406,8.58758857031813,16.0121556431965,15.4029545494033,15.6587296039976,12.1358681320813,9.08837446643123,15.1580278369279,16.6326618020498,12.3300565954893,16.9496708032322,15.7342269470982,22.5984317324334,10.9809535364313,18.4161690911379,16.0493241207974,14.9975360081459,16.3016684221426,13.6964825377963,16.4614932704131,15.9659338388633,16.1370015863454,14.1975248677593,12.1609826442442,15.3294662724784,16.1961274800821,15.8030654013346,17.1215259785223,16.3695147114494,16.5122098362059,17.8289065927171,16.3576222660237,16.5396739480848,18.0251743427158,22.687037293723,16.302630479328,18.4530462457433,21.1203475869672,16.4792654610485,17.1375778526182,16.4682758840597,18.0925480367321,13.8107655514157,17.3737010004311,16.9723423207844,17.0508640167442,17.5111209116457,12.9385626729031,15.5799774441535,16.4109347977092,14.8174294974099,14.9585606345866,16.870355126346,16.121671013659,14.9632692799728,16.6710168765191,17.9795325653897,13.7667075736179,22.1152496459391,15.1037296000881,15.5683384271397,18.7233002680154,16.4226839617908,12.4041857889737,17.074530128529,13.944524617716,18.1547903938586,17.4134501762578,22.8274816280259,17.1443506418736,14.8863744602124,15.9241471500975,18.4182030519292,15.1681841034021,12.9836198743165,16.3369089887402,17.8436889711063,19.1520143420238,16.0647425769081,16.5936454394277,17.1816426967672,13.4409816097985,15.7485444406865,19.5939179840494,16.2760320126023,19.9699957302779,19.523550208166,19.1039378657687,16.2503801682743,13.346268921314,15.5652226217145,16.246027403712,17.9522950803223,17.0461973087583,18.4187903762158,17.3320229808812,17.6772642713118,17.012550391744,14.9677767184442,16.6009129928266,17.1730520097554,17.128764790749,15.8919428112058,14.5382646843818,18.6388925368189,19.830569684119,17.4161983405657,15.6696963154848,16.0060805077223,19.7693374338503,18.2711347272426,19.6201318913679,21.0126314525396,16.4599109457106,18.8602192761286,19.9095122770972,23.4802983747684,17.259004455622,11.0486181276068,15.1938178609155
"wolverine_17",11.3532466564931,15.8474282987615,17.8960853666439,13.2192783889914,18.2614363072029,16.6851231703108,16.3328447947573,15.7433757882372,14.3692795255864,0,16.7483351452766,12.3974931221267,19.0133836250094,12.8803414963228,6.84609315011001,17.7113969782253,12.7722403282427,15.606262820073,20.2976982269622,15.5337040454916,14.8089762366635,17.2189786312349,16.0820655179425,13.9117382203038,20.4398981180221,15.7764657527957,14.749371943755,17.0214501442988,16.6781620415036,16.1418286856538,15.9866074551517,14.9644456145892,15.256135207053,15.8360371369518,16.0985383292437,12.3113290979377,17.0111012154089,20.4142886000107,15.5610981820035,16.631159629486,14.6263554022481,6.95022261157916,18.2271391872987,14.8602649476249,11.8719648164777,17.0176836717729,15.3196540452106,16.5248304672037,16.3728221709412,14.8567751904137,15.4628414988039,16.0331463849778,17.2893430879702,14.9503790302567,18.6236894917085,12.115973455536,17.6207259819925,19.3925256535716,22.9206699403074,20.9895410898069,18.0531370127364,14.8014173486921,15.8615238766484,17.3208783794222,12.4350584382908,18.8701110175834,17.7052372163401,15.4263541830482,15.4874400347974,12.0770514149741,13.5299326863841,16.9943109556255,17.0846814800961,15.1833819123991,17.1283546891845,15.7606073659937,14.2985782936971,13.637787857787,15.6148333801786,15.7798442643621,15.4203276996123,12.7756510765748,17.6851331108242,20.455322849123,14.2699601785808,14.3331174226663,13.5931069448487,18.7285883322373,16.4575992331307,14.0401531407541,17.5471540987309,17.65642918104,14.2092873457371,20.4492055755372,13.1133699445973,12.783669494029,12.5236608561541,17.3492899354922,11.7262913813197,15.9213192369474,17.6249165688494,14.5024140930283,18.2489751971354,11.5169428870396,13.6908974918249,16.4393294842969,14.961353295737,13.7383798812721,20.8247533616037,13.3138509388189,19.3822169452964,18.3812599922649,18.3188357885851,11.7423745883447,17.0484650296768,18.5858904284501,14.3155124170655,15.8936812297489,15.804519157316,15.0269125484542,12.3481478495835,19.5792941907257,15.8004300900398,17.2967326551214,16.817560277813,14.4090096832821,13.0423600285069,12.2497546280552,16.4454454424663,16.5745502360898,20.9577088423883,20.8622511604287,17.0910198328684,19.8578134013075,15.8575727848671,18.357096529041,18.0580526858304,18.3299495295379,17.5926751095142,20.6136102825829,21.2328365593265,23.5155117250981,18.6264602015392,14.5371564925797,13.2636172364861
