"","jarjarbinks_15","kubo_15","iris_17","kubo_17","lambchop_17","wolverine_17","hamlet_18","hera_18","iris_18","jarjarbinks_18","kubo_18","lambchop_18","wolverine_18","ophelia_19","wolverine_19","goose_20","hamlet_20","hera_20","iris_20","korra_20","ophelia_20","hamlet_21","jarjarbinks_21","korra_21","kubo_21","goose_22","hamlet_22","hera_22","iris_22","kubo_22","hamlet_23","iris_23","korra_23","hera_24","kubo_24","ophelia_24","wolverine_24","kubo_25","buddy_44","franc_44","ginger_44","ivy_44","joans_44","marshmallow_44","buddy_45","franc_45","grogu_45","henry_45","ivy_45","joans_45","marshmallow_45","buddy_46","charles_46","ivy_46","joans_46","marshmallow_46","franc_47","ginger_47","ivy_47","marshmallow_47","buddy_48","charles_48","franc_48","grogu_48","ivy_48","joans_48","marshmallow_48","charles_49","franc_49","ginger_49","henry_49","ivy_49","joans_49","marshmallow_49","buddy_50","charles_50","franc_50","ginger_50","grogu_50","ivy_50","joans_50","charles_51","franc_51","joans_51","buddy_52","charles_52","ginger_52","grogu_52","marshmallow_52","franc_53","marshmallow_53","charles_55","ginger_55","ivy_55","buddy_56","franc_56","grogu_56","joans_56"
"jarjarbinks_15",0,3.13892862694395,3.43274771894332,3.31204883123953,8.67869813831921,4.2930896404035,3.27150535503319,3.24056435781786,4.09421086342003,3.52287945361601,3.52507672566996,7.74743790900099,3.2432299921058,2.62781348896144,4.31388069266662,3.75542004033053,5.11936175123819,4.17571630477157,3.08533246047271,5.06725423078948,4.17147867695204,2.87888603644948,3.97951010763952,4.25930227552619,2.86844539296854,3.94798381814804,7.06163431782972,5.04552888528171,3.37508849929363,2.70457760010576,2.51474377208533,3.14044526349252,4.84977015266827,2.9554003717238,3.82218984843058,2.20103399043892,4.69682264762949,4.08911865324708,4.00855525226217,6.86599301192129,3.76692426601408,3.25152192015356,4.33255749186873,4.1519135878887,3.78146390026347,3.74712161597293,3.36637117095725,3.51673334978137,5.89320210196458,4.50021449506135,8.58552619574281,4.83304980034104,3.98949085535914,3.94693041914361,3.96076723981568,4.52634995733987,3.47607327782987,3.87999827369766,2.9500871266215,5.49005219035248,5.80759524363687,3.84047836999986,4.96626919134617,10.7852274474977,3.58609123624179,4.91637219482432,4.31775565736655,9.27631831829104,4.93001891505035,4.24783359133293,3.61445904357043,3.13374998908271,4.10295961320694,3.53675034653902,6.18472028128649,3.46878248069821,3.88346890063518,3.79368994852325,6.61971680831695,3.65898991868127,3.99937318967221,3.57607111516011,4.04099146057483,5.30205706390546,2.93229158056379,5.04785594260656,3.3485245458412,8.44781615822171,4.06528892627435,5.43138785987192,10.1653477349385,6.67089852373627,3.81107188051321,4.91656966507254,5.46412407222806,2.95207989976937,8.45276235487754,3.97784744327355
"kubo_15",3.13892862694395,0,5.42442262539561,2.80396311874724,7.75744112315085,4.71577158996012,4.70820080390243,4.80167230142731,5.88573972377537,4.6856349803042,4.21705585491237,6.84612427039869,4.11924565181399,4.46940476329634,5.58802582235726,5.06615922677651,5.86389581072,6.03955620978576,4.1424931589632,5.0932071589792,4.85912693005644,3.29709137289092,5.15865460270637,3.95213594218847,3.25987736398306,3.50547040547885,7.03679586157547,6.302012725007,4.09105749901095,3.11929763938408,3.57990526557707,4.51616301585361,4.11236705774401,4.7662901076147,2.73011304560682,4.12537249250567,4.89304460156277,5.91331810603962,5.75320114006815,7.5910485987184,4.35973670362294,3.90010567563372,5.56277589615553,5.39324440135873,4.87577294746248,4.71309261494448,3.94718665430264,4.26958178695918,6.54625879590646,5.84803404303468,10.0803503313634,6.43771254209344,5.21438800820845,3.88523426247707,5.18623969279768,5.77048672693487,4.84794085727903,2.5924759062443,3.3581864883621,5.85640379497944,7.03779406137043,5.43107743562295,6.36732167730378,12.3182335200797,5.15485059197444,5.92770839993231,4.1511301901196,9.37698047347912,6.41491522748941,4.28175974976872,4.36152843046707,3.07902813096865,5.55878224417926,4.17899348038112,6.76307042102685,4.94156286193691,4.59133807661233,4.15503293340978,8.13166659691658,4.30051826603768,5.51188645807373,5.35082765515788,5.27927488924266,6.86170467575668,4.3003240389271,7.08458956990031,4.32524011640792,10.0363886398736,4.78047987950119,6.49146630504065,11.679498873572,8.16060962920217,4.22932677632503,6.68074562522344,5.13726457561232,4.50597991731355,10.0547034293167,4.47921250771161
"iris_17",3.43274771894332,5.42442262539561,0,5.01123602090772,10.0482061904089,5.39134580687268,5.24369451415868,5.02313419404149,1.30303441538472,5.2571283884135,4.56055633477844,9.29349385298124,4.63782982438841,4.57413571007444,2.10945540926427,5.50061132643922,6.56349491122787,5.25296841976748,3.12110691714889,5.91741499354413,5.81106032103328,5.4261603780642,5.42592620173061,5.70057037620074,4.44248814518339,5.60425304144101,8.52947107208402,6.66420031149389,4.06760827187253,4.38015902133027,4.55626681558294,4.72966068321832,6.32907907096314,4.36636763906033,5.65524446856281,3.18095265782857,5.64857606328956,4.75755246659092,4.67585526272,7.24962216871424,5.1212563733126,5.02411562843539,5.86722867260849,5.23115944476408,5.660342516753,4.43361661001837,5.10563783605514,5.3149480774077,6.45697707203702,6.02897488454663,9.10466883112832,5.15317354069036,5.57582775371169,6.22488718927122,5.69846056031417,6.09847203143839,4.18598102146933,5.79247857340624,4.66467731688693,6.34638673797905,6.99506242629752,2.35773707148696,4.66536717415581,10.9702988479454,3.45222313335898,6.38633709598041,5.75113158948255,10.1172655378728,5.00483622544323,6.22955606739053,4.88565902700681,4.40890779187493,5.29868698145969,5.17770390803166,7.43306176514829,4.78953305322733,5.03157072137006,5.69983665459424,7.37058825704488,4.96738019814611,5.31012016309011,4.5013006351708,3.9582091566825,6.03652697168157,4.32745931120258,4.84043882397456,5.07147240716734,8.85631327775362,4.92741165689907,5.13706096815992,10.5164080756493,6.89226637781098,5.19844982894152,5.58586364240802,7.33978379832334,4.08420476932181,8.8514585751761,6.05674201651686
"kubo_17",3.31204883123953,2.80396311874724,5.01123602090772,0,8.87071173152039,2.90203757502119,4.49780321249242,4.29299145199571,5.49352040017015,4.14872461373546,1.97313335588287,7.80094023706208,2.90364980212334,3.88164787075697,5.27249487256207,4.40498224280724,6.05294486262471,5.62408751155909,3.90042981835486,5.04802000620974,5.13581793495848,3.20191366042522,4.63213778578573,3.96618972547143,2.16906497677966,3.76557355550713,7.70743222619643,6.23713660668475,2.92604355235127,1.5222496017824,3.97199967120785,3.77672874581099,4.45496459958312,4.07969120085383,2.50975895229068,3.12322397986044,3.17064677058192,5.18444844527831,5.42625908446036,8.05137176821221,2.26573896401377,3.2711302877839,5.00411541738896,4.44285333245459,4.0994405673744,3.74382564721389,2.49401508690694,2.80261283726382,6.32702452952269,5.30917621183499,9.95861682024778,5.44691812061763,4.50932707536654,3.55502462902482,4.59191734015065,5.43132592160302,3.58275524031414,1.5714101936546,2.83428207091146,5.9961084745806,6.88915407100683,5.40191585084733,4.89842643009079,12.1828820184253,4.39379167720486,6.08770054410761,4.31923085047199,9.56976789419398,5.21741555185773,3.22038265060503,2.37805023388264,2.48842338701551,4.69515142281524,3.79553137549916,7.1409175605791,4.77204886899552,2.51670022165664,2.72505000094812,7.83029255208275,2.39364682149702,4.65262624641886,5.38518985028464,3.57642053626811,6.09802916437214,2.99802154070114,7.23372363006423,2.83913658791019,9.86223127181627,4.22500990371051,4.406380672741,11.6171175899028,8.19115569021125,2.26911075347818,6.48757526033036,5.68458153133975,3.73020744012415,9.89661298505242,3.75323238021331
"lambchop_17",8.67869813831921,7.75744112315085,10.0482061904089,8.87071173152039,0,10.6531744942508,8.53289427023329,8.80521195700132,10.288706628702,8.40454875840241,9.99706129077493,3.3142655630895,9.79680526702005,8.94377116732185,10.6405984561618,8.80107717108002,8.13167230771822,9.01274050444222,9.82985076654438,7.32760989994637,8.47477735705113,8.23168109690571,8.49055662342893,7.04335540537036,8.24609831374232,6.54094298004178,7.58623567167191,8.75505946160368,10.059439001924,8.45902161224411,8.3032482314717,9.11190115864991,6.55224899721307,8.77163109194803,7.44645044969551,9.75987726906606,10.9200921819187,9.24406987416248,9.00692788552912,9.18341897590092,10.1249494495019,8.28215407618229,8.94005436923722,9.00261928121448,8.96895457198335,8.48469147696391,9.49800516065124,9.67692845231338,8.84694502257936,8.93729924202237,10.4747056345375,9.74532297626808,8.98708997079582,9.0431755979439,8.91344201067685,8.61144014455332,9.32047338433815,8.33151614247067,9.06753605993992,6.98538716834691,8.82998204132117,9.68329748222753,10.4078347052857,12.1310226477957,9.34765265811047,8.18123108962774,6.79047840944549,11.3493939242463,10.0204704653638,9.76867851003822,9.91894922593041,8.49778253927071,9.07393654560537,7.57771969955055,8.22066534851138,8.90850883738847,10.0270524604181,9.74070263440129,9.55026205889564,9.89944741497836,9.1194576804275,8.45222301911518,9.97905469902421,9.52590354251243,9.14600527005288,9.27266834734101,9.56891981195115,10.6027537186949,7.80498348546059,11.2928106046366,11.5319178285531,9.44225615131335,10.003006770227,9.00868152712535,7.30590641257073,8.98359643250491,10.567383482157,9.32220263347192
"wolverine_17",4.2930896404035,4.71577158996012,5.39134580687268,2.90203757502119,10.6531744942508,0,5.08286909574054,5.11728453792287,6.13986861157831,5.47488873461047,2.42293124729972,9.53754454748863,1.61634504421963,4.65217030420022,5.55529524265596,5.01622034449098,7.97505614844852,6.73239420492471,3.85983386688782,7.42692817466251,7.13197577734567,4.94630556423328,6.06656108713553,6.41084864579562,4.26693598727636,5.99499046973302,9.96026573457395,6.83621507885925,2.11251269205,3.53547579172188,4.94965633386306,3.78740294637144,6.98313708708298,4.89309218910861,5.2379750564331,3.71586341247381,0.846129936650756,6.19985891364844,6.50953002640367,9.29924895910954,2.36424637741369,4.77053113465605,5.98812490094759,5.68593382286818,4.72319247622433,5.37803666647679,3.68961589758181,2.87351120465027,7.53284175461464,6.11477522231036,11.1080308736021,6.54056106433393,5.50748082100194,4.20001041882391,5.31384469210969,6.43712357707969,4.34842386593134,3.89071567892163,3.41303597859893,8.14183854305551,7.99280858185634,5.91385153511011,5.68639489639446,13.3441990057281,5.07847781024112,7.47662427527902,6.68733444847515,10.7471940091685,6.17433779471755,3.51735691324634,2.56527223866876,3.57086397772452,5.57699434727744,5.56535837701045,9.27108140940249,5.02348183344315,2.4597732361019,2.66876817122258,8.8868641385239,2.38224344216719,5.45452992781295,6.18284082736253,4.40180283878944,7.12886038046396,3.68814676693211,8.19480353245772,2.92922721854439,10.9785924506816,6.28854394191751,4.36458777138183,12.7454451958824,9.64322815508995,2.75844419813391,7.52523633446347,8.03768917351926,4.87220222369545,11.007338730963,3.76849153426692
"hamlet_18",3.27150535503319,4.70820080390243,5.24369451415868,4.49780321249242,8.53289427023329,5.08286909574054,0,1.2191553405396,5.98263589914586,2.17565019109247,4.61266717830158,7.44865127756849,3.90725760950059,2.25246924576345,6.09546592089589,1.09336428824389,5.27811062697084,2.87181338170058,4.20873919058781,5.71848739456209,5.57468507310897,3.35101044733741,2.94172560087095,5.03059817259496,3.97543985827366,4.15354766176704,7.28240253958631,2.05333695996392,4.1833423024533,3.56767841403662,2.01774750808682,1.74440645222278,5.68605044222744,1.67870137383734,4.76393843001668,4.38270745087661,5.73993530472862,3.22658327055303,3.22917689250742,6.30470435717247,4.20338611916962,2.21830737667181,2.00969788550818,2.95182661274912,1.41253655168033,3.78456123528503,3.98806155846236,2.98065549418024,5.32165653906642,1.81157908046287,6.72079353402372,4.21872699023489,1.99815460626138,3.25597192391314,1.29454991328423,1.93390381738151,2.95100327771814,4.63684072110661,3.13102865325634,5.47997866274223,3.64029075003381,5.13794752024651,5.0756581403595,9.1225255609709,3.3085701329901,3.14111769828996,4.31598582004592,9.60263239531191,4.49442102984016,3.67618979945586,3.83554136010416,3.61482060032938,2.28645231334538,2.55715336653471,6.32404962987271,2.13091544982443,3.90771825458475,3.38768065531461,4.58229743436125,3.68753564923185,1.99497085523084,2.67961769607263,4.79262173930991,3.67499204876603,2.42055168869663,4.6497918142734,2.71223930915343,6.69244003319213,4.54679266308101,6.143778156799,8.34659768643074,6.47648316800919,4.08924329598212,3.72444078052384,5.6818266970118,2.84349986939719,6.73893598114214,2.52530629544801
"hera_18",3.24056435781786,4.80167230142731,5.02313419404149,4.29299145199571,8.80521195700132,5.11728453792287,1.2191553405396,0,5.62086654975103,1.50448763851786,4.19410636019938,7.60340063562069,4.15177406305631,1.84722620427406,5.88392995047638,1.03595558804513,5.18481832119102,2.21034845655932,4.25932935849777,5.32476879605887,5.36524991391461,3.42278214666813,2.25288663166272,4.80043614442436,3.63468279113148,4.14600414783167,7.24403609882711,2.57981331042406,4.24350410568473,3.23999683480218,2.02955752520876,2.15104789033828,5.49799125987608,1.13717073862479,4.49478270344744,3.91951800540581,5.79017951625899,2.40538611458455,2.61032475632362,6.19552370559784,3.78120130692681,1.7078222507692,1.27933318185061,2.09036744788203,1.14474583280709,3.21099168660486,3.46206879729768,2.70988482906369,5.07191969670239,1.43154401714119,6.42274041476628,3.39098166493862,1.07132559191632,3.31934062342789,0.905830310377937,1.60580023806961,2.41011008789651,4.41620554749186,3.10928901790389,5.19005031137407,3.26858050306371,5.04511462627516,4.35419555922549,8.78735830902248,2.96200599885188,2.81026241510805,3.9975188577598,9.47767185456265,3.71023217626299,3.48928865581457,3.39906595599752,3.65921722978008,1.58977374979268,2.21643385813555,6.1006416111961,2.63669659444184,3.54825277427861,3.24889914641174,4.2314730648718,3.3713047182679,1.22965291362439,2.77191360712451,4.22104807686677,2.93504314973061,2.01043613430455,4.39290471062353,2.46653849782229,6.33505006151808,4.03484707061701,5.61579086178482,8.08956372369767,6.16426605352877,3.61101844388043,3.31515595592092,5.59203327860197,2.0841470743302,6.40932213776061,2.80247266672367
"iris_18",4.09421086342003,5.88573972377537,1.30303441538472,5.49352040017015,10.288706628702,6.13986861157831,5.98263589914586,5.62086654975103,0,5.7057170561438,4.97656806708449,9.58332242453886,5.47746163878431,5.06487528697358,2.01252580842273,6.15799434007529,6.83810923047603,5.61782822787765,3.77801623260118,5.85798145401649,6.03222435356525,5.9864040427499,5.74539111882527,5.84291283041119,4.76123698142962,5.93421331055545,8.6185634719284,7.33170845241548,4.78427281714264,4.83065730631636,5.15853233824525,5.54075822437187,6.44025423780671,4.94054223964658,5.91904918495442,3.57148586728181,6.32753946589761,5.05167195429879,4.90715578656081,7.26557620249482,5.61112669529042,5.52561384574086,6.36790623972234,5.58086850584078,6.31684539685871,4.63377281093483,5.41973128195754,5.98007282879401,6.65766800562344,6.58300515709346,9.23076946389755,5.24457557124064,6.06385098204541,6.84700395609508,6.32053697741344,6.60926300433961,4.63641997187405,6.21496091717927,5.22435007775195,6.34585213902158,7.34205138078866,2.6319028796633,4.73746107918486,10.9723298285828,3.8842903302646,6.71420037565603,5.9262946231467,10.1284307144082,5.14906147565566,6.8756713179501,5.43157518560952,4.97970132452306,5.77889995846417,5.59591917002131,7.43688627354286,5.60416075006478,5.64849402251415,6.38052955415579,7.64193975740454,5.61378597090024,5.815205616001,5.04365397491081,4.0903429522271,6.29810615003334,4.90332733023307,5.06281943867388,5.75039556469029,8.96745102750407,4.96548347664812,5.35775537032282,10.5936032679179,6.62833032091975,5.70060857307115,5.82096104545507,7.58445192317045,4.45374599727104,8.9473785736581,6.84396099591513
"jarjarbinks_18",3.52287945361601,4.6856349803042,5.2571283884135,4.14872461373546,8.40454875840241,5.47488873461047,2.17565019109247,1.50448763851786,5.7057170561438,0,4.2429519255295,7.33225275477517,4.59441705416036,1.9255011483242,6.04360092507923,1.783978076078,4.6008877634348,2.16015450870023,4.68321246555954,4.5084131342437,4.70361085768972,3.2604175427907,0.985798127620073,3.99280025396895,3.22015131785852,3.42788543213712,6.54473760694845,3.20885268285682,4.62743417045211,2.87535782640833,2.55044052932277,2.788715330991,4.65357517676575,1.81078691193406,3.87137681378812,4.08894170911621,6.09255288799127,2.4014857105605,2.76786150360793,6.07516639698686,3.93338133424842,1.8679979693578,1.85130844804986,2.06739388145586,1.94216747793468,2.8241938801403,3.43302758235912,3.08519939152944,4.91294124440949,1.96254083007301,6.32925956769647,3.18681923440685,1.64158581401177,3.95684585571552,1.81532133181694,1.95583340421506,2.62705061132888,4.20580936831286,3.58257596242737,4.32992367332588,3.442641489486,5.32160935503227,4.21983230242516,8.61997629480609,3.29249219686357,2.53403983367513,3.21843148858498,9.32119917032299,3.58507835212068,4.02150860310535,3.56608266290907,3.89753293265622,1.92488584739062,1.81231434952214,5.51317432719186,3.34984456439296,3.88085993087509,3.68904428946826,4.24802953068226,3.77989647601613,1.61071691254683,3.19839752678643,4.17398228219187,2.87823538153825,2.37557665482718,4.57079825542008,2.82877411609375,6.2359005524467,3.15502059634142,5.56959562383259,7.98530646256113,6.0017936086753,3.88840863081995,3.37755349609277,4.94531023688346,2.42305946812315,6.295696914256,3.52900216532335
