"","jarjarbinks_29","korra_29","kubo_30","hamlet_31","jarjarbinks_32","goose_37","hera_37","kubo_37","lambchop_37","ophelia_37","wolverine_37","hamlet_41","hera_41","goose_42","lambchop_42","buddy_57","joans_57","ginger_58","henry_59","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","grogu_70"
"jarjarbinks_29",0,4.11339897791155,3.87870347686117,3.00765757929722,3.3382447043088,3.1915636690853,3.93301998653937,3.71985207861788,4.19955496180146,6.53726143381779,3.76435103511536,2.58221445768602,2.56050228612168,3.3647695064221,4.50603176028088,4.02503340604411,4.89248094959232,3.18680008705068,3.37937001647943,2.25680808544441,5.69328914698833,3.49091251296731,6.03431581605306,3.42924136807645,1.75987120879693,6.56091261618795
"korra_29",4.11339897791155,0,5.74914857592909,6.01017859857123,4.55390599862391,5.37342293347056,6.65598182768677,6.06484864590619,5.75879447480609,5.48435256263828,5.96981427554563,4.86946929957647,4.98100094706437,6.14182974186888,7.02049590596529,6.9249275255052,4.83261173511124,6.55873611342768,6.47070387467818,3.67781588765052,5.01485441335978,6.08845342297395,8.0059193509951,3.73775294915716,3.83938380735986,7.15347508921133
"kubo_30",3.87870347686117,5.74914857592909,0,4.44325131724711,2.9634629588967,1.58313511466532,2.71981631395419,5.09627424162289,2.12325270006013,5.64461803519748,4.80832665292226,2.85935626815091,4.09462998026259,2.01466116745994,2.76187589507151,2.57001234896825,4.25639834884649,4.00526960799479,3.57598860705053,3.7736332613946,4.50364524426577,4.26351611777105,4.85555935962903,3.48564919420518,2.97647550480222,4.27052137073662
"hamlet_31",3.00765757929722,6.01017859857123,4.44325131724711,0,5.05158916335247,4.03295464435941,3.50025084931494,3.01675467907362,5.29429229659537,8.15713454788076,3.26037862056973,2.71049560780904,2.20814885635154,3.64793590280391,4.44780396938968,4.11015954090687,6.33935004750639,1.76033710598188,2.50357095001287,3.49475607966762,7.43300123962467,3.20856992311482,5.69622145049003,4.33043561062371,2.97856706712245,8.02563229405087
"jarjarbinks_32",3.3382447043088,4.55390599862391,2.9634629588967,5.05158916335247,0,2.55623537434365,3.85836910726726,5.79005459411861,2.28808056221572,3.99078001305707,5.5731376647538,3.72599261451378,4.74543027671717,3.49735005285518,4.39935721383967,4.20452989346512,3.80620130179737,5.03756727250039,5.00098763372079,4.02972911476525,3.34910246237113,5.54508456824541,4.94379036357869,3.55419744660393,3.08526700055481,4.20272764842156
"goose_37",3.1915636690853,5.37342293347056,1.58313511466532,4.03295464435941,2.55623537434365,0,2.54394805276877,4.89660256530902,1.54385829238137,5.61433480770193,4.81586133883686,2.60468016741016,3.79337893695471,1.20240620265925,2.29475629585758,2.10717855592342,3.86303120080254,3.40977993301248,3.05774473534107,3.20975394396773,4.38152135999438,3.88921092774371,4.92728696493413,3.71427244971974,2.36788792740325,4.23417859234798
"hera_37",3.93301998653937,6.65598182768677,2.71981631395419,3.50025084931494,3.85836910726726,2.54394805276877,0,4.51483572221237,3.10415572243149,6.46251359701196,3.78878209404404,3.11525999414443,3.67419581384018,2.40051727043221,2.49032532532149,2.24464641235698,5.45560306109544,3.19872650027004,3.28465738900168,4.30425661771736,5.88050198853777,4.64645228200061,3.54376898272648,4.31073431146552,3.65169856702108,5.56898382406951
"kubo_37",3.71985207861788,6.06484864590619,5.09627424162289,3.01675467907362,5.79005459411861,4.89660256530902,4.51483572221237,0,6.07015858530677,8.25291924072777,2.93309765652662,3.03264828658178,2.26732401224911,4.64045779539231,5.09615340692006,4.97356295526692,6.80413164386423,3.47739377012673,3.53448447794011,3.90430993330648,7.6765557476178,3.66147578127945,6.76664340582704,3.8927136299768,3.66695951925741,8.20802714685112
"lambchop_37",4.19955496180146,5.75879447480609,2.12325270006013,5.29429229659537,2.28808056221572,1.54385829238137,3.10415572243149,6.07015858530677,0,4.71116732718164,5.73905749111912,3.89271786377923,5.07131810998286,2.47959127802254,3.00068399582061,2.91511660444502,3.72372290786823,4.76460496625566,4.50363915711953,4.30934106545625,3.64212099545147,5.35987538669942,4.66537688957129,4.33033026468004,3.56263263004195,3.00816106671526
"ophelia_37",6.53726143381779,5.48435256263828,5.64461803519748,8.15713454788076,3.99078001305707,5.61433480770193,6.46251359701196,8.25291924072777,4.71116732718164,0,7.79567810325516,6.58708959880118,7.40756426151057,6.66348471515551,6.98728089011551,7.10521351993532,4.97040222264968,8.38130519807607,8.21411809407716,6.58427739084795,3.0446487224821,8.6256889738222,6.67967119141373,5.28083287560948,6.15434592459558,4.39354444587801
