"","Hera_1","Wolverine_1","Hamlet_11","Hera_11","JarJarBinks_11","Hera_14","Iris_14","Kubo_14","Wolverine_14","JarJarBinks_15","Kubo_15","Iris_17","Kubo_17","Lambchop_17","Wolverine_17","Hamlet_18","Hera_18","Iris_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Ophelia_19","Wolverine_19","Goose_20","Hera_20","Iris_20","Ophelia_20","Hamlet_21","JarJarBinks_21","Korra_21","Goose_22","Hamlet_22","Hera_22","Iris_22","Kubo_22","Hamlet_23","Iris_23","Korra_23","Hera_24","Kubo_24","Ophelia_24","Wolverine_24","Kubo_25","JarJarBinks_29","Korra_29","JarJarBinks_3","Kubo_30","Hamlet_31","JarJarBinks_32","Goose_37","Hera_37","Kubo_37","Lambchop_37","Ophelia_37","Wolverine_37","Goose_4","Hamlet_41","Hera_41","Goose_42","Lambchop_42","Ophelia_43","Goose_44","Iris_44","Lambchop_44","Hamlet_45","Hera_45","JarJarBinks_45","Korra_45","Ophelia_45","Hamlet_46","Iris_46","Lambchop_46","Hamlet_48","Hera_48","Korra_48","Kubo_48","Lambchop_48","Ophelia_48","Wolverine_48","Iris_49","JarJarBinks_49","Kubo_49","Ophelia_49","Wolverine_49","JarJarBinks_50","Korra_50","Lambchop_50","Ophelia_50","Wolverine_50","Lambchop_51","Goose_52","JarJarBinks_52","Kubo_52","Kubo_53","Iris_55","Lambchop_55","Ophelia_55","Ophelia_57","Wolverine_57","Goose_58","Wolverine_58","Goose_59","Hamlet_59","Iris_59","Ophelia_59","Korra_6","Iris_60","Wolverine_60","Hera_67","JarJarBinks_68","Hera_7","Iris_7","Korra_9"
"Hera_1",0,16.2966273812114,13.0057226366533,14.643183628178,17.8739137428749,12.4197523568998,21.9116555348402,18.2204297771595,21.110560722336,16.4031573825922,16.4099999250649,19.9822754296567,15.3923336443995,23.185336914814,14.9101060348867,10.2098239500357,11.2081100410477,20.5898560231868,14.0970514175449,13.3201475133407,24.4635637324833,15.5680593162603,12.4079883809935,20.772508471044,15.5911134273895,12.3943182159027,18.83916359377,16.8808008000472,13.1235440084536,14.6292722836941,15.6365521915623,17.2737086566858,17.3256381773524,19.1976841241111,19.6137412601011,15.935376867818,12.7215329999635,19.9512427457911,16.2515287935516,10.928234716428,15.4170314247297,16.0449790026157,16.3516490972394,16.0738784950027,14.5431734300885,16.993973367006,12.0261926891387,17.1629413803645,14.0048959116666,19.2925105947352,17.7578236209378,12.8920446988813,15.2642283701431,17.977942517709,18.9652200181613,18.4095301058344,34.1491614664584,16.1022547065097,12.9626189353263,18.0382322945921,17.7176037439556,17.4784965602778,17.9252044298549,21.1425156655129,17.6958662805644,13.7949576336921,15.1570328080359,21.187656151479,15.3463421264364,17.3893542776306,12.8269003650605,22.0131011156369,17.9410880898299,11.8681497961427,13.0851362520193,14.7346168898623,15.5266308186475,17.3465067172131,17.5374112781276,20.2336815196363,19.5121382315697,16.8377107109036,13.6555821481406,17.4696127852225,20.2305233321725,16.6951007274901,12.7598017327373,18.8970990796406,22.278128374053,18.8185977547911,17.1152116217121,16.7460548180958,13.3186893904384,16.0822623187056,15.4270184706567,18.9525643981346,16.757474540855,18.8953749824602,16.5982422107852,19.0803988656605,20.1194070106975,18.2119305782406,17.2872568147773,13.5317733496338,19.9278245060317,21.4678104664221,18.9314394503748,23.1407900986465,21.1320763914596,12.8494247681539,15.8815882148626,8.49880644663919,23.1233725981179,13.9342889286444
"Wolverine_1",16.2966273812114,0,17.0184834289844,19.81394932134,17.9113636670188,17.7607030878835,16.5593902235129,20.3974747401366,16.9531789946854,16.5550203762795,17.5057034431358,16.4207386280282,18.6045560960035,25.6817907932782,12.0468985557817,14.6704507211226,15.9182570872345,15.8694278980044,19.6787444853737,15.9302987632028,27.0345969834539,10.7269941677784,16.376479096079,16.2860087202443,20.5016879820754,16.3533376473662,15.7910705535135,19.465817343609,17.2212388347038,20.5152260588301,21.2798568308426,22.1611292365341,20.5158938281676,22.3657501683388,16.1708134463595,18.7306075665667,18.0696630819523,18.6165100848641,21.7413652869228,15.5974920246774,21.3605722290886,17.0041833709438,11.9827354084751,18.4087667386727,20.2429675559163,21.6185725282961,19.4472384651355,19.3051580550103,18.6437958664366,25.2846027135103,22.7066385169812,16.6172120290818,15.2917705132231,23.596758640343,21.5051954786962,11.627948045293,35.0946014508607,20.9450347072081,17.4383122854149,23.8901532310892,18.8030248970861,19.4536002719201,21.9212623798492,17.4345597055654,19.4694134082446,18.0084687727429,18.9019119644919,22.8850727273726,22.2151257808592,19.5681242123486,18.1674765892761,19.612563122866,19.4740840355729,17.0977249395072,17.5365626334885,21.1458225335718,14.8932664701667,22.6098709217441,18.8411218183524,15.8220369634849,18.2965882874121,22.625365011421,13.0174529124913,20.6636183647978,16.5556624862956,23.1617551460861,20.3655072943762,20.7285327961485,24.2040604448628,16.3468501314302,19.4573053077513,22.1473534559181,19.8312987215829,20.943661290633,14.5744210143027,16.1127653402235,19.0901131204449,21.356592117745,18.6815439202923,15.5745124347661,24.4828798642587,14.1634241708303,22.794219073107,18.3285454527308,16.4357348981177,24.2327345115252,20.6886877744924,20.1851169489184,17.6627889024624,17.4571343392931,20.6705731658193,17.6227229746671,21.860721760897,19.1975056254271
"Hamlet_11",13.0057226366533,17.0184834289844,0,10.9888751884163,14.971779833642,10.1973023023603,20.3948058320434,17.0148090574607,19.6514559081035,15.4344897906866,16.0622535843653,20.8150416067386,18.9411695470013,23.9416437298665,16.5617642623756,13.1535429658141,15.025949458553,20.9566927822179,19.3805304062825,18.605771060168,26.1546588704298,16.7594988176004,15.8435749413131,20.623953090273,21.0394381691037,15.0005358753615,19.2279472721568,17.3101155079888,14.5725555774053,20.4370904996317,21.0997978948109,21.4861541003605,17.125388724939,21.8614845887534,21.1219029700847,19.252668427801,11.1125272652617,21.5647411983775,21.1975488522653,12.726012386057,20.7281637372823,16.9639567768051,17.5022159116019,18.4117596013864,19.8497869898852,20.6606069062189,18.5833427795373,18.9213694796618,15.338665837649,24.0394271486404,22.4573524814899,13.8925164940249,15.3095532818879,22.6429769339587,17.4371044563538,17.8257371036825,32.9099221080578,15.4608472503304,12.1504127466456,23.1907768569671,21.0786535700865,16.2215571331883,22.5360656542503,21.8395695044334,21.1510563805238,13.6674930387937,13.8109363168185,20.4021325495211,20.9995541043673,17.0287897690756,15.1605440043434,22.1306559025601,20.792811627205,13.144170288413,13.6673024887666,20.3311721849339,16.5733837116904,22.8049337828544,16.6975352308646,20.0074361613192,22.1126941484887,22.0540665248118,16.5463961186976,17.2184345668041,20.0828675320934,22.3471189200294,19.7523090656254,22.242033907209,20.4589159412901,19.3063680246571,21.2314770961049,22.5140329655162,19.8229786458604,20.0612093369416,17.0397005541717,19.8838329541715,19.7972551812822,17.6731953879177,16.76642198727,17.7563050367948,24.0889515366572,17.5896331720759,22.1146001572255,12.0438818346632,21.0763407831161,21.981681600886,19.6681625049331,23.5114460520925,20.8088186937024,16.421608549527,21.7647305404983,14.2302257863536,24.8011393465538,19.6491578847266
"Hera_11",14.643183628178,19.81394932134,10.9888751884163,0,16.068782510503,10.6471442620613,23.7494042266015,15.5047258882611,20.7767705667664,16.995726800315,15.2850490390341,23.0725910600463,17.0657637631373,23.015777032223,18.0701316075332,15.2319757378467,16.5606504246721,23.4087702625235,19.3908039254536,19.3074713854211,24.9198412596213,18.9134327626325,18.0054533260196,23.4091350568149,22.3102155903374,15.9166704574313,21.4968715719595,16.8242485936038,14.3076612590696,19.9246677498603,18.7433511024337,20.0333715485542,14.4286010216585,23.5650220876444,22.9052069648535,18.8695931918802,14.6723756015915,23.3679149661644,17.8648916680628,16.0623872116695,17.4074866863823,19.1692424785544,19.2958684112251,21.0134607856963,18.5094062223259,17.7270873362572,18.1973210602877,18.3703869130737,15.593666105336,20.5015074913938,20.7015019248168,15.9844641284365,15.286390731804,20.6318524657209,14.4863896746657,20.0676485672812,32.6007655126782,12.7506065746623,12.9757460472546,21.9643904363038,22.5657907255868,16.8262758152621,20.4889755858774,23.3708790746857,21.9104428882594,17.1908040448773,15.7714564252893,20.6669903193245,19.3165879168117,17.4246296009369,16.844308660614,22.5895446291998,22.1413251590133,15.8247980881785,14.7089717375475,18.1699906041292,18.3689374924181,22.9429541393545,18.63176630658,19.9054236000498,22.9409078296364,19.252283145227,18.5888104833711,17.2008685408467,19.8379359502042,20.7249699284238,18.8887357834192,23.1169489058649,18.9183467370742,18.1743807383621,22.5750952373209,23.4484467776939,19.1858387911655,17.782275487202,17.4249254964893,21.4172541215707,21.1498349300311,16.0725889932287,18.6412122705701,17.6544328577984,22.5357732844396,17.5999446197844,21.0544809626988,12.2515607752125,23.1695080603804,21.5858924215587,20.4220816633708,25.2392697698747,21.7663335724913,15.7086858965207,19.9681844051234,15.8354968540859,24.6160937978239,19.1196012859026
"JarJarBinks_11",17.8739137428749,17.9113636670188,14.971779833642,16.068782510503,0,17.1353337274646,21.5092243673936,10.4751980503364,22.3938490582326,16.8938913373561,8.46832819515377,22.3333197080433,15.9835843536994,24.5261793810325,19.3166273826983,18.3397578321905,20.0683132411428,22.9916287328851,18.781354029475,17.7539628967899,27.4509249625327,18.6960953598541,19.2847474808769,22.2087668855079,23.2551323896584,19.4144472858991,21.4077763123368,17.6161570848943,18.4245568214174,20.183052806883,19.4236415371983,20.4811970294605,18.7222895628727,23.3888644820319,23.1412277285466,15.8426133552873,16.4769722342467,23.8559345608811,19.8703040319925,18.8808181118365,19.5435326477274,19.0982172830871,19.4098521434611,17.4355135062595,18.8388883646179,18.8119751735312,20.7053346311734,17.6253541419178,19.8122710282143,23.0965391075315,21.9802459794504,19.8491877419984,15.3465055309913,22.5064305206589,16.2951126314116,19.8701889182069,33.0960050481905,18.850180736823,16.5112215186179,23.9944448611059,20.8726377378654,16.7462784855629,23.9759993820384,23.852578409817,21.7843897062055,19.746228034693,19.4135108258744,21.2390869371349,21.0326511509819,18.4433921447272,19.8972257146718,23.4200954334469,20.793315871697,18.36363665265,17.1215203711747,20.1874485937115,17.4461577316342,24.1483028572495,18.6837358565206,19.9826935062463,24.6071847750401,22.1073963430065,17.4738024383217,18.1493091331214,20.9192116348453,23.2364136909977,20.5264893117831,22.5527836535368,19.1795815976946,18.816125644034,22.5109762215321,24.4802464331687,21.6643066191026,18.1045315775025,18.0981365127227,22.3539980756372,19.9826778421647,18.6614409972467,17.6657839597122,16.8800119934992,23.6606572462181,17.686789648762,22.3499035719035,14.8518416159651,23.0278374455529,22.4776598342208,17.6232198627171,25.6861462885552,22.3569470371708,21.8743758627576,20.3446893299775,19.908819317974,26.9594170330114,19.2808410455796
"Hera_14",12.4197523568998,17.7607030878835,10.1973023023603,10.6471442620613,17.1353337274646,0,21.6093112226611,16.3924549226342,20.0186562828026,15.3435082114147,16.2244289906917,20.7969382741831,17.2909081230151,23.1865527645831,15.5568216029996,11.7194343066016,13.0899346701288,21.3285249638816,17.7499024178335,17.5581927258792,24.4810067709345,16.6636702879858,15.2782938273828,21.3354035887652,19.2575889131235,12.3829537991415,19.1005906770023,14.8688403523242,10.7758943246083,18.4332893241684,18.6851638788708,20.6234704453166,13.189123036181,21.0933222585266,20.0761839135067,18.4551976177301,12.0771352148801,21.0132699556626,17.8614190120606,12.639801135067,17.5163251943888,16.2029175805087,17.1189135161864,18.340471515671,18.0479441095217,17.6402603880393,15.9601784735587,18.201417338844,12.3361677062628,20.5266009115686,19.834258601567,12.4658450747401,15.3597632958695,19.9846851095524,16.3902428327579,17.9421806088521,33.7986343460005,12.9514430059639,10.8628429873889,20.3078842256783,20.0875793932215,16.7982887570002,19.9117735022698,21.1088911901557,19.6220240143969,13.8261437986276,13.9032700245683,20.0863449742036,18.8925726235357,16.0711021134638,13.6525315707972,19.9652151058496,19.7595567928531,13.1142492421287,13.5340851524526,18.875030460888,16.5549494983621,20.1022118044689,16.5031036441139,17.8922848059754,20.0024046994232,18.9230590562872,16.5868785853847,16.3892223625244,17.269413353311,19.2429654849935,17.5452208051126,21.0125483118713,20.51837564559,16.1084815235587,20.0797018919322,20.0821052210537,17.6810718074515,18.5832085329465,16.4656456588659,19.3670821567679,19.4210822543793,17.3615712218278,17.479413303156,15.9166449221681,21.8434640590681,15.7266683921408,19.5279487278577,13.4492272500294,20.6709276843972,20.5989184866841,19.2209151032014,23.0385992855031,18.5706505988011,14.2702638269513,19.4872752324774,12.1946202591118,22.402262070862,17.9056074852047
"Iris_14",21.9116555348402,16.5593902235129,20.3948058320434,23.7494042266015,21.5092243673936,21.6093112226611,0,23.7221419329762,13.1589420349086,21.3464182353844,22.1110478342056,10.1859738778522,23.9352196341105,28.0091392959506,18.2422914768852,20.5803488297611,21.6922305936993,9.88826294481808,23.6611730309037,22.188824155991,29.4493884467684,17.2212628100831,21.8735406779579,8.00746241015078,22.4766214669063,21.175504108253,10.7601769246445,23.4132669731245,22.8157819349759,24.5778091878548,25.5648182747358,24.0754290730595,25.1991992366516,23.1955045423079,13.2166117246866,23.4607620051881,21.6784205221635,15.272619478279,25.6393875057158,20.6707033750486,25.5015646331766,21.2246810251635,16.6445618932055,21.8772385459235,24.8511835578276,25.4152624010412,23.7218321564728,23.9967443659259,23.3513563246539,28.8392305914557,23.7251798196567,21.5255068066408,19.5899004383545,25.1135907135652,24.4354354616046,14.6923376962878,36.977803288314,25.4668237285028,22.0763344294282,24.8852979975492,22.2051068664648,23.3091083780937,25.6125990132301,11.5951570002094,22.9630242159363,21.8947145419066,22.5732528694031,26.3191252354751,25.7722656738569,23.4668425187774,22.6986470799151,13.2863998097468,22.3099567823524,20.6927305494731,21.5780505791153,25.282864499204,18.7379657333809,24.0150389771742,21.9560319853965,16.7154349720512,16.3529643052929,26.3263897194563,18.6918882777178,23.4167135593022,17.6444688810465,26.5287635875442,24.0663397026837,24.6223880098002,26.67764007261,19.7838287119101,23.4730681281271,23.9585601638646,24.0023064584746,23.8314353367863,20.5277382185924,12.0814027431139,22.6350223180275,25.1261296179849,22.5780361197498,17.8259057166815,26.4112629686704,18.2353453729659,24.3727944120121,22.470818526756,11.797821787502,27.4985695608951,24.558185998191,12.3222567792679,19.8669984811165,22.7722013503326,25.3940243590324,21.7047742935591,18.208576148078,23.8492198049338
"Kubo_14",18.2204297771595,20.3974747401366,17.0148090574607,15.5047258882611,10.4751980503364,16.3924549226342,23.7221419329762,0,24.2415602222441,18.8751900008271,10.223814964637,23.596542886412,14.8240552175128,21.0682705320929,19.4735769600972,18.3444489386818,19.6129939647216,24.4341430750801,16.2705337500198,16.9949008835999,23.8811104801841,19.9591230052813,19.1168733201248,23.8273817039432,21.4749194019533,18.9577710725042,22.6270263757558,15.7976968013866,16.7468477053571,17.1074334648327,16.3843987510284,17.928050714062,14.7946520140723,22.1766094819283,22.9970189241702,13.532147274216,16.5235588376295,24.2814315209745,15.469646150648,19.5186745937555,16.3415071332617,20.3733193312903,19.9557158658211,16.2384196029141,15.5424669417632,14.0353400900082,18.7221986037347,15.1348766368968,18.7165724858472,19.001491960042,18.7513438740965,20.253254659108,16.316122351015,19.0690546023354,13.0756539356342,21.0750007105036,30.3417239265074,18.3376811341075,16.4619811094346,20.6577520551464,20.2704310640045,17.9130224943442,21.0711673566799,24.3916065616519,20.7496726799822,20.1323096751495,19.8035981450322,20.9973842344148,18.4330447093828,18.6345925434229,19.1316621962641,22.5466271365138,19.8539343881775,18.8060056528221,17.23662046341,18.0444795767509,19.1017920012015,21.2451639596697,19.3396671358274,19.0307209886893,23.9525672625292,18.7473068158752,18.9991779809873,17.0823778707576,19.1540581383443,19.8245808949604,17.8935391939383,21.1907863482093,16.8856629452211,16.2586411852479,21.6292633330493,22.1852173923618,19.5566453142286,15.8097889771823,19.513360914063,23.3417204860785,19.1337479171527,17.6481833282896,18.7195812234395,16.039851076287,19.5430405498707,17.2512454001724,18.9803933147723,15.2068879281351,23.9092636245127,20.1462018457929,17.9038813286713,26.1876574719305,21.1462092280667,21.39203050796,17.9203808215594,19.5790343330403,26.9482333332093,18.7994729664981
"Wolverine_14",21.110560722336,16.9531789946854,19.6514559081035,20.7767705667664,22.3938490582326,20.0186562828026,13.1589420349086,24.2415602222441,0,19.4352931422924,21.1054080190617,13.4878286208778,21.7575868437358,27.7086411890333,16.7060498032028,19.6602572981243,20.3936868197876,14.3830218655224,23.7310410488199,21.3917235964734,28.7150753459472,15.6229166797843,21.345954987754,12.6576959209882,22.8765626277239,19.9254517645155,13.0078851332888,23.5018134210725,21.4283634241452,24.6716344034717,24.8254672914968,23.8363440839346,24.0147595526937,23.5366043012683,15.2780485583712,23.2633800660884,22.2480719186118,16.4161212697629,24.4903098762889,20.558043166319,23.5198879938211,20.4713559883229,15.7703044594791,22.6785579879094,24.4619296690887,25.1387031677912,21.8733971319312,22.7521698042748,21.8668120817325,27.6599619857253,23.2813229957229,20.5475292450209,18.7963999192229,24.5253832237071,24.1197066468354,15.1498785785466,37.0872649006204,22.5861136473297,21.5071142917853,24.3258707138644,22.9455955720725,22.1190402257291,23.4672272277029,12.9803438851431,22.5757930017522,22.6249942029023,22.0682115456803,24.9405059774314,25.4628121084362,21.8050024388346,22.465459863343,16.734989821292,22.8348040178915,20.0648544747172,20.6242731340826,24.4735411027906,18.0561810947234,24.0811129557611,22.2312804617551,18.1678941519839,16.4525369981811,24.4049876466632,18.4169973713413,23.4346913964542,18.4838535968603,25.4715718180398,23.7705284811347,24.1445821453703,26.8237139821486,19.6329051404687,23.0850597773785,24.16938195354,22.6898072582601,24.2951281784469,18.5370121208956,12.1649276922263,23.2749669341272,23.8600845283347,23.7421179047652,18.5345182532712,26.581628909932,17.898747818749,24.0698460692091,22.016801055162,14.7716671838566,27.7473048853373,23.4996822036041,15.4790036920616,20.6897309827501,18.75844645148,24.3563869623407,20.6776258910179,16.7617297155963,23.1023931236854
"JarJarBinks_15",16.4031573825922,16.5550203762795,15.4344897906866,16.995726800315,16.8938913373561,15.3435082114147,21.3464182353844,18.8751900008271,19.4352931422924,0,15.2167392537119,20.0796698757178,16.9959851678278,26.6757094489314,16.1312470916371,13.0522442327485,15.0743859738105,21.0687029093957,19.505741212073,17.8817692040751,28.6348233916702,15.4426774376747,13.0904496057459,20.50768374236,22.0487751889363,13.8930117950703,19.7340680988901,12.0298613272275,13.8253853636297,20.888401804902,20.8720897612012,22.0285753533354,17.4344469083542,24.4302147766192,21.1228937768605,18.8605661377368,17.1372317393646,22.1605009556451,21.3260821231426,14.8664128072226,19.9928561794647,11.3364695632644,16.4136917066721,19.2997204928533,20.1329915159434,21.0707089272242,18.5754187094793,20.4490903756171,16.448275173915,23.5528608220473,23.2852449456355,15.4871172816156,19.3676577228397,23.9045419761843,16.2164629536614,16.2760640790706,35.20419294323,18.3250862866316,15.0992645001826,24.7763672719607,22.7981972403738,13.4416948942334,23.4693624381827,21.3907539496415,23.0565522878857,16.8066591151334,17.8270410024277,19.7648974134069,21.4887527406099,15.3806865968664,16.5335246778189,22.1789306013703,22.7341778504239,14.7290379098961,14.3274793051653,20.6777748674456,18.6605245033134,24.290746162861,15.6350337804526,18.5152657428165,22.2796790243079,22.5616068807595,17.1569792120225,15.7063117662678,19.889094270099,23.3529457241181,20.5074317847223,23.9065472200009,20.2193418847147,18.5091934426413,22.8962400721924,23.9026390164263,20.4259731389224,19.6619081991819,16.5004159829141,19.9352810865902,21.7397854848461,17.2607603560092,13.9316053779212,16.4734047720895,26.1358195196092,15.2917032604637,23.562997317778,14.6639144444553,20.9766619467534,21.8946773666878,19.7535263267496,23.5534440624151,21.4000573211089,17.6423328971227,21.2224664086179,17.5685314491384,25.2887603970931,18.586295149855
