"","Hera_1","Wolverine_1","Hamlet_11","Hera_11","JarJarBinks_11","Hera_14","Iris_14","JarJarBinks_14","Kubo_14","Wolverine_14","JarJarBinks_15","Kubo_15","Iris_17","Kubo_17","Lambchop_17","Wolverine_17","Hamlet_18","Hera_18","Iris_18","JarJarBinks_18","Kubo_18","Lambchop_18","Wolverine_18","Ophelia_19","Wolverine_19","Goose_20","Hamlet_20","Hera_20","Iris_20","Korra_20","Ophelia_20","Hamlet_21","JarJarBinks_21","Korra_21","Kubo_21","Goose_22","Hamlet_22","Hera_22","Iris_22","Korra_22","Kubo_22","Hamlet_23","Iris_23","Korra_23","Goose_24","Hera_24","Kubo_24","Ophelia_24","Wolverine_24","Kubo_25","Lambchop_25","JarJarBinks_29","Korra_29","JarJarBinks_3","Kubo_30","Hamlet_31","JarJarBinks_32","Goose_37","Hera_37","Kubo_37","Lambchop_37","Ophelia_37","Wolverine_37","Goose_4","Hamlet_41","Hera_41","Goose_42","Lambchop_42","Ophelia_43","Goose_44","Iris_44","Lambchop_44","Hamlet_45","Hera_45","JarJarBinks_45","Korra_45","Ophelia_45","Goose_46","Hamlet_46","Iris_46","Lambchop_46","Hamlet_48","Hera_48","Iris_48","JarJarBinks_48","Korra_48","Kubo_48","Lambchop_48","Ophelia_48","Wolverine_48","Iris_49","JarJarBinks_49","Kubo_49","Ophelia_49","Wolverine_49","JarJarBinks_50","Korra_50","Kubo_50","Lambchop_50","Ophelia_50","Wolverine_50","Lambchop_51","Goose_52","JarJarBinks_52","Kubo_52","Hera_53","Kubo_53","Iris_55","Lambchop_55","Ophelia_55","Ophelia_57","Wolverine_57","Goose_58","Wolverine_58","Goose_59","Hamlet_59","Iris_59","Ophelia_59","Korra_6","Iris_60","Wolverine_60","Hera_67","JarJarBinks_68","Hera_7","Iris_7","Korra_9","Ophelia_9"
"Hera_1",0,0.401785714285714,0.336363636363636,0.412213740458015,0.41025641025641,0.422764227642276,0.464566929133858,0.419847328244275,0.396825396825397,0.587878787878788,0.336283185840708,0.34453781512605,0.504,0.358333333333333,0.838383838383838,0.395833333333333,0.225490196078431,0.266666666666667,0.462121212121212,0.385321100917431,0.333333333333333,0.834862385321101,0.446428571428571,0.314814814814815,0.448,0.527272727272727,0.307692307692308,0.284403669724771,0.48,0.52112676056338,0.388429752066116,0.31858407079646,0.41747572815534,0.423423423423423,0.388429752066116,0.491228070175439,0.4,0.653225806451613,0.535433070866142,0.394495412844037,0.408,0.410714285714286,0.531746031746032,0.43859649122807,0.471544715447154,0.284403669724771,0.471428571428571,0.412213740458015,0.517543859649123,0.345794392523364,0.73,0.353535353535354,0.473118279569892,0.419642857142857,0.462686567164179,0.361538461538462,0.525316455696203,0.541666666666667,0.368852459016393,0.5,0.563380281690141,0.422764227642276,0.5,0.968,0.49390243902439,0.410852713178295,0.594594594594595,0.637254901960784,0.388429752066116,0.575342465753425,0.547169811320755,0.647540983606557,0.324561403508772,0.430656934306569,0.45,0.413223140495868,0.50609756097561,0.496062992125984,0.387096774193548,0.53125,0.640625,0.267241379310345,0.325,0.571428571428572,0.445454545454545,0.375,0.443609022556391,0.619402985074627,0.481012658227848,0.467741935483871,0.546099290780142,0.535483870967742,0.304761904761905,0.466666666666667,0.576158940397351,0.541984732824427,0.36,0.471428571428571,0.691729323308271,0.446280991735537,0.45045045045045,0.631578947368421,0.59375,0.469565217391304,0.304347826086957,0.254901960784314,0.385245901639344,0.528169014084507,0.575471698113208,0.445945945945946,0.366666666666667,0.504504504504504,0.617021276595745,0.504347826086956,0.588652482269504,0.243243243243243,0.457627118644068,0.50920245398773,0.514124293785311,0.581818181818182,0.603658536585366,0.433333333333333,0.467153284671533,0.348623853211009,0.622222222222222,0.373983739837398,0.35
"Wolverine_1",0.401785714285714,0,0.403508771929825,0.510791366906475,0.471074380165289,0.468253968253968,0.40983606557377,0.439393939393939,0.522058823529412,0.453333333333333,0.359649122807018,0.380165289256198,0.436974789915966,0.432,0.848484848484848,0.354838709677419,0.348623853211009,0.466101694915254,0.370967741935484,0.541666666666667,0.418604651162791,0.844036697247706,0.303921568627451,0.426086956521739,0.430894308943089,0.54954954954955,0.409090909090909,0.436974789915966,0.425,0.642857142857143,0.47244094488189,0.475806451612903,0.566371681415929,0.56198347107438,0.46031746031746,0.575,0.491379310344828,0.672,0.483606557377049,0.53781512605042,0.511278195488722,0.5,0.504065040650406,0.537190082644628,0.52755905511811,0.423728813559322,0.607843137254902,0.477941176470588,0.352941176470588,0.508474576271186,0.752475247524752,0.513761467889908,0.59,0.545454545454545,0.525179856115108,0.49645390070922,0.627218934911243,0.642857142857143,0.453125,0.451851851851852,0.655629139072848,0.468253968253968,0.295238095238095,0.959349593495935,0.578034682080925,0.477611940298507,0.681528662420382,0.62,0.47244094488189,0.610738255033557,0.506493506493506,0.644628099173554,0.455284552845528,0.54421768707483,0.510344827586207,0.541984732824427,0.547619047619048,0.602941176470588,0.503759398496241,0.555555555555556,0.637795275590551,0.4375,0.449612403100775,0.54,0.59504132231405,0.491666666666667,0.462686567164179,0.685714285714286,0.551515151515152,0.356521739130435,0.521739130434783,0.662721893491124,0.330188679245283,0.577639751552795,0.513888888888889,0.661971830985915,0.557522123893805,0.48936170212766,0.637795275590551,0.515873015873016,0.401869158878505,0.590909090909091,0.643939393939394,0.529411764705882,0.519083969465649,0.419642857142857,0.39344262295082,0.459259259259259,0.571428571428572,0.532051282051282,0.464566929133858,0.382352941176471,0.643356643356643,0.355769230769231,0.671140939597315,0.435483870967742,0.398230088495575,0.576470588235294,0.568306010928962,0.561728395061728,0.529032258064516,0.491935483870968,0.538461538461538,0.483050847457627,0.580459770114943,0.503759398496241,0.411290322580645
"Hamlet_11",0.336363636363636,0.403508771929825,0,0.413533834586466,0.370689655172414,0.371900826446281,0.5,0.409090909090909,0.385826771653543,0.560975609756098,0.324561403508772,0.360655737704918,0.527131782945736,0.387096774193548,0.82,0.46078431372549,0.342342342342342,0.37719298245614,0.507246376811594,0.429824561403509,0.43609022556391,0.839285714285714,0.433628318584071,0.37719298245614,0.507575757575758,0.5,0.327102803738318,0.376068376068376,0.548872180451128,0.589403973509934,0.416,0.378151260504202,0.504504504504504,0.528925619834711,0.440944881889764,0.516949152542373,0.357798165137615,0.617886178861789,0.568181818181818,0.478632478632479,0.458015267175573,0.398230088495575,0.553846153846154,0.516393442622951,0.496062992125984,0.362068965517241,0.533783783783784,0.448529411764706,0.491228070175439,0.434782608695652,0.725490196078431,0.419047619047619,0.535353535353535,0.461538461538462,0.496402877697842,0.446043165467626,0.552147239263804,0.58,0.458015267175573,0.48936170212766,0.582191780821918,0.411290322580645,0.449152542372881,0.935483870967742,0.493975903614458,0.43609022556391,0.620915032679738,0.621359223300971,0.390243902439024,0.564625850340136,0.581818181818182,0.634146341463415,0.422764227642276,0.506849315068493,0.428571428571429,0.488372093023256,0.51497005988024,0.573529411764706,0.462121212121212,0.574850299401198,0.6171875,0.368,0.354838709677419,0.623456790123457,0.473684210526316,0.445378151260504,0.467153284671533,0.627737226277372,0.536144578313253,0.480314960629921,0.594594594594595,0.580246913580247,0.426086956521739,0.506410256410256,0.565789473684211,0.562962962962963,0.467889908256881,0.513698630136986,0.648854961832061,0.459677419354839,0.451327433628319,0.605263157894737,0.613636363636364,0.47008547008547,0.440944881889764,0.369369369369369,0.4375,0.557823129251701,0.560747663551402,0.467105263157895,0.4453125,0.477477477477477,0.595744680851064,0.451327433628319,0.597222222222222,0.35,0.543307086614173,0.518072289156627,0.538461538461538,0.622093023255814,0.567901234567901,0.459677419354839,0.520833333333333,0.435897435897436,0.620879120879121,0.473684210526316,0.417322834645669
"Hera_11",0.412213740458015,0.510791366906475,0.413533834586466,0,0.460431654676259,0.367647058823529,0.57051282051282,0.453947368421053,0.413793103448276,0.491329479768786,0.434782608695652,0.392857142857143,0.576158940397351,0.426573426573427,0.83739837398374,0.555555555555556,0.404580152671756,0.455882352941176,0.547169811320755,0.510948905109489,0.456953642384106,0.851851851851852,0.536231884057971,0.5,0.576923076923077,0.602941176470588,0.418604651162791,0.383458646616541,0.575163398692811,0.454545454545455,0.462068965517241,0.385185185185185,0.553030303030303,0.528985507246377,0.472602739726027,0.54014598540146,0.430769230769231,0.636363636363636,0.601307189542484,0.473684210526316,0.466216216216216,0.517985611510791,0.634615384615385,0.439393939393939,0.5,0.464285714285714,0.438709677419355,0.447368421052632,0.58273381294964,0.535714285714286,0.779527559055118,0.5078125,0.59504132231405,0.423076923076923,0.450331125827815,0.414473684210526,0.418181818181818,0.474358974358974,0.390070921985816,0.43421052631579,0.503225806451613,0.402877697841727,0.555555555555556,0.946308724832215,0.333333333333333,0.404109589041096,0.506329113924051,0.6953125,0.418439716312057,0.457516339869281,0.485380116959064,0.621428571428571,0.446808510638298,0.38,0.388157894736842,0.503401360544218,0.412790697674419,0.54,0.427586206896552,0.452941176470588,0.671052631578947,0.420689655172414,0.398601398601399,0.51497005988024,0.480916030534351,0.467153284671533,0.39041095890411,0.616883116883117,0.404761904761905,0.527027027027027,0.587878787878788,0.425925925925926,0.474074074074074,0.417177914110429,0.50920245398773,0.489655172413793,0.523076923076923,0.407894736842105,0.688311688311688,0.468085106382979,0.529411764705882,0.704225352112676,0.658064516129032,0.488888888888889,0.440559440559441,0.415384615384615,0.381294964028777,0.527950310559006,0.643939393939394,0.346153846153846,0.455172413793103,0.562962962962963,0.561290322580645,0.561151079136691,0.535483870967742,0.407142857142857,0.571428571428572,0.502762430939226,0.40983606557377,0.485549132947977,0.595628415300546,0.37593984962406,0.423841059602649,0.424242424242424,0.5,0.416666666666667,0.472972972972973
"JarJarBinks_11",0.41025641025641,0.471074380165289,0.370689655172414,0.460431654676259,0,0.473282442748092,0.532846715328467,0.41044776119403,0.295081967213115,0.61046511627907,0.341880341880342,0.234782608695652,0.537878787878788,0.388888888888889,0.847619047619048,0.518518518518518,0.428571428571429,0.459016393442623,0.538461538461538,0.495867768595041,0.413533834586466,0.853448275862069,0.536585365853658,0.433333333333333,0.529411764705882,0.611570247933884,0.431034482758621,0.443548387096774,0.548148148148148,0.578947368421053,0.477272727272727,0.456692913385827,0.567796610169492,0.540322580645161,0.352459016393443,0.576,0.470588235294118,0.669230769230769,0.618705035971223,0.504132231404959,0.446969696969697,0.440677966101695,0.585185185185185,0.5625,0.573529411764706,0.456,0.552631578947368,0.460431654676259,0.541666666666667,0.422413793103448,0.745283018867924,0.517543859649123,0.59047619047619,0.475,0.463768115942029,0.479166666666667,0.585798816568047,0.624203821656051,0.535714285714286,0.48951048951049,0.645161290322581,0.387096774193548,0.48780487804878,0.953488372093023,0.511764705882353,0.45985401459854,0.654088050314465,0.619047619047619,0.365853658536585,0.628205128205128,0.589285714285714,0.6640625,0.484615384615385,0.526666666666667,0.462068965517241,0.565217391304348,0.497005988023952,0.631944444444444,0.485294117647059,0.582352941176471,0.656716417910448,0.407692307692308,0.419847328244275,0.63030303030303,0.560975609756098,0.507936507936508,0.478571428571429,0.654929577464789,0.49079754601227,0.515151515151515,0.62987012987013,0.596385542168675,0.413793103448276,0.525,0.592356687898089,0.612676056338028,0.559322033898305,0.552631578947368,0.656716417910448,0.396694214876033,0.540983606557377,0.638655462184874,0.690140845070423,0.532258064516129,0.453846153846154,0.413793103448276,0.450381679389313,0.576158940397351,0.585585585585586,0.496815286624204,0.421875,0.47787610619469,0.66,0.478632478632479,0.651315789473684,0.379032258064516,0.564885496183206,0.535294117647059,0.513812154696133,0.620689655172414,0.609467455621302,0.519083969465649,0.530612244897959,0.512,0.627027027027027,0.485294117647059,0.40625
"Hera_14",0.422764227642276,0.468253968253968,0.371900826446281,0.367647058823529,0.473282442748092,0,0.528169014084507,0.443661971830986,0.457142857142857,0.503030303030303,0.396825396825397,0.401515151515151,0.543478260869565,0.413533834586466,0.858407079646018,0.513274336283186,0.375,0.432,0.543624161073825,0.515625,0.435714285714286,0.872,0.507936507936508,0.48062015503876,0.56551724137931,0.557377049180328,0.403361344537815,0.379032258064516,0.542857142857143,0.476190476190476,0.428571428571429,0.341463414634146,0.525,0.568181818181818,0.474452554744526,0.546875,0.362068965517241,0.607692307692308,0.550724637681159,0.488,0.48936170212766,0.5,0.588652482269504,0.439024390243902,0.503703703703704,0.4296875,0.5,0.436619718309859,0.536,0.496062992125984,0.773913043478261,0.525,0.568807339449541,0.408333333333333,0.472222222222222,0.401408450704225,0.484662576687117,0.496644295302013,0.374045801526718,0.433566433566434,0.517006802721088,0.412213740458015,0.496124031007752,0.971223021582734,0.398773006134969,0.377777777777778,0.529801324503311,0.669565217391304,0.416666666666667,0.51006711409396,0.515151515151515,0.633587786259542,0.435114503816794,0.431506849315068,0.373239436619718,0.517985611510791,0.43030303030303,0.492647058823529,0.460431654676259,0.5,0.676056338028169,0.395522388059702,0.419117647058823,0.518987341772152,0.508064516129032,0.50381679389313,0.465277777777778,0.588652482269504,0.460606060606061,0.5,0.530201342281879,0.464968152866242,0.488188976377953,0.445859872611465,0.512987012987013,0.481481481481481,0.516666666666667,0.469798657718121,0.676056338028169,0.492537313432836,0.475409836065574,0.702290076335878,0.614285714285714,0.503937007874016,0.463235294117647,0.464,0.425373134328358,0.551948051948052,0.636363636363636,0.384105960264901,0.467153284671533,0.512396694214876,0.578231292517007,0.512,0.551020408163265,0.440298507462687,0.526315789473684,0.488235294117647,0.469613259668508,0.506024096385542,0.536144578313253,0.434108527131783,0.476190476190476,0.435483870967742,0.519774011299435,0.449275362318841,0.441176470588235
"Iris_14",0.464566929133858,0.40983606557377,0.5,0.57051282051282,0.532846715328467,0.528169014084507,0,0.52,0.562913907284768,0.368421052631579,0.496296296296296,0.507042253521127,0.228070175438596,0.49645390070922,0.879310344827586,0.463636363636364,0.419354838709677,0.529850746268657,0.256,0.553030303030303,0.493150684931507,0.873015873015873,0.425,0.507575757575758,0.213675213675214,0.549180327868853,0.484126984126984,0.503703703703704,0.26271186440678,0.619631901840491,0.551724137931034,0.514492753623188,0.576,0.623188405797101,0.51063829787234,0.5390625,0.530769230769231,0.6,0.252173913043478,0.549618320610687,0.54421768707483,0.591240875912409,0.305084745762712,0.601449275362319,0.485074626865672,0.481203007518797,0.58641975308642,0.482993197278911,0.385964912280702,0.556390977443609,0.775862068965517,0.587301587301587,0.634782608695652,0.534351145038168,0.574193548387097,0.538461538461538,0.598870056497175,0.519736842105263,0.471428571428571,0.519736842105263,0.530201342281879,0.517730496453901,0.347457627118644,0.993006993006993,0.591397849462366,0.503401360544218,0.561290322580645,0.660869565217391,0.52112676056338,0.579617834394904,0.303448275862069,0.656716417910448,0.474074074074074,0.525641025641026,0.559006211180124,0.552447552447552,0.555555555555556,0.517985611510791,0.566666666666667,0.310810810810811,0.678321678321678,0.457142857142857,0.48951048951049,0.309352517985612,0.601503759398496,0.592857142857143,0.468965517241379,0.571428571428572,0.53448275862069,0.333333333333333,0.345864661654135,0.617142857142857,0.418032786885246,0.550295857988166,0.391608391608392,0.635761589403974,0.579365079365079,0.532051282051282,0.705479452054794,0.560283687943262,0.401709401709402,0.6640625,0.544776119402985,0.56390977443609,0.51063829787234,0.4921875,0.452554744525547,0.276923076923077,0.682539682539683,0.541666666666667,0.514084507042254,0.412280701754386,0.590604026845638,0.467213114754098,0.592105263157895,0.467153284671533,0.192660550458716,0.574585635359116,0.588832487309645,0.34,0.465408805031447,0.528985507246377,0.557692307692308,0.488372093023256,0.386503067484663,0.547297297297297,0.467625899280576
"JarJarBinks_14",0.419847328244275,0.439393939393939,0.409090909090909,0.453947368421053,0.41044776119403,0.443661971830986,0.52,0,0.420689655172414,0.47953216374269,0.266129032258065,0.352941176470588,0.503496503496503,0.411347517730496,0.873015873015873,0.528455284552846,0.4,0.440298507462687,0.516129032258065,0.496296296296296,0.377622377622378,0.867647058823529,0.511111111111111,0.392307692307692,0.516778523489933,0.630434782608696,0.4140625,0.390977443609023,0.523809523809524,0.572289156626506,0.436619718309859,0.427536231884058,0.571428571428572,0.546762589928058,0.402877697841727,0.598591549295775,0.485074626865672,0.689189189189189,0.58,0.481203007518797,0.472972972972973,0.481481481481481,0.557823129251701,0.546099290780142,0.537414965986394,0.366412213740458,0.530487804878049,0.356643356643357,0.526315789473684,0.454545454545455,0.78740157480315,0.527131782945736,0.626016260162602,0.477611940298507,0.506410256410256,0.461538461538462,0.514285714285714,0.589285714285714,0.408450704225352,0.480769230769231,0.591463414634146,0.398550724637681,0.477941176470588,0.953020134228188,0.451977401129943,0.442953020134228,0.633720930232558,0.692913385826772,0.414285714285714,0.601190476190476,0.517241379310345,0.693877551020408,0.453900709219858,0.45859872611465,0.415584415584416,0.54,0.436781609195402,0.575163398692811,0.466216216216216,0.502857142857143,0.66,0.394366197183099,0.359712230215827,0.529761904761905,0.565217391304348,0.496402877697842,0.450331125827815,0.675,0.43859649122807,0.45,0.559006211180124,0.540229885057471,0.423076923076923,0.423312883435583,0.524390243902439,0.565789473684211,0.541984732824427,0.445161290322581,0.66,0.419117647058823,0.547445255474453,0.664233576642336,0.638157894736842,0.518248175182482,0.458333333333333,0.423076923076923,0.411347517730496,0.552147239263804,0.641221374045801,0.423312883435583,0.384057971014493,0.548872180451128,0.638036809815951,0.503759398496241,0.621951219512195,0.343283582089552,0.558620689655173,0.491620111731844,0.423913043478261,0.533707865168539,0.577777777777778,0.496503496503497,0.470967741935484,0.5,0.552631578947368,0.476510067114094,0.333333333333333
"Kubo_14",0.396825396825397,0.522058823529412,0.385826771653543,0.413793103448276,0.295081967213115,0.457142857142857,0.562913907284768,0.420689655172414,0,0.598901098901099,0.372093023255814,0.2890625,0.578231292517007,0.353383458646617,0.838983050847458,0.580645161290323,0.401574803149606,0.40625,0.584905660377358,0.488549618320611,0.355072463768116,0.853846153846154,0.569343065693431,0.466165413533835,0.56953642384106,0.606060606060606,0.403225806451613,0.428571428571429,0.596026490066225,0.512820512820513,0.416058394160584,0.393939393939394,0.52,0.518796992481203,0.380597014925373,0.562962962962963,0.428571428571429,0.640287769784173,0.640522875816993,0.518796992481203,0.421428571428571,0.4375,0.62,0.518518518518518,0.551724137931034,0.440298507462687,0.496815286624204,0.424657534246575,0.615942028985507,0.382113821138211,0.768595041322314,0.495934959349594,0.598290598290598,0.525925925925926,0.427586206896552,0.443708609271523,0.5,0.559006211180124,0.443661971830986,0.503225806451613,0.569620253164557,0.338461538461538,0.587412587412587,0.944055944055944,0.462857142857143,0.423611111111111,0.622754491017964,0.680327868852459,0.392592592592593,0.580246913580247,0.578651685393259,0.692307692307692,0.433823529411765,0.43046357615894,0.406666666666667,0.492957746478873,0.43859649122807,0.58,0.447552447552448,0.531428571428571,0.657534246575342,0.384057971014493,0.384057971014493,0.60919540229885,0.537878787878788,0.510948905109489,0.442176870748299,0.629139072847682,0.458823529411765,0.547945205479452,0.615853658536585,0.526627218934911,0.412698412698413,0.45398773006135,0.580838323353293,0.551020408163265,0.512,0.47741935483871,0.684563758389262,0.455882352941176,0.53030303030303,0.681481481481482,0.653333333333333,0.565217391304348,0.438848920863309,0.449612403100775,0.435714285714286,0.591463414634146,0.637795275590551,0.415094339622642,0.442857142857143,0.564885496183206,0.608974358974359,0.562962962962963,0.592356687898089,0.368421052631579,0.573426573426573,0.477011494252874,0.459459459459459,0.593406593406593,0.597765363128492,0.489208633093525,0.483660130718954,0.514705882352941,0.615384615384615,0.479452054794521,0.394160583941606
"Wolverine_14",0.587878787878788,0.453333333333333,0.560975609756098,0.491329479768786,0.61046511627907,0.503030303030303,0.368421052631579,0.47953216374269,0.598901098901099,0,0.539393939393939,0.546511627906977,0.389261744966443,0.538011695906433,0.901960784313726,0.601351351351351,0.546583850931677,0.609467455621302,0.389937106918239,0.636904761904762,0.525714285714286,0.888888888888889,0.506578947368421,0.601190476190476,0.375,0.639240506329114,0.559748427672956,0.536585365853658,0.422077922077922,0.601063829787234,0.590909090909091,0.562130177514793,0.658385093167702,0.650887573964497,0.558139534883721,0.602484472049689,0.58641975308642,0.658536585365854,0.448051948051948,0.626506024096385,0.584269662921348,0.641176470588235,0.454545454545455,0.608433734939759,0.530487804878049,0.588235294117647,0.579787234042553,0.5,0.5,0.654970760233918,0.838709677419355,0.674846625766871,0.741935483870968,0.580246913580247,0.561111111111111,0.538461538461538,0.518134715025907,0.538888888888889,0.491017964071856,0.497142857142857,0.556179775280899,0.547058823529412,0.425675675675676,0.965909090909091,0.44559585492228,0.534090909090909,0.573770491803279,0.745098039215686,0.566473988439306,0.55,0.289156626506024,0.670731707317073,0.547619047619048,0.502793296089385,0.516483516483517,0.607954545454546,0.463917525773196,0.573099415204678,0.578651685393259,0.363636363636364,0.664705882352941,0.523255813953488,0.540229885057471,0.335365853658537,0.658682634730539,0.625730994152047,0.461538461538462,0.64,0.457894736842105,0.432258064516129,0.407407407407407,0.518518518518518,0.55625,0.510526315789474,0.414201183431953,0.597701149425287,0.660493827160494,0.491525423728814,0.702857142857143,0.614942528735632,0.519736842105263,0.725609756097561,0.613095238095238,0.595092024539877,0.606741573033708,0.574074074074074,0.475609756097561,0.341772151898734,0.708860759493671,0.478494623655914,0.552325581395349,0.530201342281879,0.637362637362637,0.56687898089172,0.584269662921348,0.558139534883721,0.412162162162162,0.512562814070352,0.450980392156863,0.301775147928994,0.491978609625668,0.539393939393939,0.52247191011236,0.552795031055901,0.299435028248588,0.570621468926554,0.487951807228916
