"","Buddy_11","Joans_11","Padme_11","Ginger_14","Buddy_17","Ivy_17","Padme_17","Buddy_18","Ginger_18","Ivy_18","Franc_19","Ivy_19","Ginger_2","Ginger_20","Buddy_21","Joans_21","Franc_22","Grogu_22","Henry_22","Joans_22","Marshmallow_22","Franc_24","Ivy_24","Marshmallow_24","Henry_25","Ginger_29","Henry_29","Joans_29","Ginger_36","Grogu_36","Henry_36","Franc_37","Grogu_37","Grogu_41","Joans_41","Ginger_42","Grogu_42","Henry_42","Ivy_42","Buddy_44","Franc_44","Ginger_44","Ivy_44","Joans_44","Marshmallow_44","Buddy_45","Franc_45","Grogu_45","Ivy_45","Joans_45","Marshmallow_45","Buddy_46","Charles_46","Ivy_46","Joans_46","Franc_47","Ginger_47","Marshmallow_47","Buddy_48","Charles_48","Franc_48","Grogu_48","Ivy_48","Joans_48","Marshmallow_48","Charles_49","Franc_49","Ginger_49","Henry_49","Ivy_49","Padme_5","Buddy_50","Charles_50","Franc_50","Ginger_50","Grogu_50","Ivy_50","Joans_50","Charles_51","Franc_51","Joans_51","Buddy_52","Ginger_52","Grogu_52","Marshmallow_52","Franc_53","Marshmallow_53","Charles_55","Ginger_55","Ivy_55","Buddy_56","Franc_56","Grogu_56","Joans_56","Buddy_57","Joans_57","Ginger_58","Henry_59","Padme_6","Joans_60","Marshmallow_60","Joans_62","Henry_66","Franc_68","Ginger_7","Padme_7","Charles_9","Franc_9","Grogu_9","Henry_9","Ivy_9"
"Buddy_11",0,11.5301039761996,17.3961921954094,18.2931880071666,11.7589619015679,14.5979624872691,28.0932786856856,18.8940206044498,19.4703446564365,26.1090132898183,14.883244943792,24.7699828660857,13.8972777653236,17.6259934969935,15.7114551474747,21.0580139450808,16.8257346275649,19.6566771047267,15.0926284140719,16.8035401940006,16.2459511838444,16.4551331944697,25.7387314143209,20.2161650664552,15.2230841502121,18.0608503970609,15.55492503784,15.3041646713547,16.4005108109699,18.7126165616451,16.7403772211597,17.3024195838649,19.1705033483797,17.6928302276402,15.9296175457821,14.8752258640725,13.609112556308,20.3544046239427,22.9587633545868,15.7530304052205,23.4849093045498,19.4287737091934,19.0250178879624,18.8242022135627,15.3344085925837,17.5813182427771,16.8399549924965,16.2446323650509,21.2840570304161,18.0714337517754,16.7214549759518,18.6867832127175,16.4698394665953,19.6363813467237,17.4435440045761,17.0570095424297,16.7955257284688,12.5284501538099,16.0344448380276,21.5411898265379,20.1308827672099,17.8523325137918,21.3379865362619,15.0577215175825,13.7841151725558,21.432818562009,20.2473751531612,18.8150240522,16.9107332472046,17.6329056844677,14.513287727636,15.4524062496729,18.420450562084,19.8029955971169,17.8191094659922,16.9853784941158,18.9267554134234,18.3396605504844,19.3049306886815,19.5206697294322,20.9824755305309,16.0817854521254,18.0198270795237,17.1377167496467,15.6632862250789,18.7041731608017,17.8596824860399,16.997637656448,22.2959552909016,21.8577531162948,15.5901357673301,22.9767254205755,17.9094916714219,17.8248302766621,15.0779714281452,15.2985676338192,19.5825411936551,19.3009879767906,15.7123683050959,15.7291647343362,14.8456599896607,16.8394903995485,20.8267531026422,14.709307637991,17.2749399186269,15.2267563375389,15.1922730122779,14.6140719490977,13.7700991610498,19.7527235565959,16.5793074011677
"Joans_11",11.5301039761996,0,21.8028462242129,17.1323310712799,14.7129487197194,13.6460784055011,28.9491119761952,18.4639372142124,18.2743244026352,26.7365103136813,15.0316420485796,25.1195493368637,13.4596134995622,17.2139302583307,14.977357100423,18.2887175010729,15.6533982712918,17.6411956241057,15.2217580447681,19.3349638089265,13.5216231977037,16.8069630851982,26.7365877182898,18.6548622162992,15.9285530600522,16.3378996254894,16.1872406187238,13.1492672920158,16.1047159154159,17.1523960463513,16.8915158646624,16.800167033539,17.2084964620103,15.6442598432205,14.0908743412095,15.6044700097056,11.314697521087,19.8581375825122,24.4113191234964,14.5085071421287,24.2384913722386,18.2601115167356,17.0659531066183,14.0682711586193,12.5341678959955,12.7750229486729,14.9766254362654,14.6451699303309,21.7551560914066,13.3635363398498,14.6880610917487,14.4997232663897,13.4863219527513,20.2269450379663,13.0393064540568,15.3251739391758,16.1947011495705,11.6172811962138,13.1213452005109,24.4204916450175,17.875246493841,15.790090710918,22.2842844148809,13.1240966701871,12.8531426326708,23.7542731359373,17.8086604477176,17.6797989313815,15.4919696422919,19.1371667947238,17.9335358149746,14.8222157270558,20.2351419030565,16.5351349617778,16.5351976327153,14.3556641928964,16.2768294450066,13.706776847261,21.311794154487,17.4992595604489,16.2095858798317,13.2875976511905,16.5221264166605,15.4579522898061,15.3889351328069,16.2603291673941,16.0653169094066,19.0612080690595,21.1520368103354,22.4451665210439,13.804138026764,23.8635719367233,16.8337360187779,13.3366295879964,12.4728991540297,12.7712422322517,18.1124849980692,17.7607114682443,19.5984465411309,12.8735368198808,14.2528745094847,13.2285375589785,20.7368467288212,13.2944705270712,17.2740140882282,19.8203900403621,19.8276563135062,16.0417106845848,15.8829627117884,21.7241314301054,17.7498956782072
"Padme_11",17.3961921954094,21.8028462242129,0,21.9179759705361,18.0153313632205,22.7152652527977,26.7079113864705,21.4637606366468,23.3807186862542,24.8927116909822,21.8784885700143,24.8775536734898,20.5649569141733,21.3903889872601,20.5040493639971,23.6454080364967,23.7035347256978,23.5946839285837,20.6088054987759,20.5420032490344,23.9534403683778,22.3161927530308,25.7313052273453,24.1061056324835,20.6268317395424,22.7914325376217,20.6280614426241,21.6693422153818,21.998100149399,22.9427586218821,19.99969067919,22.8054314008075,23.4167556085294,22.7994025675712,23.7097394357354,21.0748328285182,22.6688766013901,24.2409641602705,21.7632687711216,22.1270844313122,23.21801179007,24.5590318323444,27.3927276386402,25.9495648068212,23.6902184126419,25.0602731107606,24.6985469080299,24.8058854044822,23.5242811351993,25.6634369459102,23.3631616607934,24.839408327823,22.8135601667142,23.2692520970157,25.046375991841,24.1920496513724,23.2788172197601,21.9675700007023,22.2996630784306,17.0965592026798,27.03455668019,23.3193015558297,22.4351097236377,23.2409517550488,23.2515511468186,17.2873268270601,27.1186308977854,24.139893034028,22.2111717922989,19.3036817912125,19.2376696718284,21.8390554403791,20.4492383498228,26.5707654466296,23.2756001084637,23.6427334389074,26.1063341292476,25.3445400912786,20.2201448392864,26.4192183198822,27.3250895544179,23.3050955545361,23.5395338141777,23.0291197055022,23.8355996340691,25.7639667064528,22.5030113918284,20.6710720775615,27.0688982344732,24.9696674747205,23.3385560084288,24.8672405333944,22.428932382294,24.8400867216693,22.3955276695508,23.2907295774968,24.4400345132211,23.713608233478,18.5789032767021,23.7170442385086,22.8886566679291,24.7846176671134,23.6040992580078,23.4609516964501,23.8005062889038,15.5415475829295,11.2182635237302,20.8807537980704,20.193531274543,20.3980582007213,23.0754961420478
"Ginger_14",18.2931880071666,17.1323310712799,21.9179759705361,0,18.4119381440988,16.8121842173097,30.3455797565858,22.5842280269216,14.7424548841054,22.4295136930316,16.9374680663057,20.210731883377,20.3090327316843,13.4325199995428,17.1166961403385,20.3988493101363,14.3052877882393,18.2367145759819,15.6171422461711,19.5360359914933,15.9397232033955,16.5891359911654,20.332877409335,17.1738515059171,17.5669354006658,10.3913292670643,16.7334808467022,16.1194229019537,12.7577242049002,18.6723386458465,13.588290369294,15.7773528995235,19.0071401807162,17.3743947209696,15.8384562988562,17.1553652312968,16.9807837951967,11.8894116062321,20.0901971320066,17.7099994103858,18.3785189170864,12.0167510623224,17.0186388614309,17.9029965048451,15.9757415902768,18.0056332820639,15.7622681350396,16.8995898726051,16.4539138864558,18.4644361767043,16.4798699438401,18.332795056155,15.7053943935451,14.2117936492175,16.6105562792566,14.5246773201026,15.2741591529584,18.8246781780809,15.989452362439,23.2694762733282,16.1281679463413,18.0236110448571,16.4508060126607,17.356278330404,17.1942268133268,22.9121492482398,16.1584054317616,11.7550982262483,12.6045714124474,15.5474468859107,22.338690731347,18.7492478284647,18.9648435022255,16.4827476745561,11.1169826250329,15.9363042367672,15.0654574655728,17.7992755693253,19.8061675791221,16.7487803015044,20.0231478459787,16.8190560203186,11.8015205071058,17.2455692016388,20.1802020607911,16.2347192657444,18.1492511362699,18.8179149889368,12.5997615734824,17.9868861750056,18.7366534437907,17.4944991692551,17.6722197020392,16.7029870524898,16.332326163091,18.8951429045891,10.9035004702911,14.92431096735,23.1113582648623,17.219152915442,20.0573650312936,16.8778816093569,18.0010378003054,16.6397376188042,18.9135035014524,23.2341775870127,22.4338180339999,18.7493811114989,16.2510993392215,21.7512116192172,19.4085469872387
"Buddy_17",11.7589619015679,14.7129487197194,18.0153313632205,18.4119381440988,0,16.4812892241348,29.5991745150297,20.1198763790163,18.7762436092015,23.0515335095108,16.0007975069119,22.3464788821909,16.0536888201251,18.2918053491553,12.6687421354091,21.7167228928548,17.8752941155552,19.4660693119682,16.9719598019954,17.9151219871207,17.6328190412031,17.3603568471047,24.2944350022636,20.298698897956,18.246763337925,17.8982255275877,17.5998475228182,13.8568674871015,17.5034049960572,19.2105555078352,17.4044221232889,17.5774369054896,19.8099002090551,18.2960193134764,17.8516843864195,17.5724701416278,15.9430875415187,19.6435732548211,21.6682545737493,15.8351775887615,22.1159850333237,19.502004180014,20.6056886380913,20.4903905208549,17.0223171758693,19.2796044899651,18.4485090882154,18.2778451554337,21.3583507820839,19.6851310340497,18.0357583763593,19.8581473020664,18.0086633322819,19.924289996853,18.8193443861199,17.6616025167209,18.2053647640154,16.0020401749522,16.5124584362301,22.107902850834,20.8222327234354,18.3502372701081,20.9690536298775,16.6408855737605,16.912864553556,22.564279223006,21.2281986264724,19.1611722183732,18.1559465404515,17.6209812118744,18.2084287509507,16.1894818052767,19.5318689488167,20.0672128309019,18.1605513621081,17.6658566485588,19.6727819739688,19.8404407334161,20.2171374564581,20.2626716358156,22.5563341150506,16.7198356343788,18.0188927976678,17.7592487101182,18.4212778031626,20.0032741297062,18.5968381242172,17.3554362235884,22.1722992042483,21.6804559495074,18.2254372288931,23.0537885566186,18.8225473197895,18.9121356895971,15.6385341108462,17.3201653548909,19.6317098439466,19.6244683007137,18.6101865273172,18.0260742630484,18.1829483635629,17.7782878622479,19.8342097276056,16.1752111864761,19.4958443132993,16.9361561240545,18.5195940947346,17.9933016646172,13.261509302226,18.6258274488871,17.1660541124255
"Ivy_17",14.5979624872691,13.6460784055011,22.7152652527977,16.8121842173097,16.4812892241348,0,29.6142032747752,21.8381946246062,19.8611196842813,25.8408106281477,7.94274508030959,24.5940099546012,17.9959675840131,18.6442390008896,18.4449575068882,19.8969180195339,9.68316186856482,18.900615524381,16.2571648380503,19.1021045646964,16.6624805258081,10.0161678681714,25.5520356848563,19.5730738186495,17.4694098963134,15.0372299782017,17.3359512076696,15.508275424647,14.8688754152693,19.7351804884875,18.152676955127,12.4107336216936,19.8793584376278,18.2506379545081,16.5079595421123,17.0551087800641,14.4107501094111,18.0294884093936,22.3917328247955,16.9415337438256,22.9419605970254,16.1579321786626,13.0021809956527,16.5456046005798,15.4623184164425,16.2907990036074,9.93862555615555,16.5679389406766,18.8226194010877,16.1469937323626,16.8820976311604,17.3499987519659,15.39326294076,18.75053777523,15.5562262510269,11.9651140191721,15.4219341146958,15.2861050255205,17.06474567154,24.9291456523743,13.485280547814,18.1192411130915,20.0428203407151,17.4157043785636,15.8171823016918,24.2635059181298,14.3245927101023,16.1688983079655,16.0762589239218,16.6629293905575,19.7020075426016,16.6774565697316,20.9683484693377,13.1816494345069,14.9947596573803,16.6506786551073,13.1933534833794,16.0368372642655,22.08107770873,13.110908348005,18.2065121107352,15.0770861863179,14.7059491620586,17.4943728542134,16.8942496113428,12.320569148802,18.0101688282411,19.1046259194598,18.8171417688118,19.7362077530626,16.1578283836521,20.7615453958524,18.2589841361124,15.937782363237,15.8225607104211,15.2935004409808,16.5019861848753,19.2276240439043,20.3280768177568,14.377942468878,17.0736378693322,15.0998657640592,20.9955383096295,10.5275597671777,17.5913309372157,20.7789147830559,21.2666908668537,16.3440198455611,13.1549092682663,22.1357278374766,17.101846697127
"Padme_17",28.0932786856856,28.9491119761952,26.7079113864705,30.3455797565858,29.5991745150297,29.6142032747752,0,23.0357934289258,31.2992649078667,33.421545433484,29.7987247985635,33.176572616198,24.3888804208289,30.6948618639532,30.8915619704045,28.8725245567641,31.5556822939207,25.4600727643979,29.6570788598412,30.2339471840905,29.9845109160432,31.2943719655062,37.6121705077799,28.4284430129361,29.6570490153542,29.7012670330731,29.7999661132787,29.4118677253575,30.0748345502016,25.2840387730059,31.3814967609145,32.1645807579124,25.1545502758188,25.3404583699965,30.7913698597205,29.584480442387,27.2760605485532,32.2831655781625,32.1111934550902,31.0916508980549,32.9400355025693,30.7760086815583,34.8508155005042,31.3379855632102,29.4694859864969,30.7014507949835,31.6717616628831,30.875379496106,31.1680900432717,31.104168161184,27.940425347622,32.1271888578255,30.0202988428703,32.3084000703333,31.2774853647779,31.5184771080538,28.6686823722845,28.2607043223978,29.0873327081025,30.8880538999867,33.2434186335725,25.7106935922306,31.6613922623345,30.915026553206,29.0504342300097,26.2656167080912,33.4433261493204,29.9077240139663,30.2829276438458,29.9018730410241,26.9843356361668,29.5075257239312,30.6273313094897,31.7562336655948,29.8158717558465,27.5954920892452,31.8121232214991,31.285190227411,31.9282974577214,33.1368457629501,32.3583465804205,31.1337085647389,30.0233600255238,27.4430559627658,28.0812598445268,31.4558947775297,24.6176672798788,31.4325558648112,34.8137212931035,32.7245592003057,29.0659310139159,33.9761763944036,26.4773440037475,30.7929772998582,30.3769617684566,28.5880145795091,30.9811646685159,30.0002750014189,26.6949826244769,29.8890721595376,26.5383533149623,29.7416340543275,32.8194535584982,30.5590557553087,29.12912703984,26.3396453417971,25.8060234216775,25.2657162361164,30.3418038573206,30.6091311702898,30.4729943728507
"Buddy_18",18.8940206044498,18.4639372142124,21.4637606366468,22.5842280269216,20.1198763790163,21.8381946246062,23.0357934289258,0,23.4895453617645,26.8426833686937,22.6203490983043,26.3972049057235,14.6006010133486,23.6682562999183,21.3423802370102,17.1932034727339,23.6719713564632,16.69923701511,22.5944836209062,23.3895958258487,20.5686095642117,23.7480044374333,30.0791166338302,19.8273532859605,22.3234832085869,22.5198427245996,22.4936512996922,19.5208338457027,22.6235608641424,16.2636518248451,24.1868887392191,23.9148570823786,16.5010597700396,16.0146110603897,21.0922584426362,22.4685500869628,17.6022047308987,25.4239008391512,25.6207955140435,21.9345662204761,25.5548124865644,24.4004783169848,25.6301663214436,22.1756181508328,19.9682193674311,21.1195540978326,23.1235628594364,21.9301945445489,24.4673058435524,21.7423444130656,19.166424564155,22.976713421948,20.8329255140055,24.7724067185132,21.5371004976921,23.5759465818687,21.5898992798939,17.9043331744547,18.5794095280708,24.3941194351146,25.2446287559606,17.0078339457025,24.3212600251205,21.0234795814995,19.4188781363792,21.3546471682189,25.4706161257424,23.6466654653877,23.0796720890759,21.7295129796513,21.6170018153844,19.3375203878335,23.9606013197972,23.4428145203481,22.5719967643262,18.4839773700315,23.4337361002477,22.1069062754347,25.086235462479,25.1476871322888,24.1662335077713,21.4955339750948,22.6831114643709,18.3519231552887,21.500873721823,24.1362932259301,16.0003336869362,25.0051681068705,27.432555416165,25.4299784486432,18.8024844697044,26.8488852712843,17.6082695418779,21.8017912726756,19.9900192227837,18.247225719022,24.2066415078343,24.4830705072207,22.393130816868,20.5821361628891,19.2503839265572,21.4917867656317,26.1046686787046,20.699563980348,21.818380724178,21.3574651862207,18.8441947344609,18.7760604519829,22.0808785722351,23.5337113699581,21.3104266243256
"Ginger_18",19.4703446564365,18.2743244026352,23.3807186862542,14.7424548841054,18.7762436092015,19.8611196842813,31.2992649078667,23.4895453617645,0,21.3019551812677,20.0180620590935,19.9845502492332,20.5659402382872,11.3050679054915,16.5381848420194,22.7399605870049,19.9711557712741,19.6486826680263,15.7399166195496,20.5473517111803,15.9732309829718,20.6647975854213,24.2421213048444,20.7553983041535,16.7371764294245,13.4752717833012,15.3731682944771,17.5693296615994,15.7200400182239,19.2555164446168,15.9500668948566,19.2649216005368,20.012193836757,18.5126768374256,20.8029920726587,16.6639607170955,17.997878650027,15.5795557074891,21.6923063680686,17.9102620075299,21.7240773973376,14.3066528246829,22.6043001078115,18.6989914810898,17.6086563642884,17.4744995193909,20.0354665779549,17.6726548925694,20.5931071638798,18.1658368496655,17.6978781638265,18.3638426766389,17.3721097987526,17.9326074675566,17.40889454774,17.9187969469607,18.1132911471185,20.4632208593314,17.0517727840296,23.8886474852716,20.3065612254355,18.5205412886918,20.2061468569866,17.7335355907661,20.2674110493623,23.3350533515178,20.6410734576692,15.718514927546,13.5929368404876,19.0382215738453,22.4401632902918,19.3692210933102,18.2727263420513,18.9928051830443,14.2703045837208,17.951689804493,18.3763733689356,17.16048828818,18.5547323178344,19.2445988742756,20.0628882839348,17.3911753100739,14.4100405084869,17.9554901447816,19.8327699150879,18.4033032981287,18.8492047449495,16.623246263497,17.3737950243102,20.3128219456596,20.446392427215,22.2599051513305,18.1793797542222,16.9416747378773,15.3910309202813,19.9793208756657,15.7356756524171,12.7710320949611,23.6667035327154,18.9902464623825,22.2115163515447,17.1010275945794,13.2267841439496,20.2355673193549,21.7510296912908,23.759130482231,23.1528400746079,21.743913064625,19.1603697648285,22.2677183959422,22.5691439284834
"Ivy_18",26.1090132898183,26.7365103136813,24.8927116909822,22.4295136930316,23.0515335095108,25.8408106281477,33.421545433484,26.8426833686937,21.3019551812677,0,25.133851189639,9.88313407438396,26.5094610781913,21.5502798313112,23.4555697223292,27.7465240029619,25.4942305671973,22.963052489951,23.7745975347102,22.8542005366906,25.4617434996775,23.9649190656726,18.8608411827435,23.13074465191,25.2244446687255,22.2939997272037,23.449070342176,23.5934147924449,23.3431821104591,23.085785747439,22.1759623958827,22.5580035102746,24.7779140362761,23.5787627249726,27.8782500522193,25.0854742341746,25.523480891097,22.4402051702913,13.3059705720495,23.1195724957897,20.2922015252083,23.2977282888907,28.9630625628234,27.4579424448129,25.9975159053835,26.9789301202046,26.3805195621499,26.7029331055655,21.8142182611345,26.9969818575903,24.1377299672777,26.1452664912586,25.5522405754648,21.4847835470365,25.9748617159278,23.5573434174046,25.865674159757,26.8953104009076,24.2249831798575,24.0048094821292,25.959817160378,23.9716351117508,15.9840839755491,25.7689547120482,28.1219634138434,25.4246934691229,26.0248879024301,24.5430348832634,23.222850628834,17.8118344773618,28.8177247926515,25.7350133491103,25.2181799471879,24.9967071253712,23.0320520054959,24.0265130024264,24.8124023031438,26.1826825296874,24.681633459495,24.7539926771779,28.4370564873585,24.2731566051462,23.1074783591272,23.2522341682015,27.4643516912527,24.7834098600834,23.366139084021,22.4179855727213,25.5339337257514,18.1757689885784,27.458895034415,20.3934881084493,22.3371811728678,25.8666736134196,23.7413224344381,27.0012201022237,24.0993060742321,24.6854527601956,28.0502418370682,26.7416806641019,29.4419784689233,27.6667094369922,20.612628435143,26.3593609699546,29.0163161668341,26.3497884912608,26.5603609437894,27.9717352096104,21.8478087058534,26.1735558049235,24.8043361275824
