"","hera_1","wolverine_1","hamlet_11","hera_11","jarjarbinks_11","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","jarjarbinks_15","kubo_15","iris_17","kubo_17","wolverine_17","hamlet_18","hera_18","iris_18","jarjarbinks_18","kubo_18","wolverine_18","ophelia_19","wolverine_19","hera_2","jarjarbinks_2","hamlet_20","hera_20","iris_20","korra_20","ophelia_20","hamlet_21","jarjarbinks_21","korra_21","kubo_21","hamlet_22","hera_22","iris_22","korra_22","kubo_22","hamlet_23","iris_23","korra_23","hera_24","kubo_24","ophelia_24","wolverine_24","kubo_25","jarjarbinks_29","korra_29","jarjarbinks_3","kubo_30","hamlet_31","jarjarbinks_32","hera_37","kubo_37","ophelia_37","wolverine_37","hamlet_41","hera_41","ophelia_43","iris_44","jarjarbinks_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","hamlet_46","iris_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","ophelia_50","wolverine_50","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","ophelia_55","ophelia_57","wolverine_57","wolverine_58","hamlet_59","iris_59","ophelia_59","korra_6","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68","hera_7","iris_7","korra_9","ophelia_9"
"hera_1",0,15.0474434634958,12.1958476851943,13.8000188959128,16.9315275192629,11.5458897033559,20.3066365891833,15.7879011362625,17.1169822212502,19.6744976679879,15.1687525010812,15.1657251002402,18.3954803721155,14.4622505276668,14.1265996018775,9.5812057958109,10.2518790791987,19.1271531564275,13.0346762069112,12.3764186790045,14.3455777844957,11.5755744603024,19.1618023645066,15.2623961183878,26.4702438966699,13.8307965505477,11.5243214621296,17.5095309576048,15.8143145431681,15.5384568177849,12.1392837269448,13.68043742812,14.6166378864501,15.1530854439969,16.1500857119482,18.1261263241562,18.1800961016729,15.3567107018577,14.7460810317528,11.3708957288709,18.3384275500321,15.2268543001237,10.0815370787473,14.4051424834649,15.0244995870723,15.1422766489601,14.9166263857053,13.5523458283198,16.0530059403596,11.1379012364485,16.1445908177597,12.9758497649733,18.6651501444151,12.0494453975901,13.9916397110233,17.8803574702143,17.1983967816282,16.1061473483623,11.7937419645988,16.1722289764908,19.936637839006,20.6390801847407,12.7559701450118,14.3790816706898,19.8080172913486,14.4977833459501,16.437332061945,11.9842984152217,20.5469802622465,11.0480973030778,12.0390408418899,20.4539173283609,15.6752310945559,14.0978982978178,14.3925626444517,16.8115488182302,18.8292231942892,18.073569966378,15.7558882623118,12.3421071157977,16.6164371304709,18.9363090765844,15.2776089297816,11.862426942318,14.8234509654322,20.960186291701,17.125188335864,12.3131853613246,14.8871251026461,11.1062855239012,14.7467817656696,17.433335331432,18.0959565498901,15.6171239444315,17.9458173116984,16.955573694925,12.6870528915775,18.3130112700416,20.5750163082637,19.0094026811328,22.1921936100582,19.7748748802744,16.9816876353379,12.1594314806105,15.1816705398537,7.84288873689836,22.1658539294256,13.0320370536573,12.217628131785
"wolverine_1",15.0474434634958,0,16.1499893101805,18.2352499292836,16.8641667478866,16.2698190782607,15.7269575054625,16.1948477642163,18.8865973632189,16.0837254774497,15.2702002126666,16.1086812715257,15.1108525242187,17.3235825967192,11.3181767959627,13.6152397615746,14.6168371853148,15.1173083057851,18.2656703994018,14.9651351980066,10.051208666633,15.143158189082,15.2585567091642,21.2371682703684,22.0161777052054,16.735619642854,15.0013217211546,14.6334424698125,20.9493584083406,18.0454840562951,16.0070702597979,18.9326722928192,19.6954366806041,16.9771707361506,19.1831728256677,21.0230376391688,15.1892635947641,19.5993582228534,17.3621408743716,16.6453029302619,17.3648027232493,20.1097551468262,14.6488275213837,19.681016880704,15.8973101184568,11.1173291088307,17.0660691441754,18.5852788590932,20.2215428528353,17.9700104058626,18.1469739205323,17.149805684985,23.803308020628,15.4421192415738,14.1482103108607,19.9609703278038,10.6852957958197,20.1103280989177,16.0982455510834,17.881312450004,16.5095902046797,23.5376165064821,16.7426805446321,17.7608771469858,21.262597090984,20.6949464520965,18.2722439669913,16.9315764118879,18.2650235868471,15.9829756082335,16.1681721605218,17.7612027585574,20.635938383288,19.8262065669101,13.8568277916142,17.8425082637512,14.8772047025061,17.0045362316817,20.8645167183193,12.2625978492617,19.2938918476239,15.2721098672438,21.1036063761238,18.8400057668835,14.9383292142813,22.909275988153,15.0721982293938,18.1716892912952,19.5539572380469,15.9754622297955,13.5443947826783,15.0676704721208,20.2258097617641,17.541709367849,14.3899122425907,13.3129811449656,17.1221535736159,15.4034517574292,22.8223144253553,20.3955263387063,19.4212028076713,16.4942237234077,18.8219288801718,16.2829481023029,19.3800535900471,16.304475816404,20.995953264474,17.7928109221034,14.4949395560478
"hamlet_11",12.1958476851943,16.1499893101805,0,10.1266878634833,14.4401632620662,9.37831035440795,19.2024947518517,15.1509914811391,16.1941492782606,18.6172370552458,14.6133335578492,15.0938138366476,19.3260885011302,17.7878358471504,15.8047323153096,12.7230459515727,14.2672927445521,19.833095731277,18.1537337263268,17.4670296247727,15.6123952755052,14.8438001469225,19.4637655668806,17.6737722463301,25.2362529907874,14.3297177967972,14.2521693338103,18.1843831318858,20.4270935483327,16.2825904621851,13.8020030031325,19.0647278899013,19.7195920430728,18.2448403309456,16.2090670082745,20.3895505432801,19.9353609863179,19.6948059010713,18.0550329492097,10.4568175633776,19.9596286315688,19.8405979248222,12.3662470446568,19.3690970935125,16.2415517922047,16.3021343587273,17.3601798208728,18.4967069608733,19.461108379845,17.4529983404307,17.9445677781005,14.7421596556281,23.0040127429387,13.2271998088469,14.1523387602396,16.6507012333972,17.1226001876825,15.6849417939432,11.5488477086874,15.3312702496742,20.7562442279938,22.9665612743164,12.8703915442985,13.28449826142,19.1139022756963,19.7423536311727,16.223756165616,14.4328254038008,21.0128039052581,12.7558539304197,13.0506463044002,21.5210586648696,20.0030042643518,19.2474951568635,15.8139249603353,16.437438748852,18.9060928578872,20.6921884796216,20.5237284407387,15.6263847849879,16.6535817458452,19.1662142888803,20.6156607511056,18.4954392385346,17.8326264675127,19.3800812246457,18.1523425482798,18.5152878163536,18.946377497251,11.9266206846715,16.650035618476,18.590096674572,17.1535027725256,16.2013122817996,16.9990718358037,16.8430904392146,11.626477108828,19.6553576096636,21.2515696125967,19.8693843637563,22.6831799675794,19.8009918321505,15.6188232041584,15.276641489291,20.5483762255727,13.5145157714066,24.0218474342489,18.5994776663083,13.2653362673574
"hera_11",13.8000188959128,18.2352499292836,10.1266878634833,0,15.2229703937457,9.89971183737786,21.846289380977,17.0052197305724,14.6030235680597,19.2284237074097,15.70616109702,14.1501882968803,21.0613025924783,15.9948063333588,17.27176545217,14.3942329906188,15.4081048455307,21.6591542956631,18.1320594127841,17.8629529683993,17.4566613865264,16.8621711986922,21.5715346397499,21.1531827858241,28.0591430492185,13.8459814178573,14.8689580058558,19.8498296777002,17.2050501321637,15.5965520491313,13.123523043614,18.6780706270833,17.4383725069759,17.6105727181069,13.5852037791129,22.1548900415256,21.2690864611491,17.206964768892,17.4623951139341,13.3596068224139,21.5336907827428,16.6885681365297,15.1087634233931,16.2336944505921,17.8024632889818,17.9450484388563,19.7552189641497,17.3328467734819,16.7251566505712,17.0598283438573,17.3386736405072,14.6098912499021,19.5200454821757,14.8596704076333,13.9505781756478,13.6451887423758,18.7823024315039,12.8395338539901,12.1711428830672,15.4978767698814,21.6989294165374,25.0022576187141,15.9885925059458,14.7691875245531,19.3772263270732,18.13365150622,16.1527166817018,15.7911431724653,21.0847312606882,14.8055898568742,13.69673117485,22.0115369466081,17.7653237044486,17.1814033788119,17.0911791649328,17.6964308478255,18.4526702955046,21.1794835687821,17.9915318510375,17.4380606829994,16.324045951196,18.4760453635428,19.2361887982296,17.874192130568,17.7999649395958,17.6575735116361,16.7467411119665,17.9686717525132,16.5589873022881,12.5254297732258,16.6948657847874,19.7642394267185,15.2381235440064,17.4300234249408,16.6367845115503,16.6777910263471,11.6446252246566,21.2305993887005,20.4738874061826,20.126269504921,23.7488273361952,20.3158524510556,18.9328977012797,14.7042564362965,18.9073025546028,14.8042846907167,23.4827115685331,17.9903616939599,15.6794267838961
"jarjarbinks_11",16.9315275192629,16.8641667478866,14.4401632620662,15.2229703937457,0,16.2239471333634,20.0812389458597,17.281745116898,10.2552618713241,20.923902918028,16.0312905740952,7.83676665682759,20.6230300444707,15.2485058441556,18.2645004451986,17.6050260732569,19.0460675942253,21.381399480502,17.8765750854637,17.0586632673324,17.6238609322366,18.7559187364866,20.6023458405103,21.6180159280369,26.5591978417597,16.7286769316873,18.5501647019157,19.8108598648422,18.9315442813785,17.0203824124071,17.4634315660256,19.1303265714314,18.2896863370499,14.711103432937,18.037475555879,22.0401585153352,21.8048421472389,17.4836888321235,15.0856321060974,15.5443496479731,22.2240577481814,18.5932200883986,18.2428323553291,18.1902321870713,18.4730903947807,18.4244429398314,16.7511264025518,17.7997025198629,18.0877992448224,19.4486876563528,17.0569180049237,18.7693791206185,21.9990745923297,18.8009756794311,14.1519148489907,15.8202325030747,18.6147539014706,18.1679294937797,15.585144519316,15.643165501841,22.2809722089211,23.0928705071422,18.6143285409178,18.4920737325008,20.1824977186647,20.0495565107171,17.424332984526,18.8335374581847,21.7682012043424,17.5108276744175,16.125532163826,23.0602036080939,18.5565509136155,19.3589442624166,16.2367177064435,17.9853797411363,18.9162997977223,23.0285310549072,20.620586821644,16.4924495457567,17.3320807701668,19.5820732186509,21.5742268620485,19.6005414007248,19.272248880016,18.8401502930677,17.9074211444179,20.3739969965725,17.4546747278595,16.681085207543,17.4452687133051,20.713081140457,17.8344936432629,17.191184013459,16.1526045260246,17.1699749535016,13.9887124056004,21.4147685007103,21.3849746244241,17.7127523072049,24.2579766449539,21.0305399873469,19.1769818066972,20.6427074294168,19.2773480634188,18.7052412725504,25.6114048736767,18.3268668431457,16.3233552709725
"hera_14",11.5458897033559,16.2698190782607,9.37831035440795,9.89971183737786,16.2239471333634,0,20.018153429554,14.5999703235402,15.5308477167849,18.6478546406146,13.9433098219012,15.0499725597858,19.0470405876008,16.1371719205759,14.9401323881472,10.9671655163565,12.0585678821116,19.8572896567343,16.4980223874742,16.2407972194809,15.2903725800515,13.9947353864036,19.7545881051729,17.9082779837395,25.955959149862,11.1627294276416,11.4680619284664,17.8522566969972,16.8590034075935,13.3963990402475,9.66532474309571,17.3667720310845,17.5405636108636,17.3746351517974,12.3367842583529,19.9500357761637,18.7704541482264,17.3750757759488,17.0212529997239,10.9488089361961,19.3532343926561,16.6934962784505,11.7802599296755,16.4948595055079,15.1019366955036,15.8142353287208,17.1035324247844,16.7391583290334,16.6963932587944,14.8694236036781,16.9988646751004,11.3590239961811,19.74498728755,11.7145261659885,14.0265263737549,15.422530877591,16.6942830687094,13.1788981406679,9.73263713932911,15.3049144460674,19.8794625575081,23.0099311535394,12.7036418103617,13.1735111458117,18.6992633707899,17.7873315715507,14.897225185487,12.7966737843152,18.910691644946,12.2773136853436,12.4657126884309,20.0571521181242,18.3756599603272,17.85675451936,15.6781157061638,15.7869046993548,16.5427608610944,18.7994780173868,17.8448705519387,15.6469705076343,15.5347134312205,16.1772689435943,17.8906929638428,16.3816510789236,16.1171499183194,19.1145319114338,14.7946930392638,16.5024684261135,17.2034149633416,12.0763543659313,15.5646561712514,17.9319287517942,16.7047517318335,16.4258770899425,14.8957205851689,14.693287957384,12.6011776228311,19.0617334723422,19.7239534488877,19.2901636675309,22.0151552804189,17.4055440108329,17.0365218472235,13.5187642886506,18.4361276377611,11.5819768474358,21.8115475829166,16.7440458956462,13.2890592196858
"iris_14",20.3066365891833,15.7269575054625,19.2024947518517,21.846289380977,20.0812389458597,20.018153429554,0,20.0865997290614,22.0806540855898,12.6194906321736,19.9226175893211,20.6248790291509,9.62246746247486,22.3474104871412,17.4154353598633,19.1904602216099,20.0922046985239,9.50602941199416,22.2213254592378,20.6189876764829,16.3834823824482,20.3212506797411,7.91560113806793,23.2478363836669,20.6341050599388,21.0695463022784,19.6436924659542,10.2831747947236,24.4405047064333,21.7424558287552,21.3549141363013,22.9150088511812,23.8473462293875,22.3201005694996,23.4111905247624,21.9806946919433,12.8201838162064,23.3845568275211,21.776281394005,20.3296381492953,14.3823501512497,23.8514510709991,19.4485211635739,23.5846245007407,19.8921124062654,15.7054608010673,20.6113966140442,23.1018175499155,23.8328907946916,22.0150345640034,22.4974506907323,21.5530991971377,27.0827964850334,19.8745074113861,18.1729475696681,22.7646497239997,14.0411552548403,24.0654115789587,20.3275246782131,21.5721343190985,11.0336687865811,25.4440795247471,20.3677932607909,21.0164086680256,24.4949884025866,23.9881186803448,21.7756883898049,21.1720641974074,12.2820203215697,19.2585059532778,19.995381923696,12.5040921992076,24.1314633058834,23.7907221312534,17.4661564500541,20.7473021978408,15.7117110985148,15.3377116902515,24.1881722443662,17.6670896667112,21.7975030045939,16.3715046339989,24.4448064368983,22.512882645948,19.6810731240292,25.2599366658803,18.6103759888066,22.2844442001136,22.3504966349263,20.2235895756189,19.0591336324771,11.7197618617045,23.527890203772,20.9370739268869,17.0294445188319,17.5536038684569,20.9238038795353,11.2449551063204,25.6592374367011,23.5456895668529,11.9676531748329,18.3949613756075,21.6352794882214,21.2444781459058,23.6973083525902,20.2694371144317,17.6234392776705,22.1651069696573,19.1129532935336
"jarjarbinks_14",15.7879011362625,16.1948477642163,15.1509914811391,17.0052197305724,17.281745116898,14.5999703235402,20.0865997290614,0,19.099727939943,18.5763209158742,7.56127823470571,16.0609071283384,18.7254899793877,16.7580197996173,15.6779519124908,12.6616486803802,13.4715888138816,19.4276176076682,18.9423640074245,16.537075420097,14.9813181768703,12.2002085441152,19.1867560337973,20.4400899088077,25.6130799147269,13.9210887730889,12.5496453916029,19.1680471492191,21.2411826951482,12.7424598374142,13.5432578947057,20.3675650685625,20.7740712211826,17.6869885253931,17.5937686861506,23.5389726964199,20.3433079682313,20.4207794521379,18.1889804968644,16.6003455758602,21.3377550297831,21.2011630941117,13.382879705799,19.8328733210095,10.108229084522,16.1356983393058,17.8152256129792,20.0012630099663,21.5821462435057,18.2736313196538,20.1223092560011,14.9128869013943,22.7613260279783,13.3490563230701,18.7080708052663,16.35544113481,16.3115128071794,17.846088074909,14.2556480320773,13.9478809221186,19.953060681944,24.3884754046075,14.1834876503023,15.534640762005,18.9942268219689,20.5981583134739,14.7571411374414,14.8057810406965,20.8021748942158,13.0715554433807,12.9570890872199,21.1912239827545,21.341386816308,20.5473555687195,17.1360206747168,13.5597629582929,18.1349401463434,21.1892546264679,21.3136670580562,16.3180636484923,13.4723092619861,18.7943004926902,22.043862048125,19.9508717845911,17.6014252950879,20.5091857113569,18.4958151076416,19.8232458580033,19.1268478020223,15.2574804960156,16.6074943512065,19.3763022003984,16.5817980495,12.8915313824679,17.4542047586339,16.1817224128293,14.1809564541626,19.6913916622463,20.762383033325,19.2341861290734,21.7681533553045,20.5362982431728,17.3398343443377,17.2218260804303,20.499983957649,16.8692082144291,24.2121639482851,17.5062988489251,9.70645522806672
"kubo_14",17.1169822212502,18.8865973632189,16.1941492782606,14.6030235680597,10.2552618713241,15.5308477167849,22.0806540855898,19.099727939943,0,22.6924784293317,17.8004757422159,9.40878231292461,21.8163587339431,13.9025272340226,18.2011984326652,17.3693737930487,18.5849411167097,22.6624421705869,15.1281512336149,15.9341216907733,18.7075941466627,18.3457086872851,22.0799868037073,21.2736958363872,27.169413066956,14.7777938074673,18.0126436451385,21.0986189915146,14.8505702860649,14.9031951661305,15.6427626558688,16.1071571767172,14.9730792119398,12.9150727218215,13.9331387157794,20.6633740687391,21.4162131053277,13.6653935907149,12.6227765239767,15.5778995044903,22.5242387833103,14.0727529660567,18.5502123170347,14.9897873443897,19.2604227063422,18.6087214982354,15.3913261085273,14.2210502411176,12.9562715780909,17.5373670124998,14.1596957063018,17.7439296896328,18.0302892061066,18.9944320705194,15.0499207240138,12.321639916558,19.7230683668492,18.0030014040275,15.4621865839674,16.780434528596,22.8034145561833,21.2381843710267,18.9097049209976,18.7045166947351,19.91106397398,17.1615795965005,17.6363126116993,17.9939510654991,20.9721443607696,18.0456370705311,16.353583372611,23.0979508676114,14.9065288314714,16.9220859110054,18.1170275080209,18.5485715562309,17.7670309423843,22.2648729334141,17.3883925504036,18.0316442610958,16.2170737139663,17.9050489720569,18.2747336861238,16.723587270386,19.002735970439,15.8546137983152,15.0180167433995,18.1417982522765,14.7385656160345,16.2461756897608,18.8260504287635,21.5759022875036,16.852246991067,17.9023039286318,15.270282524015,16.1865665308737,14.5432454224335,22.1276024644786,19.1858964234809,18.3065986900251,24.7701468350393,19.6138323262742,19.1264535626463,20.0937897213759,16.8357179139401,18.4227686713846,25.9817890232897,17.7188671973436,17.8254090232859
"wolverine_14",19.6744976679879,16.0837254774497,18.6172370552458,19.2284237074097,20.923902918028,18.6478546406146,12.6194906321736,18.5763209158742,22.6924784293317,0,18.0694761465279,19.8133133031555,12.6362246796297,20.2029657387461,16.4654332988505,18.4622162192589,18.9017902769775,13.5399072236198,22.3149031559663,19.7748733215088,14.9906266796024,19.8957357303272,11.9617253984324,25.1645828386466,24.5738160039576,20.5985519209568,18.469758236502,12.4166820988449,23.5715286541834,21.77468102974,19.9821775382008,22.9763631181713,23.1412638484422,21.3641707611066,22.564046496249,22.6497413482379,14.8147928578553,23.2074147628248,21.5796989593615,20.9390036654628,15.5666393103712,22.9650409195472,19.3907194211348,21.7239833985638,19.0755899859821,15.2140351338696,21.7020851033206,22.8328763550816,23.8301261462282,20.4465219845657,21.4658938925099,20.0266024860886,25.8569295702304,18.9496722318445,17.4230952379029,22.7136117870705,14.4094965410388,21.1866124009449,19.8216488874784,20.4808198005573,12.4083795258789,27.7441257698431,21.0927867783757,20.5021650194872,23.2937070450733,23.6715080654611,20.0206438334214,21.000205935656,15.4177432510402,18.6991906218023,18.9878518458842,13.7614134404665,23.9879026407321,22.9827252053487,16.8868745918257,20.8014265858579,17.2096675690054,15.5611170354728,22.4126043043608,17.5206286838362,21.9770652799446,17.1653834892524,23.6394266632872,22.5090435858979,18.3826363305597,25.4749017971187,18.7570838248668,21.2529667697486,22.7106238502693,19.2995883700928,17.1031055830166,11.8397066109809,22.1815687241587,21.9946977870141,17.963316398241,17.3865419317055,20.4141771434017,14.044552789232,25.9179332322045,22.1086110956678,14.5703812608103,19.2460782648392,24.0050744730146,17.5994903214,22.7501077736049,19.3466713216946,16.1767865409173,21.423878399451,17.7328043366594
