"","buddy_11","joans_11","padme_11","ginger_14","buddy_16","buddy_17","ivy_17","lambchop_17","padme_17","buddy_18","ginger_18","ivy_18","lambchop_18","franc_19","ivy_19","ginger_2","lambchop_2","ginger_20","goose_20","buddy_21","joans_21","franc_22","goose_22","grogu_22","henry_22","joans_22","marshmallow_22","franc_24","ginger_24","goose_24","grogu_24","henry_24","ivy_24","marshmallow_24","henry_25","lambchop_25","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","joans_36","franc_37","goose_37","grogu_37","lambchop_37","goose_4","ginger_41","grogu_41","joans_41","marshmallow_41","ginger_42","goose_42","grogu_42","henry_42","ivy_42","lambchop_42","buddy_44","franc_44","ginger_44","goose_44","ivy_44","joans_44","lambchop_44","marshmallow_44","buddy_45","franc_45","grogu_45","henry_45","ivy_45","joans_45","marshmallow_45","buddy_46","charles_46","goose_46","ivy_46","joans_46","lambchop_46","marshmallow_46","franc_47","ginger_47","ivy_47","marshmallow_47","buddy_48","charles_48","franc_48","grogu_48","henry_48","ivy_48","joans_48","lambchop_48","marshmallow_48","charles_49","franc_49","ginger_49","henry_49","ivy_49","joans_49","marshmallow_49","padme_5","buddy_50","charles_50","franc_50","ginger_50","grogu_50","ivy_50","joans_50","lambchop_50","charles_51","franc_51","joans_51","lambchop_51","buddy_52","charles_52","ginger_52","goose_52","grogu_52","marshmallow_52","franc_53","marshmallow_53","charles_55","ginger_55","ivy_55","lambchop_55","buddy_56","franc_56","grogu_56","joans_56","buddy_57","joans_57","ginger_58","goose_58","goose_59","henry_59","padme_6","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","ginger_7","padme_7","grogu_70","charles_9","franc_9","grogu_9","henry_9","ivy_9"
"buddy_11",0,10.4109769215306,16.1736160348868,16.6499038122494,22.6678817228576,10.9968541829175,13.3393350764095,18.7385159208894,25.8452004646275,17.4008744510663,17.8842189391239,24.1745001424502,19.95867327919,13.5359984492243,22.9330072465154,12.854492420775,20.3573237491576,16.2152959702337,15.8019505369074,14.6234909141374,19.5228622950724,15.2899958195062,12.0603230628591,18.3082081197519,13.7817607664616,15.4400807905678,14.8520904835336,15.1583171524709,16.3900554330007,13.4250327258083,11.8539816276705,13.5788349814477,23.7815459103372,18.700215281626,13.872071766783,15.4891938170109,16.678671130478,14.2905991484801,14.1210942326563,15.1167333123416,17.599014807482,15.4040156965421,16.0826709831488,15.9594711027485,12.6888801930911,17.9524138036195,13.4046903974988,31.6958622465384,13.3125604974038,16.6396023483245,15.5246561377431,22.6293842843115,13.7970719082937,14.9814515240797,12.6319312169161,18.8657804788841,21.4195429019558,16.3691577840091,14.623744238227,21.8340923464358,17.9991266865917,14.9216057403237,17.6449590979407,17.4700123797414,16.4892643477737,14.2100258684428,16.1907520492766,15.482736476791,15.1879042010677,17.1721093613037,19.6556633704565,16.6485678689808,15.5246485509873,17.3158743380862,15.3718676065655,17.3814533507171,18.3665041128387,16.1190784957387,16.2001084729716,14.3603472146207,15.783017659726,15.1914678398388,18.965466230706,11.2321596656613,14.9040799094632,20.190115140445,18.5756242574537,16.6369882104626,16.9013641471535,19.8930059521349,13.7441334019387,15.540524899249,12.523999904322,20.1323139516857,18.6923814362088,17.5175775280681,15.5171812181049,16.2495472554988,17.5816412805548,12.0199160088139,13.2061418380406,14.2861133398934,17.0809198151076,18.1476486547056,16.5542849902101,15.9417832051378,17.5402107135677,16.9604525557876,16.9452708073419,17.7534103619245,18.2180665050592,19.4303875758473,16.2353143908912,14.82718479115,17.1024304614926,16.5454859602252,16.3072701123724,15.9026889592782,14.2145857407016,17.4924715385999,16.7926313084821,15.8299437766835,20.6934473669557,20.1559533753269,14.992788805414,14.5750891991157,21.1487090641553,16.8094831408661,16.6046419624356,14.0010105083994,14.1547975528378,17.8348058610371,14.3033456509618,13.5287737693831,17.9045888257661,14.3235516936724,14.4196055989363,13.4285314860969,15.5652004030005,19.3293427898256,17.3674791554128,13.3457498260243,15.7034627253718,14.05547623629,16.9027692699515,13.7587452410612,13.2723261343181,12.6521251769248,18.0324512096189,15.5319071447568
"joans_11",10.4109769215306,0,20.0441914399631,15.5823612176769,21.6693841118335,13.3753043119721,12.287392023854,19.356571087593,26.6090819685028,16.8530695828898,16.7018304685027,24.7044836524441,20.5282056372498,13.5866457310235,23.1834488477773,12.3590745255489,19.1187883514704,15.6743534338243,12.3551233830811,13.8255085670159,16.8034194190488,14.2356635332679,9.59420109692579,16.1979319761207,13.9405076332098,17.8096351639094,12.326486200372,15.4102671241311,15.2131496082704,10.895165918351,11.1253713109607,13.5194326858558,24.7509714473091,17.0622537929963,14.7427044035847,16.0222198466248,15.011016240213,14.8550981676532,11.9881194645682,14.7937619218069,16.0015336440348,15.6541721940342,12.0059751678232,15.3618047364207,9.3021002831689,15.9379269156429,10.0644562260191,31.9791186828556,13.855406412901,14.6508338482267,15.0690700784978,22.1107850788705,14.4305953303246,11.3200688498628,10.3828045099346,18.2575053034217,22.6746802738556,14.8170128180139,13.2470531645422,22.4496690520967,16.8338579700466,12.5834373023704,15.9690444403703,13.1128008746303,14.3601733808891,11.4733225961851,11.6175262067532,13.8499697881084,13.4380705439275,16.0813394550302,20.0518060491853,12.3211634721632,13.4965335410592,13.5242440310055,12.2897325980173,13.5645525214057,18.8460159658598,11.9568703383262,14.4892111446612,11.4357521709695,13.9903666201916,14.6386012773273,19.4797849280347,10.4216762835227,11.9445653713552,22.6794977186951,16.4895326797213,14.5029789526532,15.787602724262,20.7786482149352,12.236008318713,11.7762391640062,11.4325206192641,21.985013228405,16.4226240477649,16.3177834413429,14.1519918921293,17.5903364958098,13.3539308017506,10.1028328225186,16.5194852910398,13.4801157411177,18.7106902718407,15.0115506141113,15.2699847744455,13.1434084183647,14.8041045439182,12.7452923887201,15.1194670341033,19.609965739564,16.1179701201913,15.1576254659344,14.3931507450263,11.9565458059888,19.2117435365213,15.2010839057452,11.9998577564012,14.0881033140014,13.8623048252384,15.01538873103,15.0136117215416,17.6064978561057,19.4353353763023,20.6996849510943,14.0920867471523,12.6672357776683,22.0235224159745,15.5158822204893,12.4203435212563,11.339804006485,11.8366986640916,16.478533553025,12.0713378379014,9.8680598549624,16.4683475248725,18.018200230611,11.9388797259693,12.9270678790965,12.2577855558866,19.0847899093303,19.2886129139507,12.0700228637694,15.8058439919957,18.1742292855662,17.9161255583109,18.0039226978699,14.7713634336839,14.35354823747,19.7974015507246,16.3169040078261
"padme_11",16.1736160348868,20.0441914399631,0,19.9780182970786,27.0897608966551,16.5632322642305,20.9813629720751,22.1160485684905,24.725665769875,19.8380365281863,21.8746629037303,22.7895398585249,24.3239689809656,20.2156133920954,23.0458317473051,19.1028507923474,23.5617575094158,19.8430794851774,23.5277572450919,19.088543641301,21.8324203799539,21.8418988917145,20.9641249627409,22.0277806256736,19.2450987050563,19.0183611958052,22.2120736598475,20.6135347317346,20.5172411249259,21.1353259272378,21.1340151433005,19.9827559669573,23.8173948264622,22.3238741108328,19.2860284283052,21.0424255282081,21.2344042752212,19.3747180877763,19.9946895373763,20.4553653075317,21.3937746444175,18.5089322379845,23.0879331142632,21.0434718834274,21.3334137487118,21.8201874104065,22.4619364532368,32.2578988375334,18.5119805732663,21.2371511604632,23.9460414828974,25.0053810236341,19.6755588549572,23.4250354895831,21.120900355048,22.4642477591631,19.9971210359956,20.1219530491043,20.5010667096656,21.5991864911939,23.0302258307966,23.4986094644003,25.5133028093674,24.0773762487586,20.3269097301982,22.2363066464975,23.2281090480729,22.9591456607413,23.2427316482902,22.2123912755382,21.9291111398437,23.6795345565724,21.7623095663457,23.0209489421192,21.2155449264291,24.0132927994349,22.0058368544862,23.2135641285329,19.7312873274393,22.6747879501377,22.3922562631353,21.4739744624739,19.9290105674857,20.4332516285377,20.6807732890538,16.0315019430645,24.9566778437422,21.6819739353975,22.6239418917455,20.8905334907829,21.2513379685617,23.3949547164602,21.4850488375278,16.2043522687821,25.2106894197667,22.451780756572,20.7496963438426,17.7973210143818,24.3428410617874,21.6436601807737,17.8238093521584,20.2604224024624,19.3094046610642,24.4134817904868,21.8247909627092,22.126399096945,24.112557744109,23.4258592540254,21.5190189233435,18.7170578106228,24.4730655766071,25.1210407359097,21.7617165003035,21.5746456744413,17.7988151027552,21.8891443199727,24.1602516324036,21.4053089088086,22.1372523616687,23.9222269168579,21.1362643334058,19.4437820548729,25.2719909673255,23.1197977366037,19.5224333556532,21.6778406728751,22.8958898559659,21.017335036547,23.0021436010277,20.9389445503045,21.7220313831235,22.5123456140798,22.4353977122883,21.9311623694496,22.1663950546245,17.1670136154953,21.866902860791,21.3960725425311,23.2380890626318,22.0808681787889,19.7428730058184,21.601591884619,22.1534907020665,14.4810707041359,20.6004539418478,10.4553898071932,19.3382888970134,18.6627901230431,18.9687825161225,21.4145199988777
"ginger_14",16.6499038122494,15.5823612176769,19.9780182970786,0,21.7055982403625,16.7459438110479,15.2575991431839,21.0279372571732,27.9843328007283,20.8138759883101,13.4643457240889,20.5904981437066,21.0843567461462,15.2995635412699,18.686832905614,18.8889317870308,21.3187634091307,11.9478404359846,15.3276337773928,15.7544331861245,18.5845596959032,13.0433106367357,16.6752782381263,17.028870545315,14.2887010483452,17.7337141567604,14.6749870592849,15.1137999947694,9.08221312502246,14.8098601653961,16.6759105064704,13.8884102924431,18.7338047308048,15.9341789007648,16.2713590545883,16.8551725130329,9.67462444300256,15.3530624773291,14.4971792138416,11.703128587815,17.5758131737881,12.2457862727429,15.4416026121642,14.1644222858493,15.4461686904108,17.7920351462217,16.4191999039502,34.5415948424543,14.131092365181,16.3430887708503,17.56277449417,21.9798229686348,15.9576500806298,16.029497610449,15.7443056798803,10.9662916707417,18.4075682943418,13.746094733682,16.0149643574369,17.0593530697199,11.3555440701458,15.5966787482786,15.9882931788497,16.4774976683452,12.6139051655548,14.6605493155799,16.4428521793849,14.3900428955522,15.5079698386778,11.1055994381972,15.0439300815019,16.8873815493615,15.3728946941897,16.7858411199036,14.1636622624552,16.0320997850156,12.958542953151,15.2543402083333,13.0435926243437,15.6221793231232,13.3182246478869,13.8510454172203,14.4014689207874,17.4061984290821,14.6049432762817,21.2824619253523,14.8564332295926,16.7913204152521,13.3382249276393,15.1662372707625,15.7668068787279,15.4455248436718,15.8072052209156,21.2051301569917,15.0545336838385,10.7598220028441,11.5648674661328,13.9247585587594,17.0055161891992,15.5989605891372,20.5704356607109,17.4495395257249,17.2272308162284,14.9468602764047,10.2814899626177,14.8258509210517,13.6280776154831,16.2499418831805,14.4210261685073,18.2856862627023,15.418329984485,18.401892226323,13.7347076687235,15.2540720525667,18.2909151094631,11.0638310762439,15.7391795392157,15.8803985440978,18.3751771889577,15.0295673311855,16.9928683034473,17.0370975798986,11.924432710262,16.3822662417797,13.9759799101059,17.182344466237,15.9245080091344,16.459960533172,15.1305999578914,14.9606898102192,17.3684842023944,10.0275420611231,18.2352057617024,14.8740204183762,13.4947119655016,21.4587990288905,15.7481789535717,18.6930833398311,15.4539339397289,16.5923599331608,16.7406836964628,15.1297161673175,17.7177803726578,21.4405560260134,20.1826556499583,20.4296578395755,17.4071970842252,14.5754495805388,19.9089691831922,17.9985793019819
"buddy_16",22.6678817228576,21.6693841118335,27.0897608966551,21.7055982403625,0,23.2215392549417,22.4109880015945,24.5874401727108,29.4419559566766,24.1571463262137,19.1959797007453,27.4375214449909,25.6805546539883,23.1226270748402,27.5256819832191,21.8072684154169,17.2745284700799,20.1442758704725,20.4296263155356,21.0373412943312,23.6119201334597,23.2836878522021,22.9789759385294,20.7077292568921,20.8497599747872,24.3682979418881,19.0095336725384,23.866917488483,19.3772985354979,21.6974916984118,22.2438857476505,20.8791627574938,30.4218282991269,22.7293414894856,21.1269331688012,20.8529812393525,19.9971496294903,20.7980483055472,20.7721848794087,22.1132158380722,19.7832267204264,21.9173110421549,20.7813533509511,22.8162076029812,22.0662633009435,20.0359556854862,22.5422798649203,32.3631041527112,22.2649937148464,19.4981716533745,26.6849861501023,10.3715803388299,21.0522793840958,22.3029184087136,19.2921113625866,21.517340429486,25.8211977105514,20.231366673018,21.1730973741971,26.3065855853372,19.7731832804396,23.0181430906153,25.6235447169451,20.4772914082018,21.3838695571448,20.0989557350321,19.6707253113417,22.926302970012,20.7188164971615,19.6017607577695,24.2897132747127,19.5896518193207,19.734892435218,20.1460078952942,20.0821606881288,20.5838756834245,24.164483624123,19.9217753601426,20.5705504242928,19.3218915337801,21.7153892824321,22.3244026341153,22.7506922636124,21.7968461254728,20.417095284816,26.8344476985235,22.399483667769,18.755924380301,20.9058001356996,25.06207930945,22.5450269077357,20.9908421050849,23.0343373934186,24.9727614147976,23.0943791569456,21.026036019266,19.532001076868,23.9271886390353,20.6828295415172,21.1707654689262,24.6896382481222,22.7305598796142,23.4256813754519,21.5425219955439,20.239231298492,20.0586298258597,21.8249597404609,18.9209693628572,22.1559097770802,24.182235792914,22.5303457146055,21.3261896069825,20.7871784678757,20.7779965097453,23.3455549989402,19.4430724379895,19.8211062989086,19.0917916077206,22.0720884326332,21.7219325033317,19.5330018845868,21.735652204646,23.1589522369608,24.5125692870628,20.0397564194534,23.0893582225995,25.7660035650859,19.3406712006385,19.9984779774898,19.8407801787673,22.0047320755825,20.7770996795678,22.5766696423454,21.4659395892448,19.5670791590048,25.1514188807221,22.4513077629685,23.7991480824625,21.0784468209322,20.8624984380095,26.3383745555088,23.5245856512587,25.3367440772675,25.5854851380459,14.687281333567,26.2053355077449,24.1010826740584,23.0933934720738,26.4195888754444,24.5734723426131
"buddy_17",10.9968541829175,13.3753043119721,16.5632322642305,16.7459438110479,23.2215392549417,0,15.0866587970873,20.8591353017121,27.3376152901445,18.7063168181387,17.2603790439263,21.1899344467883,21.43311037726,14.7097919435387,20.64171127589,15.2046826936721,20.7533439482029,16.8618024414777,17.0809864995544,11.620487965308,20.0347406037594,16.2528179523246,15.3217123871011,18.2693596286389,15.7939463851948,16.6997893561414,16.3689760950309,15.9050229559349,15.8699902057492,15.5592170566266,15.7329835919963,16.0465007361847,22.3824739416881,18.810566610089,16.8329350009938,16.6220646746898,16.5647952545766,16.4143905943899,12.7546544951477,16.1461605670756,18.1030863394025,15.8838872584009,17.2363011234989,16.200041479129,15.5448817025112,18.7200796623583,16.517692624358,33.078916139471,14.776743849339,17.3681631580322,18.3130979568949,23.8696430665188,16.3958418431199,17.5213011589904,14.9505401278526,18.0666919900569,20.0020260816376,15.3210407702644,14.5568397105976,20.5287204260378,18.1688610908851,17.0984542502611,19.0235968866594,18.944785884764,15.5913817802019,16.0056641619346,17.7818112126468,17.0730804673961,17.1364267310035,17.1665252584767,19.7148278751033,18.1422988923481,16.9547862834807,18.421041673174,16.869306849962,18.3101080623736,18.7711527691561,17.3546482417866,15.2148615854504,15.876619518169,16.1597715254092,16.7209949035881,17.5567619569259,14.9081757747016,15.4690116595156,20.6543719674236,19.0048292965343,17.1515037452723,18.5224103268946,19.5810750592365,15.5168280894895,17.0042793780577,15.8049202962539,21.1078298489094,19.6000300076444,17.913695884091,16.8270804387394,16.2344604097576,18.583128693754,15.3098228951624,16.9303894800706,15.2788204660745,18.3389438644729,18.2690388961,16.8990659536764,16.6365850590115,18.0818604791086,18.2850830765447,16.2367004777111,18.7432953337693,18.6698343173766,20.8170410829343,15.6788901002502,15.3711862935142,17.6334542198301,16.6442315576348,17.6300179278076,16.6328537551387,17.0266194555295,18.5035084595514,17.503364439843,16.2628762652976,20.5349914211184,20.0451292805495,14.7882469382876,17.0423469684594,21.2904824968087,17.5821533234856,17.5632164198848,14.695068519786,16.2325882881931,17.9323106076515,16.5600899691643,15.7340916488389,18.2909876434389,17.2435328012998,16.4653448067638,16.7873226478863,16.5192429262143,18.4864667168041,17.3281810180604,14.8381705600551,18.1156592926095,15.7833345159255,19.1562980470595,17.0023601651928,16.7499249626388,12.2034384236146,17.0275733070238,16.0009087308872
"ivy_17",13.3393350764095,12.287392023854,20.9813629720751,15.2575991431839,22.4109880015945,15.0866587970873,0,19.5620610188239,27.1231972907428,20.0629867384634,18.03738851953,23.7926018319106,20.8080558405047,7.00471314220877,22.6614222534555,16.6785155711469,21.1527782158472,16.8874404930345,13.864819901231,17.1482462211004,18.4942575816387,8.83604619510188,11.8013208123818,17.5160333235331,14.8077724347941,17.720171763913,15.2674050174763,9.34908263172548,13.9878044509376,11.7886850588366,14.0405982325414,15.0519492766251,23.5686469719903,17.9557158301804,15.8977155408436,15.69186186382,13.6284525051159,15.7665614634487,14.2456909718186,13.5102107450235,18.477047087851,16.5093099460805,15.3679679388188,11.5109889427828,12.2222213120925,18.5883826405607,13.2757523219138,33.309552916339,15.1477373853825,17.0333050338495,17.5170953239024,21.9486334815748,15.5020814279068,14.0219064058032,13.3450880578579,16.3778262136933,20.743916940095,14.6157536967626,15.4183020608835,21.2761158796972,14.9270614510769,14.8070275378525,12.2246916692955,15.2486187809268,15.1725542471933,14.2047177853571,14.9060484914335,9.30547888356475,15.2346174865412,14.3864896676869,17.311477265517,14.7796907991709,15.7113320387371,16.1145923976648,14.1694360770304,15.1313132620119,17.5778351724158,14.2715271740336,15.1454299258624,14.9817031728926,11.1526095304644,13.9981232199543,17.8516948173044,14.0618213201967,15.7306994949391,23.2413871862854,12.5778220747775,16.8246917331986,16.1604994860303,18.5666682451211,16.1034984786854,14.3851932482897,14.3313610879682,22.5858987466493,13.3689809119225,15.1580486251131,14.6388488212692,15.3142353379723,15.1940158321639,13.5105723954566,18.1269511511572,15.4760336446954,19.2638542873241,12.0226781989934,13.9452159815996,15.380296910255,12.1973396105625,14.6427477904174,16.233368798849,20.2707440359956,12.4895998908424,16.9077942435094,15.4153916066607,13.8185465969227,19.9904791176799,13.3416329322016,14.8593127725662,16.1662604971407,15.3376251410596,11.3515487184791,16.9460314041219,17.498566098604,17.2630723610505,18.0236487781473,13.6356459960596,15.0683659200822,19.1312263365,16.9864361817639,14.8570974388849,14.4908009997521,14.1831089775318,14.917330268287,15.1778344231925,13.2244896652334,17.5225666058347,18.6063348621154,13.053666197864,15.6342562999633,13.9221980507545,19.234361103185,17.1398254499172,10.053580299455,16.2236585243624,19.1624046910602,18.2390497611687,19.5128069069576,15.1367426297395,12.0384283080223,20.3038377237046,15.7955711899874
"lambchop_17",18.7385159208894,19.356571087593,22.1160485684905,21.0279372571732,24.5874401727108,20.8591353017121,19.5620610188239,0,21.2870306589374,17.8998510876661,22.3020675779985,26.9393978274975,8.7535989901092,19.8543375720648,26.3491757616384,17.2705152887867,22.619872842952,22.5345832288538,22.4034228544951,22.7767380973463,22.9327829734674,21.7481966090438,20.3506602225114,19.8100344626348,21.2524602414404,21.0958153575036,20.7520793510043,21.8244127313218,20.832844798993,21.6108530671565,19.8177839470201,20.6494473490172,28.9887289564767,21.7711969655496,20.6754047611987,13.676329081485,20.232273695774,21.5670678845483,21.3154514504094,20.9921157969204,20.0060438578812,23.0720294330177,21.109199198912,23.7473718281415,21.1201938276489,20.2622296341984,21.5221814950007,25.7553904850506,19.9061907226712,19.4110131819431,23.9937903176201,24.7601908991412,21.2194655516141,21.6859691210635,19.2454821157728,23.4201573020912,25.2267576793313,19.3224080606162,23.6372384904207,25.6575280963173,21.1388299057557,20.1467799039895,24.3199405936782,23.2113721634367,19.9840086057482,20.4181679096946,22.1270957713963,21.6867873281897,20.9676640178021,20.1491922679852,22.8701732887691,22.9259018883715,20.7701678635854,24.4841758193061,21.8996526748676,24.921557509982,22.6801730592039,22.787822603405,19.4043687325675,19.2918011083433,21.8180892584008,17.6460491225064,22.6976086156278,19.3598902605585,20.666634198114,25.3083954213938,24.5191921795519,19.6257610491106,22.6387230828095,23.9555047297096,21.9893595045803,20.6440770505453,19.1475243263491,21.7479756171181,24.7109696749223,20.1339028645971,20.9525679014522,20.0960483396381,22.7499359115445,19.1975117395736,18.9991072657663,20.634698413916,22.3133446883054,22.5499776128987,20.0877607024009,19.777284168574,21.979932005526,23.250481063756,19.1531626341006,24.3084122843402,24.2312426252312,24.6877076881376,18.7469805317307,22.3771710845617,24.7455842469691,20.678725039849,21.7979158198686,20.6221143496429,21.8412364135748,22.2864010512825,18.9368678884939,23.3647562132576,25.3102365194278,24.3644584885383,17.7026245349407,19.6649591093742,25.5898523915344,20.5778075177024,21.9417308110234,22.0323098229452,19.2286585793903,21.6262332243371,18.5966916036953,20.5133872458353,21.7760693390853,19.9433283147605,19.6883222310752,19.6957968550698,18.7369954571138,25.7339025225404,21.2889284053582,19.833220363003,19.1071992068887,20.3753721432317,19.2291376247895,19.0847703125156,14.7022311176161,21.3667539440516,22.1194852262341,22.0747153579539
"padme_17",25.8452004646275,26.6090819685028,24.725665769875,27.9843328007283,29.4419559566766,27.3376152901445,27.1231972907428,21.2870306589374,0,21.4727494306969,28.9037778381473,30.8593567322946,24.7778003093874,27.3706850017323,30.9355085859691,22.7626163319804,24.9956118158236,28.293547334435,29.2506739311284,28.6378274661004,26.8645290642158,29.0503759711534,27.2232000205167,23.6872835360427,27.3083629630066,27.9394850220451,27.7320177569892,28.9017151123776,26.9957263241086,28.0504877206705,27.011900100691,27.6049678156614,34.7857704003614,26.2552711760988,27.3536860661473,24.2594559120062,27.4334746355957,27.5251829710296,27.1683045982443,27.7833227434586,23.4940383091838,28.9548002426901,28.0748913295685,29.6015708338349,27.8987575693162,23.3047231594497,28.3697371069061,26.7750834953569,26.8444869470386,23.4760131401603,31.6093377092829,27.6023785640379,27.3916408662457,28.9677913668825,25.2083004702051,29.8540088013089,29.6583953394151,26.2205243127479,28.7178704706794,30.3842462166519,28.4613260156118,28.29191123,32.4052525314708,29.1857571352101,26.6234580802303,27.3633366128832,28.4015691324018,29.2416162107835,28.7201125984595,27.6958832092513,28.7024580966282,28.7370266642662,25.8190659927086,29.6415617050541,27.6978236083916,30.3323791755031,29.895511192282,28.8653098564196,26.441609704149,26.6311528081974,29.0699857449306,26.3990300407493,29.2570615791933,26.0495296278152,26.8271564863276,28.4546902159364,30.7456826040321,23.8190838833386,28.9036421944051,29.4088117573917,28.6688238694206,28.6552619932423,26.7941188082329,24.0594537552104,31.0355295802521,27.6822316462734,28.0267690914742,27.5573634817486,29.0295970189937,26.5757834399279,24.7543204695658,27.2593764780865,28.2774658313477,29.3227784120098,27.5621297310607,25.6048875013372,29.3727097859377,28.8506751280252,27.0546111625495,29.5497204259961,30.611493829886,29.8994178260412,26.9019044532546,28.7193118902931,28.8129121057923,27.6868807231672,29.1321616670923,25.4513161495459,25.985431344792,29.0252728298668,22.9704485645676,28.9652815133389,32.2991849306323,30.1069732140571,25.3502670589233,26.9816537797323,31.3162759928094,24.5626319194492,28.4516014534462,28.1184167272216,26.4410394254034,28.5099522543815,27.4542345461247,28.0448710834526,28.1592415607479,24.5391983929879,27.5040181898678,24.6660629142535,27.4398931462946,30.4355418166957,29.0284346783943,28.1646606792211,26.811634844519,24.1433549697796,24.3273654239866,23.7211631947672,22.9958462540725,27.9670511038859,28.4822038337672,28.267409150255
"buddy_18",17.4008744510663,16.8530695828898,19.8380365281863,20.8138759883101,24.1571463262137,18.7063168181387,20.0629867384634,17.8998510876661,21.4727494306969,0,21.7004110109544,24.7814303636281,20.894072114717,20.8973549808103,24.6710274156779,13.1391513851807,16.620854128623,21.885231088537,20.8680481887343,19.6623179660286,15.8669129012578,21.8539938823782,18.4162243446499,15.1214782783944,20.8584849240554,21.6887398915475,18.802360122833,22.0759319113758,20.5336792393882,19.1670143488314,17.8631028314358,20.8782027281614,28.0898550369955,17.9825577168889,20.5984791603168,17.93746857538,20.9341200453419,20.8774061077128,17.715062161851,20.9390871543456,14.8005038712217,22.2809629743954,18.4229714002184,21.9910173440456,18.7538527358558,14.9795472982459,19.1399542593062,26.2977482091003,20.0313232658057,14.4028018284726,22.5286175131797,23.6629906871314,20.8126476549311,19.8818276172636,16.0927073645177,23.5558893502468,23.6685216730365,19.3468325471033,20.0618775522015,23.6197191340517,22.5926252671071,20.0951911471315,23.9215594049512,20.3633501145363,18.6717585790651,18.30253308679,19.2913632345088,21.3748996467137,20.2406774725408,21.8824159043275,22.5248911432997,19.8941489501643,17.5065357041922,20.944441437511,19.0890837722918,22.1593838765604,23.0913060948192,19.7324983488435,18.1938410234069,17.36125630048,21.7276195508359,19.9906401768881,22.0544873163162,16.2500807477699,16.7525164698672,22.6963616839203,23.3617394191395,15.388100053124,22.9421801860309,22.7815583001159,19.741707343852,20.3299317486644,17.7736786345799,19.8983388168141,23.6413477734973,22.0608830031254,21.4945484083181,20.0908540599034,20.9077237673419,16.9646922593729,19.9862095035986,17.8318380877119,22.406049487882,21.4888147954802,21.0446426955285,16.8601527242194,21.5857674218491,20.2456761320591,18.9473650548458,23.4693664122899,23.2947779957384,22.253523725502,19.5287993170504,19.6211518101979,22.096109868487,21.006430083129,20.4479005301995,16.5322504817841,19.584016717323,22.3857008417116,14.6743346670788,23.4053205186204,25.5275804125368,23.6059452938945,17.9503628229886,17.3865043733205,24.8348698165772,15.8527529887132,20.0983153103655,18.3179300694435,16.7922255668823,22.332567653375,18.3441051265287,18.9995104910252,22.747937109513,20.8417897129814,18.9348576662334,17.6450918276902,19.8999863257709,24.3412166958382,22.0091951287436,18.9784251729327,20.3683551178526,19.7801545178326,18.0641541808957,17.3675277366569,17.2701070444408,20.3384844645615,21.8193330412167,19.5855274882086
