"","hera_1","buddy_11","hera_11","jarjarbinks_11","padme_11","hera_14","iris_14","jarjarbinks_14","jarjarbinks_15","buddy_16","buddy_17","iris_17","lambchop_17","padme_17","buddy_18","hera_18","iris_18","jarjarbinks_18","lambchop_18","franc_19","hera_2","jarjarbinks_2","lambchop_2","goose_20","hera_20","iris_20","buddy_21","jarjarbinks_21","franc_22","goose_22","grogu_22","hera_22","iris_22","iris_23","franc_24","goose_24","grogu_24","hera_24","lambchop_25","jarjarbinks_29","jarjarbinks_3","jarjarbinks_32","grogu_36","franc_37","goose_37","grogu_37","hera_37","lambchop_37","goose_4","grogu_41","hera_41","goose_42","grogu_42","lambchop_42","buddy_44","franc_44","goose_44","iris_44","jarjarbinks_44","lambchop_44","buddy_45","franc_45","grogu_45","hera_45","jarjarbinks_45","buddy_46","goose_46","iris_46","lambchop_46","franc_47","buddy_48","franc_48","grogu_48","hera_48","iris_48","jarjarbinks_48","lambchop_48","franc_49","iris_49","jarjarbinks_49","padme_5","buddy_50","franc_50","grogu_50","jarjarbinks_50","lambchop_50","franc_51","lambchop_51","buddy_52","goose_52","grogu_52","jarjarbinks_52","franc_53","hera_53","iris_55","lambchop_55","buddy_56","franc_56","grogu_56","buddy_57","goose_58","goose_59","iris_59","padme_6","iris_60","hera_67","franc_68","jarjarbinks_68","hera_7","iris_7","padme_7","grogu_70","franc_9","grogu_9"
"hera_1",0,14.3156909795203,13.8189611156146,16.9434504139077,19.3046789864096,11.672980836018,20.3315669948296,15.8157100158313,15.2200982645424,20.2807303917686,14.9869019309902,18.6350928885088,22.2520746142279,28.9662103118161,21.4446153726119,10.2537093211589,19.1470516201041,13.0346782308194,22.8581802343297,15.1566973376344,15.3901010142224,26.5307839347758,20.02181824224,14.4164348313791,11.5288194901356,17.3077208715369,14.3418029333012,13.7163093907625,15.2046451098031,16.0088515507013,17.4018369519698,18.0023638267392,18.1419797122349,18.3387478639574,15.707560192307,14.5535600270252,16.2761390682614,10.0261351776842,17.7504434499562,13.497380655112,11.1632818649866,18.7707323332673,16.6250708999623,14.2075779705169,16.2294931422978,17.7564957559126,12.0658336258945,16.8797254183168,35.1329557349521,15.9035802316679,11.814502716773,16.5669650926227,14.4776241522356,16.5382549526723,14.2293938903717,19.4398721178889,16.7685322917886,19.988708265451,20.6390822293786,16.3002902188306,15.2744860919119,16.5199884641175,15.6287943513153,14.4214084498703,19.822179692122,16.3750884440603,16.3418451256557,20.5995313375856,16.3257861650053,14.8611417312782,15.8208325002377,17.0117441177809,16.0090216622669,12.0593072592614,20.479174800557,15.675413644276,15.7467323055,17.2717456601432,18.1162728281471,15.8228452105488,18.7615783761907,17.5515637295571,16.4847217530979,14.9154770822667,15.3434197727821,17.1168724768333,17.1072087111543,16.0187147334894,14.3292954698875,15.2928289226335,14.199414820132,12.3134539333568,15.868157863391,11.1071703227649,17.4463403067091,15.694491773717,18.1191017193336,16.84166820649,15.0337220974947,13.8031260856484,18.6276348603511,15.7747353997197,18.3197425786636,20.1280032106104,22.1923500732708,12.1997777124323,16.4052666594922,15.2335708473984,7.96481386561171,22.289753322114,19.3357666894432,19.5013248093423,18.610644566262,14.0816998576298
"buddy_11",14.3156909795203,0,15.0396378084239,15.8414077705928,16.2231169231219,16.7035696274033,21.6894064513469,21.0754302662469,19.6693767060367,23.038835654192,10.9468708400903,20.4990541717708,19.4739697062143,26.5642223502076,17.7815799668465,17.7556812683196,20.8814699396727,13.322847267398,20.2892026901579,13.7160632303687,20.652386012628,27.7603352056211,20.6234488065385,15.8670952193557,18.0823666121978,19.109033497174,14.5976328499562,13.5312084216164,15.5802603886094,12.2261345395695,18.6962028232215,18.5141683101732,19.7245221197772,19.5630726462783,15.073467399196,13.4967792307369,12.0020100154002,17.4495922602359,16.0973622051523,11.7796434378044,14.5484023876398,16.4433645260932,18.0732194860924,16.0133315741886,12.7659058613366,18.4162209926734,19.2252786118305,13.4827223579803,32.0834761950312,17.1386634929709,17.0401455125067,15.0567980820222,12.8963358817453,16.6559166561469,14.7566897819903,22.6463535498332,15.0045853379066,21.6518690611227,20.1010962032107,16.6784319383058,16.2746443498156,15.6230427787271,15.2639323551983,19.8625783353781,21.8389355421234,17.3910584762994,17.5000925224226,21.0482054293102,16.3517915811001,15.8182631386615,15.2879174604059,18.6865859366001,17.0847424030502,17.2297324132746,21.9999981450224,11.5864417852859,15.5966760238464,18.7945011933912,19.6241136520932,15.0122771109287,13.2800284305769,14.6094511124258,18.2480582112824,16.187729500546,14.7475444309494,17.1134941663982,18.2083199401002,16.5560624640299,14.9506951110299,16.349143243702,16.1845604126703,13.9235495407428,17.4389670454398,15.7163484088638,19.2645296879279,15.1869057667785,14.4547929299155,21.2836818703659,17.1319823927606,14.0526002681188,14.2471552672,13.6006482224006,20.2794783630126,14.5162581202786,23.9694440147847,17.2622717330226,13.3468165164704,15.0234681647421,15.8383404451369,23.8514928205792,14.1351430863583,17.1190898025486,13.4752573626307,12.7166283997656
"hera_11",13.8189611156146,15.0396378084239,0,15.2416740178806,17.1003786701925,10.0069825090682,21.859775018856,17.0065684024946,15.7881167562291,26.4061336673763,16.4473254754893,21.4260424098878,22.1826891376852,28.6011882511021,21.0266277572875,15.3931836909375,21.6596695150646,18.1467711687079,23.3721567322229,18.2426335879823,21.1121612928095,28.079460238017,22.9603861322689,20.8181710438484,14.8743720158886,19.6681283311299,18.7779088747182,18.6576065582803,18.1846240548649,18.6101187806736,20.6061226982388,22.1497814675145,21.1578435167017,21.5424686533553,18.1510256870943,18.5231036730287,18.3259772050745,15.0843595652192,21.2634585328662,17.338743120804,17.0890698258544,19.6124714890768,20.2764977360742,18.2694965461402,19.0954409941507,21.3102664412658,14.9754323705908,19.4446435794635,33.8472151666576,19.8015928427647,12.1666099986906,20.3326512449087,19.3215030490463,21.368421789662,19.6579438917997,20.4599144515495,19.2703713964015,21.6757202697147,25.0129851276042,20.5327351426336,21.8664948969198,19.1484278274435,19.368139341183,14.8065800285029,19.3772435971878,21.9187199876674,22.3226436853894,21.0979657593352,20.5693916380561,20.0628377023292,20.5471604814616,21.5364221499466,20.4919387112504,13.6967530052809,22.0309206722035,17.7771251174509,21.1653199844709,21.6777356767982,21.2361320814246,17.9949498161838,18.479998731968,18.2092137426177,21.8104980808687,19.5499413558118,19.4455888998241,21.3193573667761,21.8178910145432,21.3197025217346,19.5668769162815,21.6865186458195,19.2812394398724,17.9866781461017,21.4135616871997,12.5389953663039,19.764302157288,20.0493336026826,18.5451605758072,18.0266937981512,19.0741025641989,19.6324949907961,20.9246942539349,19.5420674216361,21.2318099884976,19.908892131809,23.6670447751251,14.6636679913688,17.7875951799083,18.9348399238369,14.8697962924178,23.5371602828867,18.2513270544304,21.9371856141178,17.4703960646936,15.8630810145479
"jarjarbinks_11",16.9434504139077,15.8414077705928,15.2416740178806,0,16.49097267536,16.3734890508572,20.097330613473,17.3493016170524,16.0369526750643,26.7171975288574,15.7291498069727,20.9515035727883,24.1065842635575,28.981682656313,21.5865720449276,19.0825068940405,21.4132117423744,17.9245711722541,26.0948380712935,18.3819011176836,21.6830403691649,26.5703541490681,22.1887868865304,21.7708004247968,18.5879541295317,19.7861560522552,18.1931650098183,19.1610336319695,19.8433648010858,19.3835223329111,20.6452763194838,22.3216658443233,21.5930647832622,22.2303083981632,17.3262895000089,18.9813335115649,19.6092193282563,18.2198392964763,22.3298275400763,17.7700350738033,19.4966169964386,22.0873114636533,20.393345489477,18.4950072654468,20.2699149688069,21.8270952605319,19.0012410894345,21.2676886662466,34.7452312391117,20.2914284077838,15.6170832367078,22.2549264958603,19.2881244684861,20.0165594414933,17.8131856498981,20.725920093323,22.6331861626218,22.2813775364497,23.1018682660775,20.6598534624009,21.9256925805505,20.738779622368,21.3449005744611,18.5283712861702,20.0744466734303,21.3599455128459,22.329253717448,21.8141438222929,19.4221750629859,20.9241375824711,20.0396914589726,22.8423112767486,20.5102618419,16.1706459228578,23.1073345184372,18.5889734800795,22.3898240777608,23.2522510405827,23.0017595651283,20.6916306670117,20.2693817068646,18.8313775424211,22.1301655729013,20.3717591748193,21.8004232855591,21.0638091236925,22.4132964227987,21.7154037581956,19.4953619566642,22.8811886395721,19.5018144317809,20.4323483961116,22.2940616885921,16.7151084594143,20.771304027552,19.1401687382878,19.9165580433362,19.5220610409604,19.1557789159895,18.7549013007808,22.2541042286996,20.7683608144141,21.4414506086344,19.6002325572753,24.1899312070105,20.6468101331193,18.8741492932862,19.5494321130118,18.9292464235751,25.7178464218563,17.3073252468202,22.028663010447,20.5013482284403,15.10026107589
"padme_11",19.3046789864096,16.2231169231219,17.1003786701925,16.49097267536,0,18.4045230792829,21.6404562333223,22.895009818962,21.9692302156656,27.2946793722848,16.6521926788008,22.8218103394,22.7731138312216,25.6132906897882,20.1499039509713,22.7483201495709,23.1631061718857,21.1833664691811,24.6756114677603,20.287116294528,23.1980231323582,28.2231758646515,23.7366576685965,23.4381840989334,22.0880391684803,21.1630710522171,19.0754032132228,22.005268642051,21.9382392727947,21.1639588412287,22.4155487112273,23.0850121522138,22.2154628411037,23.4778695550166,20.5623528754481,21.1239367727511,21.1603415761717,21.2628054322923,21.4685957979617,20.9311579865259,22.3090530344795,25.0274906674337,21.8216328077021,21.0635882095332,21.3530328471135,22.2507763086905,22.1399204728855,22.4440844912792,32.5923361137432,21.5844885335376,19.3665568882604,23.4370189538786,21.2492393586267,20.4242256457131,20.6167489169671,22.2410350758469,23.4536885778084,23.5588075428205,24.5240513988713,20.590441228825,23.2114539040587,22.9407172613789,23.1777850121675,22.0407785710815,22.2015811598347,23.0464234039035,23.9958936816427,23.0191125888081,19.8242476469463,22.3806374005638,21.0147762892213,25.0534783055241,22.0271304752026,21.3736848724964,24.0068110310356,20.7433462648432,23.4255165609495,25.2301712682685,23.4780602917637,22.8106670857485,17.9207629038132,20.5221255781881,24.4488674242909,22.3143827245334,23.384500761662,21.6666002983457,24.4377422244205,21.8852009499574,21.6437272745356,24.1478411947341,21.6132655407358,22.2137207570897,23.9461681179452,20.6600194776641,22.3496508322119,19.7639587846393,21.6673397570124,22.9607459299903,21.2592022609706,20.9337982597796,22.4228584544014,21.9448337523106,23.3677597603559,17.2197444545043,25.7879661684096,21.935639072343,21.669091492639,22.3418692084782,20.8040420263072,26.5476403940361,14.5996630275264,20.6530890565971,19.4983368563047,18.7734676636593
"hera_14",11.672980836018,16.7035696274033,10.0069825090682,16.3734890508572,18.4045230792829,0,20.035443965105,14.8543679616568,14.1182605646972,23.6417584451371,16.5397782722939,19.5335969563081,22.3823135673609,29.0390594536119,21.3137656402512,12.1250745738208,19.8667046103421,16.5676775183889,23.2212943655207,18.1127276635573,17.9852066286238,26.0010219376121,20.565889204448,18.0683656003636,11.6174421519063,17.6378008882369,16.3513438806456,17.3877590348902,17.3767300032147,19.2730373839889,18.4384489313055,19.9100551192898,18.6495428843558,19.3538372033631,17.7412221053767,17.8426217878661,18.5883346067299,11.8389151933754,20.163497316206,16.8215552782181,14.9195225071152,19.8796309906401,17.5145420402319,17.1792304347475,18.4532614373286,18.921734968245,11.9364593824989,18.9930141463893,34.8403737522227,17.3480367730312,9.61521158970575,18.9546508740151,17.8713090140153,19.0410412482428,17.3298590167755,19.0473234173795,18.8693230140922,19.9245054316994,23.0115190437856,18.4080216353689,18.6970470775752,18.3799233192672,17.9974191815199,13.0908080155488,18.6329599759965,18.9338988670925,19.1661276502592,18.8985431486265,18.2541397342264,18.1562802469331,18.0775129600122,19.4313939710935,17.9032443099755,12.6298553965647,20.086238644623,18.4288116144827,18.6630625812266,19.5666839953692,18.7907144728518,17.8476350441079,19.4673132603536,16.5470655256102,19.1793103103671,17.0759517359113,18.1727825196207,19.3295528923792,19.847437283186,19.0804015481016,17.0188270495765,18.6085915296344,16.5078903815824,16.5060215697491,19.1997419281147,12.1166773017819,17.9366695143925,18.394866333106,16.9057963090678,16.764799262821,16.5576876898352,17.046395678744,20.4137066998713,18.2797407616853,19.0631873542583,20.8869205661919,21.9942556927073,13.5901290161989,17.6607346517747,18.5702616386124,11.5905271569025,21.8695524044811,20.0751118143052,21.3258757786564,19.2586921464658,16.3071115436466
"iris_14",20.3315669948296,21.6894064513469,21.859775018856,20.097330613473,21.6404562333223,20.035443965105,0,20.0877880385898,19.9255922656573,27.580504760834,19.8641480881591,10.0761635712825,26.8109620694073,31.4520576271235,25.3233430005234,20.1284190562724,9.49898599265608,22.224502455753,27.6768650224465,18.9157537853589,23.4830555649575,20.6748856050297,24.4632647622431,20.8392699605494,19.6398673269761,10.2018315885097,19.6762658855717,22.9413914714391,19.6505163460801,22.6569564998917,22.110355496366,22.0217084376418,12.767629042957,14.3835362734985,17.4134149485727,21.051496536314,24.4504940904208,19.4306539689009,24.5262352593159,23.089392270504,22.0260703655319,27.1007342804979,21.7345559263252,17.2564170769196,22.0260847046222,23.1621340703247,19.918772947772,23.3707640851811,37.9650260729017,21.8192621032117,20.3296652219315,22.8923973185018,22.2739128496021,21.0320042860899,17.6446953481177,21.1044791891387,23.7358806859734,11.0632443886365,25.4586942103017,21.510604859303,21.8361438040065,20.8136782561025,23.102646279471,21.0169631990202,24.4980621887795,20.0804835161579,21.3852660667325,12.3039447609049,20.707087665064,18.5818127545099,20.7994768661491,19.601509120337,21.7688987741133,19.9922659607143,12.5134120028162,24.1276080331911,22.350090379041,20.1195700049952,15.3319764644063,24.2548177750139,24.6483639019435,22.5882568249607,19.1938045815922,21.7808598995758,24.4638074872787,22.7063149022609,18.018341426815,22.2581428962634,18.8540608743406,22.2555553728821,20.9713202554757,22.2954538958739,18.4932117872459,20.229306354668,11.7185964161607,21.2597702181185,23.0918450689764,19.6794136655228,20.7402460271584,20.1706696191629,24.6236074165925,22.4861546370231,11.2309883538647,24.078474403476,11.8776721996622,21.2534694003502,21.1828212385763,23.7787902863149,20.3830588800768,17.6897043665906,22.353498168503,25.8636622025654,25.2098436482101,19.5490040471229
"jarjarbinks_14",15.8157100158313,21.0754302662469,17.0065684024946,17.3493016170524,22.895009818962,14.8543679616568,20.0877880385898,0,7.58804942067216,25.904638816203,21.4631782741665,19.0791825612627,27.3152107996615,31.7582757470416,25.2746383081086,13.4554908451259,19.4277256099187,18.9659085502942,28.6496927069282,20.1502864669734,20.5493996944351,25.6273066142363,22.2297205222259,21.2827700319539,12.5647280717965,18.8534029694821,21.2446957083214,20.3964631316269,20.4511633221617,21.9993289288096,21.1893156245807,23.7584432297892,20.3569781080996,21.3538561972321,19.3008346782706,19.621342902097,22.6423819382336,13.3670156743534,25.0950378367397,19.991606134343,18.3049740678921,22.7846889204843,20.1693239340057,18.305052730396,22.2928697475913,22.0611758151456,13.4359156723234,23.2203138063578,37.6672397986197,20.2889891012169,14.2687470343541,23.4620213849422,21.1583965756789,22.4501052824642,18.3983967950071,20.1384760854589,23.1622176556644,19.9112332920666,24.4068413144055,22.6610432342181,22.3332437838957,21.9304740253019,21.5610295746285,15.5664296646119,18.9951601967981,21.1658853723256,21.4742777366756,20.8090020712781,21.9342080435193,20.9746107860236,21.7360227423014,21.6490587137103,20.5853075779982,12.9592862973518,21.1804638736984,21.3587811827744,23.3070350795264,22.3062220539658,21.2159354910046,21.3591399317646,23.6837609716933,20.9794387006374,22.0584520355157,20.6090065006444,22.2620299296985,23.4998285820252,21.6599227963618,23.1142048769544,19.6728058296093,22.7084498468259,19.0612765633462,19.8494089323631,21.5625249405855,15.27829732017,19.378100202369,21.6674521040603,21.5839123952835,16.5318445339595,18.3874550754867,19.8374014102312,25.202460490172,22.668959915823,19.6963270559831,23.6802757786735,21.7834527310368,17.2767142593078,22.0270649640162,20.6565446534584,17.0157453105364,24.2496055696529,22.6255847661263,24.9816929886733,24.8064916072027,18.8178435839304
"jarjarbinks_15",15.2200982645424,19.6693767060367,15.7881167562291,16.0369526750643,21.9692302156656,14.1182605646972,19.9255922656573,7.58804942067216,0,26.104985625277,20.036353577461,18.7151949543455,25.8295518176586,30.9054724279427,24.3630656489406,13.9833275213845,19.615507243018,18.3163570464427,27.1422616729547,18.6350053754281,21.2308006585062,25.774743048773,22.8240381414714,20.5599905844834,12.997904934906,18.0147799212535,20.4039543945869,19.5609174536354,19.3970294527958,20.6242909878287,20.6936748581592,23.1485958584065,19.7079819167698,20.6282717899113,17.9843738217617,18.5165661728601,21.5459382519883,13.8513694091729,24.0327848408998,18.7296067581681,17.3853199995107,22.2955471620901,20.11773699035,17.5382653048923,21.4109910553851,21.7347049161861,14.5322206445382,22.3722582200421,36.5907255625036,19.8750537346224,13.6650586776592,22.7669146944812,20.4527553212639,21.6894631079953,18.0078546974866,20.708290411619,21.9344684809692,19.7303481146909,24.6272498418512,21.6996498036046,21.9299003636866,21.1816414643676,21.0633193887234,16.6984375269979,18.5116634154705,21.4184461427213,21.4363905381944,20.478319495276,21.2708501372927,20.2532103505338,21.2658718396508,21.3615430258397,20.3029529604435,13.0279191358617,21.1305707981096,20.3019193656918,22.4644087646359,22.052266525218,20.7538166422303,20.902217643794,22.4718062090502,19.6730539307541,21.0968543211118,19.9226847379156,21.7511407272751,22.3163864385684,21.096104056567,21.9246731534057,19.0916973195179,22.1926348220421,18.9544807228813,18.9703546262784,20.8734760422873,14.5413506051273,18.4788419161127,20.6974872613593,20.2161379501795,16.6573301144196,18.4892951342997,19.1641546611827,24.2919975089038,21.7971175270292,19.4045297395255,22.6912993141319,22.1435064231983,16.656788544803,20.3602292776977,20.0986767212954,16.572821910938,23.9118857175071,21.5945692327376,24.6767651198117,23.1239009901116,17.7168150617942
"buddy_16",20.2807303917686,23.038835654192,26.4061336673763,26.7171975288574,27.2946793722848,23.6417584451371,27.580504760834,25.904638816203,26.104985625277,0,23.5091271307346,26.9643725612062,25.1268798681837,30.0216835685886,24.6026276740251,21.7209261716664,26.484016549055,19.8664576219874,26.0052459645455,23.4664762778301,13.0571103241683,22.1083918503192,17.7205775415033,20.7577625075133,22.9446295990061,25.6822045816517,21.3916046346225,20.5266452584194,23.8301611889684,23.3399330197991,21.1565454386004,22.0061412041397,24.9773921540744,25.3361524086111,24.4546126438659,22.092208905789,22.6317643937454,21.4909348689101,21.3578344174125,20.7364159405756,20.4826705696094,25.5917289439691,20.2536862138723,23.2381855932573,22.51673596608,20.5011128523967,23.2970485824986,22.9910812395643,32.7429527643808,19.924247643879,23.9370753554308,22.7436080809692,19.570176277083,20.604494307263,21.5883868866726,27.0488681607073,23.5438221589349,27.1988608064122,13.1664471543042,21.7213375249185,20.0053884020833,23.4894658766568,21.0529800185769,24.5035177895919,27.2651689342384,20.6622227650884,21.0638268532925,27.1802056324969,20.9308505226031,22.0507647560165,20.752260440143,22.8341689690442,19.2240118414387,24.3645278137662,27.8163933340431,22.1491988000771,21.2173238374643,23.5941986438949,25.0179608997101,23.1574698966375,25.0192089089057,23.0912855380884,21.8989597965249,20.4023342173913,21.1698286117676,22.3760669194746,22.9562862895727,21.2972005937478,21.2688699463656,20.1748070055901,19.4728029196372,20.2511759998984,21.9226830184403,22.7860771366562,25.9526121641225,20.695397952417,23.4206910931824,26.2969826542784,19.74403895472,20.177334983274,22.9741003905734,21.8703678910625,25.757087751244,25.5429620652464,28.5264675433447,23.5573338573359,23.9466532795322,22.3954884514682,20.7986847323753,30.3765815920899,25.8631552123223,15.1887530112316,24.3612143986429,23.4804401975902
