"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9","ophelia_9"
"hera_1",0,15.0424559666543,14.2841116239563,12.0731355233814,13.6884757753491,16.8626140583461,15.4258395666518,19.3531279032867,13.4813502947034,11.6638018374425,20.2574831308878,15.6546238261194,17.0993099655886,19.4368575759369,18.0102322832138,15.2185192834877,26.2143925452752,19.9126420843819,11.1371454650275,35.1351984708087,18.7560507834351,18.0980942788023,20.1288633586777,20.355925578758,7.81197475587161,21.619398845771,19.3079043551402,19.479502777083,18.5809021611664,14.0489207796962,20.9870958339438,18.4064492686055,12.912974401983,12.1390872087917
"wolverine_1",15.0424559666543,0,19.3498755581205,15.9619418364701,18.1743041014586,16.8176108249734,19.972312372007,19.767124071708,16.0814328356999,16.3757684507701,15.6823376384514,16.103660385668,18.8825657609331,15.9342784679452,21.8878611686611,21.1543975559463,21.7567824638201,22.3531932322246,17.9681633361765,36.2486150010701,23.2870174412723,19.6533044569771,22.8725178914985,23.8480486179896,16.2870158145261,20.5037004142472,21.8001145524604,21.1319942161358,22.2153489309909,15.706947054506,23.0586253573372,20.340229706465,17.7502677256718,14.4499754105359
"buddy_11",14.2841116239563,19.3498755581205,0,17.0265466562117,14.9333137236132,15.762121120599,10.4215267175998,16.2366969514695,16.6952626358541,16.6188660045194,21.6139584546197,20.9638793696612,14.0749153264289,21.1826166336017,12.9123240937986,20.6128781083467,27.480079730454,20.4378051109282,14.5021570578986,31.9523963547008,13.2302114832034,19.5879409210438,14.4235548296169,15.7532876909645,15.7964744363852,23.3180302752598,14.017429706737,14.1508268513149,13.361421132492,12.6706516031887,18.1086771021713,15.5197918684572,15.0856060574338,19.0329994742917
"hamlet_11",12.0731355233814,15.9619418364701,17.0265466562117,0,9.85428582561341,14.2190027992509,19.238337807428,17.4820225319533,17.5486247362658,9.38904062045707,19.1533903379435,14.8638964098582,16.1538602239186,18.4051951812167,19.0104481840091,17.6281279492959,25.1406457091187,19.9385808578259,17.4373741652387,33.9587118883984,21.2207661035304,18.8345619866803,21.7659276455485,23.4616219966117,13.4771984639598,23.5678571909471,19.3861140095781,18.9512078196141,21.0268635800762,15.9275022063742,20.5818662357667,19.769885528555,18.4694078231011,13.1177661506509
"hera_11",13.6884757753491,18.1743041014586,14.9333137236132,9.85428582561341,0,15.1249984504024,18.2938455200438,17.0054969652433,17.233707451604,9.78671901867822,21.8156985188586,16.9267421686949,14.5457612113279,19.0823889316654,17.6856459564174,20.9859289442489,27.894360013819,22.6585067698666,16.979068061067,33.7989019398994,18.4134661287411,19.562235204957,19.8582966482382,19.6980119283233,14.7231905264237,23.1661717080546,18.0932825762965,17.4419455878297,17.2276982791369,15.8099934033851,19.0819864266178,18.2826407722272,17.9040913021037,15.5997821787856
"jarjarbinks_11",16.8626140583461,16.8176108249734,15.762121120599,14.2190027992509,15.1249984504024,0,18.7727616822816,16.5258389701241,19.9600291949799,16.2645921501731,20.0458637474269,17.1851632798096,10.157475441831,20.7079373517654,18.4420043472756,21.5967388147737,26.3880890886345,21.9084123650065,19.3671533892286,34.6163817636925,20.2129043586077,17.0119857672429,19.5317268060451,22.7923613198061,18.6348139253811,25.3145671665759,17.1523385875455,17.513524611553,20.3954737336321,14.9928929633539,20.7129534187289,18.6752982846888,18.1752612046958,16.2358276613702
"joans_11",15.4258395666518,19.972312372007,10.4215267175998,19.238337807428,18.2938455200438,18.7727616822816,0,19.9966208916221,15.746680981499,18.1459754323475,22.0122254498415,22.4710872519903,15.780978907523,22.0028315427953,12.6681135833403,20.5895147474421,27.1043221217226,19.4122743085882,13.2338496680331,32.4868336379167,16.5423853000871,20.0031901552323,18.0589304742911,15.9983142858242,16.0918362852178,22.3458528317875,18.1764981052984,18.3316033729169,14.8018580488649,14.3727202151982,20.2411010461494,16.3983905188045,16.0027300777684,19.9729567063785
"padme_11",19.3531279032867,19.767124071708,16.2366969514695,17.4820225319533,17.0054969652433,16.5258389701241,19.9966208916221,0,20.0068723191871,18.5226547915891,21.6560703462331,22.8362204332787,16.84160470902,22.3806054574362,19.1430109844693,23.2071107220227,28.1140578355485,23.6915655421452,22.3407299983477,32.5990121361279,17.9341795828397,22.6833718820968,17.2069020476177,22.2193500422076,20.7990080861289,26.0959065350908,14.5621812401943,10.4761693998145,19.3960669296237,18.7473173485026,19.1554647547304,21.5657562478224,21.8058135161058,21.4905535864023
"ginger_14",13.4813502947034,16.0814328356999,16.6952626358541,17.5486247362658,17.233707451604,19.9600291949799,15.746680981499,20.0068723191871,0,15.4387672545654,20.1332905062188,19.011676056108,18.8512138381524,18.0805243769951,18.9056486163248,18.8501432030059,25.5966631937881,21.3682541539255,12.2967804158063,34.7513923904384,20.6093628895766,19.9030657275038,21.6418967340112,17.7633450451435,13.1655132868798,18.250398265701,21.4435167845994,20.5810411297095,17.4667643986677,14.6313052040685,20.0641841807535,18.0530480856983,15.9499835817537,16.1307189400591
"hera_14",11.6638018374425,16.3757684507701,16.6188660045194,9.38904062045707,9.78671901867822,16.2645921501731,18.1459754323475,18.5226547915891,15.4387672545654,0,20.0001032459217,14.9076918231761,15.5576288123763,18.4267783338976,18.819720776494,17.7931673356626,25.7643947303698,20.3848694596028,14.9507411846391,34.8634308086552,19.442875934188,18.6263551960829,20.8604959350749,21.2885170547285,11.4980648645839,21.2648911305041,20.0100181612235,19.2586437263756,19.0979430938013,16.2411186307125,20.4864765946748,18.9709048634034,16.7805320046569,13.5366965881209
