"","jarjarbinks_29","korra_29","kubo_30","hamlet_31","jarjarbinks_32","goose_37","hera_37","kubo_37","lambchop_37","ophelia_37","wolverine_37","hamlet_41","hera_41","goose_42","lambchop_42","buddy_57","joans_57","ginger_58","henry_59","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","grogu_70"
"jarjarbinks_29",0,3.38074688240748,1.87343945518968,2.25992075621782,1.23073354026676,1.53718283839815,2.91420253466854,2.03656952543839,1.04250719091284,4.16137564105235,3.22513946503052,1.63845948800236,1.76243337639346,2.82683646548799,3.91358867528641,3.66730629431302,2.98521442193191,3.63380195314794,3.44629751377586,1.61904665300311,2.99006181017397,3.63072235924189,2.96766427503106,1.39709656125556,0.891629530221813,2.29724272296243
"korra_29",3.38074688240748,0,5.02007318145302,5.23146571446812,2.27225391720741,4.7705847167238,5.81908288517818,5.28033474632074,4.07522022443873,0.897608226346922,6.3261308817174,4.66484350453374,4.71947809040813,6.10947586268988,7.26393913563475,6.97675648684692,3.62841648204851,6.96510114028701,6.73855989518037,4.36889965699127,1.62878301602501,6.88311279976566,5.96585004676603,2.6681760039092,3.77192232983122,3.72724519010085
"kubo_30",1.87343945518968,5.02007318145302,0,2.1420475426635,3.02665873809088,1.25959001759392,2.42974484572706,1.54301012796393,1.67150872703976,5.74108056942232,2.1322586766012,1.73826858159807,1.92987982551412,1.76446494238288,2.62592026580286,2.16904154116407,3.72509235733678,2.31035500335834,2.48139595167719,1.83410936165348,4.46233652967246,2.7022156440828,2.56080068104481,3.20957280072623,2.04076473444122,3.83540602723212
"hamlet_31",2.25992075621782,5.23146571446812,2.1420475426635,0,3.22430263181832,1.79719928127376,1.52508556948667,1.15493399566482,2.18784721149994,6.0557348149528,2.00708770491141,1.11279369042125,0.861204521363047,2.06118083903365,2.84636359308508,2.63047358082832,4.2806906471467,2.36425866388653,2.05165165108605,2.14901907022915,4.54192263420616,2.45060966789377,1.59715717581184,3.03526440626618,2.08161984194441,3.11963074582097
"jarjarbinks_32",1.23073354026676,2.27225391720741,3.02665873809088,3.22430263181832,0,2.57658650312636,3.88547864549614,3.1803148024358,1.87992554618084,3.05578817456402,4.29302603374529,2.60610114139656,2.70450804520603,3.90973946153118,5.08361245300189,4.82885959778489,2.78651185438992,4.82899824787998,4.56148625649992,2.36734258328938,2.15199208606808,4.70255918982233,3.9052867089548,0.74305314896074,1.60208171092318,2.12903740165346
"goose_37",1.53718283839815,4.7705847167238,1.25959001759392,1.79719928127376,2.57658650312636,0,2.40865083132234,1.32270718752477,0.78291465415786,5.53027614086248,2.06486960905855,1.33695589708587,1.5449894193273,1.35583303046628,2.73946878778768,2.39595619871099,3.44596337330221,2.51611173058514,2.30084215290475,1.10917836714264,4.2843900404984,2.28710731631731,2.24759789269919,2.53707869599287,1.18233741134942,2.94745365583044
"hera_37",2.91420253466854,5.81908288517818,2.42974484572706,1.52508556948667,3.88547864549614,2.40865083132234,0,1.67320177044753,2.87352805265903,6.58132877716792,1.77740733238987,1.65936504594658,1.55724571767014,2.33400095485495,2.99322929348842,2.39049338540915,5.19500573799491,2.3266766191224,2.22130711353712,3.0946041103461,4.86687924988293,2.87759169742552,0.870971983298918,3.79670704691819,2.90156572074535,4.06140514096078
"kubo_37",2.03656952543839,5.28033474632074,1.54301012796393,1.15493399566482,3.1803148024358,1.32270718752477,1.67320177044753,0,1.85553311987671,6.07693745834062,1.60536566970976,1.13981522374785,1.15103470896892,1.55426512708243,2.2522826907446,2.19321493943811,4.32056563693892,1.78501603703307,1.8854862885678,1.96345161437483,4.6471121365101,1.97781141063961,1.80820372182362,3.05676959769529,1.84125053445179,3.21410278299526
"lambchop_37",1.04250719091284,4.07522022443873,1.67150872703976,2.18784721149994,1.87992554618084,0.78291465415786,2.87352805265903,1.85553311987671,0,4.82589289856779,2.73517999881423,1.60682304643407,1.81256571595272,2.09588318686147,3.44449515121834,3.137828178734,2.96861001979241,3.24490200310787,2.99131323273787,1.01616255927082,3.71699620576291,2.97323907154141,2.73772956227683,1.89090029156366,0.672284243081647,2.50206092147762
"ophelia_37",4.16137564105235,0.897608226346922,5.74108056942232,6.0557348149528,3.05578817456402,5.53027614086248,6.58132877716792,6.07693745834062,4.82589289856779,0,7.07484614047888,5.48249494300317,5.54665813275442,6.86559097859318,8.02622791729663,7.71519477453704,4.23216141065296,7.73709919484642,7.52656846888284,5.15033928236817,2.20631129348818,7.66882026088368,6.73718383346226,3.46126452774334,4.56030897799242,4.49799767916437
