"","buddy_11","joans_11","padme_11","ginger_14","buddy_16","buddy_17","ivy_17","lambchop_17","padme_17","buddy_18","ginger_18","ivy_18","lambchop_18","franc_19","ivy_19","ginger_2","lambchop_2","ginger_20","goose_20","buddy_21","joans_21","franc_22","goose_22","grogu_22","henry_22","joans_22","marshmallow_22","franc_24","ginger_24","henry_24","ivy_24","marshmallow_24","henry_25","ginger_29","henry_29","joans_29","ginger_36","grogu_36","henry_36","franc_37","goose_37","grogu_37","lambchop_37","goose_4","grogu_41","joans_41","marshmallow_41","ginger_42","goose_42","grogu_42","henry_42","ivy_42","lambchop_42","buddy_44","franc_44","ginger_44","goose_44","ivy_44","joans_44","lambchop_44","marshmallow_44","buddy_45","franc_45","grogu_45","henry_45","ivy_45","joans_45","marshmallow_45","buddy_46","charles_46","goose_46","ivy_46","joans_46","lambchop_46","marshmallow_46","franc_47","ginger_47","ivy_47","marshmallow_47","buddy_48","charles_48","franc_48","grogu_48","ivy_48","joans_48","lambchop_48","marshmallow_48","charles_49","franc_49","ginger_49","henry_49","ivy_49","joans_49","marshmallow_49","padme_5","buddy_50","charles_50","franc_50","ginger_50","grogu_50","ivy_50","joans_50","lambchop_50","charles_51","franc_51","joans_51","lambchop_51","buddy_52","charles_52","ginger_52","goose_52","grogu_52","marshmallow_52","franc_53","marshmallow_53","charles_55","ginger_55","ivy_55","lambchop_55","buddy_56","franc_56","grogu_56","joans_56","buddy_57","joans_57","ginger_58","goose_58","goose_59","henry_59","padme_6","joans_60","marshmallow_60","joans_62","henry_66","ivy_67","franc_68","ginger_7","padme_7","grogu_70","charles_9","franc_9","grogu_9","henry_9","ivy_9"
"buddy_11",0,2.00955857703609,1.67823403813326,5.60474325676144,5.09913480591382,2.53250744556024,2.05189436245925,2.94837063848446,8.42534620629218,2.52523806689342,5.5126667508612,4.72893385560007,1.62907541114187,2.37239015778651,4.47377124583912,2.37895510982041,5.28904366275616,4.84935318612543,5.7231472106532,5.34899372778874,5.89955836916197,4.60741168135734,0.843409019358046,6.2877595799491,1.48683565500199,1.38029461278116,5.38979061139805,3.34217011507203,5.82265631606002,1.45124148854419,4.79644944818351,5.99706797819471,1.06797156084253,5.1330458312655,1.58235883265364,5.78551326294487,2.53870627692608,6.12810310430592,3.96066754194225,5.03968643071067,3.20716222220249,6.20857483687814,2.48457846231393,2.85327879042722,6.35390371621143,1.88256955588222,4.87276251013394,1.1473908099067,4.55011985661064,5.20036026939828,4.94992975170846,4.91254631847513,5.74948593345255,5.32408756782972,6.47853535450475,5.04454532913479,3.98527564653317,4.54392270083114,5.86936989622242,5.75097940505043,5.04377492907483,5.70675153617452,3.70235911211319,4.5184269218661,5.26153810171878,6.6227284542495,5.95601877295122,6.1385663626266,5.21411029124072,5.45656962351125,5.4019512098603,5.74972791466819,5.8429670924382,5.46952419486755,5.51049658360285,5.69891982944826,1.97198271218009,5.7038243931288,0.871759045988489,5.78252282199059,4.83957478881517,5.47708810833481,6.16234186259108,5.02242372408515,3.93811326521593,5.53877018120594,1.08300664849117,6.06282369360601,5.60797128770075,5.72309412827347,4.76877823210012,3.78843208918918,5.92907515582287,3.16074838609087,2.08130856493519,2.53623530437975,4.6295582518862,6.32725166543096,5.44217506272079,6.1703939602208,6.06661648266857,5.56603506898706,5.3574052803902,4.46785528465216,5.8869367666031,5.67112023253855,5.91603198041046,5.45604466696653,4.6439604237913,5.35666128217709,5.65051941937268,5.9317932909744,1.24117895362848,5.886086775726,6.34799588562217,4.81341971501081,5.37932746560873,4.86644082261484,4.86065726407269,2.36271777515821,4.96658065047895,5.93358261361538,5.83601837093565,5.49164360547721,2.93765581346623,5.47654960456697,2.14324695545893,4.12104482434973,5.10703270230283,1.9671843085974,2.88123874858133,1.97828900538443,5.28346356845661,4.48541982189828,1.02375754393427,2.13012290831918,2.33978240341101,2.37036587703315,2.1663417201167,1.91937680077254,2.81001609086851,3.78268184234318,1.03155430021276,0.731790752644906
"joans_11",2.00955857703609,0,0.997168302432709,3.84443817643543,3.79974011868671,1.20219643633231,1.36790196314882,4.64067426070449,8.92388190996962,1.11014238560381,3.81052477899454,3.36428218708484,3.02414910689723,1.14857922606609,2.86229747202441,4.25916101787308,3.59537374395549,3.13130941425656,3.81990463843703,3.54800181838378,3.93840455383449,2.67801151236586,1.41689763305635,4.47024453854909,1.28062112697563,1.44837040747746,3.58984853470722,1.78052821657204,3.98136147549031,1.54035756758741,3.11264911877042,4.18055041447167,2.82492641148955,3.39978559175738,1.38839726854539,3.90035584372729,1.4293183320228,4.32026206430834,2.26911228366643,3.28034937182054,1.30964855864475,4.39032208909237,0.708602073444921,4.68459338467134,4.528017607471,0.906675716307467,3.75381427523405,2.79968438002827,2.62378352321617,3.38237721071408,3.37039959579286,3.55850087104294,3.9080309654887,3.51374702110721,5.50695270568569,3.37104828498542,2.09163879822745,2.6039981950502,3.93397945967975,3.87684149350813,3.21266134372324,3.79361200895695,1.91666816383128,2.89553826923705,3.512944537091,5.87200906886362,4.03848810509855,4.31935690980098,3.42524421018099,3.57107947622032,3.62251549311425,3.92214285093444,3.9076318204489,3.69860323459548,3.67470302450645,3.76883578939645,1.12775564237879,4.00345744761487,2.03228514222072,3.92367540039438,4.17024162576524,3.62243663885247,4.34687075576696,3.24375042568202,2.16794537235817,3.63006750661882,1.55399507480195,6.10443361453559,3.73144626068701,3.88957494523763,3.05558465718106,2.16947809823576,3.98093754239475,1.47255387219068,3.87292906656884,2.70360222444464,3.8356312171647,4.3763228295901,3.63531515262406,4.34869865835166,4.11313861123581,3.69049245950805,3.54419830256733,3.41106869010509,4.00841300425169,3.79429129610627,4.06210819725996,3.55509393764275,3.28303271773362,3.59914457670212,3.743828459639,4.12607433234852,1.52505682312105,4.02119300248352,4.52547450650762,3.1189405164051,3.58338468420933,3.22221352908259,3.22552457857095,2.94782495755152,3.32488801389219,4.14896318852017,3.90532396124593,3.6437645683203,2.78442280321092,3.66027561130808,0.973228075301731,2.22291341172079,3.35768576020553,3.78034288011982,1.11071209114609,3.41131572870147,3.36292884685464,3.10340768998167,1.57240301747231,0.439540091335788,4.25818984390223,4.10586791069863,2.21337343597916,3.68655460579036,4.68727639147083,1.98750379512813,2.94920054544634,2.01144365383818
"padme_11",1.67823403813326,0.997168302432709,0,4.30554423356871,4.15604297971215,1.61410013663366,1.37308640212592,4.00684990702517,8.53741193256847,1.69867669298543,4.34598461462881,3.63670867061927,2.45584067521743,1.27419807268513,3.23843430892085,3.85167795193122,4.14817848490798,3.49961420457135,4.38639804280285,4.02055819514804,4.5358942067839,3.27072764213477,1.23535376649872,4.93921852155911,1.07162441759578,1.13582755912165,4.03970077281309,2.1869481869963,4.46811656563268,1.24095591029378,3.43657630466291,4.62498643546833,2.4030002122977,3.78033412538099,1.24286881072786,4.40272232803682,1.70286791154109,4.78598729138804,2.66467062837235,3.63138365495094,1.99156090078939,4.86979864392187,1.49340221608917,4.24275646616699,5.01849917700309,1.37329096355136,3.96866785488076,2.41083193220178,3.25345764615303,3.89025190092459,3.69457249665681,3.73691884575981,4.42190667584132,3.92050805829364,5.61658846800794,3.6970545177093,2.68296870416344,3.19103982142937,4.50333877934517,4.38355641295451,3.71141278086219,4.35008411371199,2.48807238279539,3.15667241322052,3.90505254075257,5.85364862103715,4.62055592355814,4.78300852624041,3.8645873274208,4.03794615304954,4.16415401275836,4.3930219637026,4.47481327749794,4.21343299045702,4.1836003225878,4.28971830545524,1.13417138668802,4.52081431810266,1.76975528863072,4.45702911449993,4.14807425635159,4.10617891267363,4.8227393182694,3.68982638307998,2.73584709515937,4.17930758786201,1.2670317858081,5.94258147749531,4.24321300094183,4.32399429922962,3.43157005207861,2.64314818758559,4.54294768450275,1.97522743012481,3.42668274587983,2.74323321803407,3.87990434905368,4.95364632879006,4.0700582954847,4.81648140890214,4.6740054073561,4.21354727043015,4.03233739581359,3.54411479801542,4.53392320745234,4.27728691468951,4.58450697556266,4.03127745762087,3.53542923959302,4.03704450668446,4.31101986340653,4.58553563569783,1.4361310609579,4.4940963170353,4.9967380359754,3.47239059957831,4.00455444332043,3.60014508948086,3.57324051389857,2.89369828992491,3.67310906821725,4.577049312038,4.46273238384299,4.14454875020093,2.9579731964142,4.09896090335367,1.19860851454831,2.83325750937138,3.8510391005665,3.30659192064568,1.7725666383148,2.84508104494699,3.96313368812926,3.36310783070173,1.45582280333204,1.13953261266351,3.79956508559499,3.65879035730473,2.35528271664768,3.11903363896283,4.21621802903844,2.45809657990842,2.55095933193589,1.69038040138647
"ginger_14",5.60474325676144,3.84443817643543,4.30554423356871,0,2.81987562545669,3.40137153043375,4.47601259384357,8.00459940574607,10.4788891026222,3.71713062799358,1.55086141825303,3.01903697481809,6.20879087477849,3.9825949747156,2.25475314370581,7.92216039418891,2.36733470794664,2.06425825994226,1.97113736839864,1.67817783284527,1.75605480846574,1.64333309610418,5.19004430559286,2.85602524049648,4.49763190826016,4.78941683241131,1.79706328365351,3.0241327353413,1.30101804241185,4.58123683791147,2.05562402710245,2.71219581408776,6.20876990457653,1.41111798929352,4.3312822087414,1.85977242305639,3.38215200886495,2.80573467493411,2.29364715478015,1.82730772113046,2.91390244229614,2.86607259438995,3.59473717251378,8.37617610142668,2.84694291887921,4.05362741446772,3.19514514694103,6.14484581946434,2.04166028299237,2.41871195699539,1.70801129831244,3.31097488679362,1.25913617488527,2.37934179601979,5.16977808979654,1.32305799699635,2.30446319518276,1.83823390321127,2.19462134739335,1.44332058018295,2.06911008329947,2.11784105247872,2.64349611221396,2.17159779532059,1.07514284766181,5.96938791439522,2.26617408650511,2.74417577863355,2.36108681096654,1.69947522685879,2.16452478012047,0.807556008008927,1.88966254422193,0.648333658414151,2.1555542981142,1.54944732753363,3.70287726518278,1.21549151308935,5.67620076153199,2.19434940384274,4.65128947722677,1.96111254104654,2.79484075596809,1.39877359668768,2.2693075308368,1.63554269674594,5.19556698869441,6.84322239370978,1.92237937903966,1.08029359147558,1.76033004466154,2.0583910080333,2.35128084823266,3.15503848203084,7.60264143974616,5.95550797361471,3.93420954785573,2.38187565382195,1.08591892587046,2.69655696905145,1.78022201337406,1.86770891644871,0.922901687989821,3.38813909104083,2.36752837863305,2.47645718002168,1.06136424037343,2.07290302830667,2.87556513941406,1.31012514880688,1.73246832108793,2.64396718242245,4.78636478625537,2.71739016967632,2.92324261508349,2.31127601138333,1.04321316756244,1.81209256783335,1.25374384823116,6.3842148402949,1.71496646180893,2.74843225611041,1.60670381130964,2.07831196507339,5.87408242683565,1.16258665626772,3.89362495385819,2.22658959345932,1.52863349698194,7.47766100420893,3.49561518248686,6.74963292643866,1.19901235512898,2.66459609353066,4.87990119203103,3.65715658902851,7.90865556398356,7.81955686322002,4.54849518938625,7.29188257221848,8.36521699243423,2.04981799986775,6.58758976767814,5.57347299509803
"buddy_16",5.09913480591382,3.79974011868671,4.15604297971215,2.81987562545669,0,2.96437511540495,4.18329540005234,7.30805337262759,10.1082714072218,3.63282704753386,1.75392222612584,2.01130520699815,5.56164948599695,3.86758266358304,1.90694131813983,7.15699738857253,2.01686138022914,2.38670328091036,2.62544008117015,2.48828844741026,3.09160806129607,2.73851028786171,4.81235809772884,4.20877916939565,3.91095829929305,4.54498640948515,2.65283896824227,2.93264349369498,3.20325797753934,3.88418850019851,2.41158306227817,3.92236775805098,5.3657590966016,2.51268845051184,3.63149954486859,3.21963458203478,2.90182060553907,3.9565028314851,2.27298903759891,2.60199904324754,2.95516820625149,4.01047784895958,3.41871838582071,7.67470348710277,4.17495624061582,3.64648312655064,1.05674563957806,5.24709071790566,2.54364859036319,3.36486731408835,2.02400504284312,2.69540793708707,3.1752751675888,2.91164942430115,5.1371052150543,2.41555799494306,3.16480012777798,2.76810292723666,2.95549624900351,3.36051525328878,2.93654788533331,2.69955482508555,2.78439069169548,2.53275093404477,2.57557193043375,6.04135527325312,2.86850050543965,3.9932561947281,2.31892559361927,2.83280196491136,1.86832639269109,3.09835892625803,2.86486913610015,2.63872215860882,3.21104242190603,3.14425212128477,3.56806814187977,2.29105596459709,5.14297230979616,3.18033709993136,2.92774241986148,2.64107912319742,3.95874018915076,2.20612645571598,2.11269794234927,2.7767419391928,4.93551760500478,4.74637573253124,2.73281099648885,3.40844898117181,2.1121395984892,2.28883920812196,3.22437996823634,3.40246274017835,6.95902081401132,5.58748740081141,2.14119047858063,3.63690981879965,2.89206283625071,4.0198340361074,3.33871941366761,2.42124445124185,2.87725345104881,1.68201126583797,3.11400885092976,2.98154914542932,3.27550884000211,2.9947205864483,1.41027096538122,2.47827561932735,2.62114392421164,3.68840502667727,4.06710740330413,3.50407183020533,4.29874857659789,2.37538714913034,2.72278638088407,2.04425586917747,2.8817709788306,5.95546864401363,2.0677966162617,3.84506355961726,2.83102130937882,2.69781742881644,5.64648247577047,2.89288831157125,3.62099932022945,2.65816379725857,1.84822797644615,6.84754510743158,3.64143326618507,5.96525391725869,2.82349660213198,1.37691032359072,4.29817559180113,3.53773693543679,7.21401537606988,7.14673280024599,4.01059729278344,6.73653511571982,7.68682301806293,2.78425918023037,5.98623821648519,4.91762609683947
"buddy_17",2.53250744556024,1.20219643633231,1.61410013663366,3.40137153043375,2.96437511540495,0,1.83203177760022,4.99515041916711,8.98550970101909,1.0877507569847,3.11478929066489,2.52366301834278,3.2516364723257,1.53435222292714,2.09744086088122,4.67716546355476,2.90517734206491,2.60073812394404,3.36384490146801,2.93330673398978,3.62639868260605,2.39110557654755,2.130510520116,4.14817804680638,1.30018939905329,2.08205047465945,3.0497404582937,1.52082922405639,3.51559249741188,1.43800699252119,2.48187035711066,3.85149866598245,3.0167185505573,2.78479547673426,1.22421551014632,3.45292361179915,0.460408767377404,3.96395265003019,1.66159090932884,2.76988048886033,1.12283520779639,4.05425175952338,0.929050348734374,5.18022561971206,4.18565408995102,0.906824888916368,3.09681804968496,2.92493517472043,2.26031645333453,3.02563815831549,2.6137896967098,2.96779346925621,3.44093256752322,3.0863337642599,5.27160900206548,2.77062264119858,1.97132424428135,2.29249974118343,3.60267798652192,3.4984247001587,2.78319647001767,3.45349237925213,1.62290840504909,2.31914467382585,2.95244092840718,5.82727435233874,3.70997370050384,3.99112779236965,2.93781185617249,3.16228323520092,3.01791277586199,3.49341379786698,3.53062404502347,3.18139238056449,3.25679183504214,3.41765149211105,1.23239219258996,3.28742486531017,2.45757321900047,3.43339490885617,3.33023678912792,3.15406971166405,3.98791876135047,2.62950858903282,1.561855862257,3.23036467438044,2.22165909078775,5.23872519024249,3.25957040572996,3.58716528051743,2.46666716058265,1.49568598096134,3.75227316386082,1.42014683293934,4.44286128099178,3.33870268888927,2.85701052249685,4.11811786159625,3.1525274925004,4.00572588949393,3.8084600088563,3.30527442015732,3.10108521913676,2.44523473896862,3.64480343181636,3.60737735726596,3.65023845224911,3.19554523672543,2.42857276145516,2.94029532852002,3.31097686009631,3.73099093242126,1.50298965041613,3.73710163763505,4.21670996220141,2.57241984598075,3.07002884439085,2.43174094436615,2.85103333906753,3.64912495477753,2.56897349314733,3.77606802098458,3.59539969430899,3.14389507460588,3.52740021414953,3.17524223001439,1.08988139618594,1.81413932972175,2.83591634669967,4.33621466937857,1.59450456642636,3.61346780046309,3.08933758224006,2.23313027833742,1.77403808823938,0.934461632052417,4.73667419809144,4.66281943757242,2.29928361526328,4.24395421968604,5.19903936438449,1.60356030064623,3.43424890550725,2.33342165486436
"ivy_17",2.05189436245925,1.36790196314882,1.37308640212592,4.47601259384357,4.18329540005234,1.83203177760022,0,4.33025972856075,8.81442770340248,2.25720452897826,4.47589048582421,3.326104059836,2.82507178860559,0.661265451986793,3.29805604824488,4.05514797854146,4.33631507042049,3.79985916979646,4.37738554716677,4.21830069511529,4.46667919591252,3.20054629682087,1.429681960782,5.27983517993374,1.55616999752164,1.83256522716083,4.3042884871558,1.65029441516654,4.72854210817839,1.59532560207284,3.47723394221531,4.94515240636889,2.54581510866886,4.01093806100021,1.56445753136891,4.5808353343606,1.9351229989523,5.12408951336217,2.92416041944445,3.65369600988393,2.13684668861756,5.2035519182301,1.682842889154,4.49392899376388,5.34744112533691,1.62452868850133,4.05503530603964,2.51450549781859,3.28839344378769,4.24969638972767,3.85536595851345,3.3013859485169,4.68342423967883,4.05939471653336,5.8295907010649,3.92267757375659,3.04051818012424,3.15040112124323,4.45827136494215,4.66399868170195,4.02972322746401,4.29140542199588,2.12225696411316,3.43529304793155,4.13823607370225,6.20705161543027,4.47290924455761,5.12560839505368,3.84995450417711,4.16266847971176,4.09451540706992,4.63336072071683,4.45418302122335,4.39390625293531,4.50733167935372,4.24545548358181,1.66186982266061,4.58365545105521,2.24466958364209,4.65166294525508,3.74099004815297,3.93403469157036,5.15261766149444,3.78818705549715,2.89071899415312,4.348041475014,1.95266430857929,5.63535722213952,4.08817177773166,4.60655062024925,3.67650101721911,2.68445959502047,4.38273843040329,2.55559062483448,3.58648786903905,3.24593841526244,3.72661635454605,4.72203583265456,4.32917037596446,5.15386586788263,4.57869161663991,4.10741335518106,4.31233464563179,3.46281039045156,4.22729920379143,4.14517265664985,4.8331224876541,4.09318569598843,3.56979797885252,4.23597157916608,4.39287820024316,4.90849317385834,1.81567386110108,4.17176641315933,5.32555276273427,3.7300270845755,4.21580207734371,3.75316530210954,3.87524929817964,3.3231366342128,3.77704101373376,4.91966937715063,4.45644313795181,4.31158984155993,3.39256255180693,4.34250867878323,1.67573484163494,2.98522088255154,4.07837974330818,3.44496358580241,1.96116294699953,2.97271058005626,3.97018055564795,3.3813136306128,1.71190255822587,1.28144997550191,4.04526558713302,3.63395498537098,2.4667939782839,3.42742501825407,4.4569189681739,2.79094772674075,2.8957702106488,1.7960852991181
"lambchop_17",2.94837063848446,4.64067426070449,4.00684990702517,8.00459940574607,7.30805337262759,4.99515041916711,4.33025972856075,0,7.51058130698848,5.00239524305261,7.88907568651641,6.85264198986187,1.88998919950338,4.70446392050079,6.74511630863641,1.95776996852267,7.61744273198179,7.1286256844211,8.10645541199994,7.67629713242601,8.3265668224746,7.075838117531,3.4446233032879,8.50385463030802,3.88549729288514,3.82335170655698,7.70045435812575,5.73173911652383,8.16851089042692,3.72770824045455,7.05660872500358,8.21788249969238,2.43835853230373,7.43374907436631,4.00303360106021,8.11124638390055,4.94965466590654,8.34677630242788,6.31438512857402,7.32714745936004,5.71088036352101,8.43471221904599,5.0453942220703,1.91070585963355,8.58530357540536,4.48383509098455,6.99201970978569,2.57176157713751,7.01175092120475,7.49894740855366,7.24774864928316,6.97425110101796,8.07165689131786,7.57927575582837,8.35776980657374,7.33395027122864,6.44809054862559,7.00158923069479,8.25309272871018,8.09748885031174,7.37817472402118,8.09447458898462,6.15493711553183,6.75267761116045,7.58485054722478,8.29646976874683,8.3524756224543,8.36620473439565,7.51245426869218,7.79758188975389,7.77089994064879,8.12074812184894,8.23908464664662,7.85070515095245,7.82407010708762,8.08343162055912,4.47819727287421,8.077027570511,3.04444522358515,8.09431044838776,6.49446162514146,7.82476983270796,8.38879295668769,7.3715413169116,6.37533943313489,7.92500697607077,3.44711294681031,7.01050286282745,7.96900799324412,8.07620215908849,7.08589617758158,6.21153551699284,8.3110581209279,5.56944843040473,1.99864073044434,4.33013371807059,6.46899754335924,8.71303886284206,7.78329526188335,8.40138889058148,8.47512494319941,7.95716700829758,7.67757025861035,6.47660723600335,8.23596288546175,8.01284961441024,8.30313995912325,7.78218456025198,6.79240945527492,7.68037018576005,8.05500578164389,8.16247357595093,3.68250245882514,8.17230466950336,8.56042803685015,7.06464428840596,7.72220479399391,7.15763197887943,7.04002360077801,3.94582244365671,7.24483836647909,8.13157170608416,8.25732806646567,7.81250494060311,4.83211914291693,7.81785387216888,4.36670520520701,6.55767599304352,7.49787463876656,1.86524225887741,5.42142028881093,2.48709961929914,7.76346659999718,6.67658282141685,3.53875888803488,4.76069145318157,1.7075084642781,2.10645930287309,4.48214097540754,2.04548892626458,1.86538702598528,6.21525649024873,2.19969209804781,3.03445789447669
"padme_17",8.42534620629218,8.92388190996962,8.53741193256847,10.4788891026222,10.1082714072218,8.98550970101909,8.81442770340248,7.51058130698848,0,9.09357735336954,10.4742656045766,9.83296867555611,7.53227538654787,8.90170593346968,9.65159147743193,8.53737636793672,10.3703151140561,9.93042827285556,10.7145804090264,10.3249879433505,10.8720270715655,10.0700848588494,8.60195664948866,10.9332324385312,8.54312909227747,8.39276490631926,10.3312809864681,9.35873350001467,10.6156498567397,8.41412764997305,9.92738108399699,10.7339261331495,8.25011582957359,10.0932335054229,8.5488625644715,10.6451506184106,8.92129006486254,10.8284188051941,9.53112479328169,10.0782304392839,9.38224122088548,10.9025387744801,9.14516062777943,8.52115735616619,11.004894216569,8.88782222634554,9.83930534311323,8.30322951461398,10.0856813570201,10.3012752416347,10.1182069284088,9.93962806939349,10.5148100754429,10.2953389731021,11.5449683060088,9.98211737814068,9.72822729706873,10.0802015708672,10.837669948581,10.5767027416739,10.1885452994718,10.7105052858854,9.6236590989451,9.67646149295784,10.1692122101956,11.5600593677059,10.9237285668828,10.8339671633889,10.2928091049661,10.4121267679632,10.5183651904491,10.5502000659183,10.8004197938705,10.3659254372825,10.4788868644792,10.6479883160538,8.66273103973215,10.5884457773187,8.48851053695963,10.6802674062728,9.72419548291413,10.5073673013287,10.8630984867856,10.0690703857533,9.60698891253027,10.5338956135803,8.53764424862299,10.1013010821124,10.6249988463067,10.5009827849015,9.89732198105312,9.48716241987135,10.8900421329877,9.26667413837365,8.46763121366932,8.75800587695663,9.58752497251918,11.1944011835734,10.3212773140906,10.8541275477157,10.9690901518835,10.5828962539778,10.1816464123021,9.58378606237364,10.8537696218754,10.6432654990677,10.7023308790072,10.4438327753869,9.77387701099224,10.2912430698061,10.6587718738153,10.6955094525827,8.45969344887857,10.8074868213443,10.9808656253925,9.91588753344506,10.2956180422257,9.94082034876496,9.59705968618182,8.68638426412491,10.0073030783351,10.6578280896503,10.7658646658019,10.4680453144845,9.04341092779317,10.3631044371672,8.51716971374115,9.7804159412892,10.1193685239651,8.35640016999335,9.1554523819689,8.22325538183547,10.4379258027554,9.68691305827464,8.47626523524608,8.95995097219559,8.38114491146741,8.5452694857696,8.88232133188058,8.48812073989703,8.50973546232911,9.47409039121399,8.3082950348855,8.47658293022737
"buddy_18",2.52523806689342,1.11014238560381,1.69867669298543,3.71713062799358,3.63282704753386,1.0877507569847,2.25720452897826,5.00239524305261,9.09357735336954,0,3.45482013550414,3.3703033910414,3.39838901519654,1.94456148828057,2.68374330757761,4.55663685529853,3.04945819386933,2.81802140025583,3.55940515784349,3.13886502827627,3.79212508628583,2.67148084399399,2.07383460922113,3.92705108082805,1.56024620457388,2.04910407809199,3.1832684247745,2.2536781777007,3.60023677215698,1.88606503426898,2.97558177336249,3.69162688252348,3.22266242236376,3.11200884402545,1.7541560368883,3.50733904732567,1.38413779258537,3.7700342342801,2.02315582391138,3.2153710495555,1.19663695043315,3.84134817018991,0.822481095536811,4.99874380069296,3.96520739151373,1.02791433021658,3.79686977290858,3.16069884935699,2.40224542371326,2.82111586113573,3.14128811225988,3.78060370402,3.50341280916011,3.24189445532695,5.42604844259851,3.20088577932607,1.79698640704516,2.51906088274866,3.75129387847753,3.49694791862474,2.73238375365333,3.66527505161377,2.15894321932047,2.69535388560093,3.2746325809115,5.8723698390064,3.94390222813966,3.79754157594456,3.27011048938526,3.34442470366213,3.39397870984597,3.66177425113529,3.70776049371756,3.44787739177016,3.15274725475038,3.65541448528952,1.67454432114231,3.69204962016831,2.2425816633824,3.41309247295581,4.2940968792725,3.56370731575663,3.79329644284046,3.04609954410085,1.88972600702983,3.30892360425052,1.9342749287048,6.14868682400929,3.62166345324428,3.69744458775067,2.81896025575571,2.12056181790888,3.94248221734733,0.962951842287513,4.32671832489152,2.82671823450064,3.8134942223449,4.33508710124229,3.34738222307883,3.8183484373762,4.01521966188477,3.65289261459637,3.2367235338666,3.32658365725025,4.01695771911244,3.86769831960509,3.72414768235496,3.34750209245668,3.11279181135193,3.23854925386929,3.45873349306302,3.59131376904767,1.72168156693463,4.06851692641774,3.98815911446514,2.81297584345155,3.34266911111776,2.91963413667469,3.16389411816472,3.21244483661427,3.10508731696691,3.62372163846418,3.80613837029352,3.24439707222989,2.95632282206026,3.36821014742163,1.18285975161704,1.89022563719506,3.11611091240345,4.27050455377588,1.43388376360129,3.76802892127849,3.30080534724875,2.97560833082817,2.00556339883593,1.19121335390552,4.62799849245928,4.63326731613193,2.67993465509068,4.17136217644095,5.05491732745932,1.80418024305318,3.32659327194717,2.47151899446491
