"","hera_1","wolverine_1","hamlet_11","hera_11","jarjarbinks_11","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","jarjarbinks_15","kubo_15","iris_17","kubo_17","wolverine_17","hamlet_18","hera_18","iris_18","jarjarbinks_18","kubo_18","wolverine_18","ophelia_19","wolverine_19","hera_2","jarjarbinks_2","hamlet_20","hera_20","iris_20","korra_20","ophelia_20","hamlet_21","jarjarbinks_21","korra_21","kubo_21","hamlet_22","hera_22","iris_22","korra_22","kubo_22","hamlet_23","iris_23","korra_23","hera_24","kubo_24","ophelia_24","wolverine_24","kubo_25","jarjarbinks_29","korra_29","jarjarbinks_3","kubo_30","hamlet_31","jarjarbinks_32","hera_37","kubo_37","ophelia_37","wolverine_37","hamlet_41","hera_41","ophelia_43","iris_44","jarjarbinks_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","hamlet_46","iris_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","ophelia_50","wolverine_50","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","ophelia_55","ophelia_57","wolverine_57","wolverine_58","hamlet_59","iris_59","ophelia_59","korra_6","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68","hera_7","iris_7","korra_9","ophelia_9"
"hera_1",0,1.25900677218906,1.34808463643746,3.66476024360609,4.26530462561655,2.24105752662247,5.38963142249366,2.77371291612861,7.20530887372176,3.48552513114926,2.6273765381656,4.21066593999285,3.15819181673118,2.97204477463785,1.22740303601635,0.787306333657358,0.682097032738789,3.67440214439399,1.90503612127278,1.38018656232696,1.39218470931886,1.72074664967193,3.44557942831873,2.38173338920757,3.56732887324862,5.34529532378724,1.44595973913268,2.37371200995767,5.26312699380288,5.86256684943699,3.60268066715197,2.33348876769332,5.27439495256285,3.23322475596466,7.16947829854487,2.02592023599148,2.23361204482191,6.43044337925866,2.83362410491788,1.39832766833411,2.90231600335046,6.01484747142735,0.748233866292854,4.72469913502535,2.44748620795591,1.60254428219664,1.71121319381424,3.5230562597511,6.869461291039,0.901471844775721,2.40609772319846,2.14071489421453,4.70243621856116,2.23885524158396,1.76778389001386,7.66940483563536,1.84055096928574,2.53168069778477,2.49233044670977,4.38666673624982,3.03043880010615,2.47188228523641,1.72215699253684,2.04972528264107,7.35096093699145,4.16209255496453,4.34839708950595,1.5244915166568,3.63005944083869,1.83133277835106,2.28999128271132,2.77195096922734,5.82815003100561,4.82199119885559,1.18447276878427,3.87406983107286,5.01763391372936,2.1076785243582,2.96406836797707,1.05754636438016,3.98970457077369,3.45809052780475,2.29379439888873,1.62952274974747,1.45869758539107,8.10575547339773,5.16356608916605,2.14348488509671,6.05181853209996,1.35793599228648,1.52325231280645,2.13327685983449,5.70739887719364,3.25868639764688,6.09748330422003,4.84250510420478,3.30677326265873,2.84827999388033,6.27328544919332,1.7238043179835,4.15673431060745,3.11723661915584,2.81546522556522,1.05467596182928,3.11716359139705,0.368887434901285,1.99512713878218,2.13323624977503,1.47755753322737
"wolverine_1",1.25900677218906,0,1.01779904517821,3.39836855148898,3.91238493036193,2.45165572242795,4.47314718797999,2.11887222539217,6.87985176217177,2.61379997881162,2.23439631892856,3.94791202723599,2.41771538476812,2.76091699559904,1.09448023867207,1.15912908403588,0.82696326544116,2.89109332431099,1.66829225516616,0.856238906178252,0.579465137022558,1.13418494378458,2.73646647292442,2.59619207871118,2.64135763453059,5.39060608418145,1.1717561984698,1.82137205236343,4.93695904651515,5.75006769125036,3.73522814772864,2.00028168272023,4.97366007152592,2.96213799983136,7.08055443031927,2.49365582941714,1.99606224793837,6.09044359934736,2.55745640089268,1.266708629513,2.95996263752657,5.68710195585494,1.08543260059062,4.46567161816718,1.67942012235541,0.967397364766058,1.54118017833998,3.27967538992761,6.54837382006726,0.786534062426575,2.32670101074082,1.77452028586618,4.41480963786125,1.40482916820867,1.42697177692552,7.34165540789632,1.32304370819494,2.03810692621103,2.03567444687441,3.80677713847238,2.28370526902841,2.27626303281519,1.55960103106102,1.36826836639692,6.67516184847113,3.88167089795787,3.70594274840388,1.60339303242487,3.04629503957338,1.19064131115198,1.72987703838442,2.13950156865676,5.50196735876023,4.53449914621639,0.498323904096499,3.1151597629579,4.86276020581734,1.98415676148069,2.53034885833824,0.454704915090898,3.42127499901321,3.15740527235256,1.7776979147261,1.68235627001267,0.660598383273847,7.75929375405158,5.20641370790547,1.3431068954571,5.73624593706492,1.39709875341011,1.31914656919168,1.82168663851529,5.28304125513347,2.62468507976379,6.13782700042046,4.91610806818736,2.87443783911073,2.3116857825474,5.77484453906419,1.23307084009691,3.3252955698321,2.7933644654083,2.32637761181006,1.3624471984577,2.82599777923744,1.31740232844555,1.9260307597048,1.69071523740176,0.774557876889387
"hamlet_11",1.34808463643746,1.01779904517821,0,3.17765621828835,3.61347024437697,2.2966223374945,4.71576263253603,2.1151985703008,6.58791619502743,2.82481179790701,2.13418611865065,3.69271846700327,2.55197925689148,2.63722895565525,1.23887064741979,0.772658006463769,0.81623924182049,3.08509497425336,1.29233813755571,1.11143442990569,0.769497937134036,1.36598423077097,2.94141379752289,3.25951089872166,3.18726193527003,4.97619886820458,0.504284862289423,2.11901039350308,4.76226119220719,5.43606761756198,3.3260569851271,1.66057024093665,4.70083580806265,2.5572659671028,6.6895284304297,2.43894869894383,2.0913271071519,5.85960113446617,2.16958546390312,0.751418070143576,2.91341295274881,5.47018587392212,0.783716235088796,4.21524978219025,1.88695476668248,1.44806454896278,0.974078782432383,2.98131256209623,6.27015594860297,0.690526548993974,1.56198378470197,1.94514321916482,4.19299274759106,1.69786088053598,1.34244978252427,7.03786239601533,1.28942526767076,1.98805930413688,2.06167333079247,3.7886895543709,2.65821116784986,2.75800957046084,1.98621854327208,1.50341622083945,6.59965113948091,3.82433124653227,3.79768272422334,1.91195549802832,3.08997255753663,1.18053733930874,1.50192031628134,2.41625332897965,5.30367506961542,4.35397690985807,0.769760078537636,3.17745482168305,4.68658856365919,2.14595216535048,2.37150428808372,1.0133545772573,3.33567041654235,3.14829202797024,1.78400447045964,1.44331154861374,0.885080830740954,7.44805132048777,4.96168254444194,1.28258021226841,5.51901877459283,0.650169599610938,0.785551502278099,2.04254998115566,5.09887179574746,2.76530799529269,5.77674865849199,4.57217462586967,2.68341834254038,2.5765081613151,5.61577346252054,0.844469804522472,3.60018794176224,2.89555492152749,2.95698627420575,1.18386888394757,2.83993954291094,1.48849287180157,2.04104194939255,2.03225884114131,0.976805462987175
"hera_11",3.66476024360609,3.39836855148898,3.17765621828835,0,1.11095569166708,2.24006916013652,4.71672735956404,2.05419705880773,3.75801289006063,3.32728538994928,1.57014605779546,0.700611700910962,3.75766220929891,0.830758973413828,3.40881493486446,3.48913926322306,3.55344280973826,3.97910882881735,2.26356527736222,2.77667802794511,3.22154076574166,3.1394026957676,3.92249208592093,4.32789866715461,3.99577825203735,2.93786284714262,2.92929321379486,3.78518659261571,2.07778827023759,2.97537840541477,2.04750429868257,1.6776098420977,1.88527687032901,0.949662706544389,4.12597072551341,4.97976201536994,3.94381214220902,3.03134651892972,1.29495332894472,2.69021857088063,4.79141175475272,2.63082141311396,3.46824929738814,1.26434844483689,2.59585280142193,3.10957121004826,3.47892658578854,1.01168017982819,3.38269720372952,3.20432604566072,2.32576739417867,2.18903012952054,1.58989190033569,2.96617972515849,2.04798776096271,4.21009290438899,3.28579467092911,1.75050700951681,1.74567969562278,1.93655751864606,3.74395903948455,3.53557563723144,3.26985521078494,2.64018592453016,4.98871743197197,1.2971147799915,2.43305549266538,3.18729089686145,2.74000944388915,3.03031274619594,2.16330808304667,3.78591080280593,2.57826144731246,1.50061267711931,3.46012940238409,2.67169885392465,2.68545489357485,4.19127098788737,1.40261741826694,3.60757626573918,1.54806791338371,2.11172991390763,1.96913331186128,2.27844148099142,3.03401961031953,4.64449131398934,2.88535521713809,2.65809694539405,2.662037011413,2.90170441066513,2.72518938163223,4.04467829242426,2.51609456645769,2.06219289519148,3.55312283682314,2.58812411970475,1.05398126622795,4.25581429168657,3.05652232281711,3.09479214843882,4.16460197513202,2.13993262881142,3.30815325336762,3.64630516228738,1.695930874074,3.90938617808459,4.20730777966192,2.42906269711837,3.0670168988372
"jarjarbinks_11",4.26530462561655,3.91238493036193,3.61347024437697,1.11095569166708,0,2.82032648196963,4.6621230297807,2.39896962258564,3.00098135789284,3.67234706645035,2.19345031765588,0.662172757589937,4.06955030869382,1.53112765433957,4.13521304224369,3.95078102485682,4.03910171741194,4.21125683899157,2.53272909196342,3.2701568304869,3.7691346541404,3.49146875762326,4.25878201973656,4.81985508281597,4.03253359167898,2.61122549136251,3.3152519088572,4.27234050239366,1.3363998881597,2.44822508190699,2.18447037451439,1.99955394383713,1.10694214741286,1.13188682499411,3.49379387668277,5.40664342284281,4.52435192508738,2.25826199162889,1.48821797003513,3.1078429785079,5.2578039564946,1.88259710023578,3.96408930667484,0.809190316160822,3.05824393764032,3.8201651497604,3.72348273287312,0.865275274147586,2.67071933114293,3.66542994436484,2.49557863812102,2.75617323830387,0.828752901100502,3.34535898004616,2.70502920551589,3.4764299476236,3.76476950962914,2.10149715459118,2.19706626507635,1.69005033871421,4.09432327509264,3.75587172374355,3.71578201847825,3.05216293473371,4.44014570419723,1.14864497084215,2.34818571013284,3.62389614610093,2.8599767410691,3.40342054836239,2.47676648527271,4.16698608419193,1.79591217507063,0.960663409701817,3.98477723392209,2.62156732185937,2.4911983291683,4.68522811848244,1.53792222810465,4.10780480595681,1.2104040309176,2.21571606083814,2.2485842020062,2.69863237477925,3.45626191064959,3.91382205770639,2.67549822155712,2.91381336998983,1.94421473754293,3.30783270861121,3.19696905225026,4.51549872751959,2.04009206698469,2.27878654572983,3.19307589564594,2.55119790275918,1.25382211943445,4.56820810010877,2.31234871588378,3.42890077554741,4.27440733667454,2.39784267115504,3.70611776693153,4.33289591368627,1.76942440869857,4.45913280142843,4.64609144297376,2.81472262563162,3.59862054533527
"hera_14",2.24105752662247,2.45165572242795,2.2966223374945,2.24006916013652,2.82032648196963,0,5.37157351367045,2.26069674023659,5.57603132145224,3.6527591417568,1.62934777900568,2.65423649585328,3.6127484633789,1.59735144475007,2.43738651113716,2.2567278770019,2.31099280128104,4.01635762367627,1.67200790089692,1.9940862472527,2.45175862009944,2.49414350631802,3.83656173519208,3.14722480341496,3.85082953658867,3.31149756128551,1.94959554883972,3.14839655008275,3.6714698224042,3.84396083472555,1.60532764508829,1.69303219386283,3.66958134841162,1.99246973151566,5.20987199282265,3.45953178775709,3.15292554713753,4.7981325252221,1.79937149417579,1.77416762875828,3.84633535723442,4.38496966967682,2.30043888999701,3.10641187780312,2.55255831077138,2.4289133810211,2.67824523252026,2.18060275558889,5.22211633561451,2.05792600864065,1.94194958497096,1.56175659035801,3.16477770160477,2.7022517351047,1.52615211235529,6.06744548650242,2.52154510383953,1.68514566990602,1.65270965015912,3.16139047215295,3.49263954555923,2.76368770345148,2.43411474466184,2.2896060577622,6.20390932991115,2.73675556584084,3.29165339811777,2.14503006362117,2.90774485879049,2.53047095462075,2.06248630838537,3.37269291062149,4.27732570521651,3.28732990927542,2.46505920385912,3.27887781652233,3.11752616461542,3.14935222870459,2.00740007999539,2.46700524128247,2.92188542749756,1.91889214040667,1.85186166480237,1.41065707840768,2.09078917874224,6.52742735610898,3.05085724413671,2.4031979618521,4.44594597866445,1.88424137721667,1.63109850944953,3.13041597103244,4.26109329379188,2.69469155508892,4.04483216537142,2.74146106205415,2.23892100747956,3.59554418171712,4.8107853733669,2.44623466529205,4.33852980829443,1.63400474368534,2.98842990108745,2.49605510935613,1.96671176196233,2.4251908530716,3.1224211087681,1.97600360957473,2.38925211683091
"iris_14",5.38963142249366,4.47314718797999,4.71576263253603,4.71672735956404,4.6621230297807,5.37157351367045,0,3.45925566018042,6.42354781443929,2.18218979555915,4.09605019011885,4.89029994622559,2.75088217786185,4.66849104955074,5.07208499958721,5.01249094409241,5.00457599955498,2.20237220095422,4.55635302361806,4.22444926607315,4.42143378380958,3.88949690080903,2.6320690204194,5.32409990580572,2.70892706082031,6.32784207136864,4.59574677042637,3.72598976604202,5.22508243509723,6.1234473342852,5.60073824659207,4.3489383568908,5.29820457075774,4.54828305462968,7.1548263825854,6.18063983912215,4.37334411040547,5.86244686283382,4.3979950928395,4.60119356816281,5.01295394013577,5.65325237996247,4.93390206990385,5.13762532039377,3.33175923571709,4.28745979119743,4.47181128281877,4.79432110420505,6.20451163831816,4.81997957775141,4.92538830607706,4.24005334732901,5.08342309746164,3.4060835190624,4.53238855454183,6.75788693771133,4.05180762695963,4.04905142642973,4.03481460658022,3.98909735032417,2.72230321335065,4.46464256644174,4.14123794208639,3.54476420286969,4.96318908945496,4.69865752717134,3.73968106526217,4.48964409892265,3.00746695575802,3.74924147145251,3.8115982625413,3.12446046944689,5.57329488184931,5.08534915861947,4.59736327147236,3.00185970593474,5.1906218257988,4.64420222402561,4.12862976908507,4.87691509888249,3.69153003707613,4.3015588056624,4.1048362775506,4.71501109631777,4.31105092240608,7.0261014957857,6.25101806404567,3.69990750610323,5.67067036488488,4.98231901824069,4.76220072815309,4.2857245363055,5.14391054511347,3.14177707913272,6.72257415757141,6.04524675324366,3.958386262762,3.6707508396042,5.00258173971214,4.06367334590341,1.59817607827862,4.37087556381374,3.75652917830591,5.40522787125729,4.65565378491551,5.46703168789326,4.62180565394233,4.04404968521708,4.12997784486767
"jarjarbinks_14",2.77371291612861,2.11887222539217,2.1151985703008,2.05419705880773,2.39896962258564,2.26069674023659,3.45925566018042,0,5.21092028941112,1.83245639493574,0.859744541239767,2.45959220864199,2.45059269370425,1.70476110559128,2.47579307572429,2.45458857464459,2.46541904956747,2.66051203411952,1.67201000900916,1.49277646484331,1.93213181054317,1.56808599235142,2.69639519032225,3.37998952132777,2.45900087481887,4.07096731380152,1.86849868171295,2.62496228097373,3.47332621487964,4.18135369082539,2.78091469260844,1.33418269845388,3.39364751123081,1.71529383211365,5.49463145959473,4.21680608864486,2.99475490601287,4.45580529487344,1.51664054755883,1.74418719146101,3.98910552321403,4.08524675547479,2.38115514442395,2.98635556970027,0.798530487799495,1.93118255278318,2.20575215272475,2.14944735362899,4.86240082084023,2.18733124935496,2.14789293782731,1.14565479797282,3.03126318008431,1.17337366365343,1.54330886833849,5.66729234867783,2.16211348530434,1.0028920363917,0.84001735870576,2.07644658993188,2.39254084145167,2.4761598382757,1.90716392257228,0.971512095384426,4.86337976099213,2.46139201823189,2.04734231622849,2.01408111718487,2.06279598311532,1.43628667407496,0.930240333538573,2.5032535962643,4.00918471542696,3.04276241339377,2.27899984463472,1.48919709246561,3.56201792537698,3.24034321152903,1.53913178481708,2.46595393561189,1.6889994386093,2.1875854952523,1.27623105504083,1.74887531554877,1.80206910836428,6.04649785991849,4.00073730054877,1.17809082260596,4.16604424693711,2.19732274455001,1.89326630134399,2.98714087429809,3.62432360042205,0.969020167872179,4.78903177061034,3.69029166732012,1.20956842164802,3.0878203306888,3.98046900812537,1.71368956624366,2.82836906477,1.96357433661472,2.04101677296729,2.82274090258598,2.10562997266495,2.97199965469009,3.19312719574194,1.37434867740239,1.63254429376407
"kubo_14",7.20530887372176,6.87985176217177,6.58791619502743,3.75801289006063,3.00098135789284,5.57603132145224,6.42354781443929,5.21092028941112,0,6.17010216565477,5.05867361427657,3.10309767827031,6.68233844894721,4.35559772762554,7.08434645233904,6.90569866065932,7.01210791163882,6.66224047226432,5.48356381196422,6.22125453298059,6.73907911646811,6.37895720666306,6.77963881697643,7.42852803955798,6.47169451687553,3.51737429918706,6.29178561406165,7.05795669067322,2.16209738787455,2.67489762732738,4.47028119714561,4.97861886521014,1.96479121278295,4.07883970996901,2.30220910713221,8.26223645288421,7.3328656129001,0.919946000705569,4.45848847546382,6.08233635635146,7.94617793911781,1.30801777423273,6.92142857699494,2.55796836460949,5.86602097750667,6.73681716831555,6.60835803899728,3.71795256555802,0.446575036880633,6.63947062851108,5.33889231155315,5.61516627289002,2.58117401976715,6.17751162458438,5.66700417156794,0.535580672089665,6.66671951631612,5.03367429478269,5.09590308180548,3.70452687414159,6.71255662334074,6.34776072762359,6.51466628407129,5.93989671038255,4.45757130587812,3.29252038507145,4.33080284694478,6.44132711764055,5.25753666251032,6.30698421691806,5.41558406137649,6.852936890186,1.58474195200864,2.47645594593841,6.96356462629055,4.92491563674714,3.77936948856699,7.50893724130048,4.43206698459985,7.08253178087023,3.67335649238705,4.67505098500756,5.1699764380273,5.61803691345587,6.43026215187333,1.05333678549156,3.72126910040021,5.82067024247478,1.27737404655553,6.25938063205094,6.17542127088573,7.33927591170693,2.42307363334166,4.85583785069008,3.41046570664251,3.92619205794646,4.11991510674237,7.25646885478708,1.89324061217825,6.3537518146231,6.53712278440451,4.98772265765486,6.2494887801709,7.28402341160094,4.41229547775938,7.39599764984717,7.47774412196266,5.62931395310394,6.54622158224142
"wolverine_14",3.48552513114926,2.61379997881162,2.82481179790701,3.32728538994928,3.67234706645035,3.6527591417568,2.18218979555915,1.83245639493574,6.17010216565477,0,2.34884874818469,3.74777740769316,1.39355933138516,3.14639146761698,2.98259723372002,3.16059959702766,3.1518825438368,1.3370594760328,2.91368470167805,2.38433329413034,2.43687884381128,2.21636431582459,1.47650276215669,3.98523906151564,2.28169622003174,5.39820704542405,2.75982937161198,2.09979588427656,4.60911246800893,5.45891327952628,4.22506703269214,2.71656734562679,4.57927201928798,3.11462598354174,6.67414738143613,4.54839883555599,2.61709440535044,5.50015897979879,2.91414190226298,2.78677458109862,3.59021982467796,5.18066515560055,3.0503121017995,4.19315629796806,1.44928807081808,2.21867080379704,2.82382975450206,3.54133997924736,5.85964957983913,2.98260656701141,3.29300878936153,2.4949115822399,4.26010523371543,1.63565435785987,2.63066695536013,6.56802508924104,2.21608989750973,2.49548606738388,2.43069594747824,3.17205312842658,1.44080805716392,3.32787825069398,2.55592150854128,1.72150471990376,5.27747295467797,3.74709800596554,2.94600409369708,2.89641331111912,2.11622928578374,1.94364047608856,2.14069501674295,1.71165379353251,5.09152759935344,4.25649894323618,2.68234568617174,2.09836280307175,4.49618251505102,3.04623106030671,2.76291957419225,3.04603927734427,2.81150925081259,3.22443050748809,2.5688962143302,3.0079956076693,2.51341704352261,6.91383185124729,5.33969108063019,2.02414558455672,5.20937823809724,3.14935313336258,2.87305306225776,2.70532328329827,4.58604845203913,1.9206037122827,5.9832414539319,4.96715075286985,2.63219831669609,2.50792812212206,4.82557006084712,2.27189533272015,1.53704145744023,3.12532252624154,2.56579256840952,3.33964199656511,3.43659892005989,3.63149990556285,3.06543703514032,2.53023086404135,2.15475440251315
