"","hera_1","wolverine_1","buddy_11","hamlet_11","hera_11","jarjarbinks_11","joans_11","padme_11","ginger_14","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","ginger_2","hera_2","jarjarbinks_2","lambchop_2","jarjarbinks_3","goose_4","padme_5","korra_6","padme_6","ginger_7","hera_7","iris_7","padme_7","charles_9","franc_9","grogu_9","henry_9","ivy_9","korra_9","ophelia_9"
"hera_1",0,2.93158070003791,5.05584365884167,3.83229831492414,3.48316186150936,6.13727894593833,3.32626556686441,5.58642755214627,3.22602540679077,2.4877316591014,11.0750763977666,5.99627565386605,8.34730438403524,6.8757596694246,9.47327556271936,9.6590385217355,9.94679670222385,12.0732572222891,2.67575251966574,15.1951983548523,10.2491728874377,5.60468000513027,10.6048114156519,7.9196719270267,0.576208831573076,4.19632819964806,10.8057391835178,7.38781570605218,8.55044439185048,4.6745370317787,6.80917067600735,7.92145351635832,6.02887931031355,2.76704194440849
"wolverine_1",2.93158070003791,0,4.72873776639058,3.3946595868944,3.3192280730818,4.82748220213649,3.80341185559586,4.39886161682495,3.99146744268978,3.20962302905095,9.17798241817443,4.70366966658792,7.66160787670331,5.10485686955153,9.12091033240493,9.74059991433301,7.83086131835291,12.1681052420382,3.75956361498996,15.0249724325222,9.48396264450064,4.87633263213219,9.46387364125544,7.40846554835993,2.88154306313745,3.88629776453841,9.50260119836173,6.55657532711635,8.35468705334503,4.61851717942826,6.26194767655506,6.63362128214327,4.96101927655912,2.33730933340508
"buddy_11",5.05584365884167,4.72873776639058,0,5.2341432001503,3.70917082065725,4.15879600438028,2.37281901619759,4.67847820015277,6.69308579418487,4.71434464161182,10.2589011961592,5.55814903338239,4.14276301110744,6.84020729450887,5.14626413225523,8.71447159052534,8.69543693404195,10.7697031802067,4.98063305674239,12.3902933367353,6.37556912741897,5.69012594334378,7.01425852703371,3.62881215699978,5.01771174606021,4.94552641808516,7.38033294321473,3.96982350733647,4.13866467565435,3.99645986395824,2.72967347097018,5.36503635250564,6.10239372953983,4.96241817204276
"hamlet_11",3.83229831492414,3.3946595868944,5.2341432001503,0,3.93143486517458,4.08527713140589,4.47573408098767,4.32134602188918,4.96304612384912,4.00413996089396,9.92083953881302,5.29675930235597,7.38057770873445,6.31185369502071,8.9755469749209,8.75763551067919,8.92126482092019,11.1834350307888,4.2192117027485,14.758202911961,9.44002296721565,4.58797997390251,9.53119989852204,7.87424184683857,3.60750617300933,3.7050429744164,9.64401469593744,6.93895241178264,8.54248646301146,4.06509955125404,5.69944671484222,6.94406054298208,6.12592493075887,3.50771615017667
"hera_11",3.48316186150936,3.3192280730818,3.70917082065725,3.93143486517458,0,4.62252994913381,2.75393935945751,4.31374708198344,3.8524083076544,2.19387917232202,10.3155727956797,6.03012749828193,6.58697898165219,6.30335348665706,8.37393082241622,10.5787060090567,9.20372498838799,12.9450180781663,4.53720052278316,14.8374716077048,9.45417459203278,5.94849933314354,9.72826238457141,6.34075068166641,3.47757560929793,5.10203514070134,9.81355360460728,6.03594320619669,7.10165514013335,5.17217504144195,4.86917000491934,6.96859450795298,6.25680203458221,4.05155227313073
"jarjarbinks_11",6.13727894593833,4.82748220213649,4.15879600438028,4.08527713140589,4.62252994913381,0,4.49441574170644,4.41460284207306,6.72222704402759,5.4957349469546,8.30730136566081,3.98235037513463,4.23382782239091,5.3565611286105,6.67929382946751,7.99176609821309,6.81671568880286,10.2317409484138,5.35049474874592,12.9908963954186,6.84955499165337,3.80691532990877,6.6781990758547,5.25625151636027,5.87587000006032,4.21465998866411,6.84682056787956,5.49315721449516,6.24125835942337,3.83194473538677,4.11905065679044,4.08667935968704,5.27217127838852,4.77601361112047
"joans_11",3.32626556686441,3.80341185559586,2.37281901619759,4.47573408098767,2.75393935945751,4.49441574170644,0,4.95616327644446,4.74463896134349,3.291547977006,10.5874612495343,5.55295116032968,5.53470700978329,6.6928414399221,6.74748802625702,8.87824814714679,9.08686348245692,11.1018447367327,3.28609357133047,13.3563210945838,7.95089095159829,5.15344800516869,8.47622430850656,4.9292124175849,3.28179514951843,4.10519189070081,8.78693175695114,5.43761425228516,5.57107506976786,3.57981829224491,4.3522939267126,6.3100936307565,5.52323555062628,3.8896136840976
"padme_11",5.58642755214627,4.39886161682495,4.67847820015277,4.32134602188918,4.31374708198344,4.41460284207306,4.95616327644446,0,6.29494592731189,5.02587922512258,9.27040497188391,5.71517119060289,6.68387116310245,6.1362001106648,8.22969633773362,9.64469776304652,8.20541295957147,11.827388885928,5.86862635306733,14.4053102260276,8.34167865105882,5.70114437380569,8.29500715756445,6.93587977869622,5.43793110190458,5.09758214028359,8.25994297620881,4.75533483593194,7.79990437449076,5.2002629839967,5.03623876821331,6.37555844093546,6.14858519184173,5.10745924169509
"ginger_14",3.22602540679077,3.99146744268978,6.69308579418487,4.96304612384912,3.8524083076544,6.72222704402759,4.74463896134349,6.29494592731189,0,3.07922688123311,11.1050072626468,6.89798972189857,9.32311092167279,6.9730604666178,11.0536955618089,11.372097343794,10.0432517954221,13.7850321615469,4.12347969760769,16.6363191462259,11.7864775008234,6.27986189011936,11.8923392082998,8.90163327193407,3.15183495014716,5.37623687570253,11.9419223227507,8.60365112875564,9.87857569953357,6.40815541995189,8.15211566523758,8.85546497251212,6.11476525388735,4.23159057243944
"hera_14",2.4877316591014,3.20962302905095,4.71434464161182,4.00413996089396,2.19387917232202,5.4957349469546,3.291547977006,5.02587922512258,3.07922688123311,0,10.7374740656411,6.08695237142013,7.66350280522539,6.59799190754634,9.28615628022498,10.5411651510679,9.7234439942967,12.9259066047331,3.8959080155441,15.3446507675121,10.1765976004082,5.9916529597704,10.4358768598954,7.35539620487763,2.51651230712537,4.8958467419933,10.5834195542056,6.93571238108077,8.10504324305739,5.33529821957911,6.14072901974628,7.62678671573913,6.18226921499414,3.64685230976051
