"","hera_1","wolverine_1","hamlet_11","hera_11","jarjarbinks_11","hera_14","iris_14","jarjarbinks_14","kubo_14","wolverine_14","jarjarbinks_15","kubo_15","iris_17","kubo_17","wolverine_17","hamlet_18","hera_18","iris_18","jarjarbinks_18","kubo_18","wolverine_18","ophelia_19","wolverine_19","hera_2","jarjarbinks_2","hamlet_20","hera_20","iris_20","korra_20","ophelia_20","hamlet_21","jarjarbinks_21","korra_21","kubo_21","hamlet_22","hera_22","iris_22","korra_22","kubo_22","hamlet_23","iris_23","korra_23","hera_24","kubo_24","ophelia_24","wolverine_24","kubo_25","jarjarbinks_29","korra_29","jarjarbinks_3","kubo_30","hamlet_31","jarjarbinks_32","hera_37","kubo_37","ophelia_37","wolverine_37","hamlet_41","hera_41","ophelia_43","iris_44","jarjarbinks_44","hamlet_45","hera_45","jarjarbinks_45","korra_45","ophelia_45","hamlet_46","iris_46","hamlet_48","hera_48","iris_48","jarjarbinks_48","korra_48","kubo_48","ophelia_48","wolverine_48","iris_49","jarjarbinks_49","kubo_49","ophelia_49","wolverine_49","jarjarbinks_50","korra_50","kubo_50","ophelia_50","wolverine_50","jarjarbinks_52","kubo_52","hera_53","kubo_53","iris_55","ophelia_55","ophelia_57","wolverine_57","wolverine_58","hamlet_59","iris_59","ophelia_59","korra_6","iris_60","wolverine_60","hamlet_67","hera_67","jarjarbinks_68","hera_7","iris_7","korra_9","ophelia_9"
"hera_1",0,2.90041810676324,3.82514554432605,3.46394379932216,6.13527107077335,2.45845062887596,10.9253484454162,5.99086438351702,8.3463370147441,6.78675949987242,3.92307250623742,4.22873946433505,6.1595708854694,4.03706933512722,3.9571676666807,2.71238855099626,3.23729017158251,6.91898629847889,3.97586022945304,4.44527838516099,3.20866514551295,3.53070750244603,6.43613486669539,9.64280662644573,9.90357951049271,7.00821022218378,5.34310598583708,3.9571478746605,7.2097662633799,6.73567685735469,3.82925955194502,4.84539409894438,6.1414282293938,4.76378024480182,8.75086075652905,4.08562881730313,3.54358372085344,7.16547745021257,3.99520553484648,3.34386033451568,2.75574053212486,6.60889232369817,3.76026058404462,5.02653580729119,4.76339341565814,4.43118583961312,5.46153579142135,3.66571175006912,6.45216547742653,2.6740293299435,5.13593616821936,3.31316920301199,6.25222862054559,4.77585178928698,2.91552913939005,9.05963088372719,3.75099096730764,3.44830858063379,2.76386262655833,3.35977362543609,6.83327535954491,9.3732081823425,5.84941204546169,6.79487718364397,5.57690039581455,6.58021499381383,3.22852118366767,3.82813636491023,7.84700203046447,5.44715763908019,5.68814871973207,5.70863267983474,6.67877659403705,5.79179822184327,4.69445849973974,7.49921969076367,5.66670564582616,3.40661606174433,6.0622360316892,3.53593128715585,8.24906175224455,4.55495485919905,5.55683244643771,4.21956017342069,5.20115880622484,10.4639556580139,4.70063220361774,5.00852016767305,7.68633555663884,3.12739524402752,4.73476847102519,3.60534617789289,5.63826550558607,6.76329883365859,5.89443427420132,4.68208109998833,4.77872506290839,6.40351062552648,8.14228661176198,5.5987389406242,10.5043978782453,3.74613432408873,9.25081010341042,2.39602477051211,4.82349973111437,0.559291255504521,4.19376463647456,6.03379470593073,2.75926637927081
"wolverine_1",2.90041810676324,0,3.37343956139626,3.31769212934895,4.82819341912906,3.22991101343388,9.07248963416266,4.70190275614271,7.65576225491245,5.05814258023425,2.6352197496772,3.28933489246629,4.53713812309744,3.35194412721905,3.38801031743407,3.46548329627366,3.84213814142434,5.13706082827201,4.28660398925519,3.45390616418392,2.1956276215583,3.1847896858023,4.55790342938489,9.67987970780077,7.81481218986214,6.72001348247648,5.42887193033753,2.46308386604001,6.4688639564792,6.09617140214186,3.76050306569802,4.94352578984047,5.46089701002094,3.70165403776727,8.49462343794346,5.24226416728405,2.33269950299413,6.44303053251869,3.26642330031961,3.00268841448825,2.78652099306393,6.04799843335355,3.70276123765574,4.59292834053728,3.35342139812639,3.5667426013043,5.24900854302561,3.66544511707815,6.17797917641341,3.72310303653636,4.88607205395161,3.21708330313197,5.80451330150085,4.01780986660711,2.37232204849631,8.18997170416934,1.38032022018369,3.38818992000487,2.39504124708507,2.40874444121467,5.08094851625134,8.96815248967082,4.95533324399373,5.60762626008522,5.69404885079082,5.53165562856627,2.61929889183492,3.77040378435197,6.14713067762314,4.70758467818522,4.90496262629109,4.17025223814224,6.23546697662224,4.90003143593146,3.82598274032045,6.18797669107322,4.39070071905823,2.92063019231827,5.80670216781546,2.9486356976386,7.01121661207617,3.38465761193606,5.61982003123864,4.04957696308919,4.40040919078494,9.78146220299663,4.62855437897018,5.10013374784006,6.66568394893302,2.85710223251366,3.92725613966617,2.61570841631082,4.61797632271634,5.12968909848939,5.48628107794514,4.27477257863844,3.41499254770898,5.39006448396044,6.91403797531221,4.86375679231301,8.91222877645086,2.8129412202068,8.13192526221126,3.55637966534937,4.38171969729094,2.87427188652219,3.87125010956828,4.94823740629661,2.3270251929673
"hamlet_11",3.82514554432605,3.37343956139626,0,3.91978622986105,4.08779550374911,4.00154573871609,9.77455278096144,5.29963844551996,7.38218285146539,6.23329023654189,3.87166472694545,4.17107432672666,5.65623391565747,5.22772505029491,5.5725828661733,3.72595768266466,4.0238703639611,6.18330443899242,4.59110913423988,5.3784607751554,4.54015264406615,4.16728408324571,5.76822872704727,8.73647993362404,8.88527889856656,6.77320364988131,5.18656987465042,4.01658243057543,6.86819329131484,6.59215973772705,4.70658651984377,5.09249535057124,6.22252525098274,5.05582107463666,8.53481583371927,4.81851409018698,4.32873242964942,7.16464990761588,4.82881367943117,2.4560591213891,3.61227867129803,6.7300614892712,4.13309375102905,5.67673547009805,4.97049673282328,5.93037025776536,5.21846176254875,4.89898873427575,7.14936921582258,4.20870327802579,5.06734125687923,4.65004647576362,6.13711507434817,4.39908149471137,3.22494173817072,8.30616453898248,3.94569361749313,3.89848912871464,3.70663204425497,3.48484224081353,6.24864584481461,8.6562082997422,5.00611262660683,5.76202450291282,5.22757627031437,6.44207824242722,3.87579144130933,4.19090469720891,7.16374294683088,4.88994421946667,5.09943806959344,5.24068608037359,6.57411437302536,5.91196445682324,3.93146426328669,6.35634851300026,5.8957050953141,3.84728472081805,5.73074080546893,3.87259089243274,7.15534690962311,4.70781402389084,5.52544587799894,4.78276874170898,4.92040253469784,9.68380832353001,5.69596862061511,5.27324922366517,7.2790324609511,3.74262391687302,4.19350142991773,3.70625210961102,5.34229236790522,6.33890125629894,6.13796313364669,5.73782299321452,4.10126616182406,5.75684055663354,7.32046055568686,4.58766328162785,9.63230309640609,4.28646020236852,8.03735314376466,4.92826588691503,4.65272684706505,3.62279309852387,3.69698134687437,6.11549333704944,3.50762347305756
"hera_11",3.46394379932216,3.31769212934895,3.91978622986105,0,4.62665286624831,2.22969401412864,10.2108926052083,6.02923333165662,6.58294739924355,6.25867332949197,3.99366130764037,2.08176050217455,6.26066342894903,3.54483311124425,4.84333484383263,4.65193137377241,4.9330960091187,6.73744733602161,5.04647389536274,4.83132364469564,4.27636066891945,4.80834331473315,6.25740991534347,10.5310857328777,9.18492558825695,6.6616887779006,6.46755351004319,4.38823846874634,6.1659101482224,5.96353121665291,3.68331681670915,5.64013281898489,5.02721851881532,4.38133806017683,7.77604400247535,5.99162948703311,4.27773514059558,5.68737965061165,3.9698936805009,3.90266266868313,4.52096045368428,5.18122142204173,5.10138243757041,3.65510492776628,4.95389421082209,4.96528157897715,6.48575515357988,3.49035594679133,4.55675329995934,4.51457574878107,5.35113935667976,3.89859123478414,5.59223709860439,5.41878810441303,2.30505823349653,7.75147258407793,3.62141714108412,3.20689406070248,2.57897815107908,3.56751388564126,6.6827832055413,10.052028868881,6.23810913702406,6.69635726045056,6.49811246182973,6.06616365479021,3.54917740280981,4.92220468286979,7.44906342845062,6.11918446164143,5.91571184380076,5.86457978900326,5.81028852909167,4.90938409558439,5.14031126209332,7.44539917576621,4.79523685337907,4.55389621779423,6.32391608808194,4.62617240981694,8.02470024222551,3.93934090365576,6.32000908490294,5.00705249519997,5.64590286026555,9.48621710199627,3.53549603364936,6.21368486750454,6.57282911352356,3.77292462348616,4.98591990266307,4.57935192482872,4.60197967906074,6.5938039801487,5.01221927438674,3.97752663559343,4.18637687599767,6.99867362418396,7.58981640323367,5.94457982650495,10.4018176407508,3.20236195317629,9.39095270434741,3.54194594760507,4.71397024040086,3.48522436541503,5.0964891908506,6.24713119025364,4.04765372041392
"jarjarbinks_11",6.13527107077335,4.82819341912906,4.08779550374911,4.62665286624831,0,5.52527428102896,8.16029889624923,3.97711381643773,4.23514819434127,5.28858615677354,3.65392066608104,3.4151809935538,4.93345454645662,4.96064533385672,6.80439896964871,5.10853699112063,4.95797055053414,4.94625049190555,4.6769151146729,5.50012852572075,5.87259073483282,4.77901599234347,5.27546739537724,7.93440571242895,6.78251672351509,4.93872958897978,4.98667372550589,4.97905778227102,4.14153974446015,4.43691070177655,4.43280378898135,4.71354572410476,3.94213655542473,3.8750553019328,6.1813006165527,6.2727977323737,5.56623230340271,4.5029462592245,4.33294842277545,3.39724158693727,5.18177300649676,4.27688425830572,4.64172533344787,4.11839924402219,4.62543747216447,7.04734411548395,4.86632426338458,4.61574414927445,5.4101305074925,5.34252767943821,4.13856508265163,5.09707293132476,3.96752824334596,4.0519072519921,4.62635472754435,5.17625503101151,4.64644238943131,3.73821114555545,4.22564566218405,3.64153973458727,5.58767744010225,7.43719724006505,4.04297621953572,4.09425063821025,4.8669290265459,4.52464195076628,4.28248506263087,4.41290375155138,5.65205626857163,4.2727014290508,3.80122894574388,4.8179112203812,4.35837083980747,3.99951696588986,3.87144860878414,4.77973088612072,4.67595206715204,4.78266361018713,4.59829312488553,4.36855295396607,5.03166104676882,3.80327844909891,5.04459144535517,4.62828436511979,4.17038522531375,6.87330221699923,5.45019806116472,5.46704492873539,4.38909198614062,4.25753009967609,3.43355307629959,4.54473969838484,3.2052346818275,5.02464001448246,5.13642445375421,5.91726729134385,2.69861787472437,5.02101659001995,4.63007047591833,3.81072163337366,7.98686125369534,4.44271296493535,6.26791198022428,6.38698527590974,3.61500745781322,5.90182481180141,4.21499755602191,5.24687348979748,4.77562734250192
"hera_14",2.45845062887596,3.22991101343388,4.00154573871609,2.22969401412864,5.52527428102896,0,10.6487639019562,6.11054056984522,7.68459275622337,6.57034434979709,3.82982093929413,3.11704437557979,6.34317794931015,3.51898790657916,4.17379093180286,4.0800385992917,4.43849070524538,7.01868105051564,4.80995439049759,4.5345866852374,3.71227059943198,4.48575988582525,6.46117366612407,10.5027999368427,9.7345117830248,6.52100239084249,6.15887208236714,4.26279787482792,6.84862315041209,5.85708748728653,3.09973573917203,5.53202991043843,5.69614195930132,4.56308329019205,8.10261260605583,5.48245505717972,3.853976405073,6.53901776761646,3.97493125795005,3.90173781957446,3.91902302296183,6.0041559073698,4.77162836151884,4.32849221421498,4.86110671912519,4.41981276684721,6.27067069050924,3.75028903936262,5.53471658048381,3.87087840179877,5.57483040459229,3.35301060803946,6.16797855461286,5.38136584163032,2.48655629783695,8.66561466936745,3.69507721744122,3.54979758171864,2.75431836726653,3.71397393263888,6.82189301358255,9.99708526934773,6.41106845929167,7.10490643518153,6.41616990561155,6.43733424045126,3.42831802174731,4.74526143662995,7.51928544637112,6.10181914810935,6.15437440353536,5.9038121360673,6.6090947659092,5.52009956879653,5.16150815624133,7.75562634137696,4.50961144739004,4.13306860180135,6.46076148964555,4.34051182056066,8.392470706934,3.72663897802681,6.2307931839716,4.78813531715954,5.56648838923976,10.3071807608735,3.01451520903242,5.85415202560309,7.32327641486305,3.80850754600889,5.00569391763751,4.33154238003859,5.39475862608669,6.80709946136607,4.72242463348311,3.27041299079004,4.67366941593341,6.92030947551092,8.12549116686533,6.00164822827293,10.6552170024831,2.993995502321,9.62201566449882,2.90920098246306,4.94999552473518,2.51348572654836,4.8971096500927,6.19646396181063,3.66050213139176
"iris_14",10.9253484454162,9.07248963416266,9.77455278096144,10.2108926052083,8.16029889624923,10.6487639019562,0,7.08384479631395,10.3016053074771,4.43197429216447,8.18292549392933,9.33476146374435,5.49625378625814,9.42622246209605,10.0594406903814,10.1474180735903,9.8495895362901,4.89819172917009,9.82518269174229,9.0316797977223,9.63537530484317,9.30109855978989,5.02296174219176,11.5457888685918,5.68064087904426,10.2893011598271,9.64926767790504,7.37870946286782,9.36257812181183,9.35737265426355,9.9670253517353,9.84092728100634,9.60921737346409,8.95817756221834,11.6105386523083,11.4058756914886,8.67115751585921,9.90357592959595,9.04029536303869,9.1679378264218,9.82819270667926,9.9945400558898,9.41574099406724,9.67256224841563,7.76857351089431,9.97648055225072,9.24048001433759,9.88252536018521,11.0126582977449,10.237021892549,9.71029631685355,9.35101839617396,9.4676917102863,8.52969577300622,9.03162862821099,9.8832281448377,8.74288884884739,9.25465632108727,9.19651458762499,8.55470995830251,5.72221077694283,10.5728731835596,8.23712587558869,7.47144306341459,9.89201663549493,8.79135364158541,8.61495526528655,9.35309097937507,5.60191705885006,7.9629005205922,7.93255365689978,6.36613982442438,9.84697486219224,9.08987448881564,7.75872888279624,6.77489339710079,8.81048134992851,9.16521368977691,9.41928055468557,8.8997788882484,6.9698354779709,8.61082847878332,9.81434619714262,9.45155227810229,8.21331296484098,11.2934535532298,10.8389382339707,9.82095668001981,8.92593504737059,9.58105485891931,8.59917416770958,8.14319867776363,8.36636229051025,6.86984931665051,10.478405192048,10.7597005159732,7.79716445655331,7.90896983791712,8.18383224816113,8.25298264306898,4.85301148649986,9.67644499358692,7.92018750078026,10.8736109954533,9.02778777683835,10.737087024575,8.92596795415959,8.7236609939664,8.95558376772954
"jarjarbinks_14",5.99086438351702,4.70190275614271,5.29963844551996,6.02923333165662,3.97711381643773,6.11054056984522,7.08384479631395,0,6.51379956377118,4.06580514313667,2.54554937346929,5.03577498426424,2.86157168041414,4.85874676615243,5.89191211904659,4.54928782656051,4.08114811262831,2.88521868485456,4.1432119793702,4.43675964082382,5.03187685997706,3.54017616713851,4.10519526845075,7.20783235542281,5.13152489220583,5.32520924355046,3.80505531726094,4.31976542488559,4.85981454226051,4.51118532490032,4.63242058864846,4.17736770889983,4.76134169419987,3.75616518951822,7.28613340302525,5.95771142171994,4.89594333545532,5.62061041114688,3.92186709071779,3.71670720613614,4.53593194641506,5.43647876749532,3.57447905031416,4.94127663701978,2.50981058706843,6.24289826554246,3.51754292936811,4.78541145210974,6.9148590991549,4.7877946806351,4.29585480792363,4.36657555752207,4.46041087021625,2.56709789629838,5.01365141070031,6.10209661428244,4.32117701958821,4.09713738959993,4.28955326775095,3.11042629459971,4.32466205508758,6.24905526876205,2.55160189093488,2.43279454105962,4.30571470285092,3.96418994293443,3.46710596018813,3.46447672130266,4.23876603706296,1.98214712171975,2.0616229688967,3.38546703912229,5.23503015352491,4.19591548057667,3.00631861920107,2.01385608519587,4.52533454391866,4.00411154067181,4.18677245906968,3.35054923699147,2.61464543472219,3.55258590662504,4.37033045297473,3.84633024942441,3.00641484930889,7.73956683104387,6.37608431875417,4.30920235136233,4.82833168937251,4.19525561440779,3.06549484352562,3.71149996905362,3.52420327901996,2.45280957598271,6.07291892448037,6.40866292178095,2.16565255300239,3.22909152279178,3.89081257134766,2.73762675052181,6.19787146868111,4.88274197552751,4.17517059045563,6.24490485401748,3.80825477002129,5.72133423043952,3.74593907039191,3.85895993656114,3.67424882152465
"kubo_14",8.3463370147441,7.65576225491245,7.38218285146539,6.58294739924355,4.23514819434127,7.68459275622337,10.3016053074771,6.51379956377118,0,8.06180009387051,6.3909023708452,5.60464058372651,7.5853684197847,6.94701402023964,9.34406715491525,7.10400713726738,7.02587976457438,7.48959199378107,6.29711538751972,8.02042163037041,8.48449975777892,7.10122164541793,8.10980615169397,8.29032815657624,8.54086040076996,4.4314441099515,6.53066036104972,7.91368489693329,3.35013350470202,4.6336181947142,5.79256109385643,6.07621353536227,3.59446211530823,5.76019650885522,3.5473062982766,7.56913813205943,8.35979143931701,2.98578511887163,6.29056913290009,6.22534869463818,7.51997520557027,3.11970084958101,6.76987567442344,4.79910380550287,7.44627579017691,9.59595300379224,6.78018302953798,5.95340119347607,4.33350124236618,7.39983762329138,5.31507936538731,7.59854909814253,3.84002138306235,6.47591148181152,7.45009837210086,2.48738266763959,7.40183601370509,5.82658569729607,6.67650941271663,6.20140958300884,8.33454009854918,8.1556673908738,6.14673685313264,6.17802399477649,6.13359351691035,5.61705920438283,7.08697972523861,6.40113674861155,7.92766217609184,6.70000413717763,5.75172551286436,7.60901753318869,3.43021822218761,4.79227206964383,6.7320304132642,7.06601529839482,6.18009978296209,7.37404776489914,5.80230477488783,6.97687448052527,6.68683159403376,5.99467122853307,6.46851942281159,6.50221070683489,6.48375264233336,3.90674159863023,6.38547801271076,7.34304657150589,3.5871611155669,6.30528045963454,5.74213319467087,7.21456287547422,4.39969490272056,7.5087885853182,5.36609300710779,7.18459132519289,5.38201376780612,7.20978874719011,5.1318086039495,6.50656234620618,9.69356706371339,6.67964988086603,7.71305563609712,8.51257430642012,5.38211097364364,8.1919639200174,6.71130613672387,7.28246247793587,7.59345471060965
"wolverine_14",6.78675949987242,5.05814258023425,6.23329023654189,6.25867332949197,5.28858615677354,6.57034434979709,4.43197429216447,4.06580514313667,8.06180009387051,0,4.3435130566559,5.57200299856316,2.50956063584871,5.52127122300371,6.17571493021106,6.35982077217705,6.11655486618101,2.42529477549098,6.27374298189821,5.23447058909964,5.68206498088537,5.56064294659207,2.26350839517607,9.78852252328477,5.2174262126946,7.6299359284165,6.56040463780934,3.62234006925504,6.75237573639908,6.59998739455729,6.23551013221125,6.54470994427645,6.55420514076126,5.38048530525747,9.27807591054719,7.90170754155398,4.85794108882384,7.17917041485489,5.25663074253618,5.45982486217523,6.01852107497694,7.04478786501855,5.79173245888817,6.10451901292564,3.98125655191524,6.18287802019791,6.15475758822779,6.09265774831663,7.83400012663969,6.3481519384073,6.39865284664493,5.26939492373597,6.5293523558678,5.11834046486905,4.95133417032645,8.02918487121018,4.8908110086575,5.33507854437762,5.09011715587712,4.64577335811208,3.33261038381931,8.8500731238233,5.32125491723967,4.91711077210456,6.86329176088666,5.9397119200251,4.46182657967386,5.72617462340232,3.9119886169507,4.82071092378025,4.90056365116742,3.17989323491168,7.07096390543305,5.91357942854658,4.34504207770952,4.67958244019374,5.5715120780474,5.38319161673156,6.47483062797775,5.10963914465826,5.33798807528076,4.91429766610472,6.72313809645164,5.86098878712126,4.96257807841246,9.76371248865652,7.21229335814887,6.55702087017003,6.60877226207698,5.73913579226576,5.21439221764958,4.42916710390907,5.11881049951884,4.07979565942148,7.3763189318525,7.17227446860189,4.2244234183686,5.27454514771643,6.23209175326352,5.12446922717151,5.67893483805074,5.81375926892983,6.74530358610409,6.7158759305022,5.62042740532322,6.59487456077547,5.4341159857903,5.63230344886653,4.93211464845038
