"","hera_1","buddy_11","hera_11","jarjarbinks_11","padme_11","hera_14","iris_14","jarjarbinks_14","jarjarbinks_15","buddy_16","buddy_17","iris_17","lambchop_17","padme_17","buddy_18","hera_18","iris_18","jarjarbinks_18","lambchop_18","franc_19","hera_2","jarjarbinks_2","lambchop_2","goose_20","hera_20","iris_20","buddy_21","jarjarbinks_21","franc_22","goose_22","grogu_22","hera_22","iris_22","iris_23","franc_24","hera_24","jarjarbinks_29","jarjarbinks_3","jarjarbinks_32","grogu_36","franc_37","goose_37","grogu_37","hera_37","lambchop_37","goose_4","grogu_41","hera_41","goose_42","grogu_42","lambchop_42","buddy_44","franc_44","goose_44","iris_44","jarjarbinks_44","lambchop_44","buddy_45","franc_45","grogu_45","hera_45","jarjarbinks_45","buddy_46","goose_46","iris_46","lambchop_46","franc_47","buddy_48","franc_48","grogu_48","hera_48","iris_48","jarjarbinks_48","lambchop_48","franc_49","iris_49","jarjarbinks_49","padme_5","buddy_50","franc_50","grogu_50","jarjarbinks_50","lambchop_50","franc_51","lambchop_51","buddy_52","goose_52","grogu_52","jarjarbinks_52","franc_53","hera_53","iris_55","lambchop_55","buddy_56","franc_56","grogu_56","buddy_57","goose_58","goose_59","iris_59","padme_6","iris_60","hera_67","franc_68","jarjarbinks_68","hera_7","iris_7","padme_7","grogu_70","franc_9","grogu_9"
"hera_1",0,14.7418753178897,14.1089435041587,17.1729867693386,19.843627163448,11.7608302418889,20.8254182253557,15.9644215423662,15.3380806537643,20.7721937932383,15.3771420755672,19.0218999339348,22.3076590806248,29.1858567554619,21.9712108498257,10.4792778427427,19.5876960078223,13.4231879035962,23.3688041653653,15.6584757230147,15.6880215787315,26.7851036904064,20.5050560132314,14.9579305087197,11.7508790509949,17.6706744894323,14.8670839167203,13.9486681598329,15.4622419030866,16.4283413778437,17.5846719890862,18.2997934114352,18.6015910380021,18.8447771505881,15.994457031376,10.2985198074713,13.8112374648588,11.3048006405376,18.6420621737957,16.7199523436329,14.4407158955193,16.6152363667172,17.8976543089037,12.1642096032303,17.2070026756813,35.9803849420262,15.8930390722501,12.1406036297415,17.1454889119027,14.6835883468066,16.8215004233076,14.5513071521564,19.4011732421334,17.3473157909354,20.205333399412,21.0314376466384,16.7049533548592,15.7157056268007,16.597956484504,16.1635300010837,14.475488263377,20.090166208574,16.6457794911215,16.6587539870155,20.9715541003818,17.0587717257783,15.2744085974273,16.2143644214429,17.3124858121955,16.0490894014749,12.1208715773716,20.7907440590301,16.1082096125123,16.289581165735,17.4783856164737,18.5142211393946,16.0055025202562,19.2658593186658,18.0692660909018,16.8363435387023,14.9764170131825,15.6785355644264,17.6664899346526,17.5451345554689,16.1456992670997,14.6374491518937,15.819059198412,14.2894573269742,12.6572534000758,16.0985810101243,11.2785897575341,17.9896796596916,15.8495898323008,18.5176448975218,16.9312427442218,15.2446999332221,14.1940899705689,19.0989241435168,16.2113994642039,18.7941379787286,20.5820501453055,22.2924225208396,12.3384026597438,16.9424746448625,15.456981288735,7.94019826312825,22.2334086748872,19.9454062378992,19.9682709470685,18.9397095932428,14.3967783770721
"buddy_11",14.7418753178897,0,15.5268151424294,16.0321859603224,16.5465128796536,17.0772406746301,22.1275577521369,21.509837702668,20.1414979057984,23.5615819145375,10.9812138323299,20.9190771419752,19.1604522384045,26.67533953551,17.9853726671531,18.2620792493916,21.3199303300824,13.7243529749841,20.5972138135948,14.2425266604386,21.2007976903029,28.035381010508,20.9562194101854,16.3766259809432,18.6123318281595,19.5114172835803,15.0627480729432,13.8287795443949,16.0224388468396,12.4978749082672,18.8733126509297,18.7053976513516,20.1490376277773,20.0958457987317,15.5504535555402,17.7152974541966,12.0203731597299,14.9039124807968,16.5414091681179,18.0987441130616,16.4359462830594,13.1555320059182,18.4454953249044,19.6035430300138,13.6769490871357,32.6983287676187,17.0537257518177,17.5523240195253,15.5954579674066,12.9836040387315,16.8464018193154,15.0235032081939,22.4056459390242,15.1543149913377,21.7744442551902,20.4740493019403,16.8193850066165,16.699125793405,15.8987854121549,15.6282829276485,20.1599474917676,22.206276603637,17.7663965827159,17.8653269554475,21.4484309527607,16.953421329794,16.2417661395022,15.6009406521105,19.1150429070288,17.1638198596616,17.6324776284215,22.4439561992514,12.1301837763097,16.1907194196099,19.2560354931304,20.0298605098353,15.4007761771267,13.5547644888881,14.8749071023417,18.825937358669,16.2770316029878,15.0057134883793,17.5439299223881,18.6696195588665,16.6782822531133,15.26625736522,16.847608283604,16.3007668236322,14.2640149158256,17.8042369648947,16.0131845102294,19.8206519504458,15.4224792727079,14.8901457450536,21.7753930388837,17.3554570154327,14.4841564272066,14.5819786000598,14.0375658412215,20.8136813200084,14.5350982591208,24.2149527671583,17.6913674061263,13.9703083844523,15.386879526765,16.2897160546752,24.0146349774536,14.4972964278975,17.4408082674604,13.677334034491,13.0848510203955
"hera_11",14.1089435041587,15.5268151424294,0,15.3465707401726,17.5266370542586,10.286406668176,22.580238375764,17.4456642262687,16.0765668028884,27.063900600279,16.9190894754949,21.8552702701795,22.10671148629,28.5905380759668,21.2655981879989,15.8434500714007,22.234743355113,18.6393547703717,23.7474293282182,18.8326863391721,21.6930902980121,28.6790474139726,23.319876177025,21.4912924450572,15.2817660766301,20.3075186934245,19.418486187342,19.0776612968831,18.4788616233664,19.0917179383254,20.7113433323819,22.4416294774618,21.7379179354502,22.1312275565948,18.6332953707376,15.3570623611457,17.6349610675139,17.4400340264762,19.8230945834304,20.194641602654,18.783815749849,19.6576934878237,21.2551137624721,15.2020052566932,19.8516624119101,34.6080186075903,19.7510229892903,12.2981276757844,20.9761474847574,19.4819316086268,21.5569648285538,20.2117286593178,20.3018307564779,19.6853920041364,22.3510743324075,25.4807166406166,20.8162797138038,22.3918003266092,19.643081069304,20.0519298709202,15.2028328311293,19.6533115008147,22.562030653457,22.8214716513785,21.6503560630161,21.290826031791,20.6382153051946,21.0134654810357,22.1454530074527,20.5772634168501,13.9585938259841,22.6128090519589,18.288693767753,21.885444078565,22.2552084255553,21.8968687185752,18.4188123072579,18.9978583128502,18.7292448791621,22.3305752003927,19.7137886289332,19.6830730050077,21.836306633626,22.490965002205,21.5516729841071,20.0332305656872,22.3082313768092,19.4248070122514,18.4114158792373,21.8975075734173,12.6329146289395,20.5002334120088,20.2043935678199,18.9465677212345,18.2973178800122,19.1462284551789,20.2800960122121,21.4335534159368,20.0672925830662,21.9341100855311,20.3918233206787,24.2704684869736,15.0350137723729,18.486120421883,19.3955384248056,15.0524126658764,23.8604348518059,18.8026600622677,22.3694674599963,17.6134721420717,16.28129006622
"jarjarbinks_11",17.1729867693386,16.0321859603224,15.3465707401726,0,16.6563083826121,16.6322691664856,20.4792196327783,17.2348761516423,16.3160633482605,27.2256195342407,15.8305865369596,21.2532003063719,23.8283045043742,28.9547601556253,21.3354358208903,19.4142189817082,21.9000128360795,18.1074611508683,26.3469321218143,18.720391481115,22.0472127256062,26.924854494655,22.250833017044,22.2786447698542,18.8204689874676,20.3203939307288,18.5671432666678,19.4627706150336,20.2619130819592,19.4884347775611,20.460057152522,22.239123378534,22.0483141489136,22.7207621648979,17.9604727691848,18.2738636764943,17.9272855659737,19.8493325425309,22.1722006874276,20.2015104612621,18.9448167547808,20.6387515414358,21.7493540534905,19.0470912057583,21.5529851315348,35.120039308543,20.0214663858638,15.8398973046861,22.861205013249,19.2950892457972,20.0351204703216,18.1832235524771,20.3392939519177,23.1157839613175,22.6218005311028,23.3747862229533,20.7244998241388,22.3730588003978,21.1405375868315,21.9599998406369,18.7901291431089,20.209897558447,21.8552721628824,22.8302239622496,22.2722166130961,19.9143052979148,21.3745956191208,20.2260647106882,23.3719816067407,20.4104852644771,16.1755804815242,23.4851419709792,18.8326057105018,23.0887944857787,23.6319293234105,23.4045777194128,21.0264562389777,20.5693221887221,19.1296350243204,22.65130477642,20.308105077541,22.0368589286749,21.4893865554023,22.9374023556166,21.6684602753061,19.7040178857706,23.4057824473291,19.5183038699915,20.6501451325069,22.5731687697725,16.7407592961081,21.2160755984621,19.2114156815297,20.3685114605346,19.6599428895198,19.1336870017831,19.1193328716457,22.4435753582464,21.195462632203,21.769030617311,19.9245572390573,24.4699725842259,20.8561150609301,19.4050794230132,19.8549915338386,19.0915012568565,26.0590031461002,17.4456703510479,22.1810766170926,20.5274324710083,15.2425774937012
"padme_11",19.843627163448,16.5465128796536,17.5266370542586,16.6563083826121,0,18.9558557504311,22.1527923509693,23.3421346579445,22.4481417344491,27.9086154612793,16.938515002685,23.2486143084753,22.5435452498604,25.5274136049346,20.4519468185104,23.3315211425872,23.6124397801658,21.663861382165,24.8713349740102,20.9385494302603,23.6383819234924,28.5906036801541,24.1398653544063,23.9972259803873,22.6688987322682,21.7545556391679,19.6396434521591,22.5007039595317,22.4950197113532,21.5014953738995,22.6622712490515,23.1534689404921,22.7260424502391,24.0017266521986,21.16213812034,21.519080726195,21.3807285437447,22.8757526695572,25.2458672696579,21.9941132115177,21.537914607358,21.8893515973497,22.4515777836767,22.5512219455679,22.8107499930117,33.2663238068692,21.8280090750447,19.8596531660789,24.067913742222,21.606318905192,20.5891434837596,21.0351764030444,21.953172133551,23.8249585880826,24.0012629036265,25.0639083879344,20.7128161596934,23.7645140613441,23.2812802621389,23.739851322824,22.3691403533123,22.5678705677677,23.5427359909318,24.5219576092442,23.4012574257977,20.4369922396305,22.9756961315871,21.3926949296629,25.5995205964602,22.2672078685029,21.8537394357366,24.4877427349121,21.4286607586782,24.0340802394193,25.7703323956137,24.0043788126994,23.2368285206843,18.2746507834106,20.9690122012618,25.106836139909,22.542317805305,23.7686077207766,22.0134020715806,25.1573964203549,22.1213915554203,22.0699311585727,24.73531769407,21.9512887335058,22.7258549103487,24.449242436968,20.9596726985199,22.9990240195686,19.9278068587488,22.0573021982879,23.2805834736833,21.4354872739369,21.4459957930475,22.6983724159476,22.3797201305997,23.9970738163119,17.4563702030025,26.0626041658948,22.2667056836618,22.2495332096266,22.8009697733112,21.1251830775383,26.6825457826325,14.9787294071158,21.1503773478889,19.6489844200924,19.1623640972368
"hera_14",11.7608302418889,17.0772406746301,10.286406668176,16.6322691664856,18.9558557504311,0,20.4876640639524,15.158559635358,14.4975808512367,23.945860627139,16.794638063974,19.7442460916573,22.4180410134896,29.0604827778625,21.6290380891972,12.2622528202227,20.2438734078627,16.8849042495543,23.4483387587544,18.7069879392864,18.1688682501388,26.2966983098663,20.789180965758,18.4499948833319,11.8271379319479,18.047725387539,16.787989663386,17.5006824348386,17.4556603743714,19.6000029539138,18.5365665250455,20.1612108804061,18.9774895920808,19.794013071483,18.1369344056134,11.9997012945948,17.138453337032,15.2116728526195,19.8814885270539,17.4751230347754,17.6088243613951,18.9362862008496,18.8764556012583,11.9157389623348,19.3173756086158,35.5885977043791,17.2545853657947,10.0000851627632,19.4290008398837,18.1393728003029,19.1524774918425,17.5284001312117,18.7222446351804,19.058088911824,20.2022221155804,23.3055575680592,18.6793982184308,19.0251321897056,18.6187840472027,18.5522076677168,13.0158531107906,19.1425571760399,19.2579228485208,19.452972718203,19.1465885927876,18.829605642328,18.4809229143223,18.4016483333324,19.712877621898,17.9260618961603,12.6554245830694,20.2986903324234,18.7922402749704,19.0597928276373,19.9082461112708,19.2210707399774,18.1857458087383,19.9032727050473,16.9010865456955,19.5753660235648,17.1710229366168,18.2058384694963,19.8036924404277,20.3211282623826,19.1056956622385,17.3196578560675,18.9791948795726,16.5537313007412,16.7976130882923,19.5398858055589,12.3173512865112,18.5691494556159,18.4457124939099,17.2620086830786,16.679396095241,16.6408316896219,17.5567059314891,20.790659890977,18.5946619799463,19.5483929101913,21.3086741988536,22.1386967815305,13.629491829965,18.0829061990359,18.9247695739667,11.4845207789441,21.7887775093558,20.5571088341988,21.6600738224248,19.5064417002595,16.5601260897088
"iris_14",20.8254182253557,22.1275577521369,22.580238375764,20.4792196327783,22.1527923509693,20.4876640639524,0,20.5829446484018,20.3890203164648,28.2563120344458,20.1547176752864,9.79219607713017,26.8242280412846,31.6387289496045,25.6434389547692,20.5487857651089,9.58209326063354,22.7854110367924,28.1254039763044,19.5764062317988,23.9202098127958,20.8480856563601,24.9076850222162,21.4292624584236,19.9897667541808,10.2646091977946,20.2286854668958,23.4833362440285,20.1240855558405,23.0366002109136,22.0876844508613,22.1941653508528,12.8572181761485,14.6133809875082,18.0431749928484,19.7264492254728,23.6932723567163,22.6203859428022,27.5955812916148,21.7546178868635,17.5924907108569,22.6667211812352,23.3517458014597,20.403065748994,24.1093922823882,38.8029801131119,21.71945938151,20.9461102099532,23.737156765579,22.6812848508981,21.2798428947895,18.1053229050853,21.0061977385229,24.4774654104701,11.3839562689304,26.098880646227,21.9567200546649,22.291553461079,21.2998148697802,24.0033122916219,21.4951015254039,25.0824799257783,20.5870716772622,22.0890222373902,12.6233032983024,21.2576398449886,18.9734323127396,21.1518405601666,19.9937863469164,21.908533025268,20.4337527593375,12.6276176008919,24.7980996632125,23.012357446225,20.630312604249,15.6185333016364,24.997458686864,25.2749212566399,23.2060807900499,19.6609651738441,21.8108998620442,25.1654266896255,23.3493814285547,18.5356596010481,22.4440760782912,19.2172273881895,22.8371285541984,21.1600589051226,22.9091708265673,18.751406628347,20.7494346710412,11.768494413213,21.6804185631052,23.7288417189653,19.9769512340878,21.055174916744,20.7604672183656,25.1665153100443,23.1129035569054,11.4572184087296,24.645159533441,11.8295369872582,21.7096364960929,21.7703318106472,24.6623257861094,20.7825360280197,17.7258018459191,22.8786557371367,26.3335691890197,25.6864189117298,20.0580132272132
"jarjarbinks_14",15.9644215423662,21.509837702668,17.4456642262687,17.2348761516423,23.3421346579445,15.158559635358,20.5829446484018,0,7.90972095348337,26.4444685753567,21.9038871636608,19.3791634897852,27.2498527218575,31.7874111587264,25.5152330952134,13.7449063849635,19.8701496031615,19.3012015488422,28.9850837153036,20.7644019035266,20.9052491077745,25.9918264777828,22.4342998275396,21.7498690428775,12.9185479741054,19.2844214787193,21.7204237002014,20.7819068484697,21.01256759839,22.3338316787997,21.0610289139164,23.7964190045904,20.7293817818062,21.8175952111481,19.8349886367624,13.8205035938619,20.3258801300067,18.6222507960461,23.0939026064469,19.8602157359052,18.8255450436752,22.9343983693601,22.0022540615122,13.7285835823043,23.8961140466072,38.3550954354314,20.0786271745487,14.6503539963141,24.2127377808625,21.3630939152332,22.5122565651718,18.870434692811,20.2006919963259,23.8692736956627,20.4462720460088,24.813280144618,22.9446257325689,22.7731544231784,22.4349126146179,22.2610502325719,15.8887152499484,19.3224295787442,21.726829661155,22.044109154373,21.4667435963527,22.4962858682406,21.3347899951282,22.1410734255324,22.1738480455139,20.3495835090332,13.2402365582251,21.7816464290538,21.7584657119061,23.9439339280902,22.8096882931946,21.718004437203,22.0175014180968,24.2054149838337,21.722453631733,22.5249049741803,20.395290195076,22.6209090648488,24.0541404569704,22.2703451694352,23.0783586365645,19.9927029946312,23.2722597524908,18.9743941541725,20.1925478973202,21.8205375770713,15.5968879829562,19.7372793178579,21.7562833707464,21.7852858330871,16.7915918246076,18.308191645831,20.2031239039449,25.7550682912098,23.1845570425965,19.9992683680053,24.1177717495698,22.1898142710736,17.5877330127928,22.5802312292437,21.1142128293036,17.2226532707196,24.7398516486718,23.0530090833255,25.3248826056789,25.0807205887363,19.2913992714154
"jarjarbinks_15",15.3380806537643,20.1414979057984,16.0765668028884,16.3160633482605,22.4481417344491,14.4975808512367,20.3890203164648,7.90972095348337,0,26.6933990961892,20.4339383919878,18.9328716837631,25.6643050330759,30.860193021957,24.4817317625702,14.4353758064747,20.0621433621907,18.6680844500478,27.3709260607044,19.1794456316141,21.7444770062,26.2361789579004,23.0806020298066,21.0986660496877,13.4156869086459,18.5103514546649,20.8258520820573,19.8783933190238,19.8536530781706,20.9871651046758,20.5261565891915,23.1571418217241,20.0638354683478,21.0063798797317,18.4615489145099,14.3252281606757,19.1770046204435,17.6982772249902,22.5258977422278,19.8154590492128,17.9737879129332,22.0289943097276,21.5949344052521,14.8500475526251,22.8246036701916,37.0795115296027,19.6480677630164,14.1349175758155,23.4422485134497,20.5694616606738,21.7548727429077,18.4674241768084,20.5685198775617,22.5126976329359,20.1522611367321,25.0936614029053,21.9371162519007,22.3998720365111,21.6386022086161,21.6326984603319,17.1283858539397,18.7816393723956,21.9776292252128,22.0019921072212,21.0463464120805,21.7567403397569,20.5818594972663,21.5901807120603,21.8762440422851,20.0481393570164,13.4389915179378,21.6336408829193,20.7529518687998,23.0368112038629,22.5386304238442,21.2934771948302,21.3104656009004,22.8709983183395,20.2391136385843,21.5705666086938,19.7372051965471,21.9954442532372,22.6158213867887,21.6729888860886,21.8265415205682,19.4912721191068,22.6776015868855,18.8880948593457,19.3530272251198,21.117856742454,14.7930200944373,18.7836369488481,20.754331608919,20.3484975163814,17.0059081559297,18.3501034176016,19.6417608567855,24.8054027948015,22.2492130105095,19.8419228054461,23.0585342851061,22.5753849066476,16.7653747373258,21.0319031463783,20.383835550238,16.7387213312317,24.2468034879861,22.0004604284464,25.066397001753,23.3085434150511,18.1778015877422
"buddy_16",20.7721937932383,23.5615819145375,27.063900600279,27.2256195342407,27.9086154612793,23.945860627139,28.2563120344458,26.4444685753567,26.6933990961892,0,24.0151315381421,27.5491432725327,25.1503739548926,30.3986672775886,25.0127409466797,22.2536642526807,27.0944812261789,20.2724791071996,26.380037197568,24.1645609293648,13.1107995826766,22.0986266316143,17.9302494436244,21.2270451903881,23.5013180209213,26.3533799740731,21.824551604467,20.9214069142366,24.4229736904305,23.8392456766381,21.432351498672,22.2064563709087,25.5329579522519,25.9816580480637,24.8833049338238,22.0453836173222,21.1939539124457,20.9437047696716,25.733348418852,20.3434845679936,23.7969104705973,22.9316552561999,20.6910383056024,23.8158097770484,23.4453529273264,33.3864209671667,20.0348823857513,24.6201678850876,23.3155854460861,19.9664017344676,21.0225182311478,22.0287702398454,27.3257931856823,24.2139240448704,27.313873893487,13.2659971128187,22.1637141131093,20.410626353981,23.7578157128297,21.5486167787522,24.8644541663489,27.771587441441,21.0235524870822,21.5394095854157,27.7399278501009,21.4879242601853,22.6394339527706,21.1818688685515,23.3114797897192,19.2494300772868,24.873958577048,28.4507379453601,22.6769415317997,21.6811179633004,23.9714193661101,25.4767679868762,23.42516637421,25.6670549979538,23.6459301493176,22.3530158308203,20.6677349667513,21.5463282809913,23.0054042061465,23.4627633445656,21.4497455619668,21.6530501204015,20.6352388026339,19.5548708156166,20.7526418968075,22.4419249794451,23.4715191046163,26.5429765000147,20.7655397357553,23.9919140728849,26.7637341417737,20.1793819689325,20.6149135962087,23.420183160368,22.3930031038454,26.3183241575185,25.9699404771232,28.865606994401,24.0185591805053,24.5472625884068,22.8541552164427,21.3025268301558,30.6338328347129,26.5474284002479,15.4591093166964,24.8205764563557,24.0338466352869
