"ID"	"Hera_1"	"Wolverine_1"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Iris_17"	"Kubo_17"	"Lambchop_17"	"Wolverine_17"	"Hamlet_18"	"Hera_18"	"Iris_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Ophelia_19"	"Wolverine_19"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Hamlet_21"	"JarJarBinks_21"	"Korra_21"	"Goose_22"	"Hamlet_22"	"Hera_22"	"Iris_22"	"Kubo_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Hera_24"	"Kubo_24"	"Ophelia_24"	"Wolverine_24"	"Kubo_25"	"JarJarBinks_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Goose_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Hamlet_41"	"Hera_41"	"Goose_42"	"Lambchop_42"	"Ophelia_43"	"Goose_44"	"Iris_44"	"JarJarBinks_44"	"Lambchop_44"	"Hamlet_45"	"Hera_45"	"JarJarBinks_45"	"Korra_45"	"Ophelia_45"	"Hamlet_46"	"Iris_46"	"Lambchop_46"	"Hamlet_48"	"Hera_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Ophelia_48"	"Wolverine_48"	"Iris_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"JarJarBinks_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Lambchop_51"	"Goose_52"	"JarJarBinks_52"	"Kubo_52"	"Kubo_53"	"Iris_55"	"Lambchop_55"	"Ophelia_55"	"Ophelia_57"	"Wolverine_57"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Iris_60"	"Wolverine_60"	"Hamlet_67"	"Hera_67"	"JarJarBinks_68"	"Hera_7"	"Iris_7"	"Korra_9"
"c__Negativicutes"	3595	3585	1888	3014	2006	3560	2040	1330	3066	2449	3091	3281	3100	1628	3855	3564	3250	2845	2410	3469	3633	3975	3227	3037	587	563	309	3238	3015	3732	1838	3360	3349	2710	2390	853	2217	3974	3055	3304	3314	2430	2890	2865	2520	4217	1544	2939	2462	3362	1928	3336	4750	2803	2308	3668	2427	909	3672	24	5525	3142	3035	2745	2635	3854	2748	256	3162	1595	1717	854	1776	2709	2325	2503	2699	2639	2599	2646	2854	3880	1959	2558	3825	2392	3240	1839	3008	3593	3248	3403	473	3229	3972	3390	3611	1640	3167	3497	1886	2076	1753	2039	3351	3408	3147	2445	2692	1367	4600	1678	3457	371	4494	2560	3848	6421	1987
"c__Bacteroidia"	1034	718	831	476	892	772	2627	438	840	847	465	1279	620	2	1060	1014	1320	1790	1017	1024	0	633	1450	1624	3495	2504	1486	786	1230	829	966	796	1054	871	907	349	1044	1012	670	1097	1429	591	1662	788	1668	644	857	652	245	630	236	1046	1796	1024	1809	768	880	635	615	3	1620	1067	801	2126	759	188	1636	2761	1576	2926	2522	373	2392	923	2147	1956	2076	1670	1510	1202	1726	641	2278	1083	835	929	1346	2345	1021	760	1596	1422	387	333	1142	918	785	1436	985	804	3122	856	2594	417	484	316	751	1425	1532	1620	1869	2731	682	4242	181	1003	693	1534	2066
"c__Gammaproteobacteria"	98	152	48	512	693	256	31	3122	35	175	694	52	488	3776	32	82	55	35	1392	175	1597	41	55	36	28	22	3283	359	123	32	1972	586	561	1188	1217	3868	1640	23	1268	114	6	1792	44	892	71	22	2789	1077	2531	167	2796	244	2518	801	37	156	1189	3524	62	7627	825	324	848	96	757	441	37	1216	226	33	67	3574	538	750	99	204	168	32	152	820	117	538	306	1130	17	421	68	385	430	319	118	233	4384	1463	90	582	111	1683	136	28	148	1582	179	2413	1247	1139	863	372	41	1874	2356	46	402	55	21	847	60	90	75
"c__Clostridia"	633	714	598	975	742	573	425	310	1398	1872	936	824	1170	52	498	756	742	627	573	655	112	775	567	549	194	171	30	923	1064	680	623	643	465	619	887	325	398	365	437	621	680	558	698	872	1078	529	243	727	219	1211	370	702	1578	702	1136	543	822	367	798	28	2607	740	647	176	1179	829	730	73	309	400	655	643	540	923	590	613	112	1057	1152	645	548	328	733	504	672	1617	621	788	691	635	414	187	206	255	117	438	880	617	928	981	118	786	725	523	199	536	582	995	1016	474	1719	878	370	211	651	753	684	2504	997
"c__Betaproteobacteria"	86	92	41	33	57	116	87	41	25	41	42	43	92	19	35	60	108	55	97	100	142	52	135	46	1032	636	353	174	55	84	69	47	70	65	87	25	188	34	54	68	37	113	65	60	61	58	49	89	40	119	21	134	269	137	94	73	156	21	49	55	259	119	163	132	108	60	127	831	63	229	84	27	194	124	250	112	257	67	67	112	83	102	76	130	106	127	161	106	235	175	119	141	10	157	106	148	92	107	50	108	144	69	125	49	166	37	139	57	166	82	91	124	283	474	22	157	170	243	281
"c__Fusobacteriia"	35	143	2065	455	1086	204	263	252	76	37	254	15	1	0	0	8	0	32	4	4	0	5	0	167	20	73	0	2	0	131	0	12	0	0	8	4	1	72	3	279	20	0	12	0	1	1	8	0	0	0	17	8	0	16	38	248	4	19	124	1	134	73	0	205	36	1	157	0	130	50	84	7	0	29	6	99	158	9	3	0	155	2	36	29	22	1	23	4	51	0	0	29	3	38	15	0	0	3	78	66	30	33	10	40	2	25	10	110	26	1	265	14	108	24	4	74	35	192	2
"c__Coriobacteriia"	18	85	23	32	12	16	13	3	40	52	14	3	28	2	17	14	25	111	5	66	4	16	54	36	29	598	7	11	13	6	7	52	0	42	0	64	9	15	7	2	13	8	121	17	65	26	5	15	3	10	109	26	78	13	76	28	19	14	174	0	24	28	6	18	6	115	36	23	26	265	367	11	52	18	80	8	7	22	15	66	9	8	86	63	17	10	25	26	54	11	4	9	11	21	17	17	19	11	129	7	45	88	92	16	15	32	5	94	22	53	16	13	156	54	122	94	6	4	89
"c__Actinomycetes"	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	108	852	31	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	1166	1	1	0	0	0	2	1	331	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	59	0	0	0	2	0
"c__Bacilli"	0	6	4	0	5	0	0	2	3	7	1	0	1	3	1	0	0	0	0	1	7	3	10	0	1	0	0	5	0	0	8	2	0	4	2	1	3	0	5	9	0	3	6	5	3	1	1	1	0	0	11	4	2	0	0	8	0	0	4	2045	2	3	0	1	2	3	1	0	7	0	1	1	5	4	1	0	18	2	1	4	1	0	5	1	0	0	5	1	1	6	0	66	7	1	34	6	1	2	6	0	6	2	3	2	30	7	3	1	2	4	41	0	35	0	1	3	2	1	2
"c__Mollicutes"	0	4	0	0	3	0	11	2	5	19	3	0	0	0	0	0	0	1	0	3	0	0	0	2	0	38	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	5	0	7	1	0	0	0	0	0	15	0	16	3	0	0	0	4	0	17	0	4	0	0	0	0	0	0	10	0	2	0	7	0	0	0	0	0	13	0	0	0	0	0	12	5	0	2	16	0	0	0	0	0	3	7	16	5	0	7	0	0	0	0	0
