"ID"	"Ivy_17"	"Ophelia_20"	"Franc_22"	"Grogu_22"	"Hamlet_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Ophelia_24"	"Henry_25"	"Kubo_25"	"Ginger_44"	"Iris_44"	"Korra_45"	"Hamlet_46"	"Joans_46"	"Ginger_47"	"Marshmallow_47"	"Charles_48"	"Grogu_48"	"Hera_48"	"Kubo_48"	"Kubo_49"	"Franc_50"	"Kubo_52"	"Kubo_53"	"Marshmallow_53"	"Ginger_55"	"Ophelia_55"	"Buddy_56"
"c__Negativicutes"	2123	1838	2743	718	3305	2529	2890	2881	2865	2520	1965	1543	4238	2748	1776	2325	2730	4338	1350	2633	313	2599	2854	3240	3365	1640	3168	466	3645	2075	1482
"c__Gammaproteobacteria"	669	1972	115	4402	113	260	44	62	892	71	1551	2788	3	38	540	101	887	451	3114	752	4852	152	117	68	116	1683	135	4800	46	1583	3281
"c__Bacteroidia"	1865	964	1469	247	1097	1645	1662	1053	789	1668	1344	857	846	1638	2393	2146	1401	335	423	1248	178	1509	1726	1346	1230	1436	985	116	815	856	304
"c__Clostridia"	692	625	988	127	621	826	698	713	871	1081	246	245	252	730	540	590	340	240	505	767	138	1153	551	623	612	617	931	110	766	787	336
"c__Betaproteobacteria"	110	69	153	5	68	203	65	122	61	61	221	49	85	127	194	250	136	114	91	25	17	67	84	161	150	107	51	5	112	69	60
"c__Fusobacteriia"	5	0	15	0	279	24	12	571	0	1	38	8	1	157	0	6	0	0	0	58	0	3	155	23	0	3	78	0	0	33	12
"c__Coriobacteriia"	28	8	12	1	2	10	121	81	17	65	126	5	74	36	52	80	4	15	14	11	2	15	9	25	5	11	132	3	103	85	13
"c__Bacilli"	0	8	0	0	9	0	6	7	5	3	7	1	0	1	5	1	0	3	1	0	0	1	1	5	10	3	5	0	12	2	6
"c__Mollicutes"	2	15	0	0	0	1	0	6	0	29	0	0	0	16	0	0	0	0	0	0	0	0	0	7	11	0	12	0	0	2	0
"c__Actinomycetes"	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
"c__Epsilonproteobacteria"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
