"ID"	"Hera_1"	"Wolverine_1"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_2"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Ginger_20"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Ivy_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Padme_6"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hamlet_67"	"Hera_67"	"Franc_68"	"JarJarBinks_68"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"
"c__Negativicutes"	3595	3585	2703	1888	3014	2006	2516	2438	4027	3560	2040	1330	3066	2449	3091	431	2798	3281	2123	3100	1631	5	3855	1518	3538	3564	3250	2845	1761	2410	3469	3634	3975	2957	2749	3227	3037	471	587	563	309	3370	3238	3015	3732	1838	2345	3360	3349	2921	2710	2743	2390	718	854	2801	2217	3974	2742	3055	2997	3305	3314	2430	2529	2890	5735	2865	1407	2520	4218	1965	1544	4055	2666	2939	2938	2462	3362	1928	3337	4749	2642	412	3193	2650	2803	284	2309	3668	2427	909	3672	17	504	5526	3142	2886	138	1664	3035	993	3244	1446	2745	2635	2129	1343	4238	3854	2747	6796	256	2389	3162	2222	2545	2653	3330	1595	1715	1992	854	2032	1776	858	2709	1457	2476	2325	2503	4197	2730	2699	3748	4338	1349	1303	2633	2678	313	2639	2599	2769	2971	2646	2854	3880	2685	1959	2557	1115	2650	4708	4122	3825	3499	2392	3240	1841	3008	1423	1833	3848	3365	4463	1404	3960	3593	2105	3247	3402	473	3228	2938	2766	1767	3972	2631	3860	3390	890	3611	1640	2174	3173	3168	467	2983	8012	3497	2500	1886	2076	1482	2587	640	3464	2286	1351	1752	2039	3987	3351	3408	3147	2445	3811	2692	1368	4603	1025	1679	3704	1518	3458	3866	1438	371	4494	3122	2560	2705	3848	6422	609	393	2028	979	3098	3155	1538	1987
"c__Bacteroidia"	1034	718	1018	831	476	892	918	520	450	771	2628	438	839	846	465	3140	859	1279	1865	620	2	18	1060	29	987	1014	1319	1790	2108	1017	1024	0	633	1177	995	1449	1624	279	3494	2504	1485	1432	784	1230	829	963	1018	796	1053	738	871	1469	907	247	353	1408	1045	1012	1127	670	672	1097	1429	590	1644	1662	1642	788	296	1668	645	1343	855	719	1343	652	484	245	631	236	1045	1795	1262	238	1129	1354	1026	131	1811	768	879	634	614	3	117	1619	1067	507	4280	1566	801	588	1189	3195	2126	758	943	1390	846	189	1636	1414	2759	1431	1576	549	1424	1560	429	2926	2523	1649	374	2011	2392	221	923	1877	1642	2147	1957	329	1402	2075	921	335	419	386	1250	1715	178	1671	1510	1514	948	1203	1726	641	298	2278	1083	253	1330	359	822	835	1000	929	1346	2347	1020	939	380	648	1230	485	133	738	760	2454	1596	1422	387	334	1348	1710	2835	1142	701	811	918	309	785	1436	1102	1645	985	115	1377	1439	804	1707	3120	855	304	1478	313	1060	673	334	2593	417	758	483	316	751	1425	1234	1533	1620	1872	1170	2732	519	606	680	1038	2643	4237	181	635	1003	914	693	1535	980	3665	298	143	1475	2094	1368	2066
"c__Gammaproteobacteria"	98	152	1227	48	512	693	1518	526	54	256	31	3122	35	175	694	28	462	52	669	488	3776	5382	32	3736	212	82	54	35	461	1392	175	1597	41	476	366	55	36	4528	28	21	3283	89	359	123	32	1972	593	586	561	1342	1188	115	1217	4402	3868	611	1640	23	772	1268	1380	114	6	1791	260	44	219	892	3327	71	22	1548	2789	49	581	1077	1553	2530	166	2796	244	2518	350	4724	149	133	801	4921	37	156	1190	3525	62	7629	4715	825	324	476	3	1529	848	3486	45	56	96	756	1843	779	3	441	38	577	1217	1224	226	2304	1183	291	1132	33	67	965	3574	1048	538	3949	750	1729	976	99	204	38	887	168	102	452	3114	3444	752	134	4852	32	152	81	522	821	117	538	1894	306	1130	2816	205	4	43	17	179	421	68	386	430	2785	2676	575	116	9	3663	78	319	503	118	233	4384	1464	300	69	624	90	1619	18	583	4062	111	1683	1380	23	136	4800	65	61	29	50	148	1582	3282	67	4324	474	2017	3505	180	2413	25	1247	1139	863	372	49	41	1875	2355	2678	45	698	2904	403	221	133	55	21	949	846	6829	60	92	3026	638	2360	4129	226	3761	1883	75
"c__Clostridia"	633	714	373	598	974	742	385	674	631	572	425	310	1398	1872	937	64	331	824	690	1170	52	13	498	72	289	756	744	627	475	573	655	112	775	771	904	567	549	69	194	171	30	400	924	1064	680	623	215	642	466	276	619	982	887	127	322	487	398	365	681	434	364	621	680	558	824	698	2111	872	456	1077	527	247	245	579	503	729	378	219	1211	370	703	1578	819	111	775	1187	701	151	1132	544	823	364	799	28	147	2606	738	1285	76	374	647	379	557	455	176	1181	399	588	252	828	731	1869	75	319	308	344	207	731	352	400	656	636	641	221	540	447	923	260	328	590	612	636	340	113	600	239	508	223	760	780	138	1056	1152	938	736	645	548	328	578	732	504	379	1122	365	400	672	482	1616	622	784	691	280	329	320	612	450	283	588	634	251	413	187	206	252	622	628	202	117	414	645	437	215	880	617	522	555	930	110	430	1180	981	1011	118	788	335	1170	198	358	336	255	724	523	649	202	536	582	995	157	1015	475	1715	534	876	477	417	358	180	556	210	650	634	754	374	685	2498	702	30	663	205	489	96	525	996
"c__Betaproteobacteria"	86	92	110	41	33	57	91	53	155	116	87	41	25	41	42	717	225	42	112	92	19	0	35	133	333	60	108	55	118	97	99	142	51	71	86	135	46	110	1032	636	353	56	174	55	84	69	127	46	70	157	65	153	87	5	25	108	188	34	39	54	76	68	37	113	203	65	182	59	4	58	58	221	49	91	180	89	69	40	119	21	134	269	268	14	100	68	137	12	94	73	156	21	49	55	17	259	119	255	385	264	163	44	275	184	132	108	35	493	85	60	127	285	831	121	62	61	132	220	44	229	84	193	26	186	194	8	124	104	54	250	112	86	136	257	100	113	90	100	24	154	17	67	66	149	211	112	83	102	31	76	129	13	170	31	88	106	288	127	161	102	235	43	59	83	150	70	11	121	175	160	119	141	10	157	175	186	60	106	50	147	148	21	92	107	229	93	50	5	52	166	108	183	144	69	60	162	8	122	97	50	126	49	70	166	37	139	57	185	166	82	92	43	124	95	47	283	175	166	474	22	140	157	140	170	242	56	567	29	39	82	204	151	281
"c__Fusobacteriia"	35	143	41	2066	456	1086	37	1245	169	204	263	252	76	37	254	0	798	15	5	1	0	1	0	2	31	8	0	32	473	4	4	0	5	25	265	0	167	36	20	73	0	77	2	0	131	0	1122	12	0	53	0	15	8	0	4	55	1	72	117	3	0	279	20	0	24	12	820	0	0	1	1	38	8	2	26	0	68	0	0	17	8	0	41	0	131	33	16	0	38	248	4	18	124	1	0	134	73	78	0	35	0	0	75	125	205	36	85	597	1	1	157	2	0	0	130	0	0	2	0	50	85	2	7	0	0	0	29	20	6	6	99	29	0	158	5	0	0	41	58	0	0	9	3	21	64	0	155	2	0	36	29	19	1	0	8	22	30	1	23	3	51	7	50	6	0	0	0	0	0	0	0	29	3	38	31	8	0	15	21	1	0	0	0	3	0	0	78	0	40	0	66	3	30	33	12	2	0	2	49	2	11	40	0	2	25	10	110	43	26	1	265	26	14	0	0	109	1	179	24	5	5	74	1	35	192	112	0	93	0	99	1510	0	2
"c__Coriobacteriia"	17	85	22	23	32	12	18	8	12	15	13	3	40	52	13	71	18	3	28	28	2	1	17	1	77	14	25	111	33	5	66	3	16	20	31	55	36	4	29	598	7	37	12	13	6	8	70	53	0	3	42	12	0	1	64	28	8	15	19	7	7	2	12	10	10	121	115	17	5	65	26	126	5	4	192	14	6	4	10	109	26	77	95	1	18	74	12	1	76	28	18	14	174	0	0	25	28	2	38	55	6	10	104	34	18	6	64	87	74	114	35	34	23	8	26	15	3	31	196	265	366	44	11	1	52	17	18	52	12	80	8	175	4	7	24	14	14	1	11	31	2	22	15	3	6	65	9	8	10	86	63	3	13	30	9	17	15	10	25	26	54	4	134	8	5	20	2	5	11	23	4	9	11	22	49	114	5	17	54	15	16	3	19	11	65	10	130	3	527	119	7	27	45	87	13	26	17	5	38	3	90	16	5	15	32	5	94	5	21	52	15	3	13	3	2	156	13	341	54	122	9	94	14	5	3	2	9	4	1	29	162	30	89
"c__Bacilli"	0	6	4	4	0	5	7	29	1	0	0	2	3	7	1	0	4	0	0	1	4	55	1	6	28	0	0	0	14	0	1	7	3	0	55	10	0	0	1	0	0	34	5	0	0	8	3	2	0	9	4	0	2	0	0	0	3	0	0	5	3	9	0	3	0	6	141	5	5	3	1	5	1	1	9	0	1	0	0	11	3	2	22	0	1	0	0	0	0	8	0	0	5	2039	0	2	3	4	0	7	0	0	7	3	1	2	1	163	0	4	1	7	0	5	7	1	5	0	11	0	1	0	1	1	5	0	4	0	1	1	0	3	1	17	0	4	2	1	1	0	0	2	1	6	20	4	1	0	0	4	1	883	5	0	3	0	2	0	5	1	1	15	30	8	8	2	1	2	6	4	0	67	7	1	24	3	3	34	4	1	7	0	1	2	17	1	6	0	22	13	0	11	8	2	6	2	0	11	4	0	5	2	2	31	7	3	1	16	2	3	40	7	2	2	1	34	4	41	0	1	0	3	10	2	3	12	0	17	3	0	10	1	2
"c__Actinomycetes"	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1036	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	106	838	31	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	1167	0	1	1	0	569	0	0	0	1	0	0	0	0	0	0	2	1	2	331	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	56	0	0	0	0	0	2	0	197	0	0	0	0	0	0
"c__Mollicutes"	0	4	0	0	0	3	0	0	0	0	11	2	5	19	3	0	0	0	2	0	0	0	0	0	0	0	0	1	36	0	3	0	0	0	15	0	2	0	0	38	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	7	1	0	0	0	0	0	3	0	0	0	0	1	0	15	0	0	0	0	16	1	3	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	10	0	0	0	0	0	2	4	0	7	0	1	0	0	0	11	0	0	7	0	0	0	0	13	0	0	13	0	0	0	0	0	0	0	0	0	0	12	0	0	0	5	2	0	2	0	1	0	0	0	0	16	0	0	0	0	0	0	0	3	7	16	0	5	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	1	0	0	0
