"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"goose_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"lambchop_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"c__Negativicutes"	1964	1830	1774	2931	314	2033	1543	1187	5	1105	2573	1281	2645	2152	2000	343	225	2450	2355	1707	2125	1995	1736	522	2036	1996	2179	1841	2434	2148	1536	2164	4171	1023	1429	2861	2948	1939	2136	1920	299	2324	1746	1926	2040	206	1765	17	2081	366	4146	101	1211	2208	722	2361	1050	1995	1548	975	3084	2802	4946	1741	2301	1616	1849	1925	2422	3269	1449	1478	625	1059	1801	1494	3052	1985	1965	1367	2726	3156	2133	985	948	1916	1946	229	2465	2016	2162	2819	1951	812	1928	3425	3001	2544	2036	1581	1032	1334	2800	2447	3246	1019	2881	1530	2476	2137	2014	1289	2890	1913	1724	2808	2469	648	1583	2307	341	2171	5827	1817	1369	1080	1880	465	2520	1664	982	2900	2436	2289	2772	748	2693	1106	2811	1047	2098	2271	1967	444	286	1478	712	2250	2293	1120
"c__Gammaproteobacteria"	893	1104	381	39	19	338	486	2746	3915	2716	154	338	1162	345	270	3294	2388	66	262	431	976	85	882	3202	446	561	1003	190	23	433	1319	490	159	2418	1128	173	36	423	1130	254	3436	108	1556	97	581	3579	864	5550	910	3429	1264	2	1112	615	2536	31	41	70	1340	568	2	321	420	890	164	1674	861	214	823	6	701	762	2871	1257	711	384	28	645	120	2070	74	328	22	2265	2505	548	98	3530	27	59	386	392	1374	2049	150	3	33	131	495	1697	2025	1948	418	84	6	2664	57	365	167	218	51	454	66	1178	43	14	423	2955	998	16	3489	46	44	38	107	2387	49	3145	345	1467	2548	18	906	626	33	1947	509	2112	160	98	767	692	4972	2202	464	1715	3002	165	2736	1372
"c__Bacteroidia"	737	668	380	328	2285	624	1355	0	11	22	719	1533	0	857	723	199	1079	1042	573	741	536	1069	661	178	1023	819	491	1195	1193	721	708	840	1195	216	978	885	525	976	352	918	173	821	338	985	747	97	641	3	433	84	640	3113	1141	585	426	867	2323	1548	685	1012	614	140	1026	1044	1145	399	1037	1132	314	436	1196	1464	163	1366	1194	1378	239	1019	1512	251	671	245	1051	305	279	909	1246	129	508	1103	690	466	217	184	966	259	600	729	1232	224	684	277	472	892	351	97	538	1785	1035	981	1242	2066	827	509	1409	589	667	224	800	1196	84	1000	1047	1243	2272	222	1074	227	774	489	243	551	356	545	895	854	377	441	756	1922	347	460	666	712	2666	217	102	1074	1522	996
"c__Clostridia"	276	280	495	456	45	242	503	38	10	52	210	345	82	560	661	53	22	292	671	158	199	713	647	92	355	497	263	597	270	591	367	299	1530	332	177	4	420	367	276	596	82	562	208	864	512	107	600	21	343	108	1463	54	268	466	276	405	331	127	289	422	184	598	1364	226	225	252	150	539	256	213	465	160	323	189	241	389	464	249	79	232	435	175	203	366	164	552	570	100	742	682	538	241	423	274	816	265	291	350	143	425	206	237	235	447	328	209	425	184	137	453	456	141	83	301	627	469	317	157	379	404	81	316	858	733	87	241	856	144	258	244	186	470	145	423	116	386	347	300	133	403	453	461	270	510	22	482	153	358	69	381
"c__Betaproteobacteria"	79	65	37	113	522	162	83	14	0	98	242	86	104	51	63	79	255	40	127	91	114	111	64	5	79	28	55	148	60	85	60	112	131	3	161	52	66	131	51	195	10	73	146	50	99	9	113	39	156	13	362	280	193	119	32	200	134	96	26	358	63	44	208	88	45	44	97	160	32	64	140	135	6	75	40	240	63	98	187	42	72	81	375	66	73	18	112	12	33	109	152	75	22	10	124	22	64	208	75	37	32	42	60	109	52	8	88	117	102	128	136	44	78	36	168	107	107	16	166	69	4	38	122	133	104	45	118	7	89	70	37	51	120	101	135	32	68	35	127	121	86	103	102	41	412	22	28	59	148	110
"c__Fusobacteriia"	30	27	905	123	0	581	4	0	1	2	23	344	0	19	194	27	0	56	2	817	39	11	6	0	39	84	0	18	14	13	0	34	597	0	28	1	1	19	49	30	0	95	0	24	12	0	3	1	69	0	113	0	25	0	0	55	91	149	61	434	0	0	1	0	94	0	0	1	0	0	2	0	0	15	4	57	20	0	115	0	4	0	167	0	29	42	0	0	7	15	47	1	0	14	0	0	6	22	0	0	5	37	4	0	0	0	0	0	21	23	6	0	11	16	19	0	0	0	0	0	0	28	0	2	22	9	1	0	1	35	1	0	1	8	32	19	0	0	0	129	129	3	0	79	0	68	0	71	1100	0
"c__Coriobacteriia"	16	13	4	9	45	13	20	1	1	1	56	23	3	14	23	3	6	27	9	50	2	9	0	1	21	12	5	6	4	5	4	49	86	5	89	20	3	139	5	70	0	13	1	53	9	1	14	0	3	0	5	25	39	5	8	76	24	13	46	65	53	79	24	7	19	12	2	21	144	9	31	1	12	38	7	54	129	3	6	20	18	11	45	10	1	8	22	0	196	3	5	5	7	2	10	22	5	11	3	30	3	97	6	4	14	0	4	16	8	36	83	3	12	39	3	11	12	0	47	7	1	383	86	19	34	10	18	12	3	28	3	3	11	4	4	3	2	1	10	250	107	7	11	2	8	2	0	21	118	21
"c__Bacilli"	3	6	21	0	0	2	0	3	40	2	20	10	4	0	39	0	0	22	1	2	8	0	2	0	0	0	2	0	1	1	1	12	102	3	4	0	1	6	1	16	0	0	5	0	0	0	0	1484	2	0	2	0	6	0	0	2	2	1	0	129	0	4	5	2	5	1	4	0	6	1	0	0	0	0	0	0	0	1	13	14	0	2	4	1	0	1	0	0	20	5	12	0	0	642	4	0	0	2	12	3	11	22	4	6	1	1	2	3	51	16	2	1	27	3	3	1	5	0	13	1	0	14	10	8	4	3	1	0	8	3	0	1	23	2	12	5	2	0	2	30	0	0	6	9	0	11	2	0	8	0
"c__Actinomycetes"	0	0	0	0	745	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	848	0	0	0	413	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0
"c__Mollicutes"	0	0	0	0	0	0	1	0	0	0	0	26	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1	0	0
