"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"c__Negativicutes"	2614	1964	2192	1460	1773	2588	1483	1537	1784	314	2034	2387	1187	3	1104	2364	2066	1752	2645	2152	426	409	225	2355	2193	2715	1708	2434	1994	1738	521	1614	2890	2409	1840	2148	1536	2100	2861	2135	2444	3455	299	1926	2040	206	1679	1765	17	366	2287	2209	722	1995	1547	975	2802	1999	187	2301	1849	1925	2422	1248	622	1059	1494	1821	1966	2726	948	1946	229	1890	2312	1529	2819	1928	2778	1739	1032	1334	2447	1019	2615	2475	2014	2890	1913	2469	648	2624	2306	2564	2543	1369	1081	1880	465	1664	2436	2289	1958	749	1223	3268	2271	1862	2800	4668	444	286	712	2250
"c__Gammaproteobacteria"	72	893	373	504	382	187	23	88	125	19	338	37	2746	3921	2716	40	26	1014	1162	346	21	15	2388	262	89	23	431	408	85	883	3202	1192	17	5	190	433	1319	32	173	784	122	1831	3436	97	581	3579	27	864	5544	3429	233	615	2536	70	1341	566	320	25	884	164	861	213	823	50	2594	1257	384	147	121	74	2505	97	3530	109	36	1247	392	150	12	307	2025	1948	84	2664	230	168	51	66	1178	423	2955	81	16	73	21	107	2387	49	3145	1468	906	626	30	1948	32	15	692	616	44	66	2202	463	3001	165
"c__Bacteroidia"	755	737	347	649	379	561	1912	1158	617	2285	624	930	1	10	22	959	1302	738	0	856	2542	1825	1079	573	893	601	740	765	1065	659	177	757	734	1041	1194	721	709	1210	885	475	458	1304	173	985	747	96	1315	641	3	84	779	583	426	1548	686	1010	139	1192	2006	1145	1036	1133	313	1832	272	1365	1380	1424	1510	671	277	1246	129	1100	956	581	466	966	609	676	684	277	892	99	550	1036	1240	829	508	667	224	572	1196	394	586	2271	223	1074	229	490	355	545	1116	855	1985	129	460	734	503	1113	712	2667	103	1074
"c__Clostridia"	459	276	705	541	493	416	307	1106	1360	45	243	601	38	11	54	539	455	417	81	560	142	122	22	672	775	494	158	340	715	646	94	289	269	493	599	592	367	508	4	530	883	1139	82	864	512	109	824	600	20	108	536	469	277	127	292	426	599	535	53	225	150	537	256	476	464	189	389	446	83	435	164	570	100	838	573	514	241	816	491	1173	206	237	447	209	461	137	457	83	302	317	157	640	404	635	711	87	240	856	142	242	147	425	739	382	643	477	462	545	497	1822	510	22	152	358
"c__Betaproteobacteria"	62	79	25	41	38	84	64	44	30	522	162	30	14	0	97	79	41	71	103	51	750	463	255	127	40	61	91	51	111	64	5	138	24	27	148	85	60	47	52	65	87	197	10	50	99	9	69	113	41	13	87	119	32	96	26	359	44	92	605	45	97	160	32	61	20	75	240	82	187	72	73	112	12	47	68	117	75	124	76	92	32	42	109	8	128	102	136	77	36	107	16	67	69	39	78	104	45	118	7	70	120	101	121	32	91	15	103	115	123	177	41	412	29	59
"c__Fusobacteriia"	26	30	332	790	904	149	191	13	27	0	581	10	0	1	2	0	23	3	0	19	14	53	0	2	0	96	816	0	11	6	0	0	52	15	18	13	0	8	1	0	0	0	0	24	12	0	27	3	5	0	52	0	0	149	61	435	1	114	0	94	0	2	0	62	5	15	57	71	115	4	29	0	0	2	47	7	1	0	16	1	5	37	0	0	0	21	6	11	16	0	0	0	0	37	48	22	10	1	0	35	1	8	19	17	11	3	3	54	25	140	79	0	0	71
"c__Coriobacteriia"	12	16	23	7	4	12	10	45	37	51	13	2	1	1	1	18	81	3	3	14	21	434	6	9	10	6	50	0	9	0	1	7	11	8	7	5	4	88	20	11	6	57	0	53	9	1	56	14	0	0	18	5	7	13	45	63	82	25	19	19	2	23	145	267	9	38	54	6	5	18	1	22	0	11	5	5	5	10	12	7	3	98	4	0	8	7	83	12	39	12	0	14	8	250	4	34	9	18	12	28	11	4	15	3	10	89	8	69	4	3	2	8	0	21
"c__Actinomycetes"	0	0	0	0	0	1	0	1	0	754	1	0	0	0	0	0	1	1	0	0	78	618	23	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	849	0	1	0	0	0	0	0	2	0	240	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	142	0	0
"c__Bacilli"	0	3	0	2	21	0	0	4	6	0	1	0	7	41	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	1	1	5	0	0	0	2	0	0	0	0	0	0	1484	0	3	0	0	1	1	129	3	0	0	5	3	0	7	1	1	0	0	0	12	0	2	0	0	1	0	0	0	4	0	0	11	21	6	0	5	50	2	28	3	5	0	1	1	7	0	6	1	1	0	3	22	2	0	5	0	1	0	0	2	1	9	0	1	0
"c__Mollicutes"	0	0	0	3	0	0	8	0	14	0	0	0	0	0	0	0	1	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	3	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0	0	0	8	0	0	0	10	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	0	4	0	1	0	0	0	0	0	0	1
"c__Epsilonproteobacteria"	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
