"ID"	"Ginger_2"	"Padme_5"	"Padme_6"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"
"txid1437609"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"txid1852385"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"txid2003188"	0	0	0	1	0	0	0	1	1	1	1	2	0	1	3	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	1	1	0	3	0	3	1	2	0	0	1	0	0	0	0	0	2	0	2	0	2	1	1	1	0	2	8	1	0	0	0	1	0	1	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	2	1	0	3	2	2	0	0	2	0	0	2	0	0	1	1	0	2	0	1	0	0	2	4	0	0	1	0	2	1	1	0	0	0	0	1	4	0	0
"txid1871031"	0	1	0	0	1	0	0	1	3	2	1	0	0	0	0	1	1	0	1	0	0	2	1	0	0	0	0	0	1	1	2	0	0	2	0	2	0	3	0	4	0	0	1	0	0	0	0	1	6	7	1	3	2	1	0	1	0	2	2	1	2	0	1	0	1	6	0	3	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	2	0	2	1	1	0	1	0	1	0	3	1	0	0	2	0	0	1	1	0	5	1	10	0	3	1	0	0	1	0	0	1	0	0	3	2	0
"txid1720204"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"txid147207"	1	1	2	2	1	0	0	8	24	2	3	1	4	3	1	2	0	0	15	16	3	10	22	8	1	5	0	13	4	0	1	2	27	38	2	35	1	41	2	10	1	8	35	0	0	0	11	1	19	8	21	42	16	9	0	2	1	7	53	0	17	0	4	18	5	32	1	1	10	1	29	2	0	0	5	1	2	1	2	0	2	7	1	4	0	7	69	1	2	5	1	3	2	13	41	2	18	0	2	1	7	4	2	335	24	7	4	14	5	0	10	0	2	0	0	0	1	104	69	2
"txid1937461"	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	2	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
"txid147206"	0	1	0	0	0	0	0	3	1	2	0	0	0	0	0	2	0	0	3	1	0	0	3	0	0	0	0	1	0	1	0	0	5	3	0	6	0	7	0	6	0	1	6	0	0	0	1	1	4	2	0	2	7	1	0	2	0	0	27	3	1	0	3	1	0	1	0	2	2	0	4	1	0	0	1	1	0	0	1	0	0	1	0	1	0	3	1	0	0	2	1	0	0	1	14	0	0	0	1	0	8	2	0	9	4	1	0	0	1	0	0	0	0	0	0	0	0	27	6	0
"txid742742"	1	0	0	4	0	1	1	6	75	9	9	6	1	4	5	7	0	1	32	4	4	6	4	32	1	3	1	5	7	1	2	1	16	23	2	37	0	78	1	35	0	5	9	0	0	5	19	2	40	5	15	18	23	9	4	4	1	6	40	4	11	1	4	15	1	69	1	10	3	6	5	4	1	3	10	0	0	3	2	2	6	9	2	4	0	7	25	3	2	3	0	1	11	9	24	0	17	1	4	1	17	1	0	27	49	2	5	1	2	1	11	1	2	3	1	1	7	90	27	3
"txid1870987"	1	0	1	3	0	2	0	3	27	5	5	5	0	2	5	9	0	0	10	4	5	7	1	16	0	2	0	3	2	2	3	1	4	25	1	17	1	18	1	20	0	1	7	1	0	0	11	3	12	4	12	4	11	5	0	1	0	5	28	3	5	0	2	7	1	33	1	4	3	2	10	5	0	6	6	0	0	0	3	0	3	4	1	1	0	10	11	2	1	2	0	0	3	14	11	0	7	2	4	1	18	1	1	48	14	1	1	0	5	1	9	0	1	0	0	1	2	49	14	2
