"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"Ivy_17"	"Ivy"	2023-03-26	2	"17"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F2"	2018-12-27
"Ophelia_20"	"Ophelia"	2023-03-29	1	"20"	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B2"	2017-08-06
"Franc_22"	"Franc"	2023-03-31	3	"22"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_1"	"control"	"RoomF"	"F2"	2016-11-06
"Grogu_22"	"Grogu"	2023-03-31	2	"22"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"intervention_1"	"control"	"RoomF"	"F4"	2018-08-10
"Hamlet_23"	"Hamlet"	2023-04-01	5	"23"	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B1"	2017-03-05
"Franc_24"	"Franc"	2023-04-02	2	"24"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_1"	"control"	"RoomF"	"F2"	2016-11-06
"Hera_24"	"Hera"	2023-04-02	3	"24"	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B1"	2019-08-29
"Ivy_24"	"Ivy"	2023-04-02	2	"24"	"IVY"	"Female"	"Pair"	"Group2"	4.202739726	"Estrumate"	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F2"	2018-12-27
"Kubo_24"	"Kubo"	2023-04-02	3	"24"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	2019-02-02
"Ophelia_24"	"Ophelia"	2023-04-02	1	"24"	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B2"	2017-08-06
"Henry_25"	"Henry"	2023-04-03	2	"25"	"HEN"	"Male"	"Pair"	"Group2"	4.208219178	""	"Nebraska"	""	"intervention_1"	"control"	"RoomF"	"F6"	2018-12-25
"Kubo_25"	"Kubo"	2023-04-03	2	"25"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	2019-02-02
"Ginger_44"	"Ginger"	2023-04-22	3	"44"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Iris_44"	"Iris"	2023-04-22	2	"44"	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_2"	"control"	"RoomB"	"B4"	2016-05-10
"Korra_45"	"Korra"	2023-04-23	3	"45"	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	2017-04-17
"Hamlet_46"	"Hamlet"	2023-04-24	2	"46"	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B1"	2017-03-05
"Joans_46"	"Joans"	2023-04-24	3	"46"	"JOA"	"Female"	"Family"	"Group2"	5.967123288	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2017-03-23
"Ginger_47"	"Ginger"	2023-04-25	2	"47"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Marshmallow_47"	"Marshmallow"	2023-04-25	2	"47"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Charles_48"	"Charles"	2023-04-26	3	"48"	"CHA"	"Male"	"Pair"	"Group2"	4.230136986	""	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F3"	2018-12-17
"Grogu_48"	"Grogu"	2023-04-26	3	"48"	"GRO"	"Male"	"Pair"	"Group2"	4.583561644	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2018-08-10
"Hera_48"	"Hera"	2023-04-26	2	"48"	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"intervention_2"	"control"	"RoomB"	"B1"	2019-08-29
"Kubo_48"	"Kubo"	2023-04-26	2	"48"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	2019-02-02
"Kubo_49"	"Kubo"	2023-04-27	2	"49"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	2019-02-02
"Franc_50"	"Franc"	2023-04-28	3	"50"	"FRA"	"Male"	"Pair"	"Group2"	6.342465753	""	"Texas"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F2"	2016-11-06
"Kubo_52"	"Kubo"	2023-04-30	2	"52"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	2019-02-02
"Kubo_53"	"Kubo"	2023-05-01	2	"53"	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B3"	2019-02-02
"Marshmallow_53"	"Marshmallow"	2023-05-01	3	"53"	"MAR"	"Female"	"Pair"	"Group2"	4.101369863	"Estrumate"	"Nebraska"	""	"intervention_2"	"gum"	"RoomF"	"F4"	2019-02-02
"Ginger_55"	"Ginger"	2023-05-03	3	"55"	"GIN"	"Female"	"Pair"	"Group2"	6.117808219	"Estrumate"	"Nebraska"	"ABX"	"intervention_2"	"gum"	"RoomF"	"F6"	2017-01-27
"Ophelia_55"	"Ophelia"	2023-05-03	1	"55"	"OPH"	"Female"	"Pair"	"Group1"	5.594520548	"Estrumate"	"Nebraska"	""	"intervention_2"	"control"	"RoomB"	"B2"	2017-08-06
"Buddy_56"	"Buddy"	2023-05-04	3	"56"	"BUD"	"Male"	"Family"	"Group2"	6.397260274	""	"Texas"	""	"intervention_2"	"gum"	"RoomF"	"F5"	2016-10-17
