"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"
"fpt1"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0.02	0	0.02	0.01	0	0	0	0	0.04	0	0	0	0
"fpt2"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0.02	0	0.02	0.01	0	0	0	0	0.04	0	0	0	0
"fpt3"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0.02	0	0.02	0.01	0	0	0	0	0.04	0	0	0	0
"fpt4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0
"fpt6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0
"fpt7"	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.02	0	0	0	0	0.96	0	0	0.02	0	0
"fpt8"	0	0	0	0	0.04	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0.03	0	0	0.02	0.01	0	0	0	0.02	0	0	0.02
"fpt9"	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt10"	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt11"	0	0	0	0	0.02	0	0	0.13	0	0	0	0	0.09	0	0.04	0	0	0.02	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0
"fpt12"	0	0	0	0	0.02	0	0	0.13	0	0	0	0	0.09	0	0.04	0	0	0.02	0	0.04	0.07	0	0.16	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0
"fpt13"	0	0.02	0	0	0.09	0	0	0.02	0.18	0.07	0.02	0	0.02	0.18	0	0.04	0.04	0	0.07	0	0.04	0.21	0.02	0.02	0.02	0.21	0.02	0.02	0.07	0.02	0	0.16	0.04
