"ID"	"Function"
"fpt1"	"sulfite_respiration"
"fpt2"	"thiosulfate_respiration"
"fpt3"	"respiration_of_sulfur_compounds"
"fpt4"	"nitrate_denitrification"
"fpt5"	"nitrite_denitrification"
"fpt6"	"denitrification"
"fpt7"	"chitinolysis"
"fpt8"	"dark_hydrogen_oxidation"
"fpt9"	"nitrate_ammonification"
"fpt10"	"nitrite_ammonification"
"fpt11"	"nitrite_respiration"
"fpt12"	"cellulolysis"
"fpt13"	"xylanolysis"
"fpt14"	"fermentation"
"fpt15"	"aerobic_chemoheterotrophy"
"fpt16"	"human_pathogens_septicemia"
"fpt17"	"human_pathogens_pneumonia"
"fpt18"	"human_pathogens_gastroenteritis"
"fpt19"	"human_pathogens_diarrhea"
"fpt20"	"human_pathogens_all"
"fpt21"	"human_gut"
"fpt22"	"human_associated"
"fpt23"	"mammal_gut"
"fpt24"	"animal_parasites_or_symbionts"
"fpt25"	"nitrate_respiration"
"fpt26"	"nitrate_reduction"
"fpt27"	"nitrogen_respiration"
"fpt28"	"fumarate_respiration"
"fpt29"	"plastic_degradation"
"fpt30"	"ureolysis"
"fpt31"	"reductive_acetogenesis"
"fpt32"	"chemoheterotrophy"
"fpt33"	"anaerobic_chemoheterotrophy"
