"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"
"fpt1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt2"	0	0	0	0.04	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0.02	0	0.02	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0.02	0	0.02	0	0	0	0	0	0	0	0	0.03	0.04	0.02	0.02	0	0	0.02	0.01	0.02
"fpt3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0	0	0	0	0
"fpt4"	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0	0	0.02	0	0	0.02	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0.02	0.11	0	0.04	0	0	0	0.13	0	0	0	0	0.04	0	0.02	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09	0	0	0.47	0	0.04	0	0	0.09	0	0	0.02	0	0	0.04	0	0	0
"fpt5"	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	1.38	0	0	0	0	0	0	0.78	0	0	0	0	0	0.02	0	0	0.02	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0.02	0	0	0.02	0.11	0	0.04	0	0	0	0.13	0	0	0	0	0.04	0	0.02	0	0	0	0	0	0	0.09	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0.04	0	0	0	0.49	1.09	0	0	0.47	0	0.04	0	0	0.09	0	0	0.02	0	0	0.04	0	0	0
"fpt6"	0	0.02	0	0.09	0	0.07	0.02	0	0.02	0.18	0	0	0.04	0.04	0	0.02	0.02	0.02	0.04	0	0.02	0	0.02	0	0	0.04	0.04	0	0	0	0.07	0.07	0.33	0.04	0	0.02	0	0	0.04	0.04	0.04	0.07	0.02	0	0	0.09	0	0.09	0.02	0.02	0	0	0	0.07	0.07	0.09	0.1	0.18	0.02	0.04	0.13	0.04	0	0	0.18	0.04	0.2	0	0	0.11	0.16	0	0.07	0.07	0.16	0.02	0.02	0.09	0.09	0.02	0.11	0.02	0.02	0.02	0.16	0.07	0.04	0.13	0.02	0.09	0	0.07	0.42	0.02	0.04	0.09	0.11	0.02	0.2	0.04	0	0.02	0	0.07	0.09	0.02	0	0.11	0.04	0.04	0.04	0.02	0.02	0.04	0	0.09	0.04	0.07	0.09	0.21	0.16	0.11	0.02	0.02	0.13	0.02	0.21	0.04
"fpt7"	0.02	0.22	0.04	0.13	0.09	0.07	8.63	0.16	0.09	2.8	0.16	0.02	7.49	0.09	0	0.04	0.07	0.02	10.2	0.04	0.07	0	0.07	0.09	11.25	0.16	1.77	0.02	1.93	0.13	0.13	6.32	0.38	0.2	0.04	0.04	0	0.02	1.11	0.07	2.2	6.25	0.13	0.07	15.49	0.13	0.09	0.18	0.24	0.51	0.04	0	0	0.09	0.11	0.22	0.22	1.07	0.13	0.22	1.07	0.07	2.56	0	0.24	0.11	1.56	0.04	0.07	0.38	7.26	0.02	0.11	0.24	0.42	0.02	0.09	0.22	1.78	0.11	7.42	0.09	0.27	0.27	7.43	0.18	0.07	0.53	0.71	0.38	4.49	6.74	0.51	0.13	0.24	2.64	0.16	0.02	0.4	0.04	0.04	0.44	0.02	1.18	0.13	0.29	0.04	0.2	6.25	0.07	0.2	0.44	0.84	0.67	0.64	0.87	0.18	10.62	0.33	0.34	11.32	1.62	0.2	0.07	0.27	0.09	5.7	0.11
"fpt8"	32	36.51	51.14	31.93	56.63	30.8	60.58	38.76	76.09	36.38	29.98	38.2	52.27	31.52	75.57	24.06	47.78	43.64	54.31	58.1	36.82	52.75	35.84	45.29	45.92	17.27	58.26	68.03	55.19	61.48	54.69	39.72	60.68	60.29	47.53	50.23	55.68	50.21	55.49	80.61	62.4	35.68	54.11	49.79	51.62	60.13	43.62	44.28	32.41	23.14	72.39	53.27	61.93	45.67	75.03	30.93	58.31	58.04	38.95	32.93	61.63	80.01	45.39	97.02	42.95	35.29	54.76	42.05	42.07	52.23	43.09	38.59	44.59	32.26	40.27	73.79	37.65	37.59	52.29	34.35	53.48	26.07	47.17	50.14	46.05	64.13	45.01	40.23	49.83	48.51	50.86	44.99	53.85	39.27	51.1	47.02	47.79	44.9	46.92	32.93	88.9	47.1	33.36	50.18	55.12	58.78	55.06	47.21	45.7	21.73	56.74	37	61.12	57.72	42.8	59	43.57	60.58	64.83	59.33	59.95	38.89	22.4	28.65	47.32	35.55	52.94	34.99
"fpt9"	2.16	2.53	0.76	0.6	1.04	2.09	1.6	1.11	0.82	0.49	0.76	0.76	0.8	1.71	1.72	0.62	1.29	2.11	1.04	1.98	2.25	3.4	1.07	2.45	0.87	18.76	11.64	6.43	3.18	0.62	0.98	1.51	3.38	1.27	0.84	1.27	1.18	0.51	1.62	0.47	3.42	0.65	0.98	1.25	0.67	2.13	1.18	1.13	1.09	1.04	0.91	1.62	0.73	2.18	0.4	2.44	2.47	2.51	1.73	1.36	2.85	0.53	0.89	0.9	2.36	2.16	2.96	2.51	1.96	1.09	2.31	15.12	1.18	4.16	1.56	0.56	3.53	2.27	6	4.56	2.04	4.73	1.2	1.22	1.67	2.93	2.07	1.53	1.87	1.4	2.33	1.91	2.31	2.94	1.91	4.27	3.2	2.2	2.49	2.76	0.27	2.87	1.94	2.67	1.69	1.98	0.96	0.89	1.93	3.11	1.25	2.29	0.91	3.65	0.69	2.58	1.04	3.04	1.54	0.96	2.27	5.12	8.87	0.4	6.23	3.07	2.19	5.13
"fpt10"	0.02	0	0	0.02	0	0	0	0.07	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.07	0.02	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.02	0	0	0	0	0.07	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0
