"ID"	"Subject"	"Date"	"Bristol"	"Study_Day"	"Subject_Code"	"Sex"	"Housing"	"Group"	"Age"	"Contraception"	"Origin"	"Previous_Exp"	"Diet_Trial"	"Group_Phase"	"Room"	"Cage"	"Subj_DOB"
"Hera_1"	"Hera"	"2023-03-10"	1	1	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B1"	"2019-08-29"
"Wolverine_1"	"Wolverine"	"2023-03-10"	1	1	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"run-in"	"baseline"	"RoomB"	"B4"	"2014-09-28"
"Hera_2"	"Hera"	"2023-03-11"	2	2	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B1"	"2019-08-29"
"JarJarBinks_2"	"JarJarBinks"	"2023-03-11"	3	2	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B2"	"2020-01-25"
"Lambchop_2"	"Lambchop"	"2023-03-11"	2	2	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"run-in"	"baseline"	"RoomF"	"F1"	"2017-05-13"
"JarJarBinks_3"	"JarJarBinks"	"2023-03-12"	1	3	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B2"	"2020-01-25"
"Goose_4"	"Goose"	"2023-03-13"	2	4	"GOO"	"Male"	"Family"	"Group1"	6.712328767	""	"Texas"	"ABX-CTRL"	"run-in"	"baseline"	"RoomF"	"F1"	"2016-06-24"
"Korra_6"	"Korra"	"2023-03-15"	4	6	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"run-in"	"baseline"	"RoomB"	"B3"	"2017-04-17"
"Hera_7"	"Hera"	"2023-03-16"	2	7	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B1"	"2019-08-29"
"Iris_7"	"Iris"	"2023-03-16"	2	7	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"run-in"	"baseline"	"RoomB"	"B4"	"2016-05-10"
"Korra_9"	"Korra"	"2023-03-18"	2	9	"KOR"	"Female"	"Pair"	"Group1"	5.898630137	"Estrumate"	"Nebraska"	""	"run-in"	"baseline"	"RoomB"	"B3"	"2017-04-17"
"Hamlet_11"	"Hamlet"	"2023-03-20"	2	11	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"run-in"	"baseline"	"RoomB"	"B1"	"2017-03-05"
"Hera_11"	"Hera"	"2023-03-20"	2	11	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B1"	"2019-08-29"
"JarJarBinks_11"	"JarJarBinks"	"2023-03-20"	1	11	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B2"	"2020-01-25"
"Hera_14"	"Hera"	"2023-03-23"	1	14	"HER"	"Female"	"Pair"	"Group1"	3.531506849	"Estrumate"	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B1"	"2019-08-29"
"Iris_14"	"Iris"	"2023-03-23"	2	14	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"run-in"	"baseline"	"RoomB"	"B4"	"2016-05-10"
"JarJarBinks_14"	"JarJarBinks"	"2023-03-23"	1	14	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"run-in"	"baseline"	"RoomB"	"B2"	"2020-01-25"
"Kubo_14"	"Kubo"	"2023-03-23"	2	14	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"run-in"	"baseline"	"RoomB"	"B3"	"2019-02-02"
"Wolverine_14"	"Wolverine"	"2023-03-23"	2	14	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"run-in"	"baseline"	"RoomB"	"B4"	"2014-09-28"
"JarJarBinks_15"	"JarJarBinks"	"2023-03-24"	1	15	"JAR"	"Male"	"Pair"	"Group1"	3.123287671	""	"Texas"	""	"intervention_1"	"gum"	"RoomB"	"B2"	"2020-01-25"
"Kubo_15"	"Kubo"	"2023-03-24"	2	15	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2019-02-02"
"Iris_17"	"Iris"	"2023-03-26"	3	17	"IRI"	"Female"	"Pair"	"Group1"	6.835616438	"Estrumate"	"Texas"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2016-05-10"
"Kubo_17"	"Kubo"	"2023-03-26"	1	17	"KUB"	"Male"	"Pair"	"Group1"	4.101369863	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B3"	"2019-02-02"
"Lambchop_17"	"Lambchop"	"2023-03-26"	3	17	"LAM"	"Female"	"Family"	"Group1"	5.82739726	"Estrumate"	"Texas"	""	"intervention_1"	"gum"	"RoomF"	"F1"	"2017-05-13"
"Wolverine_17"	"Wolverine"	"2023-03-26"	2	17	"WOL"	"Male"	"Pair"	"Group1"	8.452054795	""	"Nebraska"	"ABX-CTRL"	"intervention_1"	"gum"	"RoomB"	"B4"	"2014-09-28"
"Hamlet_18"	"Hamlet"	"2023-03-27"	2	18	"HAM"	"Male"	"Pair"	"Group1"	6.016438356	""	"Nebraska"	""	"intervention_1"	"gum"	"RoomB"	"B1"	"2017-03-05"
