"ID"	"Function"
"fpt1"	"chitinolysis"
"fpt2"	"dark_hydrogen_oxidation"
"fpt3"	"nitrate_ammonification"
"fpt4"	"nitrite_ammonification"
"fpt5"	"nitrite_respiration"
"fpt6"	"cellulolysis"
"fpt7"	"xylanolysis"
"fpt8"	"fermentation"
"fpt9"	"aerobic_chemoheterotrophy"
"fpt10"	"human_pathogens_septicemia"
"fpt11"	"human_pathogens_pneumonia"
"fpt12"	"human_pathogens_gastroenteritis"
"fpt13"	"human_pathogens_diarrhea"
"fpt14"	"human_pathogens_all"
"fpt15"	"human_gut"
"fpt16"	"human_associated"
"fpt17"	"mammal_gut"
"fpt18"	"animal_parasites_or_symbionts"
"fpt19"	"plant_pathogen"
"fpt20"	"nitrate_respiration"
"fpt21"	"nitrate_reduction"
"fpt22"	"nitrogen_respiration"
"fpt23"	"fumarate_respiration"
"fpt24"	"plastic_degradation"
"fpt25"	"ureolysis"
"fpt26"	"reductive_acetogenesis"
"fpt27"	"chemoheterotrophy"
"fpt28"	"anaerobic_chemoheterotrophy"
