"ID"	"Ginger_2"	"Padme_5"	"Padme_6"	"Ginger_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ginger_24"	"Henry_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Henry_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Joans_49"	"Marshmallow_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Ivy_67"	"Franc_68"	"Grogu_70"
"fpt1"	0	0.02	0.02	0.01	0	0	0.04	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02
"fpt2"	0	0.02	0.02	0.01	0	0	0.04	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02
"fpt3"	0	0.02	0.02	0.01	0	0	0.04	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02
"fpt4"	0	0	0.02	0	0	0.96	0	0	0.02	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt6"	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	65.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0
"fpt7"	0.04	0.07	0.11	0.12	0.07	0.04	0.13	0	0.09	0.02	0	0	0.13	0	0	0	0.04	65.37	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.02	0	0	0	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt8"	0.04	0.07	0.11	0.12	0.07	0.04	0.13	0	0.09	0.02	0	0	0.13	0	0	0	0.04	65.37	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0	0.09	0	0.02	0	0.02	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.02	0	0	0	0	0	0	0.04	0	0.02	0.02	0	0.11	0	0.02
"fpt9"	0	0.04	0	0.02	0.02	0.02	0.07	0.02	0	0.16	0	0	0.02	0.18	0.02	0.02	0.04	0	0	0	0.02	0	0.09	0	0.02	0.02	0.11	0	0.07	0.07	0.02	0.04	0	0.04	0.29	0.09	0	0.04	0.02	0	0.04	0	0.11	0.07	0.02	0	0.18	0.02	0.02	0.02	0.09	0	0	0.09	0.02	0.18	0.09	0.09	0	0.18	0.09	0.02	0.09	0	0	0.09	0.04	0.07	0.02	0	0.04	0.02	0	0.02	0.02	0	0.13	0	0.02	0.04	0.16	0	0.13	0.13	0.07	0	0.02	0	0.04	0.02	0.04	0.04	0	0.16	0.02	0.02	0.02	0	0.02	0	0.04	0.02	0.02	0.02	0	0.02	0.18	0.04	0.02	0.13	0	0	0	0	0.11	0.02	0.04	0.09	0.02	0.04	0.16	0.13	0
"fpt10"	0	0.69	0.78	0.02	1.71	0.36	0.07	0.16	0.03	0.64	0.18	0.94	0.69	0.18	0.07	0.29	3.76	0.11	0	0.04	2.47	2.8	0.8	0	0.22	3	2.13	0	0.09	0.16	0.04	3.36	0	0.07	0.85	0.16	0.07	0.04	0.07	0.58	0.04	0	0.2	1.31	0.07	0	0.4	0.02	0.11	0.02	0.11	5.13	1.02	0.54	0.02	2.08	3.11	0.09	3.04	3.25	0.09	0.02	0.27	4.62	0.02	1.91	1.05	0.09	2.4	0	2.58	0.04	0.18	0.02	0.33	2.23	3.58	0.02	0.67	0.53	0.18	0.33	3.47	0.13	0.11	0.42	5.83	0	0.27	0.31	8	0.04	0	3.8	3.07	0.29	7.71	5.25	1.76	0.36	0.04	0.04	0.07	9.84	0.04	0.16	0.18	0.18	0.42	0.29	0	2.31	0.56	0.78	0.11	0.13	1.53	0.11	1.73	0.36	0.29	1.07	0.13
