"ID"	"Function"
"fpt1"	"nitrite_ammonification"
"fpt2"	"nitrite_respiration"
"fpt3"	"cellulolysis"
"fpt4"	"xylanolysis"
"fpt5"	"fermentation"
"fpt6"	"aerobic_chemoheterotrophy"
"fpt7"	"human_pathogens_septicemia"
"fpt8"	"human_pathogens_pneumonia"
"fpt9"	"human_pathogens_gastroenteritis"
"fpt10"	"human_pathogens_diarrhea"
"fpt11"	"human_pathogens_all"
"fpt12"	"human_gut"
"fpt13"	"human_associated"
"fpt14"	"mammal_gut"
"fpt15"	"animal_parasites_or_symbionts"
"fpt16"	"plant_pathogen"
"fpt17"	"nitrate_respiration"
"fpt18"	"nitrate_reduction"
"fpt19"	"nitrogen_respiration"
"fpt20"	"fumarate_respiration"
"fpt21"	"plastic_degradation"
"fpt22"	"ureolysis"
"fpt23"	"reductive_acetogenesis"
"fpt24"	"chemoheterotrophy"
"fpt25"	"anaerobic_chemoheterotrophy"
