"ID"	"Hera_1"	"Wolverine_1"	"Ginger_2"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"JarJarBinks_3"	"Goose_4"	"Padme_5"	"Korra_6"	"Padme_6"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hamlet_67"	"Hera_67"	"Ivy_67"	"Franc_68"	"JarJarBinks_68"	"Grogu_70"
"fpt1"	0	0	0	0	0	0.02	0	0	0.02	0	0.02	0.01	0	0	0	0.02	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02
"fpt2"	0	0	0	0	0	0.02	0	0	0.02	0	0.02	0.01	0	0	0	0.02	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02
"fpt3"	0	0	0	0	0	0.02	0	0	0.02	0	0.02	0.01	0	0	0	0.02	0.04	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02
"fpt4"	0	0	0	0	0	0	0	0.07	0	0	0.02	0	0	0	0	0.96	0	0	0.02	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0	0	0	0	0	0	0	0.03	0	0	0.02	0.01	0	0	0	0.02	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0.02	0	0	0	0	0
"fpt6"	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.09	0	0	0	0.02	0	0	0	0	0	0	0	0
"fpt7"	0	0	0.04	0	0	0.02	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0	0	0	0.02	0	0	0.13	0	0	0	0	0.09	0	0	0	0	0	0	0.04	0	1.38	65.46	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0.02	0	0.09	0	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0.11	0	0	0	0	0	0	0.07	0	0	0	0	0.13	0	0	0	0	0.02	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0	0	0	0	0	0.49	1.09	0.02	0	0	0	0	0	0	0	0	0.47	0	0.02	0	0.04	0	0.09	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0.04	0.02
"fpt8"	0	0	0.04	0	0	0.02	0	0.04	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0	0	0	0.02	0	0	0.13	0	0	0	0	0.09	0	0	0	0	0	0	0.04	0	1.38	65.46	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0.02	0	0.09	0	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0.11	0	0	0	0	0	0	0.07	0	0	0	0	0.13	0	0	0	0	0.02	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.2	0.11	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0	0	0	0	0	0.49	1.09	0.02	0	0	0	0	0	0	0	0	0.47	0	0.02	0	0.04	0	0.09	0	0	0.02	0.02	0.02	0	0	0	0.11	0	0.04	0.02
"fpt9"	0	0.02	0	0.04	0.04	0	0.07	0	0.04	0.21	0	0.03	0.02	0.21	0.02	0.02	0.07	0.02	0	0.16	0.04	0	0	0.09	0	0	0.02	0.18	0.07	0.02	0	0.02	0.18	0	0	0.02	0.02	0.04	0	0.04	0	0	0.02	0	0	0.02	0.02	0.04	0.02	0	0.02	0	0.02	0	0.09	0	0.02	0.02	0	0	0.07	0.04	0.33	0.04	0.02	0.02	0.02	0.02	0	0	0.11	0.04	0	0.02	0.04	0.04	0.07	0.07	0.02	0.02	0	0	0.09	0.04	0	0.04	0	0.29	0.09	0.09	0.02	0.02	0	0	0.04	0.02	0	0	0	0.07	0.09	0.1	0.04	0	0.11	0.07	0.2	0.02	0.02	0.04	0.16	0.04	0.02	0	0.18	0.04	0.18	0.02	0.02	0.2	0.02	0.09	0	0	0	0	0.09	0.02	0.11	0.16	0.18	0	0.09	0.07	0.09	0	0.18	0.09	0.07	0.02	0.13	0.09	0.02	0	0.02	0	0.09	0.09	0.04	0.09	0.02	0.11	0.07	0.02	0.04	0	0.04	0.02	0	0.02	0.02	0	0.13	0	0.02	0.02	0.16	0.04	0.07	0.04	0.04	0.13	0.02	0.16	0.09	0	0	0.11	0.13	0.07	0.07	0	0.42	0.02	0.02	0	0.07	0.11	0.04	0.02	0.04	0.04	0	0.16	0.11	0.02	0.02	0.2	0.04	0	0.04	0.04	0.04	0	0	0.02	0	0.04	0.07	0.02	0.09	0.02	0.02	0.02	0	0.11	0	0.02	0.18	0.07	0.04	0.04	0.04	0.02	0.13	0	0	0	0	0.02	0.02	0.11	0.04	0	0.09	0.04	0.04	0.07	0.09	0.16	0.04	0.07	0.11	0.02	0.04	0.02	0.02	0.16	0.13	0.13	0
"fpt10"	0.02	0.22	0	0.16	1.77	0.02	0.09	0	0.69	0.35	0.78	0.03	0.09	5.7	1.71	0.36	0.07	0.16	0.03	0.64	0.11	0.18	0.04	0.13	0.09	0.94	0.71	0.18	0.07	8.63	0.16	0.11	2.81	0.16	0.02	0.07	0.29	7.49	3.71	0.07	0	0.11	0.04	0	0.04	0.07	0.02	10.21	2.48	0.04	0.07	0	0.07	2.8	0.78	0.09	11.27	0.02	1.93	0.13	0.16	6.29	0.38	0.2	0.2	0.07	0.04	3	0	0.02	2.14	1.11	0	0.04	0.07	2.2	6.25	0.16	0.13	0.04	0.07	15.5	0.11	3.36	0	0.07	0.09	0.85	0.18	0.16	0.24	0.51	0.07	0.04	0.04	0.07	0	0.58	0	0.07	0.22	0.22	0.04	0	0.2	1.31	1.09	0.07	0.16	0.22	1.09	0.09	2.6	0	0.23	0.11	0.4	0.04	0.09	1.56	0.02	0.11	5.13	0.04	0.07	1.02	0.54	0.02	0.38	7.26	2.07	0.02	3.07	0.11	0.09	3.05	3.25	0.09	0.22	0.02	0.4	0.27	0.02	4.62	0.09	0.02	0.22	1.91	1.05	1.78	0.09	7.42	0.09	2.4	0.11	0	2.58	0.04	0.18	0.02	0.36	2.23	3.6	0.02	0.27	0.27	7.43	0.71	0.18	0.53	0.07	0.53	0.71	0.18	0.38	4.47	0.33	3.45	0.13	0.11	6.74	0.42	0.51	5.83	0.13	0	0.27	2.67	0.29	0.31	8.01	0.04	0	3.8	0.16	3.07	0.02	0.4	0.04	0.02	0.49	0.31	7.73	5.27	0.02	1.76	0.36	0.04	1.18	0.04	0.16	0.29	0.07	9.84	0.04	0.2	0.07	0.18	0.18	6.27	0.18	0.07	0.2	0.42	0.29	0	2.31	0.56	0.78	0.44	0.84	0.11	0.67	0.67	0.84	0.18	0.16	10.62	0.36	11.31	1.53	0.09	1.63	1.73	0.36	0.2	0.07	0.29	1.07	0.24	0.13
