"ID"	"Hera_1"	"Wolverine_1"	"Ginger_2"	"JarJarBinks_3"	"Goose_4"	"Padme_5"	"Korra_6"	"Padme_6"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"JarJarBinks_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_20"	"Goose_20"	"Hamlet_20"	"Hera_20"	"Iris_20"	"Korra_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Kubo_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Ginger_24"	"Henry_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Henry_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Goose_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Marshmallow_46"	"Franc_47"	"Ginger_47"	"Ivy_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Iris_48"	"Ivy_48"	"JarJarBinks_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Joans_49"	"Kubo_49"	"Marshmallow_49"	"Ophelia_49"	"Wolverine_49"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Kubo_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Charles_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Hera_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hera_67"	"Ivy_67"	"Franc_68"	"JarJarBinks_68"
"fpt1"	0	0	0	0	0.09	0	0	0.02	0	0	0	0	0.96	0	0	0.02	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt2"	0	0	0	0	0	0	0.03	0	0	0.02	0.01	0	0	0	0.02	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0.01	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0
"fpt3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	65.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.09	0	0	0	0.02	0	0	0	0	0	0
"fpt4"	0	0	0.04	0	0.09	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0	0	0	0.02	0	0	0.13	0	0	0	0	0.09	0	0	0	0	0	0.04	0	1.38	65.48	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0.11	0	0	0	0	0	0.07	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0	0	0	0	0	0.49	1.09	0.02	0	0	0	0	0	0	0	0	0.47	0	0.04	0	0.04	0	0.09	0	0	0.02	0.02	0.02	0	0	0.11	0	0.04
"fpt5"	0	0	0.04	0	0.09	0.07	0	0.11	0.12	0	0	0.07	0.04	0.13	0	0.09	0.02	0	0	0	0.02	0	0	0.13	0	0	0	0	0.09	0	0	0	0	0	0.04	0	1.38	65.48	0	0	0	0	0	0	0	0	0	0.78	0	0	0	0	0	0	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0	0.02	0.02	0.02	0	0	0	0.02	0	0	0	0	0.11	0	0	0	0	0	0.07	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.13	0	0	0	0	0	0	0	0	0	0	0	0.04	0.07	0	0	0	0	0	0	0	0	0.49	1.09	0.02	0	0	0	0	0	0	0	0	0.47	0	0.04	0	0.04	0	0.09	0	0	0.02	0.02	0.02	0	0	0.11	0	0.04
"fpt6"	0	0.02	0	0.07	0	0.04	0.21	0.02	0.02	0.02	0.21	0.02	0.02	0.07	0.02	0	0.16	0.04	0	0	0.09	0	0	0.02	0.18	0.07	0.02	0	0.02	0.18	0	0	0.02	0.04	0.02	0.04	0	0	0.02	0	0	0.02	0.02	0.02	0.02	0	0.02	0	0.02	0	0.11	0	0	0.02	0	0	0.07	0.07	0.33	0.04	0.02	0	0.02	0.02	0	0	0.11	0.04	0	0.02	0.07	0.04	0.07	0.07	0.02	0.02	0	0	0.11	0.04	0	0.04	0	0.29	0.09	0.09	0.02	0.02	0	0	0.04	0.02	0.02	0	0	0.07	0.09	0.1	0.04	0	0.11	0.07	0.18	0.02	0.04	0.04	0.13	0.04	0.02	0	0.18	0.04	0.18	0.02	0.2	0.02	0.09	0	0	0	0	0.09	0.02	0.13	0.16	0.17	0.07	0.07	0.09	0	0.18	0.09	0.07	0.02	0.13	0.09	0.02	0	0.02	0	0.09	0.09	0.04	0.09	0.02	0.11	0.07	0.02	0.07	0	0.04	0.02	0	0.02	0.02	0	0.13	0	0.02	0.02	0.16	0.02	0.07	0.04	0.02	0.13	0.02	0.16	0.09	0	0	0.11	0.13	0.07	0.07	0	0.42	0.02	0.02	0	0	0.09	0.04	0.02	0.04	0.04	0	0.16	0.11	0.02	0.02	0.2	0.04	0	0.02	0.04	0.04	0	0	0.02	0	0.04	0.07	0.02	0.09	0.02	0.02	0.02	0	0.11	0	0.02	0.18	0.07	0.04	0.04	0.04	0.04	0.13	0	0.02	0	0	0.02	0.02	0.11	0.04	0	0.09	0.04	0.04	0.07	0.09	0.16	0.04	0.07	0.11	0.02	0.04	0.02	0.16	0.13	0.13
"fpt7"	0.02	0.22	0	0.09	0	0.69	0.35	0.78	0.02	0.09	5.7	1.71	0.36	0.07	0.16	0.03	0.64	0.11	0.18	0.04	0.13	0.09	0.94	0.69	0.18	0.07	8.63	0.16	0.11	2.81	0.16	0.02	0.29	7.49	3.74	0.09	0	0.11	0.04	0	0.04	0.07	0.02	10.19	2.48	0.04	0.07	0	0.07	2.82	0.81	0.09	11.25	0.02	1.93	0.13	0.13	6.31	0.38	0.2	0.22	0.07	0.04	3	0	0.02	2.13	1.11	0	0.04	0.11	2.2	6.25	0.16	0.13	0.04	0.07	15.5	0.13	3.34	0	0.07	0.09	0.85	0.18	0.16	0.24	0.51	0.07	0.04	0.04	0.07	0.02	0.58	0	0.07	0.24	0.22	0.04	0	0.2	1.29	1.04	0.07	0.16	0.22	1.07	0.09	2.58	0	0.23	0.11	0.4	0.11	1.56	0.02	0.11	5.14	0.04	0.07	1.02	0.52	0.02	0.4	7.26	2.06	3.07	0.11	0.09	3.05	3.25	0.09	0.22	0.02	0.4	0.27	0.02	4.62	0.09	0.02	0.22	1.91	1.05	1.76	0.11	7.42	0.09	2.4	0.13	0	2.58	0.04	0.18	0.07	0.36	2.23	3.58	0.02	0.27	0.27	7.43	0.69	0.18	0.54	0.04	0.53	0.71	0.18	0.38	4.47	0.33	3.45	0.13	0.11	6.74	0.42	0.51	5.83	0.11	0	0.2	2.65	0.29	0.31	8.01	0.04	0	3.8	0.16	3.07	0.02	0.4	0.04	0.04	0.47	0.31	7.73	5.25	0.02	1.76	0.31	0.04	1.18	0.04	0.13	0.29	0.07	9.84	0.04	0.2	0.04	0.16	0.18	6.27	0.18	0.07	0.2	0.44	0.29	0	2.33	0.56	0.78	0.44	0.82	0.11	0.67	0.67	0.87	0.18	0.16	10.62	0.33	11.32	1.53	0.09	1.63	1.73	0.36	0.07	0.29	1.07	0.24
"fpt8"	32	36.51	87.5	45.67	95.75	75.06	59.36	68.34	72.38	35.55	52.95	73.17	60.41	82.05	39.85	60.59	60.14	34.99	45.76	51.14	31.95	56.62	46.85	45.71	20.12	30.77	60.58	38.75	76.13	36.38	29.99	38.2	52.69	52.26	44.12	31.41	75.56	99.51	24.08	71.32	34.96	47.78	43.65	54.25	47.56	58.09	36.82	52.73	35.84	46.15	49.06	45.28	45.9	50.14	55.19	61.48	54.62	39.68	60.69	60.3	54.12	47.55	50.23	42.1	55.68	50.2	36.91	55.48	92.11	80.57	56.38	62.4	35.66	39.55	54.12	54.72	49.8	51.6	60.11	36.36	41.42	48.2	43.64	46.39	44.28	87.04	32.41	23.14	51	72.35	39.51	42.78	53.31	60.11	61.93	75.03	30.9	58.32	44.14	93.98	49.46	40.31	58.05	95.98	38.96	32.9	61.62	80.13	45.4	94.29	42.95	35.26	55.47	53.41	54.76	80.27	35.63	41	42.05	42.08	66.76	46.17	30.4	52.17	43.07	46.19	55.25	44.59	65.45	48.48	42.4	45.15	32.24	32.37	40.28	44.32	73.8	47.16	37.7	87.29	37.59	57.59	47.99	52.27	34.37	53.48	29.82	49.51	26.12	70.27	40.02	29.47	29.12	77.14	77.13	54.52	45.31	94.2	47.17	50.14	46.06	39.27	64.13	50.26	45	40.22	49.83	63.52	48.47	50.89	75.04	47.98	28.07	41.2	44.99	31.38	53.85	48.12	39.26	65.18	51.11	47.03	79.59	44.66	45.23	35.65	85.99	40.33	47.79	37.68	44.89	46.91	32.88	88.92	47.15	46.17	46.2	41.23	33.37	57.51	49.03	42.22	50.18	88.91	55.12	58.79	57.56	53.62	55.05	47.21	94.91	56.83	34.35	45.67	45.37	21.72	56.73	71.73	39.64	90.13	35.13	65.75	73.95	37	61.09	37.86	57.75	42.78	59.04	43.55	33.81	60.57	64.84	59.94	49.21	73.23	38.79	28.77	42.1	28.64	44.32	44.07	47.31
"fpt9"	2.16	2.53	2.11	2.18	1.12	0.84	0.96	0.96	1.47	3.07	2.19	1.09	0.58	0.87	1.51	1.95	2.78	5.14	2	0.76	0.6	1.02	1.65	0.96	2.82	2.09	1.6	1.11	0.82	0.49	0.76	0.76	4.25	0.8	2.09	1.69	1.72	2.61	0.62	2.47	8.39	1.29	2.11	1.05	7.7	1.98	2.25	3.4	1.07	1.29	4	2.44	0.87	1	3.2	0.62	0.98	1.51	3.38	1.27	2.31	0.87	1.27	2.85	1.18	0.51	2.78	1.62	0.11	0.47	2.02	3.42	0.65	0.69	0.98	1.4	1.25	0.67	2.13	3.67	1.49	2.91	1.18	1.66	1.13	0.07	1.09	1.04	4.14	0.91	1.64	3.31	1.62	1.27	0.73	0.4	2.44	2.47	4.91	0.24	1.82	1.24	2.51	0.24	1.73	1.36	2.82	0.53	0.89	0.31	2.36	2.16	4.5	4.89	2.96	0.78	4.98	3.36	2.51	1.96	0.64	9.08	1.53	1.09	2.32	2.61	2.2	1.18	1.13	2.42	4.01	0.8	4.16	1.62	1.53	3.52	0.53	3.36	3.53	0.13	2.27	1.89	1.05	6	4.56	2.04	1.56	2.47	4.78	1.02	1.8	2.07	9.36	1.69	1.84	12.18	2.82	0.31	1.2	1.22	1.67	2.91	2.93	3.99	2.09	1.53	1.87	0.58	1.4	2.36	51.27	3.09	0.53	1.6	1.91	5.22	2.31	1.87	2.93	0.91	1.89	4.27	1.07	11.37	2.69	1.29	0.2	2.18	3.2	2.89	2.2	2.49	2.76	0.27	2.87	7.52	3.4	1.09	1.94	0.91	4.58	2.69	2.67	0.4	1.69	1.98	4.34	1.71	0.96	0.89	0.09	1.02	1.5	1.93	3.4	3.11	1.25	1.16	2.96	0.16	2.25	1.73	0.91	2.29	0.91	1.27	3.65	0.69	2.56	1.04	3.38	3.05	1.56	2.27	1.71	0.87	5.12	3.2	4.82	0.4	4.98	2.62	6.23
"fpt10"	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.04	0	0	0.07	0	0	0.02	0	0	0	0	0	0	1.3	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0	0	0.02	0	9.98	0	0	0	0.1	0	0	0	0	0	0	0	0	0	15.5	0.07	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0
