"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"hamlet_22"	"hera_22"	"iris_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"hera_37"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"ophelia_43"	"iris_44"	"jarjarbinks_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"hamlet_46"	"iris_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"wolverine_58"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"
"fpt1"	0	0	0	0.04	0	0	0	0.02	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0.02	0	0	0.02	0	0	0	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0.02	0.02	0	0	0	0	0	0	0.03	0.04	0	0.02	0	0	0.02	0.01	0.02
"fpt2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0	0	0	0	0	0.09	0	0	0.02	0	0	0	0	0	0
"fpt3"	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.04	0	0	0	1.09	0	0	0	0	0	0.09	0	0	0.02	0	0	0.04	0	0	0
"fpt4"	0	0	0	0.02	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.04	0	0	0	1.09	0	0	0	0	0	0.09	0	0	0.02	0	0	0.04	0	0	0
"fpt5"	0	0.02	0	0.09	0	0.07	0.02	0	0.02	0.18	0	0	0.04	0.04	0.02	0.02	0.02	0.02	0	0.02	0.02	0	0	0.04	0.04	0	0.07	0.07	0.33	0.04	0	0.02	0	0	0.02	0.04	0.07	0.02	0	0	0.09	0	0.09	0.02	0.02	0	0.02	0	0.07	0.07	0.09	0.1	0.04	0.04	0.07	0	0.18	0.04	0	0.16	0	0.07	0.13	0.02	0.02	0.09	0.02	0.11	0.02	0.02	0.16	0.07	0.04	0.13	0.09	0	0.07	0.42	0.02	0.07	0.09	0.11	0.02	0.2	0	0.02	0.09	0.02	0	0.11	0.07	0.04	0.02	0.02	0	0.04	0.07	0.09	0.21	0.16	0.11	0.02	0.02	0.13	0.02	0.21	0.04
"fpt6"	0.02	0.22	0.04	0.13	0.09	0.07	8.63	0.16	0.09	2.81	0.16	0.02	7.49	0.09	0.04	0.07	0.02	10.19	0.04	0.07	0.07	0.09	11.25	0.16	1.77	0.13	0.13	6.32	0.38	0.2	0.07	0.04	0	0.02	0.02	2.2	6.25	0.13	0.07	15.49	0.11	0.09	0.18	0.24	0.51	0.04	0.02	0	0.09	0.11	0.22	0.22	0.16	0.22	0.07	2.56	0.24	0.11	0.07	7.26	0.02	0.24	0.4	0.02	0.09	0.22	0.11	7.42	0.27	0.27	7.43	0.18	0.07	0.53	0.38	4.49	6.74	0.51	0.11	0.27	2.65	0.16	0.02	0.4	0.02	0.44	0.13	0.29	0.04	0.2	6.27	0.2	0.44	0.82	0.64	0.18	10.62	0.36	0.35	11.32	1.62	0.2	0.07	0.24	0.09	5.7	0.11
"fpt7"	32	36.51	51.14	31.94	56.63	30.79	60.58	38.76	76.09	36.38	30	38.2	52.28	31.5	24.06	47.78	43.64	54.31	58.11	36.82	35.85	45.29	45.91	17.28	58.28	61.48	54.66	39.7	60.69	60.31	47.5	50.23	55.66	50.21	80.46	62.35	35.66	54.11	49.8	51.61	60.14	43.61	44.28	32.4	23.14	72.41	53.29	61.93	45.67	75.01	30.91	58.31	38.88	32.93	80	45.43	42.96	35.29	42.06	43.11	38.57	32.26	40.26	73.79	37.63	37.58	34.37	53.5	47.17	50.14	46.05	64.13	44.99	40.24	48.48	50.87	45	53.85	39.28	51.17	47.03	47.79	44.88	46.94	88.9	47.11	55.11	58.79	55.06	47.24	45.74	56.79	37	61.12	42.8	43.57	60.57	64.78	59.31	59.89	38.9	22.42	28.65	47.33	35.55	52.94	34.99
"fpt8"	2.16	2.53	0.76	0.6	1.04	2.09	1.6	1.11	0.82	0.49	0.76	0.76	0.8	1.69	0.62	1.29	2.11	1.05	1.98	2.25	1.04	2.45	0.82	18.77	11.63	0.62	0.98	1.51	3.38	1.27	0.87	1.27	1.18	0.51	0.58	3.42	0.6	0.98	1.25	0.67	2.13	1.18	1.13	1.09	1.04	0.91	1.62	0.73	2.18	0.4	2.44	2.47	1.73	1.36	0.53	0.89	2.36	2.16	1.96	2.32	15.12	4.16	1.53	0.56	3.53	2.25	4.56	2.04	1.2	1.22	1.67	2.93	2.07	1.53	1.4	2.36	1.91	2.31	2.94	1.89	4.27	3.2	2.2	2.49	0.29	2.87	1.69	1.98	0.96	0.89	1.93	1.25	2.29	0.91	0.69	1.04	3.05	1.54	0.92	2.27	5.1	8.87	0.4	6.23	3.07	2.19	5.13
"fpt9"	0.02	0	0	0.02	0	0	0	0.07	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0.02	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.02	0	0	0	0.07	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0
"fpt10"	0.02	0	0	0.02	0	0	0	0.07	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0.02	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.02	0	0	0	0.07	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0
