"ID"	"hera_1"	"buddy_11"	"hera_11"	"jarjarbinks_11"	"padme_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"jarjarbinks_15"	"buddy_16"	"buddy_17"	"iris_17"	"lambchop_17"	"padme_17"	"buddy_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"lambchop_18"	"franc_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hera_20"	"iris_20"	"buddy_21"	"jarjarbinks_21"	"franc_22"	"goose_22"	"grogu_22"	"hera_22"	"iris_22"	"iris_23"	"franc_24"	"goose_24"	"grogu_24"	"hera_24"	"lambchop_25"	"jarjarbinks_29"	"jarjarbinks_3"	"jarjarbinks_32"	"grogu_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"lambchop_37"	"goose_4"	"grogu_41"	"hera_41"	"goose_42"	"grogu_42"	"lambchop_42"	"buddy_44"	"franc_44"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"buddy_45"	"franc_45"	"grogu_45"	"hera_45"	"jarjarbinks_45"	"buddy_46"	"goose_46"	"iris_46"	"lambchop_46"	"franc_47"	"buddy_48"	"franc_48"	"grogu_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"lambchop_48"	"franc_49"	"iris_49"	"jarjarbinks_49"	"padme_5"	"buddy_50"	"franc_50"	"grogu_50"	"jarjarbinks_50"	"lambchop_50"	"franc_51"	"lambchop_51"	"buddy_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"franc_53"	"hera_53"	"iris_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"buddy_57"	"goose_58"	"goose_59"	"iris_59"	"padme_6"	"iris_60"	"hera_67"	"franc_68"	"jarjarbinks_68"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"franc_9"	"grogu_9"
"fpt1"	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0
"fpt2"	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0
"fpt3"	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0
"fpt4"	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0.05	0	0	0	0.03	0.01	0	0	0	0.03
"fpt6"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	65.37	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt7"	0	0	0.03	0	0.1	0	0	0	0	0	0	0	1.38	65.37	0	0	0	0	0.78	0.03	0	0	0.03	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	1.8	0	0	0.03	0	0	0.03	0	0	0	0.04	0	0	0	0	0.13	0	0	0.03	0	0	0.05	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.5	0.03	0	0	0	0.45	0.03	0	0.1	0	0	0.03	0.03	0	0	0.05	0.03	0.15	0
"fpt8"	0	0	0.03	0	0.1	0	0	0	0	0	0	0	1.38	65.37	0	0	0	0	0.78	0.03	0	0	0.03	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	1.8	0	0	0.03	0	0	0.03	0	0	0	0.04	0	0	0	0	0.13	0	0	0.03	0	0	0.05	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0.03	0	0	0	0.08	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.5	0.03	0	0	0	0.45	0.03	0	0.1	0	0	0.03	0.03	0	0	0.05	0.03	0.15	0
"fpt9"	0	0	0.1	0	0.03	0.08	0.03	0	0	0.03	0.03	0.05	0	0	0	0.03	0.03	0	0	0	0.05	0.05	0	0	0.07	0.03	0.03	0	0.1	0.05	0	0.03	0.08	0	0.05	0.05	0.08	0	0	0	0.07	0.09	0	0.07	0.2	0.03	0.03	0.12	0	0	0.05	0.2	0.03	0	0.03	0.1	0.1	0.18	0	0.08	0	0.2	0.07	0.15	0.03	0.1	0.08	0.1	0.05	0.03	0.03	0.15	0	0.03	0.18	0.07	0.03	0.13	0.08	0.43	0.05	0.05	0.03	0	0.1	0.05	0.05	0	0.03	0.05	0	0.1	0.03	0	0.05	0.03	0.05	0.13	0	0	0.05	0.1	0.07	0.03	0.17	0.03	0.1	0.13	0.03	0.2	0.03	0	0.08	0.03
"fpt10"	0.03	0.15	0.15	0.08	0.7	0.08	8.63	0.15	0.17	0.08	0.28	7.55	0	0.08	0	0.03	10.16	0.05	0	2.8	0.15	1.79	0.03	1.93	0.15	6.3	0.23	0.03	2.15	1.13	0	2.2	6.28	15.48	3.3	1.1	0.08	0.05	0	0	0.1	0.19	0	1.3	1.07	0.07	0.15	1.07	0	0	0.13	1.55	0.03	0.05	1.08	0.55	0.38	7.28	0.03	0.13	3.03	3.28	0.07	0.43	0.03	1.95	1.75	7.43	0.1	2.58	0.35	3.55	0.03	0.25	7.46	0.17	0.73	3.48	6.76	0.5	0.73	0.3	7.98	0	0.15	0.05	7.75	0.03	1.75	1.18	0.03	0.15	9.85	0.05	6.26	0.05	0.45	0.28	0	0.55	0.7	0.88	10.65	0.83	11.3	0.03	1.02	0.25	0.1	5.71	1.7	0.15	0.08	0.15
