"ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"g__Phascolarctobacterium"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium"
"g__Megamonas"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Selenomonadales"	"f__Selenomonadaceae"	"g__Megamonas"
"g__Megasphaera"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__Megasphaera"
"g__Segatella"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Segatella"
"g__Phocaeicola"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Phocaeicola"
"g__Anaerobiospirillum"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Aeromonadales"	"f__Succinivibrionaceae"	"g__Anaerobiospirillum"
"g__Oribacterium"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Oribacterium"
"g__Shigella"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Shigella"
"g__Enterobacter"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Enterobacter"
"g__Prevotellamassilia"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotellamassilia"
"g__Parabacteroides"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Tannerellaceae"	"g__Parabacteroides"
"g__Bacteroides"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"
"g__Escherichia"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"
"g__Sutterella"	"k__Bacteria"	"p__Pseudomonadota"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Sutterellaceae"	"g__Sutterella"
"g__Fusobacterium"	"k__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium"
"g__Blautia"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia"
"g__Wansuia"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Wansuia"
"g__Clostridium"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"	"g__Clostridium"
"g__Xylanibacter"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Xylanibacter"
"g__Duodenibacillus"	"k__Bacteria"	"p__Pseudomonadota"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Sutterellaceae"	"g__Duodenibacillus"
"g__Collinsella"	"k__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"
"g__Succinatimonas"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Aeromonadales"	"f__Succinivibrionaceae"	"g__Succinatimonas"
"g__Enterocloster"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Enterocloster"
"g__Lacrimispora"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Lacrimispora"
"g__Allisonella"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__Allisonella"
"g__Bifidobacterium"	"k__Bacteria"	"p__Actinomycetota"	"c__Actinomycetes"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"
"g__Succinivibrio"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Aeromonadales"	"f__Succinivibrionaceae"	"g__Succinivibrio"
"g__Flavonifractor"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Oscillospiraceae"	"g__Flavonifractor"
"g__Bilifractor"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Bilifractor"
"g__Mediterraneibacter"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Mediterraneibacter"
"g__Faecalicatena"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Faecalicatena"
"g__Prevotella"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotella"
"g__Pseudomonas"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"
"g__Lachnoclostridium"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Lachnoclostridium"
"g__Butyricicoccus"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Butyricicoccaceae"	"g__Butyricicoccus"
"g__Butyrivibrio"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Butyrivibrio"
"g__Waltera"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Waltera"
"g__Streptococcus"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"
"g__Duncaniella"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__Duncaniella"
"g__Porcincola"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Porcincola"
"g__Coprobacter"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Barnesiellaceae"	"g__Coprobacter"
"g__Paramuribaculum"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__Paramuribaculum"
"g__Peptococcus"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Peptococcaceae"	"g__Peptococcus"
"g__Hoylesella"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Hoylesella"
"g__Colibacter"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__Colibacter"
"g__Hominisplanchenecus"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Hominisplanchenecus"
"g__Marvinbryantia"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Marvinbryantia"
