"ID"	"Buddy_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Buddy_16"	"Buddy_17"	"Ivy_17"	"Padme_17"	"Buddy_18"	"Ginger_18"	"Ivy_18"	"Franc_19"	"Ivy_19"	"Ginger_2"	"Ginger_20"	"Buddy_21"	"Joans_21"	"Franc_22"	"Grogu_22"	"Henry_22"	"Joans_22"	"Marshmallow_22"	"Franc_24"	"Ivy_24"	"Marshmallow_24"	"Henry_25"	"Ginger_29"	"Henry_29"	"Joans_29"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Grogu_37"	"Grogu_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Ivy_44"	"Joans_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Ivy_45"	"Joans_45"	"Marshmallow_45"	"Buddy_46"	"Charles_46"	"Ivy_46"	"Joans_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Ivy_48"	"Joans_48"	"Marshmallow_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Ivy_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"Joans_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Buddy_52"	"Ginger_52"	"Grogu_52"	"Marshmallow_52"	"Franc_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Ivy_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ginger_58"	"Henry_59"	"Padme_6"	"Joans_60"	"Marshmallow_60"	"Joans_62"	"Henry_66"	"Franc_68"	"Ginger_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"
"g__Megamonas"	1207	1488	1976	3200	103	826	698	1	1328	1511	604	1096	850	238	773	1090	2252	1024	84	566	1613	1211	1008	1737	156	1033	1761	1408	1341	1153	43	979	1119	15	68	574	31	559	184	1448	546	567	517	1861	2302	824	752	1139	781	1695	728	760	161	475	905	2017	975	1023	2168	400	516	1299	603	49	1138	554	786	850	538	2211	1626	2099	139	399	1205	1709	2051	321	1792	802	788	995	470	1186	1548	152	620	1016	89	216	3851	430	794	979	142	1849	752	676	1504	1366	94	1511	387	1672	400	1373	1208	138	276	1428	484	749	1739	490
"g__Phascolarctobacterium"	813	514	412	390	88	1073	714	2	189	1302	876	1001	1260	156	2027	879	668	838	573	1579	675	983	836	2381	1105	518	1041	868	1302	750	322	1598	978	216	362	1490	76	600	504	690	616	1187	624	440	2267	1228	688	1039	756	432	648	981	410	738	1291	458	1363	638	243	545	558	1204	912	157	1114	1274	724	230	819	487	1313	905	799	1164	542	971	906	716	835	1087	1011	808	985	880	1060	577	985	871	288	843	1729	961	361	981	419	1138	1145	285	1090	1056	547	1614	668	799	677	628	452	353	70	557	131	1101	964	565
"g__Anaerobiospirillum"	102	1028	0	0	13	146	13	1	3320	0	0	4	0	1199	0	561	1300	7	4383	0	0	1352	6	2	3300	0	0	0	1515	0	4706	0	101	4875	4699	310	0	0	3429	0	0	1802	0	0	298	1129	2232	1033	77	1099	0	945	3932	1665	948	1	716	70	0	2006	3352	1	118	4834	0	293	1033	0	185	0	0	0	0	1071	0	98	0	3647	59	302	0	53	267	1555	0	4046	618	18	4791	2	0	2	1090	0	4315	75	1930	1896	0	0	0	80	774	36	0	475	1	0	2	1	0	58	0	927
"g__Megasphaera"	649	500	46	433	230	875	686	2	0	723	277	829	611	73	566	358	0	844	56	656	440	776	665	1606	131	413	1253	390	273	738	44	612	530	50	71	713	31	505	257	1099	281	366	196	1929	1954	307	756	341	1064	980	611	274	264	239	265	1655	377	2028	1908	384	220	130	1125	102	503	1092	1152	34	1239	1999	1178	489	437	257	2097	649	1505	346	1283	202	1136	875	304	529	1249	150	561	1243	89	1897	2410	1082	316	615	73	455	368	381	1375	1380	358	559	445	1338	360	1039	1029	113	42	43	339	1216	448	448
"g__Segatella"	769	688	114	195	1902	451	1323	2	0	580	0	764	0	42	694	693	407	987	31	488	21	480	806	0	15	378	472	404	272	646	9	216	880	18	15	339	2111	470	444	466	0	281	0	316	698	823	233	833	686	109	0	1230	84	874	1395	0	866	363	80	180	244	44	632	25	0	465	113	30	482	226	140	0	294	181	259	175	279	33	126	1646	633	480	1546	230	503	65	424	349	12	591	723	1	67	0	13	639	298	106	540	481	614	306	467	864	789	400	722	264	3087	93	113	648	1075	243
"g__Phocaeicola"	86	48	199	182	186	221	203	3	28	196	1147	128	583	156	417	190	69	209	183	427	830	30	407	1048	220	457	89	394	102	266	153	509	241	58	67	77	130	520	41	322	1989	307	1120	273	227	162	116	124	362	68	1234	238	68	300	40	250	206	227	120	58	48	231	354	74	1130	180	63	53	278	52	274	768	93	69	81	329	83	41	175	287	150	338	413	131	141	129	212	177	56	328	317	1168	75	936	197	104	111	83	94	360	158	35	28	18	924	81	38	164	337	54	11	697	914	683
"g__Shigella"	685	280	306	2	1	167	233	337	248	0	1	159	0	2030	2	0	2	40	0	261	555	0	78	1	0	697	1	227	0	141	0	38	1	0	0	85	2	634	25	0	0	0	1	0	80	0	21	1	74	12	10	0	0	0	0	0	0	4	212	661	0	3	0	0	0	59	522	2	0	1	5	52	1768	1521	4	0	1	0	0	0	1	1	0	3	1	0	352	0	0	2	0	0	1963	0	0	0	1	1462	0	2	1676	317	515	24	5	262	4291	1842	415	1430	2654	66	2354	600
"g__Oribacterium"	100	232	52	300	50	138	386	2	9	114	134	347	332	31	194	111	34	507	51	303	218	247	270	526	249	119	430	259	214	565	66	435	604	91	65	774	46	216	260	301	150	158	172	165	1187	207	201	135	446	144	165	144	282	123	130	208	217	311	167	308	81	104	418	84	400	348	339	24	685	279	253	167	121	141	99	461	298	162	389	173	258	380	120	152	522	112	268	384	67	180	776	459	111	397	101	236	157	116	481	96	82	231	260	138	365	375	266	84	12	43	134	196	34	286
"g__Escherichia"	436	167	167	1	0	85	408	212	138	0	0	301	0	1263	5	0	0	38	1	309	194	0	150	2	0	838	1	327	0	194	0	47	2	0	0	62	0	861	14	0	1	0	1	0	92	0	13	0	108	9	15	0	0	0	0	0	0	0	229	420	0	4	0	0	2	40	320	3	0	1	10	92	996	59	2	0	1	0	0	0	4	0	0	1	2	0	213	0	1	5	0	1	129	0	0	0	1	37	0	2	990	74	1504	16	3	164	2484	1172	219	911	1465	63	1315	328
"g__Sutterella"	99	71	52	152	339	184	95	0	128	303	99	54	70	82	46	105	144	125	3	68	29	52	183	150	3	195	68	144	64	240	11	74	57	11	9	226	131	231	28	237	170	27	468	81	234	100	34	102	205	24	179	151	4	88	41	76	103	87	106	46	86	23	128	10	140	169	26	12	148	29	62	280	33	49	80	132	64	6	104	106	161	167	47	40	127	11	197	83	1	45	148	139	51	119	2	99	81	42	51	156	33	63	18	143	141	112	132	50	513	28	33	79	203	117
"g__Parabacteroides"	16	17	67	64	130	9	60	2	0	53	157	82	72	23	100	9	0	60	11	195	65	64	132	107	13	196	141	209	19	318	14	125	88	18	10	1	258	211	40	329	183	87	40	209	123	40	102	49	166	181	70	42	25	188	58	22	41	143	99	98	27	111	324	31	94	42	68	42	220	54	197	66	55	59	30	162	93	35	140	80	47	304	96	121	126	33	183	497	13	77	313	84	38	116	37	31	74	32	94	42	115	35	57	4	435	52	139	125	26	34	11	25	28	86
"g__Prevotellamassilia"	103	63	32	0	779	11	0	0	0	146	0	0	0	45	176	43	0	0	0	206	96	79	0	0	0	236	0	262	13	0	32	163	0	21	15	26	1560	272	46	0	0	111	0	0	0	81	58	191	0	43	0	154	30	223	48	0	93	0	0	57	27	126	0	28	0	168	35	60	0	0	148	0	378	28	192	0	0	9	0	166	330	0	203	72	0	36	204	0	13	225	0	0	49	0	34	105	126	49	0	267	105	31	34	16	324	0	0	129	147	57	2	0	0	0
"g__Fusobacterium"	41	37	1245	169	0	798	5	1	2	31	473	25	265	36	77	1122	53	15	0	55	118	0	24	820	0	38	2	26	68	41	0	131	33	0	0	78	0	35	0	75	125	85	597	1	2	0	0	0	2	0	2	0	0	20	6	29	0	5	0	0	41	58	0	0	21	64	0	19	1	0	8	30	7	50	6	0	0	0	0	0	31	8	0	21	1	0	0	0	0	40	0	3	12	1	0	2	49	2	0	43	25	0	0	1	179	5	1	110	0	93	0	99	1510	0
"g__Bacteroides"	28	15	85	9	112	161	36	11	0	7	766	35	318	12	23	62	17	54	13	56	89	10	87	454	31	55	14	40	35	21	22	68	59	11	7	29	134	62	11	31	993	68	223	40	57	49	31	30	96	19	316	39	7	81	13	52	38	41	22	13	8	261	105	13	209	36	13	39	76	14	48	128	71	19	35	69	18	10	45	54	58	82	120	27	21	35	48	30	16	56	56	362	21	364	23	27	20	15	17	60	124	13	9	9	99	22	7	226	53	48	3	83	48	322
"g__Wansuia"	35	22	29	29	2	19	52	0	22	8	70	112	133	9	35	17	30	88	25	52	23	33	68	353	51	37	48	63	14	40	18	73	146	18	26	164	4	29	29	34	82	38	73	6	171	23	54	21	76	22	79	13	52	18	17	35	27	142	14	84	15	36	98	9	193	123	59	14	128	9	21	67	19	37	38	47	21	18	46	13	51	51	8	45	21	25	79	43	17	60	69	115	16	80	38	21	52	29	47	2	5	80	44	5	70	69	22	25	2	27	13	36	33	61
"g__Xylanibacter"	6	48	0	0	1	1	202	0	0	0	0	140	0	0	0	9	163	109	0	0	0	0	151	0	0	0	0	0	28	0	0	0	50	0	0	18	0	0	0	0	0	50	0	0	209	163	1	165	168	0	0	252	0	94	53	0	129	130	1	0	16	1	184	0	0	26	0	0	181	0	1	0	1	10	1	438	0	0	200	165	1	416	287	91	0	0	0	539	1	0	0	0	22	0	0	125	31	44	0	2	0	81	0	95	0	50	0	0	1	0	0	1	0	0
"g__Enterobacter"	0	0	22	0	0	0	0	4646	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	33	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	55	1	1	0	0	0	0	0	0	0	0	1
