"ID"	"Hera_1"	"Wolverine_1"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_2"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Ginger_20"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Ivy_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Padme_6"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hamlet_67"	"Hera_67"	"Franc_68"	"JarJarBinks_68"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"
"g__Megamonas"	2021	2166	1207	1402	2403	960	1488	1976	3200	2499	1131	580	1826	1443	2080	103	826	1271	698	2081	1165	1	2835	1328	1511	1075	970	1059	604	856	1833	1454	2304	1096	850	1069	1735	238	108	359	18	774	990	540	2159	821	1090	1380	677	2252	894	1024	991	84	461	566	770	2354	1613	1454	1211	1121	1299	954	1008	901	1737	1474	156	1467	3359	1033	578	1761	1408	1445	1341	1570	1244	731	1934	1283	1153	43	979	1119	760	15	811	2347	502	300	2058	0	68	2788	1897	574	31	559	834	184	1448	546	747	1388	567	517	1861	1125	1511	2302	59	824	1154	752	1139	781	1695	573	563	728	519	760	681	161	1703	475	905	886	1015	2017	975	1617	1023	2168	400	516	1299	603	49	690	651	1138	554	947	1031	1197	786	470	1628	850	538	2211	1626	1305	2099	511	1178	306	1474	139	399	1205	1709	2051	321	1792	557	802	961	1662	129	2160	788	995	470	1787	1186	1548	1167	152	660	500	620	1016	875	89	216	3851	1400	430	915	997	794	979	142	1849	752	676	863	1384	1504	928	2491	804	1125	1366	555	285	1436	94	243	1511	387	2102	1672	400	97	2401	1373	909	1208	1879	1828	138	276	1428	484	749	1739	490	856
"g__Phascolarctobacterium"	1112	834	813	388	398	950	514	412	390	831	625	636	801	789	684	88	1073	1205	714	423	0	2	409	189	1302	1823	1395	1034	876	1034	1054	0	854	1001	1260	1691	680	156	382	86	279	2027	840	1866	716	840	879	1424	894	668	977	838	594	573	247	1579	1434	640	675	1149	983	1541	781	786	836	1326	2381	618	1105	838	474	518	732	1041	868	898	1302	536	1014	819	779	1790	750	322	1598	978	1413	216	1112	967	1054	517	1139	0	362	2190	946	1490	76	600	1090	504	690	616	1447	1025	1187	624	440	656	637	2267	111	1228	1669	688	1039	756	432	728	769	648	259	981	436	410	785	738	1291	864	899	458	1363	791	638	243	545	558	1204	912	157	1357	1419	1114	1274	696	1421	932	724	1270	450	230	819	487	1313	838	905	953	1437	1314	988	799	1164	542	971	906	716	835	1045	1087	1662	1123	304	523	1011	808	985	685	880	1060	883	577	1539	798	985	871	1530	288	843	1729	1086	961	571	951	361	981	419	1138	1145	285	598	317	1090	995	525	1248	899	1056	1312	705	2629	547	980	1614	668	615	799	677	215	755	628	834	452	955	2129	353	70	557	131	1101	964	565	524
"g__Megasphaera"	427	584	649	86	194	90	500	46	433	214	279	108	423	213	308	231	875	795	686	573	427	2	611	0	723	656	870	745	277	504	545	2072	816	829	611	441	611	73	90	117	12	566	1352	586	847	171	358	538	1753	0	791	844	773	56	137	656	8	959	441	436	776	589	1211	660	665	653	1606	736	131	210	383	413	223	1253	390	574	273	335	1042	342	600	1628	738	44	612	530	606	50	377	335	788	90	474	0	71	516	288	713	31	505	999	257	1099	281	468	212	366	196	1929	1942	574	1954	83	307	302	756	341	1064	980	282	357	611	74	274	603	264	214	239	265	549	570	1655	377	272	2028	1908	384	221	130	1125	102	550	503	503	1093	938	376	1650	1152	211	477	34	1239	1999	1178	1638	489	864	590	211	542	437	257	2096	649	1505	346	1284	1805	202	557	564	39	543	1136	875	304	1400	529	1249	1190	150	1323	324	561	1243	682	89	1897	2410	988	1082	370	123	316	615	73	455	368	381	287	338	1375	1266	392	1003	410	1380	811	374	489	358	436	558	445	733	1339	360	56	1254	1039	760	1029	972	2381	113	43	43	339	1216	448	446	584
"g__Anaerobiospirillum"	0	0	102	1	0	34	1028	0	0	0	0	92	0	0	45	13	146	0	13	176	1	1	0	3320	0	1	0	0	0	1254	99	0	3	4	0	0	0	1199	0	2	3202	0	162	1	0	0	561	0	418	1300	0	7	161	4383	0	0	1590	0	0	959	1352	1	1	0	6	0	2	0	3300	1	0	0	2725	0	0	674	1515	0	103	2604	0	835	0	4706	0	101	427	4875	0	0	571	0	0	1	4699	1	0	310	0	0	416	3429	0	0	19	0	1802	0	0	139	1	298	1148	1129	49	2232	1033	77	1099	0	0	0	0	945	6	3932	0	1665	948	0	0	1	716	54	70	0	2006	3352	1	118	4834	1	1	0	293	2	0	347	1033	0	0	0	185	0	0	0	0	160	0	0	0	0	1071	0	98	0	3647	59	200	302	1	57	0	0	0	53	267	32	1555	0	468	4046	53	0	618	18	1	4791	2	0	0	2	20	0	1090	0	4315	75	1930	1896	0	1	0	543	1	569	1	0	0	0	2106	0	0	80	774	0	37	0	1	1	475	340	1	0	0	0	2	1	0	58	0	927	0
"g__Phocaeicola"	359	408	86	655	382	539	48	199	182	607	318	218	113	470	211	186	221	255	203	232	0	3	741	28	196	703	973	442	1147	291	331	0	393	128	583	779	334	155	1170	839	1086	417	184	908	174	449	190	426	336	69	213	209	161	183	181	427	93	321	830	171	30	769	158	158	407	1243	1048	184	220	869	322	457	224	89	394	210	102	92	151	63	560	384	266	153	510	241	91	58	1269	301	88	355	246	2	67	1081	682	78	130	520	75	41	322	1989	172	458	307	1121	273	23	373	227	119	162	72	116	124	362	68	1820	1717	1234	224	238	287	68	526	300	40	1178	457	250	206	180	227	120	58	49	231	355	74	995	948	1130	180	117	697	60	63	1262	456	53	278	52	274	145	768	197	431	1237	507	93	69	81	329	83	41	175	138	287	65	88	222	210	150	338	413	47	132	141	111	129	127	130	212	177	452	57	328	317	173	1168	176	476	75	935	197	104	111	83	1147	247	94	67	165	89	815	360	394	504	691	158	587	35	28	355	18	924	2761	100	82	226	37	384	215	163	336	54	11	697	914	683	406
"g__Segatella"	453	0	769	6	8	33	688	114	195	23	44	25	12	11	25	1902	451	47	1323	51	1	2	0	0	580	25	22	75	0	431	148	0	0	764	0	46	77	42	1352	155	19	694	274	16	49	24	693	47	392	407	397	987	514	31	26	488	775	51	21	82	480	20	136	191	806	30	0	385	15	31	1	379	107	472	404	187	272	49	290	38	70	704	646	9	216	880	660	18	56	334	505	19	15	1	15	92	36	338	2111	470	440	444	466	0	1864	10	281	0	316	93	66	698	1424	823	1461	233	833	686	109	117	78	0	16	1230	1138	84	32	874	1395	110	86	0	866	1793	363	80	180	244	44	632	25	45	31	0	464	560	703	373	113	72	33	30	482	227	140	59	0	375	696	83	26	294	181	259	175	279	33	126	295	1646	1068	1310	5	6	633	480	1546	1069	230	503	541	65	324	823	424	349	333	12	591	723	43	1	2856	27	67	0	13	639	298	106	81	9	540	273	4	454	39	481	77	174	210	614	94	306	467	18	863	789	7	6	401	416	722	96	116	264	3087	93	113	648	1075	243	850
"g__Shigella"	2	0	685	10	239	365	280	306	2	195	0	1894	0	125	375	1	167	1	233	182	1641	337	0	248	0	8	5	0	1	70	17	675	0	159	0	3	0	2030	2	4	9	2	0	38	0	1896	0	491	91	2	708	40	560	0	3635	261	0	0	555	143	0	26	0	1075	78	3	1	548	0	19	1	697	4	1	227	258	0	1582	14	93	43	1089	141	0	38	1	134	0	4	57	233	2315	18	4795	0	101	40	85	2	634	47	25	0	0	4	103	0	1	0	89	0	80	24	0	3	20	1	74	12	1	6	10	45	0	319	0	42	0	0	5	157	0	0	6	4	212	661	0	3	0	0	2	31	0	59	509	1	5	522	16	1102	2	0	1	5	2	52	151	1	161	350	1768	1521	4	0	1	0	0	76	0	61	4	2665	1411	1	0	0	0	3	1	1	0	24	1047	352	0	60	0	2	0	0	0	14	515	1963	0	0	0	1	1462	48	2316	0	282	1100	61	146	1	0	459	12	1676	0	317	515	219	24	5	10	0	262	207	4291	0	0	1842	415	1430	2654	65	2354	600	45
"g__Oribacterium"	290	243	100	124	249	94	232	52	300	243	121	85	217	261	164	50	138	310	386	304	0	2	183	9	114	311	352	211	134	359	163	0	272	347	332	175	165	31	109	44	17	194	633	588	305	125	111	227	295	34	402	507	514	51	102	303	213	178	218	136	247	332	353	346	270	355	526	488	249	155	202	119	73	430	259	520	214	147	816	147	219	981	565	66	435	604	469	91	429	195	550	86	355	1	65	1347	349	774	46	216	405	260	301	150	148	228	158	172	165	508	270	1187	45	207	245	201	135	446	144	160	276	165	83	144	324	282	188	123	130	305	316	208	217	57	311	167	308	81	104	418	84	531	553	400	348	222	179	232	339	183	243	24	685	279	253	377	167	1026	180	228	368	121	141	99	461	298	162	389	385	173	280	75	31	115	258	380	120	69	152	522	342	112	559	321	268	384	323	67	180	776	395	459	58	203	111	397	101	236	157	116	204	224	481	134	224	405	383	96	555	197	519	82	283	231	260	161	138	365	101	191	375	432	266	404	1460	84	12	43	134	196	34	286	502
"g__Escherichia"	6	0	436	11	229	229	167	167	1	6	0	1033	0	1	227	0	85	0	408	107	2134	212	0	138	0	1	0	0	0	30	4	916	0	301	0	4	0	1263	0	1	12	5	2	0	0	37	0	7	44	0	465	38	352	1	222	309	0	0	194	103	0	31	0	692	150	0	2	324	0	1	1	838	3	1	327	127	0	933	7	51	7	520	194	0	47	2	92	0	0	36	127	1184	0	2577	0	280	113	62	0	861	27	14	0	1	10	57	0	1	0	49	0	92	10	0	4	14	0	108	9	5	18	15	22	0	210	0	18	0	0	19	7	0	0	8	0	229	420	0	4	0	0	7	86	2	40	306	0	6	320	5	10	3	0	0	10	0	92	72	0	71	20	996	59	2	0	1	0	0	41	0	36	18	1362	31	4	0	0	2	1	2	1	0	13	607	213	0	2	1	5	0	0	1	54	290	129	0	0	0	1	36	30	19	0	212	5	50	185	2	0	260	9	990	0	74	1504	7	16	3	11	1	164	84	2484	0	1	1172	219	911	1465	63	1315	328	24
"g__Parabacteroides"	16	72	16	24	18	68	17	67	64	20	209	38	101	82	52	130	9	144	60	153	0	2	194	0	53	29	51	209	157	100	258	0	142	82	72	137	201	23	59	528	52	100	54	80	82	138	9	57	139	0	118	60	72	11	32	195	1	156	65	164	64	45	78	110	132	75	107	106	13	226	231	196	123	141	209	118	19	41	71	44	120	281	318	14	125	88	62	18	117	28	81	70	117	0	10	78	50	1	258	211	55	40	329	183	68	56	87	40	209	17	400	124	271	40	29	102	49	166	181	102	107	70	35	42	325	25	94	188	58	67	559	22	41	66	143	99	98	27	111	324	31	121	93	94	42	217	110	37	68	143	199	42	220	54	196	134	66	189	111	168	171	55	59	30	162	93	35	140	181	80	140	16	54	49	47	304	96	17	121	126	43	33	233	200	183	497	89	13	77	313	88	84	63	82	38	116	37	31	74	32	422	45	94	21	56	54	91	42	253	272	276	115	676	35	57	83	4	435	252	20	52	143	138	22	180	125	26	34	11	25	28	86	363
