"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"njc1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.03	0	0	0
"njc2"	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	4	0	0.07	0	0	0	0	0.07	0.03	1.08	0.03	0	0	0
"njc3"	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	4	0	0.07	0	0	0	0	0.07	0.03	1.08	0.03	0	0	0
"njc4"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc5"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc6"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc7"	0	0.03	0	0.07	0	0.18	0.05	0.07	0.05	0.03	0	0.21	0	0.03	0	0.05	0	0.05	0.03	0.05	0	0.05	0	0.05	0.15	0.18	0.13	0.05	0.05	0.15
"njc8"	34.78	34.03	25.17	29.62	1.25	21.69	22.91	22.77	0.82	23.71	1.52	16.33	5.26	25.47	4.5	33.13	24.52	27.35	26.82	20.99	46.9	16.63	26.1	16.23	15.8	25.53	41.23	12.29	44.58	20.66
"njc9"	0	0.08	0	0	0	0.08	0	0.03	0	0.18	0.03	0.09	0	0	0	0	0.28	0	0.07	0.03	0.07	0	0.03	0	0.18	0	0.53	0	0.03	0
"njc10"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc11"	1	6.08	0.15	6.53	0.17	1.93	0.15	1.18	0.22	9.38	0.12	5.03	1.93	12.53	0.78	4.6	8.06	4.12	5.7	4.91	2.95	1.55	3.7	3.58	10.28	12.45	1.33	4.03	0.08	4.21
"njc12"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc13"	0	0.03	0	0	0	0.08	0.03	0.03	0	0	0	0.09	0	0.03	0	0.03	0	0.03	0.03	0.03	0	0.03	0	0.05	0.05	0.1	0.08	0	0.03	0.03
"njc14"	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	4	0	0.07	0	0	0	0	0.07	0.03	1.08	0.03	0	0	0
"njc15"	1.6	1.5	0.33	1.55	0.25	1.15	0.23	0.98	0.15	0.7	0.1	0.05	2.68	1.68	0.32	2.08	5	6.03	0.62	0.2	0.6	0.53	1.68	2.2	2.88	8.25	0.88	3.8	0.38	2.38
"njc16"	0	0	0	0	0	0.05	0.03	0.03	0	0.03	0	0.06	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0.03	0	0	0	0.05
"njc17"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc18"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
"njc19"	0	0.03	0.03	0	0	0	0.03	0.25	0	0	0	0	0	0.03	0	0	4.08	0.05	0.07	0	0	0.03	0.03	0.17	0.03	1.53	0.05	0	0	0.13
"njc20"	0.18	0.58	1.25	0.98	0	2.53	0.25	0.9	0.07	2.1	0.03	2.54	0	0.73	0.1	1.7	2.65	0.28	0.85	0.23	0.6	0.4	1.8	0.78	0.35	0.78	2.68	0.4	0.3	1.75
"njc21"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0.08	0	0.03	0	0	0.03
"njc22"	34.63	30.68	24.94	27.25	1.2	20.87	22.73	23.35	0.72	14.83	1.5	11.65	5.43	14.59	4.2	33.26	18.61	26.48	26.5	17.43	47	15.68	24.08	15.4	11.71	22.23	42.15	9.71	45.43	19.9
"njc23"	0	0.05	0.03	0.07	0	0.13	0.05	0.15	0.03	0	0.03	0.19	0	0.08	0.07	0.05	0.1	0.1	0.05	0.03	0.03	0.05	0.07	0.12	0.08	0.2	0.15	0	0.03	0.1
"njc24"	0	0.1	0	0.03	0	0.08	0	0.28	0	0.25	0.03	0.09	0	0.05	0	0	4.28	0	0.15	0.48	0.07	0.03	0.03	0.07	0.2	1.08	0.55	0	0.03	0.03
"njc25"	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.35	0	0	0
"njc26"	0	0.1	0	0.03	0	0.08	0	0.28	0	0.25	0.03	0.09	0	0.05	0	0	4.28	0	0.15	0.48	0.07	0.03	0.03	0.07	0.2	1.08	0.55	0	0.03	0.03
"njc27"	0	0	0	0	0	0.05	0.03	0.03	0	0.05	0	0.15	0	0	0	0.03	0	0	0	0.05	0	0	0	0	0	0.03	0.35	0	0	0.05
"njc28"	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.03	0	0	0	0	0	0.08	0	0	0
"njc29"	0	0.03	0.03	0	0	0	0.03	0.25	0	0	0	0	0	0.03	0	0	4.08	0.05	0.07	0	0	0.03	0.03	0.17	0.03	1.53	0.05	0	0	0.13
"njc30"	0.03	0.25	0.38	0.17	0.22	0.58	0.05	0.45	0.1	0.08	0.05	0.1	0.1	0.33	0.1	0.43	10.78	3.5	0.45	0.05	0.35	0.05	2.52	1.23	1.45	8.3	0.43	5.51	0.15	0.23
"njc31"	0.05	4.6	0.38	2.75	0.22	1.43	0.1	0.58	0.15	8.75	0.07	4.14	0.1	11.36	0.32	0.48	11.13	3.92	0.85	3.51	0.52	0.88	3.95	1.27	5.39	8.45	1.33	5.71	0.28	1.25
"njc32"	34.61	30.18	24.89	27.23	1.2	20.82	22.73	22.45	0.72	16.01	1.5	12.37	5.23	15.69	4.22	32.73	18.41	25.55	26.35	18.28	46.62	15.78	23.4	15.57	11.86	22.73	40.15	9.36	44.26	19.55
"njc33"	33.03	29.21	24.94	25.68	1.18	20.07	22.51	22.5	0.65	14.16	1.43	11.55	2.75	13.08	3.88	31.31	23.99	23.48	26.27	17.31	46.67	15.18	24.73	14.53	10.21	22.38	41.33	11.39	45.16	17.6
"njc34"	0	0.03	0	0.03	0	0	0	0	0	0.08	0	0	0	0.05	0	0	0	0	0	0.45	0	0.03	0	0	0	0	0	0	0	0.03
