"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc4"	"4-Aminobutyrate (GABA) -- Production"
"njc5"	"7-Oxodeoxycholic acid -- Production"
"njc6"	"7-Oxolithocholic acid -- Production"
"njc7"	"Acetate -- Consumption"
"njc8"	"Acetate -- Production"
"njc9"	"Acetone -- Production"
"njc10"	"Adenine -- Consumption"
"njc11"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc12"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc13"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc14"	"Arabinan -- Macromolecule"
"njc15"	"Arabinogalactan -- Macromolecule"
"njc16"	"beta-Muricholic acid -- Production"
"njc17"	"Biotin (Vitamin B7) -- Consumption"
"njc18"	"Biotin (Vitamin B7) -- Production"
"njc19"	"Butylamine -- Production"
"njc20"	"Butyrate -- Production"
"njc21"	"Cadaverine -- Production"
"njc22"	"Cellobiose -- Consumption"
"njc23"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc24"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc25"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc26"	"Cholic acid (Cholate) -- Consumption"
"njc27"	"Cholic acid (Cholate) -- Production"
"njc28"	"Choline -- Consumption"
"njc29"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc30"	"CO2 -- Consumption"
"njc31"	"CO2 -- Production"
"njc32"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc33"	"D-Fructose (Fructose) -- Consumption"
"njc34"	"D-Fructuronate -- Consumption"
"njc35"	"D-Galactose -- Consumption"
"njc36"	"D-Galacturonate -- Consumption"
"njc37"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc38"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc39"	"D-Glucose (Glucose) -- Consumption"
"njc40"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc41"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc42"	"D-Mannitol (Mannitol) -- Consumption"
"njc43"	"D-Mannose (Mannose) -- Consumption"
"njc44"	"D-Psicose -- Consumption"
"njc45"	"D-Ribose (Ribose) -- Consumption"
"njc46"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc47"	"D-Tagaturonate -- Consumption"
"njc48"	"D-Xylose (Xylose) -- Consumption"
"njc49"	"Deoxycholic acid -- Production"
"njc50"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc51"	"Dimethylamine -- Production"
"njc52"	"Erythritol -- Consumption"
"njc53"	"Ethanol -- Production"
"njc54"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc55"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc56"	"Formaldehyde -- Production"
"njc57"	"Formate -- Consumption"
"njc58"	"Formate -- Production"
"njc59"	"FOS (Fructooligosaccharide) -- Consumption"
"njc60"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc61"	"Fumarate -- Consumption"
"njc62"	"Fumarate -- Production"
"njc63"	"Galactan -- Macromolecule"
"njc64"	"Glycerol -- Consumption"
"njc65"	"Glycochenodeoxycholate -- Consumption"
"njc66"	"Glycocholate -- Consumption"
"njc67"	"Glycodeoxycholate -- Consumption"
"njc68"	"Glycolithocholate -- Consumption"
"njc69"	"H2 (Hydrogen) -- Consumption"
"njc70"	"H2 (Hydrogen) -- Production"
"njc71"	"H2O2 -- Production"
"njc72"	"H2S (HS-) -- Production"
"njc73"	"Hemicellulose, not specified -- Macromolecule"
"njc74"	"Hippurate -- Consumption"
"njc75"	"Histamine -- Production"
"njc76"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc77"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc78"	"Indole -- Production"
"njc79"	"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate) -- Consumption"
"njc80"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc81"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc82"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc83"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc84"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc85"	"L-Arginine (Arginine) -- Consumption"
"njc86"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"njc87"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc88"	"L-Fucose -- Consumption"
"njc89"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc90"	"L-Histidine (Histidine) -- Consumption"
"njc91"	"L-Idonate -- Consumption"
"njc92"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"njc93"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"njc94"	"L-Leucine (Leucine) -- Consumption"
"njc95"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"njc96"	"L-Methionine (D-Methionine) -- Consumption"
"njc97"	"L-Ornithine (Ornithine) -- Production"
"njc98"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"njc99"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"njc100"	"L-Serine (Serine, D-Serine) -- Consumption"
"njc101"	"L-Sorbose (Sorbose) -- Consumption"
"njc102"	"L-Threonine (Threonine) -- Consumption"
"njc103"	"L-Threonine (Threonine) -- Production"
"njc104"	"L-Tryptophan (Tryptophan) -- Consumption"
"njc105"	"L-Tyrosine (Tyrosine) -- Consumption"
"njc106"	"L-Valine (Valine, D-Valine) -- Consumption"
"njc107"	"Lactose -- Consumption"
"njc108"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"njc109"	"Lithocholic acid -- Production"
"njc110"	"Maltose -- Consumption"
"njc111"	"Mannan -- Macromolecule"
"njc112"	"Melibiose -- Consumption"
"njc113"	"Menaquinone (Vitamin K2) -- Production"
"njc114"	"Methanol -- Production"
"njc115"	"Methylamine (Monomethylamine) -- Production"
"njc116"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
