"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"njc1"	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0
"njc2"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc3"	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc4"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc5"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc6"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc7"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc8"	0	0	0.13	0.13	0.14	0.12	0.03	0.18	0.08	0.13	0	0.23	0.08	0.18	0	0	0	0.08	0.03	0.05	0.13	0.03	0.03	0.18	0.12	0
"njc9"	30.45	41.5	15.62	38.48	18.68	16.8	18.27	45.78	12.8	21.92	40.62	29.91	38.77	17.13	15.2	15.15	13.5	29.79	26.43	29.66	27.51	31.29	16.23	33.05	28.68	9.03
"njc10"	0	0	0.2	0.08	0	0	0	0.23	0	0.08	0.15	0.03	0.03	0	0.05	0.05	0	0	0	0	0	0	0	0.35	0.03	0
"njc11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc12"	4.7	27.95	1.98	1.6	9.1	2.65	1.55	1.38	4.53	36	1.62	1.19	1.03	1.25	1.4	0.72	4.45	0.83	0.58	2.75	6.9	0.45	4.88	9.33	4.92	7.43
"njc13"	0	0	0	0	0.04	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.05	0	0	0.1	0	0.05
"njc14"	0	0	0.05	0.05	0.04	0.05	0	0.03	0.03	0.03	0	0.06	0.03	0.05	0	0	0	0.03	0	0.03	0	0	0.03	0.1	0.03	0
"njc15"	0	0	0	0	0.01	0	0	0.15	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.08
"njc16"	2.05	0.38	0.35	1.38	2.39	0.45	1.3	1.1	0.55	1.7	1.45	0.41	0.68	0.48	0.15	0.62	0.2	0.83	0.28	0.3	0.5	0.05	3.43	0.58	0.55	0.18
"njc17"	0	0	0.03	0	0.05	0.03	0	0.05	0.08	0.03	0	0.04	0	0.03	0	0	0	0.03	0	0	0.03	0	0	0	0.03	0
"njc18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc19"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc20"	0	0	0	0	0.05	0	0	0.18	0	0.03	0.07	0.04	0.03	0	0.05	0	0	0	0.03	0.03	0	0	0.1	0.08	0.03	0.08
"njc21"	0.03	0.05	0.63	0.38	0.31	0.58	0.78	4.86	0.33	0.5	2.45	1.24	1.25	0.45	3.85	0.95	0.05	0.6	1.28	0.13	0.28	0.45	3.23	4	0.6	0
"njc22"	0	0	0	0.03	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0.03	0	0.03	0	0	0.1	0	0.03
"njc23"	28.5	29.32	15.89	38.06	14.75	15.22	18.48	44.41	10.93	8.16	42.67	26.72	36.07	16.43	14.95	15.25	12.85	29.27	25.81	28.23	8.23	30.57	18.8	28.87	26.15	5.7
"njc24"	0.05	0	0.08	0.1	0.11	0.12	0.12	0.13	0.15	0.03	0.05	0.23	0.08	0.15	0	0	0	0.1	0.03	0.05	0.03	0	0.05	0.15	0.1	0
"njc25"	0	0	0.2	0.08	0.04	0.03	0	0.38	0	0.18	0.2	0.03	0.03	0	0.18	0.05	0	0	0	0	0.03	0	0	0.48	0.05	0.1
"njc26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0
"njc27"	0	0	0.2	0.08	0.04	0.03	0	0.38	0	0.18	0.2	0.03	0.03	0	0.18	0.05	0	0	0	0	0.03	0	0	0.48	0.05	0.1
"njc28"	0	0	0.03	0	0.05	0.03	0	0.05	0.08	0.03	0	0.04	0	0.03	0	0.05	0	0.03	0	0	0.03	0	0	0	0.03	0
"njc29"	0	0	0.08	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0.03	0	0	0
"njc30"	0	0	0	0	0.05	0	0	0.18	0	0.03	0.07	0.04	0.03	0	0.05	0	0	0	0.03	0.03	0	0	0.1	0.08	0.03	0.08
"njc31"	0.05	0	0.15	0.6	0.19	0.1	1.23	1.45	0.13	1.7	0.88	0.93	1.1	0.1	0.1	0.03	0	0.08	0.13	0.05	0.05	0.03	0.75	0.83	0.12	0.2
"njc32"	2.02	12.15	1.33	0.93	4.23	1.6	1.23	2.4	2	15.14	1.02	3.74	3.25	0.63	0.33	0.1	0.63	0.18	0.23	1.48	19.21	0.38	0.95	5.93	2.4	3.55
"njc33"	28.52	29.3	14.49	37.88	15.12	15.68	17.68	44.38	11.48	11.48	40.33	26.74	35.94	16.53	14.85	15.03	12.85	29.24	25.78	28.23	9.78	30.54	15.9	27.22	26.1	6.05
"njc34"	26.45	28.95	15.22	37.13	12.43	14.8	18.2	44.66	10.3	8.13	41.55	26.99	36.47	15.95	14.88	14.65	12.65	28.37	25.61	27.96	7.78	30.54	15.15	28.95	25.6	5.6
"njc35"	0	0	0	0	0.03	0.03	0	0	0	0.1	0	0	0	0	0.13	0	0	0	0	0	0.03	0	0	0.1	0	0.03
"njc36"	0.2	0.4	1.8	1.5	0.68	0.9	2.45	0.7	1.15	1	3.4	0.95	0.93	0.73	1.28	0.95	0.35	0.98	0.68	0.48	0.65	0.13	7.48	2.38	0.6	0.53
