"ID"	"subject"	"sampledate"	"bristol"	"SampleTime"	"studyday"	"location"	"subjectcode"	"sex"	"housing"	"group"	"Age"	"contraception"	"origin"	"previousexp"	"diet_trial"	"group_phase"
"jarjarbinks_29"	"jarjarbinks"	2023-04-07	"3"	800	"29"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"washout-1"	"gum-washout"
"korra_29"	"korra"	2023-04-07	"3"	800	"29"	"b3"	"kor"	"female"	"pair"	"g1"	5.898630137	"estrumate"	"nebraska"	""	"washout-1"	"gum-washout"
"kubo_30"	"kubo"	2023-04-08	"2"	730	"30"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"washout-1"	"gum-washout"
"hamlet_31"	"hamlet"	2023-04-09	"2"	700	"31"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"washout-1"	"gum-washout"
"jarjarbinks_32"	"jarjarbinks"	2023-04-10	"2"	800	"32"	"b2"	"jar"	"male"	"pair"	"g1"	3.123287671	""	"texas"	""	"washout-1"	"gum-washout"
"goose_37"	"goose"	2023-04-15	"3"	800	"37"	"f1"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"washout-1"	"gum-washout"
"hera_37"	"hera"	2023-04-15	"2"	730	"37"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"washout-1"	"gum-washout"
"kubo_37"	"kubo"	2023-04-15	"2"	730	"37"	"b3"	"kub"	"male"	"pair"	"g1"	4.101369863	""	"nebraska"	""	"washout-1"	"gum-washout"
"lambchop_37"	"lambchop"	2023-04-15	"3"	800	"37"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"washout-1"	"gum-washout"
"ophelia_37"	"ophelia"	2023-04-15	"1"	730	"37"	"b2"	"oph"	"female"	"pair"	"g1"	5.594520548	"estrumate"	"nebraska"	""	"washout-1"	"gum-washout"
"wolverine_37"	"wolverine"	2023-04-15	"1"	730	"37"	"b4"	"wol"	"male"	"pair"	"g1"	8.452054795	""	"nebraska"	"abx-ctrl"	"washout-1"	"gum-washout"
"hamlet_41"	"hamlet"	2023-04-19	"2"	730	"41"	"b1"	"ham"	"male"	"pair"	"g1"	6.016438356	""	"nebraska"	""	"washout-1"	"gum-washout"
"hera_41"	"hera"	2023-04-19	"2"	730	"41"	"b1"	"her"	"female"	"pair"	"g1"	3.531506849	"estrumate"	"texas"	""	"washout-1"	"gum-washout"
"goose_42"	"goose"	2023-04-20	"3"	800	"42"	"f1"	"goo"	"male"	"family"	"g1"	6.712328767	""	"texas"	"abx-ctrl"	"washout-1"	"gum-washout"
"lambchop_42"	"lambchop"	2023-04-20	"3"	800	"42"	"f1"	"lam"	"female"	"family"	"g1"	5.82739726	"estrumate"	"texas"	""	"washout-1"	"gum-washout"
"buddy_57"	"buddy"	2023-05-05	"3"	800	"57"	"f5"	"bud"	"male"	"family"	"g2"	6.397260274	""	"texas"	""	"washout-2"	"gum-washout"
"joans_57"	"joans"	2023-05-05	"2"	800	"57"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"washout-2"	"gum-washout"
"ginger_58"	"ginger"	2023-05-06	"3"	800	"58"	"f6"	"gin"	"female"	"pair"	"g2"	6.117808219	"estrumate"	"nebraska"	"abx"	"washout-2"	"gum-washout"
"henry_59"	"henry"	2023-05-07	"2"	800	"59"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"washout-2"	"gum-washout"
"joans_60"	"joans"	2023-05-08	"2"	800	"60"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"washout-2"	"gum-washout"
"marshmallow_60"	"marshmallow"	2023-05-08	"3"	800	"60"	"f4"	"mar"	"female"	"pair"	"g2"	4.101369863	"estrumate"	"nebraska"	""	"washout-2"	"gum-washout"
"joans_62"	"joans"	2023-05-10	"3"	800	"62"	"f5"	"joa"	"female"	"family"	"g2"	5.967123288	"estrumate"	"nebraska"	""	"washout-2"	"gum-washout"
"henry_66"	"henry"	2023-05-14	"2"	800	"66"	"f6"	"hen"	"male"	"pair"	"g2"	4.208219178	""	"nebraska"	""	"washout-2"	"gum-washout"
"ivy_67"	"ivy"	2023-05-15	"2"	800	"67"	"f2"	"ivy"	"female"	"pair"	"g2"	4.202739726	"estrumate"	"nebraska"	""	"washout-2"	"gum-washout"
"franc_68"	"franc"	2023-05-16	"3"	800	"68"	"f2"	"fra"	"male"	"pair"	"g2"	6.342465753	""	"texas"	"abx"	"washout-2"	"gum-washout"
"grogu_70"	"grogu"	2023-05-18	"3"	730	"70"	"f4"	"gro"	"male"	"pair"	"g2"	4.583561644	""	"texas"	""	"washout-2"	"gum-washout"
