"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09	0
"njc2"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc3"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc4"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc5"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0.13	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0
"njc7"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc8"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc9"	0.02	0.33	0.04	0	0.2	0.04	0	0.07	0	0.22	0.13	0.04	0	0	0	0.13	0.02	0.04	0	0.04	0.04	0.02	0	0	0.02	0.11	0.04	0.04	0.04	0.09	0	0.29	0.18	0.07
"njc10"	21.33	22.12	19.5	27.91	21.03	1.91	22.96	24.69	18.44	26.31	33.67	33.35	33.73	13.54	38.11	38.38	33.57	21.95	18.47	18.72	45.01	15.97	31.24	1.58	17.92	23.13	24.58	34.36	22.87	19.07	1.96	39.4	24.9	17.89
"njc11"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0
"njc12"	0	0	0.09	0.38	0.02	0.02	0.04	0.16	0	0.11	0	0.2	0.11	0.11	0	0	0	0	0	0	0	0	0.73	0	0.02	0.11	0.29	0	0	0.22	0	0	0.04	0.02
"njc13"	5.2	14.8	5.2	5.54	1.67	0.18	1.05	3.78	1.02	1.93	10.91	1.58	12.67	1.29	1.87	6.17	0.87	7.74	0.67	0.36	4.38	11.03	3.32	0.38	1.73	1.91	1.29	2.56	17.64	1.31	0.18	2.47	9.12	7.48
"njc14"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
