"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"henry_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	0
"njc2"	0.05	0.03	0	0	0.05	0	0	0.4	0	0.05	0	0	0	0	0	0.7	0	0	0	0	0	0	0.4	0	0	0	0.25	0.05	0	0.05	0.1	0	0	0	0
"njc3"	0.05	0.03	0	0	0.05	0	0	0.4	0	0.05	0	0	0	0	0	0.7	0	0	0	0	0	0	0.4	0	0	0	0.25	0.05	0	0.05	0.1	0	0	0	0
"njc4"	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc5"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0.13	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0
"njc7"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc8"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc9"	0.03	0.35	0.05	0	0.18	0.05	0	0.05	0	0.23	0.13	0.03	0	0	0	0.15	0.03	0.05	0	0.05	0	0.03	0	0	0.03	0.03	0.07	0	0.03	0.05	0.1	0	0.3	0.2	0.08
"njc10"	21.33	22.16	19.51	27.88	20.99	1.93	23.04	24.68	18.4	26.32	33.67	33.32	33.73	13.58	38.12	38.44	33.58	21.94	18.43	18.73	44.97	16	31.27	1.6	20.91	17.93	23	24.48	34.38	22.85	19.08	1.95	39.44	24.94	17.94
"njc11"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
"njc12"	0	0	0.1	0.38	0	0.03	0.05	0.15	0.03	0.1	0	0.2	0.1	0.13	0	0	0	0	0	0	0	0	0.75	0	0.03	0.03	0.1	0.28	0	0	0.23	0.03	0	0.05	0.03
"njc13"	5.18	14.83	5.18	5.53	1.68	0.17	1.08	3.8	1.03	1.95	10.91	1.58	12.68	1.28	1.88	6.19	0.88	7.68	0.7	0.38	4.4	11.05	3.31	0.38	1.85	1.7	1.9	1.27	2.58	17.62	1.33	0.2	2.48	9.1	7.48
"njc14"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc15"	0.03	0.13	0.03	0	0.05	0	0	0.03	0	0.08	0.03	0.03	0	0	0	0.1	0.03	0.03	0	0.03	0	0	0	0	0	0	0.03	0	0.03	0.03	0.08	0	0.18	0.03	0.03
"njc16"	0.05	0.03	0	0	0.05	0	0	0.4	0	0.05	0	0	0	0	0	0.7	0	0	0	0	0	0	0.4	0	0	0	0.25	0.05	0	0.05	0.1	0	0	0	0
"njc17"	0.23	1	2.65	1.3	0.2	0.05	0.58	0.98	0.7	1.4	0.95	3.98	1.95	1.35	1.9	4.78	1.28	3.08	0.88	0.43	0.7	0.85	1.65	0.22	1.15	1.5	1.27	1.1	0.38	1.6	0.8	0.1	1.33	1.73	0.18
"njc18"	0.03	0.05	0	0.05	0.05	0	0	0	0	0.05	0.03	0.03	0	0	0.03	0.03	0	0.03	0	0	0.03	0	0.23	0	0	0	0.07	0	0	0.03	0.03	0	0.05	0.03	0.03
"njc19"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0.03	0
"njc20"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0.03
"njc21"	0.05	0.03	0	0	0.05	0	0	0.48	0	0.13	0	0	0	0	0	0.88	0	0	0	0.03	0	0	0.78	0	0	0.05	0.28	0.05	0	0.1	0.1	0	0	0	0
"njc22"	0.23	0.45	0.18	0.58	0.7	0.1	4.33	0.93	0.23	10.71	0.35	0.3	0.83	0.28	0.5	3.36	0.4	0.28	0.2	0.15	0.58	0.15	2.1	0.03	0.4	0.25	2.98	0.75	0.23	0.22	1.88	0.03	0.63	0.78	0.43
"njc23"	0.03	0.05	0	0	0	0	0	0.03	0	0	0.03	0	0.1	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	1.08	0.03
"njc24"	14	14.65	18.43	26.45	20.09	1.75	21.61	21.33	18.48	24.84	29.04	33.25	23.37	13.15	38.17	37.22	33.21	18.71	18.23	18.63	41.32	9.33	28.01	1.55	22.91	14.88	21.7	24.05	34.23	13.18	19.43	1.95	39.59	21.56	15.42
"njc25"	0.03	0.25	0.08	0.03	0.1	0	0	0.05	0.03	0.15	0.08	0.08	0.05	0	0	0.15	0.03	0.15	0.03	0.1	0	0.1	0.05	0.03	0.03	0.13	0.05	0.03	0.13	0.05	0.18	0	0.23	0.05	0.08
"njc26"	0.08	0.08	0.1	0.38	0.05	0.03	0.05	0.58	0.03	0.15	0.03	0.2	0.2	0.13	0	0.7	0	0	0	0	0.03	0.03	0.85	0	0.03	0.03	0.35	0.32	0	0.07	0.33	0.03	0	0.05	0.05
"njc27"	0.08	0.08	0.1	0.38	0.05	0.03	0.05	0.58	0.03	0.15	0.03	0.2	0.2	0.13	0	0.7	0	0	0	0	0.03	0.03	0.85	0	0.03	0.03	0.35	0.32	0	0.07	0.33	0.03	0	0.05	0.05
"njc28"	0.03	0.05	0	0.05	0.05	0	0	0	0	0.05	0.03	0.03	0	0	0.03	0.03	0	0.03	0	0	0.03	0	0.23	0	0	0	0.07	0	0	0.03	0.03	0	0.05	0.03	0.03
"njc29"	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc30"	0.05	0.03	0	0	0.05	0	0	0.48	0	0.13	0	0	0	0	0	0.88	0	0	0	0.03	0	0	0.78	0	0	0.05	0.28	0.05	0	0.1	0.1	0	0	0	0
"njc31"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0
"njc32"	0.08	0.18	1.28	0.13	0.1	0.07	1.15	0.75	0.53	3.25	0.05	2.15	0.13	0.6	0	3.11	0.03	0.13	0.6	0.1	0	0.18	4.36	0.12	0.03	2.63	1.88	0.72	0.1	0.48	0.98	0.07	0.08	1.65	0.1
"njc33"	7.44	7.94	2	1.93	0.98	0.17	1.8	3.68	0.58	3.68	4.58	2.4	11.26	0.78	0	3.23	0.08	3.35	0.95	0.15	3.13	6.75	5.21	0.12	0.25	4.25	2.1	1	0.13	9.93	1.28	0.1	0.4	5.23	2.53
"njc34"	13.95	14.55	18.38	25.98	19.96	1.75	21.61	21.31	18.15	24.04	28.91	32.52	23.99	13.13	37.65	37.44	33.18	19.44	17.63	18.61	41.84	11.13	28.01	1.55	20.51	14.81	21.8	23.82	34.18	15.75	18.13	1.93	39.09	21.36	15.37
"njc35"	13.77	13.6	16.91	24.97	19.94	1.77	22.11	21.03	18.18	26.47	28.14	31.15	21.32	12.33	36.08	35.76	31.93	15.64	17.86	18.23	40.59	8.53	29.89	1.4	21.26	15.68	22.25	23.55	33.83	11.8	19.05	1.9	38.14	21.29	15.27
