"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"njc4"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc5"	"4-Aminobutyrate (GABA) -- Production"
"njc6"	"7-Oxodeoxycholic acid -- Production"
"njc7"	"7-Oxolithocholic acid -- Production"
"njc8"	"Acetate -- Consumption"
"njc9"	"Acetate -- Production"
"njc10"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"njc11"	"Acetone -- Production"
"njc12"	"Adenine -- Consumption"
"njc13"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc14"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc15"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc16"	"Arabinan -- Macromolecule"
"njc17"	"Arabinogalactan -- Macromolecule"
"njc18"	"beta-Muricholic acid -- Production"
"njc19"	"Biotin (Vitamin B7) -- Consumption"
"njc20"	"Biotin (Vitamin B7) -- Production"
"njc21"	"Butylamine -- Production"
"njc22"	"Butyrate -- Production"
"njc23"	"Cadaverine -- Production"
"njc24"	"Cellobiose -- Consumption"
"njc25"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc26"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc27"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc28"	"Cholic acid (Cholate) -- Consumption"
"njc29"	"Cholic acid (Cholate) -- Production"
"njc30"	"Choline -- Consumption"
"njc31"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc32"	"Citrate -- Consumption"
"njc33"	"CO2 -- Consumption"
"njc34"	"CO2 -- Production"
"njc35"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc36"	"D-Fructose (Fructose) -- Consumption"
"njc37"	"D-Fructuronate -- Consumption"
"njc38"	"D-Galactosamine (Galactosamine) -- Consumption"
"njc39"	"D-Galactose -- Consumption"
"njc40"	"D-Galacturonate -- Consumption"
"njc41"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc42"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc43"	"D-Glucose (Glucose) -- Consumption"
"njc44"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc45"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc46"	"D-Mannitol (Mannitol) -- Consumption"
"njc47"	"D-Mannose (Mannose) -- Consumption"
"njc48"	"D-Psicose -- Consumption"
"njc49"	"D-Ribose (Ribose) -- Consumption"
"njc50"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc51"	"D-Tagatose -- Consumption"
"njc52"	"D-Tagaturonate -- Consumption"
"njc53"	"D-Xylose (Xylose) -- Consumption"
"njc54"	"Deoxycholic acid -- Production"
"njc55"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc56"	"Dimethylamine -- Production"
"njc57"	"DNA RNA Polynucleotide -- Macromolecule"
"njc58"	"Ethanol -- Production"
"njc59"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc60"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc61"	"Formaldehyde -- Production"
"njc62"	"Formate -- Consumption"
"njc63"	"Formate -- Production"
"njc64"	"FOS (Fructooligosaccharide) -- Consumption"
"njc65"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc66"	"Fumarate -- Consumption"
"njc67"	"Fumarate -- Production"
"njc68"	"Galactan -- Macromolecule"
"njc69"	"Glycerol -- Consumption"
"njc70"	"Glycochenodeoxycholate -- Consumption"
"njc71"	"Glycocholate -- Consumption"
"njc72"	"Glycodeoxycholate -- Consumption"
"njc73"	"Glycolithocholate -- Consumption"
"njc74"	"H2 (Hydrogen) -- Consumption"
"njc75"	"H2 (Hydrogen) -- Production"
"njc76"	"H2O2 -- Production"
"njc77"	"Hemicellulose, not specified -- Macromolecule"
"njc78"	"Hippurate -- Consumption"
"njc79"	"Histamine -- Production"
"njc80"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc81"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc82"	"Indole -- Production"
"njc83"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc84"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc85"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc86"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc87"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc88"	"L-Arginine (Arginine) -- Consumption"
"njc89"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"njc90"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc91"	"L-Fucose -- Consumption"
"njc92"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc93"	"L-Histidine (Histidine) -- Consumption"
"njc94"	"L-Idonate -- Consumption"
"njc95"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"njc96"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"njc97"	"L-Leucine (Leucine) -- Consumption"
"njc98"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"njc99"	"L-Methionine (D-Methionine) -- Consumption"
"njc100"	"L-Ornithine (Ornithine) -- Production"
"njc101"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"njc102"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"njc103"	"L-Serine (Serine, D-Serine) -- Consumption"
"njc104"	"L-Threonine (Threonine) -- Consumption"
"njc105"	"L-Threonine (Threonine) -- Production"
"njc106"	"L-Tryptophan (Tryptophan) -- Consumption"
"njc107"	"L-Tyrosine (Tyrosine) -- Consumption"
"njc108"	"L-Valine (Valine, D-Valine) -- Consumption"
"njc109"	"Lactose -- Consumption"
"njc110"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"njc111"	"Linoleic acid (Omega-6 fatty acid) -- Production"
"njc112"	"Lipoic acid (Lipoate) -- Consumption"
"njc113"	"Lithocholic acid -- Production"
"njc114"	"Maltose -- Consumption"
