"ID"	"wolverine_1"	"hamlet_11"	"joans_11"	"ginger_14"	"kubo_14"	"wolverine_14"	"kubo_15"	"ivy_17"	"kubo_17"	"wolverine_17"	"ginger_18"	"hamlet_18"	"ivy_18"	"kubo_18"	"wolverine_18"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"ginger_20"	"hamlet_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"joans_21"	"korra_21"	"kubo_21"	"hamlet_22"	"henry_22"	"joans_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"korra_23"	"ginger_24"	"henry_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"ginger_29"	"henry_29"	"joans_29"	"korra_29"	"kubo_30"	"hamlet_31"	"ginger_36"	"henry_36"	"kubo_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"henry_42"	"ivy_42"	"ophelia_43"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"hamlet_45"	"henry_45"	"ivy_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"charles_46"	"hamlet_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"ginger_47"	"ivy_47"	"marshmallow_47"	"charles_48"	"hamlet_48"	"ivy_48"	"joans_48"	"korra_48"	"kubo_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"charles_50"	"ginger_50"	"ivy_50"	"joans_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"joans_51"	"charles_52"	"ginger_52"	"kubo_52"	"marshmallow_52"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"ophelia_55"	"joans_56"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"wolverine_58"	"hamlet_59"	"henry_59"	"ophelia_59"	"korra_6"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"ivy_67"	"ginger_7"	"charles_9"	"henry_9"	"ivy_9"	"korra_9"
"njc1"	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.13	0	0	0	0	0	1.09	0	0	0	0	0	0	0	0.04	0.16	0	0	0	0.02	0	0	0	0	0	0	0	0	0
"njc2"	0.07	0	0	0	0	0.31	0	0.04	0	0	0	0	0.09	0	0.02	0.02	0	0.6	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.03	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.16	0	0.04	0	0	0	0	0	4	0	0	0	0.02	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0.04	0	0.4	0	0.53	0	0	0.27	0	0	0.04	0.11	0	0	0.33	0	0.04	0	0	0	0.07	0	0	0	0	0.18	0	0	0.04	0	0.02	0	0.04	0	0.09	0	0	0	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.25	0	0	0
"njc3"	0.07	0	0	0	0	0.31	0	0.04	0	0	0	0	0.09	0	0.02	0.02	0	0.6	0	0	0	0.02	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.03	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.16	0	0.04	0	0	0	0	0	4	0	0	0	0.02	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0.04	0	0.4	0	0.53	0	0	0.27	0	0	0.04	0.11	0	0	0.33	0	0.04	0	0	0	0.07	0	0	0	0	0.18	0	0	0.04	0	0.02	0	0.04	0	0.09	0	0	0	0	0	0	0	0	0.07	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.25	0	0	0
"njc4"	0	0	0	0	0.09	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0.09	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0	0.02	0	0	0.11	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.13	0	0	0	0.02	0	0.02	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0.11	0.12	0.51	0.09	0.02	0
"njc5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0
"njc6"	0	0	0	0	0.09	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0.09	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0	0.02	0	0	0.11	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0.11	0.12	0.04	0.09	0.02	0
"njc7"	0	0	0	0	0.09	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.04	0	0	0	0	0	0	0.02	0	0	0	0	0.09	0	0.09	0	0.02	0	0	0	0.09	0	0	0.02	0	0	0	0	0.02	0	0	0.11	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0.11	0.12	0.04	0.09	0.02	0
"njc8"	0.02	0	0	0.2	0.02	0.11	0	0	0.04	0.04	0	0.04	0.04	0.04	0.02	0.13	0	0.02	0	0	0	0.36	0.04	0	0.09	0	0	0.02	0.07	0.04	0.02	0	0	0.09	0.02	0.04	0.49	0.13	0.18	0.04	0.04	0	0	0.02	0.02	0	0	0.11	0.11	0.04	0.18	0.16	0.13	0.04	0.22	0.22	0.02	0	0.07	0	0.02	0	0.27	0.07	0.07	0.09	0.02	0.16	0	0.04	0	0.18	0.09	0	0.02	0.04	0	0.04	0	0.02	0	0.04	0.04	0.09	0.02	0.11	0.16	0.13	0.02	0	0.09	0.02	0.02	0.02	0.04	0.02	0.07	0.16	0.04	0	0.11	0.02	0.02	0.2	0	0.02	0.11	0	0.04	0.04	0.04	0.02	0.09	0	0.04	0.21	0.09	0.18	0	0	0.04	0.02	0.11	0	0.02	0.02	0.13	0.33	0.04	0.11	0.13	0.02	0.04	0.04	0.18	0.04	0.04	0.01	0.2	0.02
"njc9"	42	27.56	30.31	59.8	27.38	44.28	43.24	21.3	42.4	55.56	28.8	20.7	24.34	38.63	45.27	21.95	22.83	40.34	24.72	16.61	12.51	22.15	19.51	26.72	41.44	24.61	27.88	13.03	18.18	34.83	31.17	23.45	22.97	28.73	20.89	28.47	20.57	33.67	3.71	33.33	65.85	33.73	13.54	34.82	34.07	25.21	41.53	15.62	38.54	29.61	21.73	45.73	21.89	40.7	29.87	16.37	5.26	25.57	33.16	24.47	29.18	38.09	23.61	16.03	16.2	14.63	33.56	15.55	14.62	21.89	3.56	34.97	17.81	18.47	37.76	18.73	14.11	45.01	33.01	15.99	31.28	17.96	24.01	12.62	26.3	23.13	20.77	18.66	34.42	33.51	41.7	33.85	41.93	15.73	24.59	18.92	17.42	31.38	23.69	39.36	35.87	16.23	20.88	20.36	18.45	41.21	17.12	10.56	11.15	30.73	22.87	18.32	19.01	1.98	6.54	38.52	10.99	24.91	34.46	13.54	27.4	26.87	29.86	46.98	26.17	26.43	15.77	18.16	29.66	27.53	41.26	31.3	16.23	12.3	33.08	30.9	43.55	26.28	20.95	22.94
"njc10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	16.1	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0
