"ID"	"Function"
"njc1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"njc2"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"njc3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"njc4"	"4-Aminobutyrate (GABA) -- Production"
"njc5"	"5-Aminovalerate -- Production"
"njc6"	"7-Oxodeoxycholic acid -- Production"
"njc7"	"7-Oxolithocholic acid -- Production"
"njc8"	"Acetate -- Consumption"
"njc9"	"Acetate -- Production"
"njc10"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"njc11"	"Acetone -- Production"
"njc12"	"Adenine -- Consumption"
"njc13"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"njc14"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"njc15"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"njc16"	"Arabinan -- Macromolecule"
"njc17"	"Arabinogalactan -- Macromolecule"
"njc18"	"beta-Muricholic acid -- Production"
"njc19"	"Biotin (Vitamin B7) -- Consumption"
"njc20"	"Biotin (Vitamin B7) -- Production"
"njc21"	"Butylamine -- Production"
"njc22"	"Butyrate -- Production"
"njc23"	"Cadaverine -- Production"
"njc24"	"Cellobiose -- Consumption"
"njc25"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"njc26"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"njc27"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"njc28"	"Cholic acid (Cholate) -- Consumption"
"njc29"	"Cholic acid (Cholate) -- Production"
"njc30"	"Choline -- Consumption"
"njc31"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"njc32"	"Citrate -- Consumption"
"njc33"	"CO2 -- Consumption"
"njc34"	"CO2 -- Production"
"njc35"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"njc36"	"D-Fructose (Fructose) -- Consumption"
"njc37"	"D-Fructuronate -- Consumption"
"njc38"	"D-Galactose -- Consumption"
"njc39"	"D-Galacturonate -- Consumption"
"njc40"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"njc41"	"D-Glucosamine (Glucosamine) -- Consumption"
"njc42"	"D-Glucose (Glucose) -- Consumption"
"njc43"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"njc44"	"D-Lyxose (L-Lyxose) -- Consumption"
"njc45"	"D-Mannitol (Mannitol) -- Consumption"
"njc46"	"D-Mannose (Mannose) -- Consumption"
"njc47"	"D-Psicose -- Consumption"
"njc48"	"D-Ribose (Ribose) -- Consumption"
"njc49"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"njc50"	"D-Tagatose -- Consumption"
"njc51"	"D-Tagaturonate -- Consumption"
"njc52"	"D-Xylose (Xylose) -- Consumption"
"njc53"	"Deoxycholic acid -- Production"
"njc54"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"njc55"	"Dimethylamine -- Production"
"njc56"	"Ethanol -- Production"
"njc57"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"njc58"	"Folic acid (Folate, Vitamin B9) -- Production"
"njc59"	"Formaldehyde -- Production"
"njc60"	"Formate -- Consumption"
"njc61"	"Formate -- Production"
"njc62"	"FOS (Fructooligosaccharide) -- Consumption"
"njc63"	"Fructan (Inulin, Levan) -- Macromolecule"
"njc64"	"Fumarate -- Consumption"
"njc65"	"Fumarate -- Production"
"njc66"	"Galactan -- Macromolecule"
"njc67"	"Glycerol -- Consumption"
"njc68"	"Glycochenodeoxycholate -- Consumption"
"njc69"	"Glycocholate -- Consumption"
"njc70"	"Glycodeoxycholate -- Consumption"
"njc71"	"Glycolithocholate -- Consumption"
"njc72"	"H2 (Hydrogen) -- Consumption"
"njc73"	"H2 (Hydrogen) -- Production"
"njc74"	"H2O2 -- Production"
"njc75"	"H2S (HS-) -- Production"
"njc76"	"Hemicellulose, not specified -- Macromolecule"
"njc77"	"Hippurate -- Consumption"
"njc78"	"Histamine -- Production"
"njc79"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"njc80"	"Indole-3-acetate (Indoleacetate) -- Production"
"njc81"	"Indole -- Production"
"njc82"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"njc83"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"njc84"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"njc85"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"njc86"	"L-Alanine (D-Alanine, Alanine) -- Consumption"
"njc87"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"njc88"	"L-Arginine (Arginine) -- Consumption"
"njc89"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"njc90"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"njc91"	"L-Fucose -- Consumption"
"njc92"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"njc93"	"L-Glycine (Glycine) -- Consumption"
"njc94"	"L-Histidine (Histidine) -- Consumption"
"njc95"	"L-Idonate -- Consumption"
"njc96"	"L-Isoleucine (Isoleucine) -- Consumption"
"njc97"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"njc98"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"njc99"	"L-Leucine (Leucine) -- Consumption"
"njc100"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"njc101"	"L-Methionine (D-Methionine) -- Consumption"
"njc102"	"L-Ornithine (Ornithine) -- Production"
"njc103"	"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"
"njc104"	"L-Proline (Proline, D-Proline) -- Consumption"
"njc105"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"njc106"	"L-Serine (Serine, D-Serine) -- Consumption"
"njc107"	"L-Threonine (Threonine) -- Consumption"
"njc108"	"L-Threonine (Threonine) -- Production"
"njc109"	"L-Tryptophan (Tryptophan) -- Consumption"
"njc110"	"L-Tyrosine (Tyrosine) -- Consumption"
"njc111"	"L-Valine (Valine, D-Valine) -- Consumption"
"njc112"	"Lactose -- Consumption"
"njc113"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"njc114"	"Lipoic acid (Lipoate) -- Consumption"
"njc115"	"Lithocholic acid -- Production"
"njc116"	"Maltose -- Consumption"
