"ID"	"Kingdom"	"Phylum"	"Class"	"Order"
"o__Bacteroidales"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"
"o__Selenomonadales"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Selenomonadales"
"o__Aeromonadales"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Aeromonadales"
"o__Acidaminococcales"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Acidaminococcales"
"o__Veillonellales"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Veillonellales"
"o__Lachnospirales"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"
"o__Enterobacterales"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"
"o__Burkholderiales"	"k__Bacteria"	"p__Pseudomonadota"	"c__Betaproteobacteria"	"o__Burkholderiales"
"o__Eubacteriales"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"
"o__Coriobacteriales"	"k__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"
"o__Fusobacteriales"	"k__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"
"o__Bifidobacteriales"	"k__Bacteria"	"p__Actinomycetota"	"c__Actinomycetes"	"o__Bifidobacteriales"
"o__Pseudomonadales"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pseudomonadales"
"o__Lactobacillales"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"
"o__Anaeroplasmatales"	"k__Bacteria"	"p__Mycoplasmatota"	"c__Mollicutes"	"o__Anaeroplasmatales"
"o__Bacillales"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"
"o__Peptostreptococcales"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Peptostreptococcales"
"o__Pasteurellales"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pasteurellales"
"o__Eggerthellales"	"k__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Eggerthellales"
"o__Neisseriales"	"k__Bacteria"	"p__Pseudomonadota"	"c__Betaproteobacteria"	"o__Neisseriales"
