"ID"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"o__Selenomonadales"	1051	1514	924	1514	848	2062	783	705	769	622	1334	1058	1675	777	1263	721	412	393	1569	456	598	1004	491	649	903	721	336	560	1712	617	1057	815	944	693	772	656	1073	1067	2442	421	1382	411	376	1354	1674	600	547	828	567	1233	1239	530	553	117	346	658	1467	709	524	743	1577	1225	292	375	945	439	36	698	828	404	572	618	392	1608	1183	1527	551	643	289	877	1243	1491	233	1304	583	573	725	343	862	293	1126	111	452	739	64	157	2800	312	578	712	103	1345
"o__Bacteroidales"	617	337	928	449	1	771	736	960	1302	738	742	0	460	1056	1181	574	775	893	603	675	698	576	768	632	604	661	257	758	736	524	484	798	1040	431	721	1209	574	1213	470	627	885	685	1011	614	1026	1045	399	1037	1132	311	436	1197	1464	163	1366	1193	240	1019	252	671	243	1051	305	277	907	1246	129	508	1102	690	215	185	966	260	600	729	1233	224	273	472	892	352	99	538	1784	981	1238	2066	510	1408	590	224	801	1195	84	1000	1048	1243	220	1073	229	774
"o__Acidaminococcales"	574	497	877	308	0	298	1326	1015	752	752	767	0	621	1230	495	611	1054	1357	521	726	611	1036	650	710	1021	432	180	1043	465	519	836	1121	568	571	962	964	449	610	345	533	1023	863	454	320	1649	893	500	756	549	314	339	471	713	298	537	939	333	991	330	464	177	453	397	406	876	663	114	781	810	926	526	167	596	354	955	658	1001	389	847	394	706	659	521	607	790	735	588	717	640	1194	771	420	717	633	210	613	1257	699	262	713	305	828
"o__Veillonellales"	159	238	587	435	339	444	483	644	545	378	423	1587	592	340	451	1023	143	443	624	254	129	405	1293	609	398	584	105	11	713	271	329	468	897	504	414	481	560	155	279	172	456	274	146	1409	1624	248	569	265	809	875	1691	447	212	210	176	204	1254	285	513	1519	1402	455	296	167	95	844	79	986	378	832	852	26	940	1463	863	359	485	549	198	1529	498	1095	266	970	157	829	701	229	411	237	910	117	414	934	67	1401	1770	806	240	455	57	347
"o__Aeromonadales"	33	63	37	144	0	24	45	30	24	932	94	0	25	35	26	259	102	62	23	65	26	63	310	10	222	219	8	1192	16	43	742	30	5	15	343	29	14	37	14	2022	2	1340	98	2	285	889	1650	860	80	809	5	41	762	2871	1257	708	24	645	2057	71	4	20	1477	2505	75	98	3530	18	31	289	764	8	150	3	20	25	494	1529	798	19	84	4	2664	57	365	41	51	454	1175	28	10	2955	458	16	3489	37	44	22	863	48	3145	344
"o__Lachnospirales"	1162	566	544	662	0	313	473	475	346	376	356	0	452	327	334	642	343	703	435	759	357	392	312	429	455	625	211	282	244	392	243	371	399	383	549	471	613	683	295	127	3	234	358	179	1304	224	239	140	518	233	211	417	148	283	171	213	380	234	225	404	175	161	347	120	453	534	85	731	612	448	416	232	767	262	284	297	133	416	200	180	445	323	185	413	177	340	438	132	252	544	467	131	350	386	67	282	845	628	230	725	127	246
"o__Enterobacterales"	92	443	0	213	2745	0	7	4	0	74	17	1157	0	5	0	1	1071	27	0	895	1406	363	98	853	229	663	2807	0	0	1528	179	50	0	1288	90	3	633	15	2	5	167	0	468	0	133	0	24	1	133	15	0	660	0	0	0	2	3	0	10	3	322	0	787	0	473	0	0	9	1	73	610	2039	0	1	12	105	1	165	1150	399	0	2	0	0	0	177	0	0	3	15	4	0	528	0	1	9	0	1	1523	0	0	0
"o__Burkholderiales"	30	30	30	67	13	25	43	79	40	71	73	102	37	96	34	127	24	40	61	133	51	35	51	47	20	64	19	137	22	73	39	49	27	81	85	47	42	44	42	36	51	26	356	63	208	88	44	97	160	32	64	140	135	6	75	40	64	98	39	72	81	373	65	73	18	112	12	33	108	148	22	9	124	22	64	208	74	36	42	60	109	52	8	88	116	127	136	44	36	168	107	16	166	69	4	38	122	132	45	118	6	89
"o__Eubacteriales"	199	113	59	185	38	51	79	63	110	40	122	81	115	84	61	28	63	71	59	19	96	73	26	24	113	22	22	7	25	24	76	82	94	22	42	36	22	100	88	46	1	54	65	1	59	6	13	10	21	21	2	46	12	40	18	25	83	15	7	31	1	42	21	43	90	37	15	11	67	93	10	43	48	2	8	53	8	9	39	57	1	4	23	12	8	113	20	9	48	82	1	26	28	19	13	33	9	104	12	130	16	13
"o__Coriobacteriales"	37	11	2	20	1	12	9	18	81	3	47	3	13	40	27	9	5	10	6	7	5	39	0	30	22	0	47	7	10	6	6	1	8	8	5	89	13	46	19	3	20	46	65	53	25	5	12	2	21	143	9	31	1	12	38	8	129	3	20	18	11	45	10	2	8	22	0	196	4	5	7	3	10	22	5	11	3	30	98	6	4	13	0	4	16	36	83	3	39	3	11	0	47	8	1	383	88	19	9	18	12	3
