"ID"	"Hera_1"	"Wolverine_1"	"Buddy_11"	"Hamlet_11"	"Hera_11"	"JarJarBinks_11"	"Joans_11"	"Padme_11"	"Ginger_14"	"Hera_14"	"Iris_14"	"Kubo_14"	"Wolverine_14"	"JarJarBinks_15"	"Kubo_15"	"Buddy_16"	"Buddy_17"	"Iris_17"	"Ivy_17"	"Kubo_17"	"Lambchop_17"	"Padme_17"	"Wolverine_17"	"Buddy_18"	"Ginger_18"	"Hamlet_18"	"Hera_18"	"Iris_18"	"Ivy_18"	"JarJarBinks_18"	"Kubo_18"	"Lambchop_18"	"Wolverine_18"	"Franc_19"	"Ivy_19"	"Ophelia_19"	"Wolverine_19"	"Ginger_2"	"Hera_2"	"JarJarBinks_2"	"Lambchop_2"	"Ginger_20"	"Goose_20"	"Hera_20"	"Iris_20"	"Ophelia_20"	"Buddy_21"	"Hamlet_21"	"JarJarBinks_21"	"Joans_21"	"Korra_21"	"Franc_22"	"Goose_22"	"Grogu_22"	"Hamlet_22"	"Henry_22"	"Hera_22"	"Iris_22"	"Joans_22"	"Kubo_22"	"Marshmallow_22"	"Hamlet_23"	"Iris_23"	"Korra_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Marshmallow_24"	"Ophelia_24"	"Wolverine_24"	"Henry_25"	"Kubo_25"	"Ginger_29"	"Henry_29"	"JarJarBinks_29"	"Joans_29"	"Korra_29"	"JarJarBinks_3"	"Kubo_30"	"Hamlet_31"	"JarJarBinks_32"	"Ginger_36"	"Grogu_36"	"Henry_36"	"Franc_37"	"Goose_37"	"Grogu_37"	"Hera_37"	"Kubo_37"	"Lambchop_37"	"Ophelia_37"	"Wolverine_37"	"Goose_4"	"Grogu_41"	"Hamlet_41"	"Hera_41"	"Joans_41"	"Marshmallow_41"	"Ginger_42"	"Goose_42"	"Grogu_42"	"Henry_42"	"Ivy_42"	"Lambchop_42"	"Ophelia_43"	"Buddy_44"	"Franc_44"	"Ginger_44"	"Goose_44"	"Iris_44"	"Ivy_44"	"JarJarBinks_44"	"Joans_44"	"Lambchop_44"	"Marshmallow_44"	"Buddy_45"	"Franc_45"	"Grogu_45"	"Hamlet_45"	"Hera_45"	"Ivy_45"	"JarJarBinks_45"	"Joans_45"	"Korra_45"	"Marshmallow_45"	"Ophelia_45"	"Buddy_46"	"Charles_46"	"Hamlet_46"	"Iris_46"	"Ivy_46"	"Joans_46"	"Lambchop_46"	"Franc_47"	"Ginger_47"	"Marshmallow_47"	"Buddy_48"	"Charles_48"	"Franc_48"	"Grogu_48"	"Hamlet_48"	"Hera_48"	"Ivy_48"	"Joans_48"	"Korra_48"	"Kubo_48"	"Lambchop_48"	"Marshmallow_48"	"Ophelia_48"	"Wolverine_48"	"Charles_49"	"Franc_49"	"Ginger_49"	"Henry_49"	"Iris_49"	"Ivy_49"	"JarJarBinks_49"	"Kubo_49"	"Ophelia_49"	"Wolverine_49"	"Padme_5"	"Buddy_50"	"Charles_50"	"Franc_50"	"Ginger_50"	"Grogu_50"	"Ivy_50"	"JarJarBinks_50"	"Joans_50"	"Korra_50"	"Lambchop_50"	"Ophelia_50"	"Wolverine_50"	"Charles_51"	"Franc_51"	"Joans_51"	"Lambchop_51"	"Buddy_52"	"Ginger_52"	"Goose_52"	"Grogu_52"	"JarJarBinks_52"	"Kubo_52"	"Marshmallow_52"	"Franc_53"	"Kubo_53"	"Marshmallow_53"	"Charles_55"	"Ginger_55"	"Iris_55"	"Ivy_55"	"Lambchop_55"	"Ophelia_55"	"Buddy_56"	"Franc_56"	"Grogu_56"	"Joans_56"	"Buddy_57"	"Joans_57"	"Ophelia_57"	"Wolverine_57"	"Ginger_58"	"Goose_58"	"Wolverine_58"	"Goose_59"	"Hamlet_59"	"Henry_59"	"Iris_59"	"Ophelia_59"	"Korra_6"	"Padme_6"	"Iris_60"	"Joans_60"	"Marshmallow_60"	"Wolverine_60"	"Joans_62"	"Henry_66"	"Hamlet_67"	"Hera_67"	"Franc_68"	"JarJarBinks_68"	"Ginger_7"	"Hera_7"	"Iris_7"	"Padme_7"	"Grogu_70"	"Charles_9"	"Franc_9"	"Grogu_9"	"Henry_9"	"Ivy_9"	"Korra_9"
"o__Bacteroidales"	1034	718	1018	831	476	892	918	520	450	771	2628	438	839	846	465	3140	859	1279	1865	620	2	18	1060	29	987	1014	1319	1790	2108	1017	1024	0	633	1177	995	1449	1624	279	3494	2504	1485	1432	784	1230	829	963	1018	796	1053	738	871	1469	907	247	353	1408	1045	1012	1127	670	672	1097	1429	590	1644	1662	1642	788	296	1668	645	1343	855	719	1343	652	484	245	631	236	1045	1795	1262	238	1129	1354	1026	131	1811	768	879	634	614	3	117	1619	1067	507	4280	1566	801	588	1189	3195	2126	758	943	1390	846	189	1636	1414	2759	1431	1576	549	1424	1560	429	2926	2523	1649	374	2011	2392	221	923	1877	1642	2147	1957	329	1402	2075	921	335	419	386	1250	1715	178	1671	1510	1514	948	1203	1726	641	298	2278	1083	253	1330	359	822	835	1000	929	1346	2347	1020	939	380	648	1230	485	133	738	760	2454	1596	1422	387	334	1348	1710	2835	1142	701	811	918	309	785	1436	1102	1645	985	115	1377	1439	804	1707	3120	855	304	1478	313	1060	673	334	2593	417	758	483	316	751	1425	1234	1533	1620	1872	1170	2732	519	606	680	1038	2643	4237	181	635	1003	914	693	1535	980	3665	298	143	1475	2094	1368	2066
"o__Selenomonadales"	2021	2166	1207	1402	2403	960	1488	1976	3200	2499	1131	580	1826	1443	2080	103	826	1271	698	2081	1165	1	2835	1328	1511	1075	970	1059	604	856	1833	1454	2304	1096	850	1069	1735	238	108	359	18	774	990	540	2159	821	1090	1380	677	2252	894	1024	991	84	461	566	770	2354	1613	1454	1211	1121	1299	954	1008	901	1737	1474	156	1467	3359	1033	578	1761	1408	1445	1341	1570	1244	731	1934	1283	1153	43	979	1119	760	15	811	2347	502	300	2058	0	68	2788	1897	574	31	559	834	184	1448	546	747	1388	567	517	1861	1125	1511	2302	59	824	1154	752	1139	781	1695	573	563	728	519	760	681	161	1703	475	905	886	1015	2017	975	1617	1023	2168	400	516	1299	603	49	690	651	1138	554	947	1031	1197	786	470	1628	850	538	2211	1626	1305	2099	511	1178	306	1474	139	399	1205	1709	2051	321	1792	557	802	961	1662	129	2160	788	995	470	1787	1186	1548	1167	152	660	500	620	1016	875	89	216	3851	1400	430	915	997	794	979	142	1849	752	676	863	1384	1504	928	2491	804	1125	1366	555	285	1436	94	243	1511	387	2102	1672	400	97	2401	1373	909	1208	1879	1828	138	276	1428	484	749	1739	490	856
"o__Acidaminococcales"	1112	834	813	388	398	950	514	412	390	831	625	636	801	789	684	88	1073	1205	714	423	0	2	409	189	1302	1823	1395	1034	876	1034	1054	0	854	1001	1260	1691	680	156	382	86	279	2027	840	1866	716	840	879	1424	894	668	977	838	594	573	247	1579	1434	640	675	1149	983	1541	781	786	836	1326	2381	618	1105	838	474	518	732	1041	868	898	1302	536	1014	819	779	1790	750	322	1598	978	1413	216	1112	967	1054	517	1139	0	362	2190	946	1490	76	600	1090	504	690	616	1447	1025	1187	624	440	656	637	2267	111	1228	1669	688	1039	756	432	728	769	648	259	981	436	410	785	738	1291	864	899	458	1363	791	638	243	545	558	1204	912	157	1357	1419	1114	1274	696	1421	932	724	1270	450	230	819	487	1313	838	905	953	1437	1314	988	799	1164	542	971	906	716	835	1045	1087	1662	1123	304	523	1011	808	985	685	880	1060	883	577	1539	798	985	871	1530	288	843	1729	1086	961	571	951	361	981	419	1138	1145	285	598	317	1090	995	525	1248	899	1056	1312	705	2629	547	980	1614	668	615	799	677	215	755	628	834	452	955	2129	353	70	557	131	1101	964	565	524
"o__Veillonellales"	462	585	683	98	213	96	514	50	437	230	284	114	439	217	327	240	899	805	711	596	466	2	611	1	725	666	885	752	281	520	582	2180	817	860	639	467	622	77	97	118	12	569	1408	609	857	177	376	556	1778	1	839	881	805	61	146	656	13	980	454	452	803	643	1234	690	685	663	1617	773	146	215	385	414	234	1253	390	596	295	356	1104	378	624	1676	739	47	616	553	630	53	386	354	871	92	475	17	74	548	299	822	31	505	1111	305	1106	284	551	222	375	202	1937	2073	599	2227	86	337	339	782	367	1116	1203	294	383	616	76	291	659	287	221	244	280	575	589	1722	392	291	2087	1927	404	229	130	1163	107	592	529	517	1143	1003	402	1751	1175	219	479	35	1293	2010	1183	1682	495	928	625	221	546	485	270	2101	685	1506	367	1333	1991	216	624	617	40	545	1139	963	312	1500	565	1252	1340	161	1412	342	569	1286	763	90	1924	2432	1011	1109	400	128	327	627	79	477	389	390	291	338	1393	1428	392	1095	421	1389	825	378	538	384	456	579	463	741	1395	361	59	1338	1121	817	1045	1014	2465	118	47	43	364	1248	452	483	607
"o__Enterobacterales"	9	0	1122	21	470	602	447	495	5	204	0	2931	0	127	608	1	252	1	641	292	3775	5355	0	386	0	9	6	0	1	100	22	1591	0	460	1	7	0	3295	2	9	23	7	2	38	0	1934	0	499	135	4	1173	78	913	1	3857	570	0	0	753	247	0	67	0	1769	228	4	3	872	0	20	2	1535	10	2	554	385	0	2515	21	155	158	1610	336	0	85	3	226	0	4	94	360	3506	18	7373	0	470	217	147	2	1495	74	39	32	1	14	687	2	641	0	139	2	184	35	1	7	35	1	182	21	11	40	908	3553	0	532	0	676	0	4	63	164	5	0	14	4	443	1082	0	650	0	0	10	119	2	99	817	1	11	842	253	1112	2803	0	1	15	2	144	223	1	325	370	2765	1580	549	0	2	0	0	117	0	97	22	4376	1442	243	0	0	2	4	4	2	0	37	1655	742	0	62	1	13	1	0	1	68	1522	2092	0	0	1	3	1498	124	2336	0	503	1105	111	342	21	0	1846	22	2668	10	391	2099	350	42	9	21	1	426	292	6776	0	1	3014	635	2342	4123	128	3670	928	69
"o__Aeromonadales"	56	104	105	27	42	90	1070	31	48	52	31	191	32	45	86	14	194	50	27	196	1	1	32	3344	81	62	41	33	117	1282	130	0	35	15	112	48	35	1224	26	12	3260	80	355	85	32	35	591	87	426	1335	14	37	302	4401	11	40	1640	22	19	1021	1380	41	6	21	31	40	216	19	3327	51	20	13	2779	47	25	692	1552	15	145	2641	86	908	14	4724	64	130	575	4921	33	62	830	19	44	1	4715	355	107	329	1	33	774	3447	11	51	82	69	1841	135	3	302	35	393	1182	1222	217	2269	1182	109	1111	22	27	56	21	1048	6	3949	72	1728	972	36	40	33	887	150	98	5	2031	3444	102	134	4852	22	33	42	396	4	116	527	1052	51	18	11	205	3	27	15	34	198	67	60	60	19	1096	26	116	6	3663	78	202	503	21	203	8	22	56	69	624	88	1615	14	581	4062	73	28	631	23	74	4799	52	60	27	30	79	60	1187	65	4324	473	2014	2007	52	77	25	744	34	752	30	28	41	29	2299	4	35	307	804	48	178	25	22	19	519	372	34	59	89	12	3	16	6	98	86	955	6
"o__Lachnospirales"	556	586	297	474	835	597	355	541	605	500	338	252	1152	1600	784	61	291	742	621	916	0	8	425	65	203	648	656	477	373	520	490	0	617	679	766	455	464	62	152	137	20	374	883	965	598	492	188	539	429	242	587	890	855	122	291	476	388	330	580	331	338	509	552	530	707	649	1732	841	434	937	406	234	182	577	492	694	338	208	1164	297	622	1503	809	102	741	1004	678	135	763	440	797	300	671	1	121	2272	607	1205	67	371	629	354	553	387	174	986	322	497	250	809	655	1788	67	311	304	327	192	703	321	304	528	573	538	204	507	391	778	234	293	477	554	518	320	106	557	238	479	162	623	731	117	867	957	847	610	588	453	323	564	505	401	321	1054	363	391	584	408	1549	441	575	566	258	275	246	611	445	252	571	602	240	392	181	133	209	470	601	189	114	345	643	427	178	818	548	484	530	759	91	384	1164	836	866	115	642	316	993	176	341	276	237	592	458	638	187	447	563	856	139	863	382	1435	464	705	414	397	287	172	552	160	534	599	712	368	601	2255	667	23	470	195	397	80	495	800
"o__Burkholderiales"	86	92	110	41	33	57	91	53	155	116	86	41	25	40	42	717	221	42	111	92	18	0	35	129	333	60	108	54	118	97	99	140	50	71	86	133	45	109	1032	636	353	56	174	55	84	69	125	46	70	155	65	153	87	5	25	108	187	32	38	54	76	68	37	113	203	65	182	58	4	58	58	221	49	91	180	89	69	40	119	21	134	269	268	14	100	68	137	12	94	73	156	21	49	2	17	259	119	255	385	264	163	44	274	184	132	108	35	491	85	60	127	285	831	121	62	61	132	220	44	229	84	193	26	186	194	8	124	104	54	250	112	86	136	252	100	112	90	100	24	154	17	67	66	148	204	112	83	102	31	75	129	12	170	31	88	106	287	127	161	102	235	43	59	83	150	70	11	120	175	160	119	133	10	157	174	186	60	105	50	147	148	21	92	107	229	93	50	5	52	166	108	181	144	69	60	162	8	122	97	50	125	49	70	166	37	139	57	185	166	82	91	40	124	95	47	278	175	166	474	22	140	157	137	168	238	56	567	29	38	82	203	151	281
"o__Fusobacteriales"	35	143	41	2066	456	1086	37	1245	169	204	263	252	76	37	254	0	798	15	5	1	0	1	0	2	31	8	0	32	473	4	4	0	5	25	265	0	167	36	20	73	0	77	2	0	131	0	1122	12	0	53	0	15	8	0	4	55	1	72	117	3	0	279	20	0	24	12	820	0	0	1	1	38	8	2	26	0	68	0	0	17	8	0	41	0	131	33	16	0	38	248	4	18	124	1	0	134	73	78	0	35	0	0	75	125	205	36	85	597	1	1	157	2	0	0	130	0	0	2	0	50	85	2	7	0	0	0	29	20	6	6	99	29	0	158	5	0	0	41	58	0	0	9	3	21	64	0	155	2	0	36	29	19	1	0	8	22	30	1	23	3	51	7	50	6	0	0	0	0	0	0	0	29	3	38	31	8	0	15	21	1	0	0	0	3	0	0	78	0	40	0	66	3	30	33	12	2	0	2	49	2	11	40	0	2	25	10	110	43	26	1	265	26	14	0	0	109	1	179	24	5	5	74	1	35	192	112	0	93	0	99	1510	0	2
"o__Eubacteriales"	77	128	76	124	139	145	30	87	26	72	87	58	246	272	153	3	40	82	69	254	52	5	73	7	86	108	88	150	102	53	165	112	158	92	138	112	85	7	42	34	10	26	41	99	82	131	27	103	37	34	32	92	32	5	31	11	10	35	101	103	26	112	128	28	117	49	379	31	22	140	121	13	63	2	11	35	40	11	47	73	81	75	10	9	34	183	23	16	369	104	26	64	128	27	26	334	131	80	9	3	18	25	4	68	2	195	77	91	2	19	76	81	8	8	4	17	15	28	31	96	128	63	103	17	33	56	145	26	35	113	58	118	20	7	43	1	29	61	129	49	21	189	195	91	126	57	95	5	14	227	103	55	68	2	9	88	74	67	181	209	125	22	54	74	1	5	31	17	32	11	21	6	73	43	152	27	13	3	69	2	10	37	62	69	38	25	171	19	46	16	145	145	3	146	19	177	22	17	60	18	132	65	11	14	89	19	139	18	152	93	280	70	171	63	20	71	8	4	50	116	35	42	6	84	243	35	7	167	10	92	16	30	196
