"ID"	"buddy_11"	"joans_11"	"padme_11"	"ginger_14"	"buddy_16"	"buddy_17"	"ivy_17"	"lambchop_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"lambchop_18"	"franc_19"	"ivy_19"	"ginger_2"	"lambchop_2"	"ginger_20"	"goose_20"	"buddy_21"	"joans_21"	"franc_22"	"goose_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"goose_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"lambchop_25"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"goose_37"	"grogu_37"	"lambchop_37"	"goose_4"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"ivy_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"goose_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"lambchop_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"lambchop_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"lambchop_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ginger_58"	"goose_58"	"goose_59"	"henry_59"	"padme_6"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"ginger_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"
"o__Bacteroidales"	737	668	380	328	2285	624	1355	0	11	22	719	1533	0	857	723	199	1079	1042	573	741	536	1069	661	178	1023	819	491	1195	1193	721	708	840	1195	216	978	885	525	976	352	918	173	821	338	985	747	97	641	3	433	84	640	3113	1141	585	426	867	2323	1548	685	1012	614	140	1026	1044	1145	399	1037	1132	314	436	1196	1464	163	1366	1194	1378	239	1019	1512	251	671	245	1051	305	279	909	1246	129	508	1103	690	466	217	184	966	259	600	729	1232	224	684	277	472	892	351	97	538	1785	1035	981	1242	2066	827	509	1409	589	667	224	800	1196	84	1000	1047	1243	2272	222	1074	227	774	489	243	551	356	545	895	854	377	441	756	1922	347	460	666	712	2666	217	102	1074	1522	996
"o__Selenomonadales"	877	1083	1437	2328	74	601	508	848	1	966	1099	440	1058	797	618	174	13	561	721	794	1638	745	721	61	411	1173	881	734	764	772	580	759	1263	113	751	1382	1280	1024	975	838	31	712	891	814	554	11	365	0	535	50	903	23	406	607	134	1054	397	542	411	376	1354	818	1674	600	839	547	828	567	1233	1239	530	553	117	346	658	198	1467	709	1177	524	743	1577	1225	292	375	945	439	36	698	828	404	871	572	618	392	1608	1183	1527	551	643	101	289	877	1243	1491	233	1304	583	1209	573	725	343	1299	862	293	1126	849	111	452	739	64	157	2800	312	665	578	712	103	1345	547	492	1094	674	584	994	69	1099	282	1216	291	1036	999	878	101	200	1040	352	544	1263	357
"o__Acidaminococcales"	591	374	300	284	64	780	520	0	2	138	947	637	0	728	917	113	203	1474	611	639	486	609	432	416	1148	491	715	608	1217	962	458	756	1732	804	377	1023	757	631	947	545	234	1162	443	711	1027	157	767	0	948	263	1725	55	436	792	366	502	448	1052	863	454	320	477	1649	893	1214	500	756	549	314	339	471	713	298	537	939	913	333	991	575	330	464	177	453	397	406	876	663	114	781	810	926	678	526	167	596	354	955	658	1001	389	581	847	394	706	659	521	607	790	816	735	588	717	498	640	1194	771	642	420	717	633	210	613	1257	699	415	262	713	305	828	833	207	793	724	908	768	398	1174	486	581	492	421	457	330	257	51	406	95	801	701	411
"o__Aeromonadales"	76	778	22	35	10	142	19	0	0	2432	59	85	0	11	81	890	2371	59	259	430	971	28	219	3201	29	14	1003	23	23	343	852	32	156	2418	10	2	34	18	1129	10	3436	47	1556	95	417	3579	604	1	38	3429	484	1	24	562	2508	8	37	60	1340	98	2	220	285	889	158	1650	860	80	809	5	41	762	2871	1257	708	383	24	645	108	2057	71	4	20	1477	2505	75	97	3530	18	31	289	383	764	8	150	3	20	25	494	1529	14	798	19	84	4	2664	57	365	146	41	51	454	65	1175	28	10	422	2955	458	16	3489	37	44	22	56	863	48	3145	344	1466	1458	18	540	546	20	3	224	586	129	18	47	378	25	9	2	12	4	71	63	696
"o__Veillonellales"	496	373	37	319	176	652	515	339	2	1	527	204	1587	627	465	56	9	415	1023	274	1	641	583	45	477	332	583	499	453	414	498	649	1176	106	301	456	911	284	214	537	34	450	412	401	459	38	633	17	598	53	1518	23	369	809	222	805	205	401	274	145	1410	1507	1623	248	248	569	265	809	875	1691	448	212	210	176	204	383	1252	285	213	513	1519	1402	455	296	167	95	844	79	986	378	832	1270	853	27	940	1463	863	359	484	549	350	198	1529	498	1096	265	970	157	451	829	701	229	1093	411	237	911	978	117	414	935	67	1401	1770	806	289	240	455	57	347	284	283	1013	1038	797	1010	281	420	338	1014	264	641	815	759	86	35	32	265	905	329	352
"o__Enterobacterales"	817	325	359	4	0	184	466	2746	3895	280	0	1	1157	333	0	2397	17	5	2	0	2	57	663	1	415	547	0	166	0	90	467	458	3	0	1118	167	2	403	0	244	0	61	0	2	164	0	260	5361	871	0	780	1	1088	53	28	23	1	10	0	468	0	101	135	0	5	24	1	133	14	0	659	0	0	0	3	1	4	0	10	10	3	322	0	787	0	473	0	0	9	1	73	9	610	2039	0	0	13	105	1	165	2010	1150	399	0	1	0	0	0	15	177	0	0	1	3	15	3	1	0	534	0	0	9	0	1	50	1522	0	0	1	1	1090	0	366	80	13	1942	285	1525	31	7	614	311	4930	2193	462	1703	2998	94	2670	676
"o__Lachnospirales"	220	259	397	436	43	213	453	0	7	46	148	271	0	494	558	47	15	273	643	138	175	648	625	89	346	424	245	510	269	549	341	289	1256	315	169	3	418	359	245	589	75	539	198	731	495	96	579	1	332	89	1372	48	266	454	257	403	282	125	234	358	183	587	1305	220	222	239	140	517	236	211	418	148	283	171	214	379	380	234	73	227	404	174	161	345	121	453	533	85	731	616	445	237	413	231	768	263	283	297	135	416	190	199	179	446	324	186	413	176	132	339	437	132	82	252	545	468	311	131	351	385	67	283	848	629	84	228	725	128	245	200	173	463	135	410	102	337	300	288	128	400	374	434	265	485	17	342	145	290	60	359
"o__Burkholderiales"	79	65	37	113	522	160	82	13	0	95	242	86	102	51	63	79	255	40	127	90	112	111	64	5	79	28	55	148	60	85	60	112	131	3	161	50	66	131	51	195	10	73	146	50	99	9	113	0	156	13	362	280	193	119	32	199	134	96	26	356	63	44	208	88	45	44	97	160	32	64	140	135	6	75	40	240	63	98	183	39	72	81	373	65	73	18	112	12	33	108	148	75	22	9	124	22	64	208	74	36	32	42	60	109	52	8	88	117	96	127	136	44	77	36	168	107	107	16	166	69	4	38	122	132	104	45	118	7	89	70	37	51	120	101	135	29	68	35	127	121	86	103	99	41	412	22	28	59	147	110
"o__Fusobacteriales"	30	27	905	123	0	581	4	0	1	2	23	344	0	19	194	27	0	56	2	817	39	11	6	0	39	84	0	18	14	13	0	34	597	0	28	1	1	19	49	30	0	95	0	24	12	0	3	1	69	0	113	0	25	0	0	55	91	149	61	434	0	0	1	0	94	0	0	1	0	0	2	0	0	15	4	57	20	0	115	0	4	0	167	0	29	42	0	0	7	15	47	1	0	14	0	0	6	22	0	0	5	37	4	0	0	0	0	0	21	23	6	0	11	16	19	0	0	0	0	0	0	28	0	2	22	9	1	0	1	35	1	0	1	8	32	19	0	0	0	129	129	3	0	79	0	68	0	71	1100	0
"o__Eubacteriales"	56	21	65	20	2	29	50	38	3	6	62	74	82	66	103	6	7	19	28	20	24	65	22	3	9	73	18	87	1	42	26	10	274	17	8	1	2	8	31	7	7	23	10	133	17	11	21	20	11	19	91	6	2	12	19	2	49	2	55	64	1	11	59	6	3	13	10	22	20	2	47	12	40	18	27	10	84	15	6	5	31	1	42	21	43	94	37	15	11	66	93	4	10	41	48	2	8	53	8	9	16	38	56	1	4	23	12	8	5	114	19	9	1	49	82	1	6	26	28	19	14	33	10	104	3	13	131	16	13	44	13	7	9	13	14	49	47	12	5	3	79	27	5	25	5	121	8	68	9	22
"o__Coriobacteriales"	16	13	4	9	45	13	20	1	1	1	56	23	3	14	23	3	6	27	9	50	2	9	0	1	21	12	5	6	4	5	4	49	86	5	89	20	3	139	5	70	0	13	1	53	9	1	14	0	3	0	5	25	39	5	8	76	24	13	46	65	53	79	24	7	19	12	2	21	144	9	31	1	12	38	7	54	129	3	6	20	18	11	45	10	1	8	22	0	196	3	5	5	7	2	10	22	5	11	3	30	3	97	6	4	14	0	4	16	8	36	83	3	12	39	3	11	12	0	47	7	1	383	86	19	34	10	18	12	3	28	3	3	11	4	4	3	2	1	10	250	107	7	11	2	8	2	0	21	118	21
"o__Lactobacillales"	2	5	21	0	0	2	0	3	40	2	17	9	4	0	39	0	0	19	1	2	7	0	2	0	0	0	2	0	1	1	1	11	75	3	2	0	1	4	1	15	0	0	3	0	0	0	0	1430	1	0	2	0	4	0	0	2	2	1	0	35	0	4	1	2	5	1	3	0	6	1	0	0	0	0	0	0	0	1	11	14	0	1	3	0	0	1	0	0	16	5	10	0	0	642	4	0	0	2	12	3	10	19	4	6	1	1	2	3	41	15	2	1	26	1	3	1	5	0	13	1	0	13	9	8	4	3	1	0	8	2	0	1	22	2	11	5	2	0	1	24	0	0	5	9	0	11	2	0	5	0
