"ID"	"buddy_16"	"buddy_17"	"ivy_17"	"padme_17"	"buddy_18"	"ginger_18"	"ivy_18"	"franc_19"	"ivy_19"	"ginger_20"	"buddy_21"	"joans_21"	"franc_22"	"grogu_22"	"henry_22"	"joans_22"	"marshmallow_22"	"franc_24"	"ginger_24"	"grogu_24"	"henry_24"	"ivy_24"	"marshmallow_24"	"henry_25"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"
"c__Negativicutes"	314	2034	1543	4	1105	2573	1281	2152	2000	2450	1708	2125	1995	522	2036	1995	2179	1839	2434	1536	2164	4172	1023	1430	1916	2802	1998	187	2301	1159	1248	622	1291	1972	1495	1688	1821	1966	1917	1890	2312	1529	1925	2078	2819	1427	1858	2778	1739	2356	1337	2189	2615	2362	2384	2476	344	2348	2890	2469	2624	1195	2564	2306	2544	1369	1509
"c__Bacteroidia"	2285	624	1357	11	22	719	1534	856	724	1042	740	537	1065	178	1022	822	491	1197	1193	710	840	1195	216	978	552	139	1191	2007	1145	2126	1833	272	1740	669	1378	1560	1424	1512	1219	1100	957	581	874	1257	466	1659	788	610	677	982	1709	745	552	1161	849	1037	280	244	829	667	572	1044	394	721	586	2272	623
"c__Gammaproteobacteria"	19	340	486	3932	2717	155	339	346	270	66	430	976	85	3202	446	561	1003	190	23	1319	490	160	2418	1128	549	320	29	884	164	25	50	2596	392	546	384	75	147	120	23	109	36	1247	597	85	392	222	822	12	306	48	279	314	231	85	64	169	3189	1064	66	423	81	1223	73	97	22	106	1153
"c__Clostridia"	45	239	503	11	54	210	345	560	662	292	158	198	720	93	355	495	264	599	270	366	299	1537	332	178	857	602	535	53	225	292	477	465	394	669	388	430	446	82	767	838	572	514	467	396	241	536	370	490	1177	451	571	500	461	301	522	135	149	184	84	317	640	448	635	678	709	85	570
"c__Betaproteobacteria"	522	162	83	0	97	242	86	51	63	40	92	114	111	5	79	29	55	148	60	60	112	131	3	161	78	44	92	605	46	166	61	20	142	90	240	182	82	187	48	48	68	117	82	61	75	56	94	76	92	117	77	172	128	87	100	103	8	114	78	107	67	78	39	36	78	105	50
"c__Fusobacteriia"	0	581	4	0	2	23	345	19	197	56	817	39	11	0	40	84	0	18	14	0	34	597	0	28	27	1	114	0	94	37	62	5	0	21	57	4	71	115	7	2	48	7	0	112	1	27	21	16	1	17	3	37	0	0	14	21	2	28	11	0	0	2	37	57	48	22	25
"c__Coriobacteriia"	51	12	19	0	1	56	23	14	23	27	51	2	10	0	21	12	5	5	4	4	49	86	5	91	5	83	23	19	19	193	266	9	37	14	56	59	6	5	16	11	5	5	47	6	5	61	45	13	7	19	19	39	7	3	44	7	8	15	11	12	14	8	250	94	5	34	61
"c__Actinomycetes"	753	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	241	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1
"c__Bacilli"	0	3	0	41	1	20	10	0	39	22	2	8	0	0	0	0	2	0	1	1	12	102	3	2	1	2	0	0	6	0	1	1	2	4	0	1	0	11	1	1	0	0	4	1	0	1	1	0	0	2	0	0	5	0	18	51	5	1	26	5	1	2	7	1	0	6	0
"c__Mollicutes"	0	0	1	0	0	0	26	0	11	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	11	0	12	2	0	0	0	3	0	12	0	0	2	0	0	0	0	0	0	0	0	7	0	2	0	5	0	1	0	0	0	0	10	0	0	0	0	0	0	9	4	0	1
"c__Epsilonproteobacteria"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
