"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"f__Selenomonadaceae"	1280	1024	975	838	31	712	891	814	11	535	50	903	23	406	134	1054	397	627	1007	674	1812	584	817	404	207	177	1528	70	1747	661
"f__Succinivibrionaceae"	34	18	1129	10	3436	47	1556	95	3579	38	3429	484	1	24	2508	8	37	38	55	540	25	546	22	30	21	26	35	16	13	272
"f__Acidaminococcaceae"	757	631	947	545	234	1162	443	711	157	948	263	1725	55	436	366	502	448	435	230	724	382	908	654	954	513	713	448	156	549	606
"f__Veillonellaceae"	911	284	214	537	34	449	412	401	38	598	53	1518	22	369	222	805	204	210	244	1038	286	797	307	600	274	333	542	43	972	595
"f__Bacteroidaceae"	76	316	102	209	126	418	23	218	50	197	54	159	203	425	38	258	2170	1069	223	61	154	84	737	381	493	836	322	2339	91	212
"f__Prevotellaceae"	343	486	230	470	32	281	302	682	31	171	20	477	2675	546	355	340	4	424	39	278	31	420	212	519	462	599	107	538	24	385
"f__Lachnospiraceae"	417	358	246	590	75	540	198	731	98	333	89	1371	48	267	258	402	282	434	336	136	324	411	622	629	270	518	207	114	391	513
"f__Enterobacteriaceae"	2	403	0	243	0	62	0	2	0	871	0	780	1	1088	28	0	1	76	1699	365	804	80	243	0	1327	4	246	16	1	210
"f__Sutterellaceae"	66	131	51	195	10	73	146	50	9	156	13	362	280	193	32	199	134	91	36	120	27	101	43	121	60	91	202	344	15	115
"f__Tannerellaceae"	103	152	14	230	10	91	13	65	13	54	8	4	187	155	29	240	133	307	32	16	41	40	66	184	198	492	60	185	15	104
"f__Coriobacteriaceae"	2	134	4	64	0	13	1	51	1	3	0	5	19	38	7	69	18	61	11	10	21	4	66	15	34	10	109	32	86	68
"f__Fusobacteriaceae"	1	19	49	30	0	95	0	24	0	69	0	113	0	25	0	55	91	7	30	1	19	8	80	19	0	11	79	18	2	54
"f__Clostridiaceae"	2	5	8	7	5	16	8	76	9	4	16	83	5	2	15	2	13	35	23	6	39	12	42	73	26	72	31	19	54	17
"f__Bifidobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
