"ID"	"hera_1"	"wolverine_1"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"jarjarbinks_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"ophelia_43"	"goose_44"	"iris_44"	"jarjarbinks_44"	"lambchop_44"	"hamlet_45"	"hera_45"	"jarjarbinks_45"	"korra_45"	"ophelia_45"	"goose_46"	"hamlet_46"	"iris_46"	"lambchop_46"	"hamlet_48"	"hera_48"	"iris_48"	"jarjarbinks_48"	"korra_48"	"kubo_48"	"lambchop_48"	"ophelia_48"	"wolverine_48"	"iris_49"	"jarjarbinks_49"	"kubo_49"	"ophelia_49"	"wolverine_49"	"jarjarbinks_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"lambchop_51"	"goose_52"	"jarjarbinks_52"	"kubo_52"	"hera_53"	"kubo_53"	"iris_55"	"lambchop_55"	"ophelia_55"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"korra_6"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"	"hera_7"	"iris_7"	"korra_9"	"ophelia_9"
"f__Selenomonadaceae"	1470	1575	1020	1748	699	1818	823	593	422	1327	1051	1514	924	1514	848	2062	783	705	769	622	1334	1058	1675	777	1263	78	261	13	721	412	393	1569	456	598	1004	491	649	903	721	336	560	1712	617	1057	815	944	693	772	656	1073	1067	2442	421	1382	1050	1142	904	532	1406	932	554	590	1707	365	219	1497	0	2027	1380	607	542	1010	818	1099	43	839	418	410	378	495	1239	198	644	738	1177	501	473	965	439	689	751	871	342	1184	948	373	857	222	1073	405	699	626	1209	95	1570	1299	849	479	364	893	638	1017	665	724	627	1007	674	1812	584	817	404	207	1044	177	1528	70	1747	661	1367	1330	623	1196
"f__Acidaminococcaceae"	809	606	283	290	691	605	455	835	463	582	574	497	877	308	0	298	1326	1015	752	752	767	0	621	1230	495	278	63	203	611	1054	1357	521	726	611	1036	650	710	1021	432	180	1043	465	519	836	1121	568	571	962	964	449	610	345	533	1023	653	390	737	596	567	1302	1027	809	704	767	376	829	0	1593	688	792	1052	745	477	463	81	1214	529	559	189	317	571	913	628	654	575	987	1032	667	663	506	1033	678	924	327	609	693	1045	956	719	760	1209	1157	816	221	380	498	642	1119	581	1309	1113	790	415	692	435	230	724	382	908	654	954	513	1912	713	448	156	549	606	695	1548	381	921
"f__Veillonellaceae"	335	425	71	154	70	165	206	109	83	319	159	238	586	435	341	445	483	644	545	378	423	1587	593	340	451	69	85	9	1024	143	443	625	254	129	406	1292	609	398	583	105	11	713	271	328	467	897	505	414	480	559	156	279	172	456	432	259	803	276	454	1220	459	279	256	633	66	345	17	399	219	810	401	162	1507	436	63	248	212	279	55	480	162	382	416	429	214	429	385	680	427	730	294	1270	161	348	1221	674	454	160	397	1449	454	601	450	30	398	1093	978	1026	250	362	555	737	288	93	210	244	1038	286	797	307	600	274	391	332	542	43	972	595	738	1792	441	215
"f__Lachnospiraceae"	402	427	345	604	438	365	244	837	181	837	1163	566	543	662	0	313	472	478	346	377	356	0	451	329	337	109	98	15	642	343	703	436	765	358	392	313	429	456	626	212	281	244	392	244	371	399	384	550	472	614	681	295	127	3	504	152	848	217	452	1091	495	553	321	578	219	489	0	1648	442	456	125	715	590	477	48	222	222	384	390	371	565	380	348	404	75	631	695	497	461	427	328	236	369	293	425	1127	322	422	413	439	285	441	131	93	151	82	311	595	398	541	555	605	85	468	434	336	135	324	412	622	629	272	1053	519	207	113	389	512	438	1644	581	717
"f__Bacteroidaceae"	290	369	556	310	533	478	1399	895	214	433	464	214	419	206	0	621	561	817	588	252	288	0	339	647	482	980	1132	835	153	655	754	234	235	411	361	287	175	306	137	160	86	292	213	157	633	141	135	135	980	163	812	273	235	150	179	81	131	63	474	356	84	1033	291	82	349	227	1	896	566	70	142	433	23	442	151	63	1473	1497	205	249	489	314	955	518	159	897	881	292	136	97	635	53	1295	414	140	188	376	1292	449	130	58	361	72	214	180	39	99	110	137	312	395	196	148	455	1069	223	63	155	83	737	381	490	693	836	322	2335	91	211	304	227	348	523
"f__Enterobacteriaceae"	6	0	16	342	438	148	0	53	2133	0	92	443	1	213	2746	0	7	3	0	74	17	1157	0	4	0	1	5	17	1	1071	27	0	895	1405	363	98	853	230	663	2807	0	0	1528	179	44	0	1290	90	2	633	15	2	5	167	280	1828	16	113	103	1173	164	3	68	260	2548	13	5362	342	155	53	10	498	100	1	25	5	9	30	2573	384	485	1	48	118	10	6	85	0	1065	593	1	9	183	809	1	162	0	235	270	85	70	20	15	3176	1049	1	1	26	1202	49	44	0	50	1097	76	1699	366	804	80	244	0	1326	15	4	246	15	1	212	0	0	50	0
"f__Prevotellaceae"	447	90	26	21	52	66	293	136	67	83	84	78	350	119	0	2	144	92	517	397	229	0	3	262	513	1506	239	197	379	66	65	290	324	152	163	364	362	134	467	73	673	308	206	170	123	812	214	506	159	326	161	23	257	734	201	68	271	67	183	681	613	184	244	495	48	127	1	219	168	471	1356	69	103	425	1608	1062	570	244	35	1243	99	987	548	445	1304	208	131	434	340	613	513	383	226	226	361	328	508	263	165	284	980	336	952	24	26	777	537	289	725	55	245	310	2078	82	424	39	278	32	420	212	519	464	404	599	107	539	24	386	177	737	863	88
"f__Succinivibrionaceae"	41	76	20	30	66	38	23	32	139	23	33	63	37	144	0	24	44	30	24	932	94	0	25	35	26	19	10	2371	259	102	62	23	65	26	63	309	10	222	219	8	1192	16	43	742	29	5	15	343	29	14	37	14	2022	2	504	11	106	1922	62	659	417	24	45	604	14	32	1	258	78	562	60	50	220	25	859	158	16	20	15	5	53	383	26	29	108	16	24	36	182	3	85	383	37	13	11	144	48	44	44	147	15	44	146	6	16	65	422	54	20	24	54	20	56	44	38	55	540	25	546	21	30	21	1670	26	35	16	14	272	43	65	4	55
"f__Sutterellaceae"	62	67	30	25	41	84	63	44	30	18	30	30	31	67	13	25	43	78	40	71	72	102	36	96	34	750	463	255	127	24	40	61	133	51	34	51	47	21	64	19	137	22	73	39	49	27	81	85	47	41	42	42	36	50	65	29	87	16	97	197	99	69	53	113	16	36	1	188	87	119	96	78	44	92	605	46	166	61	20	142	90	240	182	82	184	48	47	67	117	82	61	75	56	94	76	92	117	74	171	128	87	100	96	8	114	77	107	67	78	39	36	78	104	50	91	36	120	27	101	43	121	60	66	91	202	344	15	115	122	174	205	43
"f__Tannerellaceae"	12	53	17	13	49	15	153	105	28	75	60	38	105	112	0	142	22	37	153	72	187	0	104	100	145	43	385	39	40	48	58	60	106	101	42	101	85	129	52	23	0	114	85	119	33	56	81	74	54	76	165	167	90	1	86	30	51	32	87	205	46	85	20	60	51	85	0	55	37	40	50	41	13	291	197	20	75	78	26	236	68	73	49	406	47	89	68	174	92	158	80	28	105	145	97	137	80	124	124	131	101	128	12	40	35	12	31	170	146	22	65	64	46	60	307	32	16	41	40	66	184	198	200	492	60	185	15	104	16	129	263	40
