"ID"	"jarjarbinks_15"	"kubo_15"	"iris_17"	"kubo_17"	"lambchop_17"	"wolverine_17"	"hamlet_18"	"hera_18"	"iris_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"ophelia_19"	"wolverine_19"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"jarjarbinks_21"	"korra_21"	"kubo_21"	"goose_22"	"hamlet_22"	"hera_22"	"iris_22"	"korra_22"	"kubo_22"	"hamlet_23"	"iris_23"	"korra_23"	"goose_24"	"hera_24"	"kubo_24"	"ophelia_24"	"wolverine_24"	"kubo_25"	"lambchop_25"	"buddy_44"	"franc_44"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"henry_45"	"ivy_45"	"joans_45"	"marshmallow_45"	"buddy_46"	"charles_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"henry_48"	"ivy_48"	"joans_48"	"marshmallow_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"marshmallow_49"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"joans_50"	"charles_51"	"franc_51"	"joans_51"	"buddy_52"	"charles_52"	"ginger_52"	"grogu_52"	"marshmallow_52"	"franc_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"
"f__Selenomonadaceae"	1051	1514	924	1514	848	2062	783	705	769	622	1334	1058	1675	777	1263	721	412	393	1569	456	598	1004	491	649	903	721	336	560	1712	617	1057	815	944	693	772	656	1073	1067	2442	421	1382	411	376	1354	1674	600	547	828	567	1233	1239	530	553	117	346	658	1467	709	524	743	1577	1225	292	375	945	439	36	698	828	404	572	618	392	1608	1183	1527	551	643	289	877	1243	1491	233	1304	583	573	725	343	862	293	1126	111	452	739	64	157	2800	312	578	712	103	1345
"f__Acidaminococcaceae"	574	497	877	308	0	298	1326	1015	752	752	767	0	621	1230	495	611	1054	1357	521	726	611	1036	650	710	1021	432	180	1043	465	519	836	1121	568	571	962	964	449	610	345	533	1023	863	454	320	1649	893	500	756	549	314	339	471	713	298	537	939	333	991	330	464	177	453	397	406	876	663	114	781	810	926	526	167	596	354	955	658	1001	389	847	394	706	659	521	607	790	735	588	717	640	1194	771	420	717	633	210	613	1257	699	262	713	305	828
"f__Veillonellaceae"	159	238	587	435	339	444	483	644	545	378	423	1587	592	340	451	1023	143	443	624	254	129	405	1293	609	398	584	105	11	713	271	329	468	897	504	414	481	560	155	279	172	456	274	146	1409	1624	248	569	265	809	875	1691	447	212	210	176	204	1254	285	513	1519	1402	455	296	167	95	844	79	986	378	832	852	26	940	1463	863	359	485	549	198	1529	498	1095	266	970	157	829	701	229	411	237	910	117	414	934	67	1401	1770	806	240	455	57	347
"f__Succinivibrionaceae"	33	63	37	144	0	24	45	30	24	932	94	0	25	35	26	259	102	62	23	65	26	63	310	10	222	219	8	1192	16	43	742	30	5	15	343	29	14	37	14	2022	2	1340	98	2	285	889	1650	860	80	809	5	41	762	2871	1257	708	24	645	2057	71	4	20	1477	2505	75	98	3530	18	31	289	764	8	150	3	20	25	494	1529	798	19	84	4	2664	57	365	41	51	454	1175	28	10	2955	458	16	3489	37	44	22	863	48	3145	344
"f__Lachnospiraceae"	1162	566	544	662	0	313	473	475	346	376	356	0	452	327	334	642	343	703	435	759	357	392	312	429	455	625	211	282	244	392	243	370	399	383	549	471	613	683	295	127	3	234	358	179	1304	224	239	140	518	233	211	417	148	283	171	213	380	234	225	404	175	161	347	120	453	534	85	731	612	443	416	232	767	262	284	297	133	416	200	180	445	323	185	413	177	340	438	132	252	544	467	131	350	386	67	282	845	628	230	725	127	246
"f__Prevotellaceae"	84	78	352	119	1	2	143	92	517	397	228	0	3	261	512	379	67	65	290	324	152	163	364	361	134	467	73	671	308	206	170	122	811	215	506	159	326	160	23	257	734	338	1	230	715	855	214	886	661	111	212	2	1225	87	920	1106	3	809	182	363	58	4	173	215	455	649	40	220	27	494	109	84	524	164	216	20	1062	121	163	361	474	203	31	263	1466	793	699	1592	302	1139	366	76	458	670	20	637	527	24	122	18	36	647
"f__Bacteroidaceae"	464	214	418	206	0	622	561	817	589	252	288	0	338	647	482	154	655	754	236	235	411	360	287	175	307	137	160	87	292	213	156	634	141	135	135	979	163	811	273	235	150	271	977	227	202	158	106	115	332	66	127	1128	205	55	284	39	218	180	46	196	103	971	53	40	358	334	65	160	975	165	56	67	255	48	233	652	104	58	64	86	288	72	38	160	249	150	304	396	114	226	118	120	189	149	53	279	274	1114	70	945	161	99
"f__Enterobacteriaceae"	92	443	0	213	2745	0	7	3	0	74	17	1157	0	5	0	1	1071	27	0	895	1405	363	98	853	229	663	2807	0	0	1528	179	44	0	1288	90	2	633	15	2	5	167	0	2	0	125	0	24	1	133	15	0	42	0	0	0	2	2	0	10	3	321	0	787	0	473	0	0	9	1	73	610	2039	0	1	12	105	1	165	1150	399	0	2	0	0	0	177	0	0	3	15	3	0	525	0	1	9	0	1	1523	0	0	0
"f__Tannerellaceae"	60	38	105	112	0	142	22	37	153	72	187	0	104	100	145	40	48	58	60	106	100	42	101	85	129	52	23	0	114	85	119	33	56	80	74	54	76	165	167	90	1	63	29	151	91	30	75	36	120	132	86	51	31	18	137	41	17	30	23	104	72	67	72	19	80	236	22	118	69	31	48	31	160	39	143	49	59	42	43	22	119	68	26	102	58	34	220	70	87	22	91	24	133	362	10	56	227	61	27	85	27	23
"f__Sutterellaceae"	30	30	30	67	13	25	43	79	40	71	72	102	36	96	34	127	24	40	61	133	51	35	51	47	20	64	19	137	22	73	39	49	27	81	85	47	41	42	42	36	50	26	356	63	208	88	44	97	160	32	64	140	135	6	75	40	63	98	39	72	81	373	65	73	18	112	12	33	108	148	22	9	124	22	64	208	74	36	42	60	109	52	8	88	116	127	136	44	36	168	107	16	166	69	4	38	122	132	45	118	6	89
"f__Clostridiaceae"	105	54	40	143	38	42	46	43	50	28	90	81	61	60	38	27	22	51	29	15	43	38	17	20	59	18	5	4	9	21	43	43	56	20	31	25	16	44	44	29	1	32	43	1	55	6	8	8	16	13	2	24	10	33	13	18	52	14	2	22	1	17	14	39	41	34	12	9	40	86	10	8	37	2	3	21	8	6	20	22	1	4	19	11	7	33	19	9	39	25	1	23	12	17	10	21	7	32	10	51	12	11
"f__Coriobacteriaceae"	28	8	2	15	0	7	6	17	76	3	41	0	11	36	25	7	5	8	4	5	3	36	0	24	20	0	46	5	9	4	5	1	6	6	3	89	10	41	13	2	14	43	61	51	23	4	10	2	17	134	7	29	1	11	37	6	123	3	16	17	8	44	10	2	8	21	0	192	3	4	7	3	10	18	4	9	0	27	95	5	4	11	0	3	14	32	81	2	38	2	10	0	45	7	1	374	83	10	9	14	11	2
"f__Fusobacteriaceae"	27	185	10	1	0	0	5	0	23	3	2	0	3	0	121	2	5	0	96	0	0	10	0	0	3	6	3	1	52	0	2	202	15	0	13	8	0	1	1	7	1	61	434	1	1	0	0	0	1	0	0	2	0	0	15	4	20	0	0	4	0	167	0	29	42	0	0	7	15	46	0	14	0	0	6	22	0	0	37	4	0	0	0	0	0	23	6	0	16	19	0	0	0	0	0	28	0	2	9	1	0	0
"f__Morganellaceae"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	394	0	8	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"f__Oscillospiraceae"	63	23	9	24	0	5	13	9	53	6	9	0	45	12	9	0	10	17	8	2	21	9	7	1	25	0	7	0	1	1	10	18	2	1	0	8	2	36	36	11	0	8	6	0	1	0	3	0	3	2	0	10	0	2	3	6	10	0	0	3	0	15	0	3	27	2	0	1	19	3	0	15	9	0	3	12	0	0	9	10	0	0	1	0	0	54	1	0	5	29	0	0	0	1	1	8	2	54	1	52	2	0
"f__Streptococcaceae"	3	1	0	1	2	0	0	0	0	0	1	3	1	6	0	1	1	0	0	0	3	0	0	4	0	2	0	1	0	0	1	4	0	1	1	3	3	0	1	0	0	1	5	0	0	1	1	2	0	7	1	0	0	0	0	1	0	0	14	0	2	2	0	0	1	0	0	16	2	8	0	642	0	1	0	1	2	3	11	3	0	1	0	0	0	15	0	0	0	2	1	0	1	1	0	12	4	6	2	1	0	1
"f__Muribaculaceae"	5	2	43	7	0	2	3	8	23	4	29	0	6	28	29	1	2	6	10	7	14	5	8	8	17	5	0	0	19	7	14	3	26	1	6	4	4	18	3	19	0	9	2	5	16	2	3	0	16	2	9	12	3	1	22	6	2	0	1	7	8	4	4	3	0	22	2	8	3	0	2	0	23	7	5	1	8	3	2	0	9	7	2	11	11	2	15	7	5	2	13	1	11	13	0	12	16	12	0	6	1	4
"f__Barnesiellaceae"	4	5	9	5	0	3	6	4	13	13	10	0	8	20	10	0	3	9	5	3	21	5	8	3	15	0	1	0	1	12	23	5	3	0	0	10	5	59	4	24	0	2	2	1	2	0	1	0	3	0	2	4	0	2	3	0	0	0	0	1	2	5	3	0	14	4	0	2	28	0	0	3	4	2	3	7	0	0	1	3	2	2	2	2	0	2	0	1	1	18	2	3	10	1	1	14	4	31	1	19	4	1
"f__Butyricicoccaceae"	0	14	9	2	0	0	7	5	5	0	1	0	5	0	7	0	6	2	20	0	0	3	0	0	1	0	1	3	6	0	1	18	35	0	0	1	0	0	0	0	0	5	7	0	2	0	1	0	1	6	0	6	1	5	1	1	18	0	2	4	0	3	5	1	12	1	3	0	6	3	0	11	1	0	0	17	0	1	2	22	0	0	3	0	0	16	0	0	1	25	0	3	14	0	2	3	0	7	0	15	2	0
"f__Peptococcaceae"	25	18	0	14	0	4	10	6	0	5	21	0	3	10	0	1	25	1	0	2	30	22	2	2	17	4	7	0	0	1	20	1	0	1	9	1	2	17	5	3	0	4	7	0	1	0	0	2	1	0	0	2	1	0	1	0	0	1	2	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	5	0	4	0	2
"f__Atopobiaceae"	9	3	0	5	1	5	3	1	5	0	6	3	2	4	2	2	0	2	2	2	2	3	0	6	2	0	1	2	1	2	1	0	2	2	2	0	3	5	6	1	6	3	4	2	2	1	2	0	4	9	2	2	0	1	1	2	6	0	4	1	3	1	0	0	0	1	0	4	1	1	0	0	0	4	1	2	3	3	3	1	0	2	0	1	2	4	2	1	1	1	1	0	2	1	0	9	5	9	0	4	1	1
"f__Acutalibacteraceae"	2	2	0	1	0	0	3	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	10	0	2	0	0	0	2	2	0	0	0	0	0	1	1	3	0	5	2	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	1	0	7	0	0	9	0	0	1	1	1	0	7	0	0	2	2	0	0	5	2	0	0	0	0	0	9	0	0	3	1	0	0	0	0	0	1	0	6	1	8	0	0
"f__Pasteurellaceae"	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	0	26	21	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	12	1	1	0	0
"f__Staphylococcaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Anaeroplasmataceae"	14	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	3	0	0	0	0	8	0	0	5	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
"f__Erwiniaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
"f__Enterococcaceae"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	7
"f__Pseudomonadaceae"	0	0	0	0	0	0	9	5	1	7	16	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f__Eubacteriaceae"	4	2	1	1	0	0	0	0	1	1	0	0	0	1	6	0	0	0	1	0	1	0	0	0	1	0	0	0	9	1	0	0	1	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"f__Rikenellaceae"	0	0	1	0	0	0	1	2	7	0	0	0	1	0	3	0	0	1	2	0	0	1	0	0	2	0	0	0	2	1	2	1	3	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0
"f__Neisseriaceae"	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	1	5	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"f__Lactobacillaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	0	0	2	0	0	2	0	0	1	0	0	12	0	0	0	0	1	0	0	0	0
"f__Gemellaceae"	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
"f__Aerococcaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0
