"ID"	"wolverine_1"	"hamlet_11"	"joans_11"	"ginger_14"	"kubo_14"	"wolverine_14"	"kubo_15"	"ivy_17"	"kubo_17"	"wolverine_17"	"ginger_18"	"hamlet_18"	"ivy_18"	"kubo_18"	"wolverine_18"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"ginger_20"	"hamlet_20"	"korra_20"	"ophelia_20"	"hamlet_21"	"joans_21"	"korra_21"	"kubo_21"	"hamlet_22"	"henry_22"	"joans_22"	"korra_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"korra_23"	"ginger_24"	"henry_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"ginger_29"	"henry_29"	"joans_29"	"korra_29"	"kubo_30"	"hamlet_31"	"ginger_36"	"henry_36"	"joans_36"	"kubo_37"	"ophelia_37"	"wolverine_37"	"ginger_41"	"hamlet_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"henry_42"	"ivy_42"	"ophelia_43"	"ginger_44"	"ivy_44"	"joans_44"	"marshmallow_44"	"hamlet_45"	"henry_45"	"ivy_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"charles_46"	"hamlet_46"	"ivy_46"	"joans_46"	"marshmallow_46"	"ginger_47"	"ivy_47"	"marshmallow_47"	"charles_48"	"hamlet_48"	"henry_48"	"ivy_48"	"joans_48"	"korra_48"	"kubo_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"ginger_49"	"henry_49"	"ivy_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"charles_50"	"ginger_50"	"ivy_50"	"joans_50"	"korra_50"	"kubo_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"joans_51"	"charles_52"	"ginger_52"	"kubo_52"	"marshmallow_52"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"ivy_55"	"ophelia_55"	"joans_56"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"wolverine_58"	"hamlet_59"	"henry_59"	"ophelia_59"	"korra_6"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"ivy_67"	"ginger_7"	"charles_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"f__Selenomonadaceae"	1575	1020	1083	2328	422	1327	1514	508	1514	2062	1099	783	440	1334	1675	618	777	1263	174	561	412	456	598	1004	1638	649	903	336	411	1173	617	1057	881	815	693	764	759	1263	1073	113	1067	2442	751	421	1280	1024	975	1142	532	1406	838	712	891	1707	219	1497	535	2027	903	23	406	1054	397	1010	1354	1674	600	547	418	1239	530	553	495	117	1239	658	644	1467	709	524	1577	1225	292	945	501	698	828	404	689	751	572	342	1184	618	1608	1183	1527	551	857	643	222	1073	877	1491	1304	583	699	626	95	1570	573	343	293	1126	364	452	638	64	157	2800	312	724	1345	492	627	1007	1094	1812	817	994	207	1044	1099	282	1528	1216	291	70	1036	878	1040	1263	357	623	1196
"f__Acidaminococcaceae"	606	283	374	284	463	582	497	520	308	298	947	1326	637	767	621	917	1230	495	113	1474	1054	726	611	1036	486	710	1021	180	1148	491	519	836	715	1121	571	1217	756	1732	449	804	610	345	377	533	757	631	947	390	596	567	545	1162	443	704	376	829	948	1593	1725	55	436	502	448	745	320	1649	893	500	529	339	471	713	317	298	571	939	628	333	991	330	177	453	397	876	987	781	810	926	506	1033	526	924	327	167	354	955	658	1001	1045	389	956	719	394	659	607	790	1209	1157	221	380	735	717	1194	771	581	717	1113	210	613	1257	699	692	828	207	435	230	793	382	654	768	513	1912	1174	486	448	581	492	156	421	330	406	701	411	381	921
"f__Veillonellaceae"	425	71	373	319	83	319	238	515	435	445	527	483	204	423	592	465	339	452	56	414	143	254	129	405	1	609	398	105	477	331	271	328	583	468	504	453	649	1176	560	106	155	279	301	172	911	284	214	259	277	454	537	450	412	256	66	345	598	400	1518	23	369	805	205	162	1409	1624	248	569	212	1691	447	212	480	210	162	204	416	1253	285	513	1402	455	296	95	429	986	378	833	729	294	853	162	347	27	1464	863	359	484	454	549	160	396	1529	1096	970	157	453	601	30	399	829	229	237	910	250	414	555	67	1401	1770	806	94	346	283	210	244	1013	286	307	1010	274	391	420	338	542	1012	264	43	641	759	31	327	352	441	215
"f__Enterobacteriaceae"	0	16	325	3	2133	0	443	466	213	0	0	7	1	17	0	1	5	0	2397	5	1071	895	1405	363	1	853	230	2807	415	548	1528	179	0	44	1288	0	458	3	633	0	15	2	1118	5	2	402	0	1828	113	103	243	61	0	68	2547	13	871	341	780	1	1088	0	1	497	0	125	0	24	9	0	43	0	384	0	485	3	48	2	0	10	321	0	787	473	7	9	1	73	593	0	610	183	809	2039	1	12	105	1	0	165	235	270	399	2	0	0	70	20	3176	1048	177	0	15	3	1202	533	44	1	9	0	1	1096	0	1090	76	1699	0	804	243	14	1326	15	285	1518	246	30	7	16	614	4929	1702	2670	676	50	0
"f__Lachnospiraceae"	427	345	261	437	181	841	566	452	662	312	148	473	271	355	452	559	329	338	47	273	342	760	357	392	175	430	457	212	346	422	392	244	246	370	383	269	289	1257	613	315	683	296	170	127	420	359	245	152	217	452	589	540	198	321	220	489	332	1653	1373	50	267	401	282	713	182	1305	222	239	222	211	419	148	369	284	565	210	348	380	234	226	174	161	345	453	630	731	613	444	430	327	417	367	293	232	262	283	297	135	320	416	419	412	180	324	413	177	285	439	95	150	341	133	546	467	398	350	555	67	282	849	629	467	245	173	434	336	466	323	623	101	274	1052	302	288	207	126	400	113	374	266	343	61	358	583	718
"f__Bacteroidaceae"	369	556	45	139	214	432	214	173	206	623	148	561	1391	288	338	653	647	482	119	319	655	235	411	361	62	175	306	160	351	667	213	156	29	634	135	118	202	1091	163	183	811	273	373	235	76	316	101	81	61	474	209	418	23	291	350	227	197	895	158	202	425	257	2170	434	227	204	158	106	1473	127	1128	205	247	55	488	39	955	218	180	46	104	971	55	358	897	160	975	164	96	634	56	1294	414	67	48	233	652	103	377	58	1293	448	86	72	160	249	58	361	213	182	152	395	226	117	137	189	395	52	279	273	1114	453	99	72	1069	223	81	155	737	306	491	693	38	26	322	22	745	2335	301	32	69	699	731	347	523
"f__Prevotellaceae"	90	26	607	142	67	83	78	1129	119	2	532	144	6	229	3	2	261	512	63	637	66	324	152	164	473	362	134	73	507	95	206	170	407	121	215	1006	481	2	325	12	162	23	451	257	343	487	230	68	67	183	470	281	302	244	48	127	171	218	476	2675	545	340	4	69	230	713	855	215	570	212	2	1225	1244	86	99	1108	548	3	809	182	59	4	173	455	208	220	27	494	614	513	108	226	226	85	164	216	20	1064	508	121	265	166	361	203	263	1466	980	336	24	26	792	1591	1139	366	725	458	245	20	638	527	24	85	647	147	424	39	393	31	212	555	464	405	310	367	107	733	811	539	3	525	111	783	179	862	88
"f__Succinivibrionaceae"	76	20	778	35	139	23	63	19	144	24	59	45	85	94	25	81	35	26	890	59	102	65	26	63	971	10	222	8	29	14	43	742	1003	30	15	23	32	157	14	2418	36	14	10	2022	34	18	1129	11	1922	62	10	47	1556	45	14	32	38	258	484	1	24	8	37	50	2	285	889	1650	16	5	41	762	5	2871	53	708	26	23	645	2057	4	20	1477	75	16	18	31	289	3	85	764	37	13	8	3	20	25	494	48	1529	44	44	19	4	57	365	15	44	6	16	41	454	28	10	20	458	53	3489	37	44	22	44	344	1458	38	55	18	25	21	20	21	1670	224	586	35	129	18	15	47	25	12	63	696	4	55
"f__Sutterellaceae"	67	30	65	112	30	18	30	81	67	25	242	43	86	72	36	63	96	34	79	40	24	133	51	34	111	47	20	19	79	28	73	39	55	49	81	60	112	131	41	3	42	42	161	36	66	131	51	29	16	97	195	73	146	53	16	36	156	188	361	280	193	199	133	78	63	208	88	44	166	64	140	135	142	5	90	40	182	63	98	39	81	373	65	18	48	33	108	148	82	61	22	56	94	9	22	64	208	74	117	36	74	171	60	52	88	116	87	100	7	114	127	44	168	107	78	166	36	4	38	122	132	50	89	37	91	36	51	27	43	135	60	66	68	35	202	127	121	344	86	99	22	147	110	205	43
"f__Tannerellaceae"	53	17	13	47	28	74	38	43	112	142	39	22	115	187	104	53	100	145	17	73	48	106	100	42	0	85	129	23	142	48	85	119	47	33	80	61	148	77	76	10	165	167	143	90	103	152	14	30	32	87	230	91	13	20	51	85	54	55	4	187	154	240	133	41	152	91	30	75	75	86	51	31	236	18	68	42	49	17	30	23	72	67	72	80	89	118	69	31	158	80	48	105	145	31	39	143	49	59	80	42	123	125	22	68	102	58	101	128	40	35	34	70	22	91	146	133	65	10	56	227	61	60	23	22	307	32	68	41	66	31	198	200	25	42	60	3	317	184	37	101	26	20	63	264	40
