"ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"f__Selenomonadaceae"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Selenomonadales"	"f__Selenomonadaceae"
"f__Acidaminococcaceae"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"
"f__Veillonellaceae"	"k__Bacteria"	"p__Bacillota"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"
"f__Enterobacteriaceae"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"
"f__Lachnospiraceae"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"
"f__Bacteroidaceae"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"
"f__Prevotellaceae"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"
"f__Succinivibrionaceae"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Aeromonadales"	"f__Succinivibrionaceae"
"f__Sutterellaceae"	"k__Bacteria"	"p__Pseudomonadota"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Sutterellaceae"
"f__Tannerellaceae"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Tannerellaceae"
"f__Fusobacteriaceae"	"k__Bacteria"	"p__Fusobacteriota"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"
"f__Clostridiaceae"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Clostridiaceae"
"f__Coriobacteriaceae"	"k__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"
"f__Oscillospiraceae"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Oscillospiraceae"
"f__Streptococcaceae"	"k__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"
"f__Muribaculaceae"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"
"f__Barnesiellaceae"	"k__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Barnesiellaceae"
"f__Morganellaceae"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Morganellaceae"
"f__Pseudomonadaceae"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"
"f__Peptococcaceae"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Peptococcaceae"
"f__Butyricicoccaceae"	"k__Bacteria"	"p__Bacillota"	"c__Clostridia"	"o__Eubacteriales"	"f__Butyricicoccaceae"
"f__Bifidobacteriaceae"	"k__Bacteria"	"p__Actinomycetota"	"c__Actinomycetes"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"
"f__Atopobiaceae"	"k__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"
"f__Pasteurellaceae"	"k__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"
