"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"fpt1"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0.03	0	0.03	0.01	0	0	0	0	0.03	0	0	0	0	0
"fpt2"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0.03	0	0.03	0.01	0	0	0	0	0.03	0	0	0	0	0
"fpt3"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0.03	0	0.03	0.01	0	0	0	0	0.03	0	0	0	0	0
"fpt4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0
"fpt6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0
"fpt7"	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.03	0	0	0	0	0.95	0	0	0.01	0	0	0
"fpt8"	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0.05	0	0	0	0	0	0	0	0.03	0	0	0.03	0.01	0	0	0	0.03	0	0	0.03	0
"fpt9"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt10"	0	0	0	0	0.03	0	0	0.1	0	0	0	0	0.07	0	0.05	0	0	0.03	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"fpt11"	0	0	0	0	0.03	0	0	0.1	0	0	0	0	0.07	0	0.05	0	0	0.03	0	0.04	0.07	0	0.15	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"fpt12"	0	0.03	0	0	0.1	0	0	0.03	0.15	0.08	0.03	0	0.03	0.2	0	0.05	0.05	0	0.07	0	0.05	0.23	0	0.03	0.03	0.2	0.03	0.03	0.08	0.03	0	0.17	0.05	0.05
"fpt13"	0.03	0.22	0.15	0.03	0.15	0.08	0.93	0.7	0.15	0.08	8.63	0.15	0.1	2.8	0	0.18	1.78	0.03	0.1	0	0.72	0.35	0.78	0.03	0.1	5.7	1.7	0.35	0.08	0.15	0.04	0.7	0.1	0.13
"fpt14"	32.02	36.5	45.67	51.19	32.07	56.5	46.82	45.63	20.1	30.77	60.59	38.67	76.17	36.38	87.49	17.23	58.34	68.09	45.67	96.92	74.95	59.29	68.32	72.43	35.51	52.91	73.06	60.26	82	39.9	60.64	60.25	34.85	35.57
"fpt15"	2.15	2.55	1.98	0.75	0.65	1.03	1.63	0.93	2.83	2.1	1.6	1.1	0.82	0.48	2.1	18.76	11.61	6.38	2.17	0.91	0.88	0.96	1	1.49	3.08	2.21	1.08	0.58	0.88	1.48	1.96	2.78	5.12	1.1
"fpt16"	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt17"	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt18"	0.05	0	10.53	0.13	3.33	4.23	4.3	4.55	0.05	0.18	0	0.08	23.52	0	30.89	0	0	0.1	0.22	39.37	26.23	0.08	24.27	32.02	0	0	28.19	21.95	39.18	1.02	17.57	9.2	0.58	0
"fpt19"	0.03	0	0	0	0.05	0	0	0.83	0.03	0	0	0.08	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.5	0.15	0	0.1	0.03	0	0
"fpt20"	0.15	0	19.03	0.38	7.36	9.65	7.83	9.06	0.15	3.68	0	1.45	49.42	0.03	56.85	0.03	0.05	0.38	0.38	72.17	47.15	0.31	45.27	57.42	0.05	0	52	41.47	69.64	2.08	31.27	15.55	1.18	0.03
"fpt21"	0.6	2.33	8.58	1.83	5.13	7.35	3.2	5.65	0.6	0.9	29.63	6.28	20.05	9.88	23.21	1.23	10.5	0.78	1.5	25.11	19.73	2.8	21.25	23.02	0.55	1.25	25.69	19.94	26.76	1.98	12.57	11.9	3.78	2.8
"fpt22"	0.68	2.33	21.09	2	9.53	13.96	8.33	12.08	0.68	4.45	29.63	7.73	54.55	9.91	60.13	1.25	10.55	0.95	1.77	75.83	51.95	3.05	51.9	62.12	0.6	1.25	59.2	46.55	75.04	3.17	34.01	22.82	4.6	2.83
"fpt23"	0.6	2.33	8.58	1.83	5.13	7.35	3.2	5.65	0.6	0.9	29.63	6.28	20.05	9.88	23.21	1.23	10.5	0.78	1.5	25.11	19.73	2.8	21.25	23.02	0.55	1.25	25.69	19.94	26.76	1.98	12.57	11.9	3.78	2.8
"fpt24"	3.45	2.33	23.04	2.55	9.96	14.53	9.78	12.66	0.72	5.58	30.56	10.43	55.65	10.43	61.06	14.18	12.36	6.2	3.3	78.12	59.02	6.43	53.93	62.32	3.23	3.3	61.56	47.6	75.07	3.2	34.06	23	10.6	4.58
"fpt25"	0	0	0	0	0.03	0	0	0.1	0	0	0.03	0	0.07	0.08	0.05	0	0	0.03	0	0.31	0.07	0.11	0.2	0.16	0	0	0.05	0.05	0.15	0.03	0.11	0.03	0	0.03
"fpt26"	0.05	0	12.51	0.18	4.4	6.73	5.11	5.98	0.07	3.6	0.03	1.33	34.6	0.13	36.99	0.08	0.1	0.2	0.3	44.75	32.25	0.36	30.78	39.3	0	0.09	33.57	26.08	48.46	1.23	21.56	11	0.88	0.05
"fpt27"	0	0	0	0	0.03	0	0	0.1	0	0	0.03	0	0.07	0.08	0.05	0	0	0.03	0	0.31	0.07	0.11	0.2	0.16	0	0	0.05	0.05	0.15	0.03	0.11	0.03	0	0.03
"fpt28"	0	0	0	0	0.03	0	0	0	0	0	0.03	0	0.07	0.08	0.05	0	0	0	0	0.29	0.07	0.11	0.15	0.16	0	0	0.05	0.03	0.15	0.03	0.11	0.03	0	0.03
"fpt29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.11	0	0.1	0.03	0.04	0	0	0	0	0	0	0.01	0	0	0.03
"fpt30"	0.03	0	0	0	0.03	0	0	0	0.03	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt31"	0.03	0.03	0.03	0.03	0.03	0.05	0.05	0	0.07	0.03	0.03	0.08	0	0.1	0	0.08	0.03	0	0.1	0	0.03	0.11	0.08	0.01	0.1	0.15	0.03	0.03	0.05	0.03	0	0.1	0.07	0.08
"fpt32"	34.17	39.05	47.65	51.94	32.72	57.53	48.45	46.56	22.92	32.87	62.19	39.77	76.92	36.88	89.54	35.99	69.94	74.47	47.85	97.43	75.75	60.13	69.17	73.73	38.58	55.13	74.09	60.81	82.72	41.38	62.49	63	39.98	36.64
"fpt33"	32.02	36.5	45.67	51.19	32.07	56.5	46.82	45.63	20.1	30.77	60.59	38.67	76.1	36.4	87.44	17.23	58.34	68.09	45.67	96.52	74.88	59.17	68.17	72.24	35.51	52.91	73.01	60.24	81.85	39.9	60.52	60.23	34.85	35.54
