"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"jarjarbinks_15"	"kubo_15"	"buddy_16"	"buddy_17"	"iris_17"	"ivy_17"	"kubo_17"	"lambchop_17"	"padme_17"	"wolverine_17"	"buddy_18"	"ginger_18"	"hamlet_18"	"hera_18"	"iris_18"	"ivy_18"	"jarjarbinks_18"	"kubo_18"	"lambchop_18"	"wolverine_18"	"franc_19"	"ivy_19"	"ophelia_19"	"wolverine_19"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"ginger_20"	"goose_20"	"hamlet_20"	"hera_20"	"iris_20"	"korra_20"	"ophelia_20"	"buddy_21"	"hamlet_21"	"jarjarbinks_21"	"joans_21"	"korra_21"	"kubo_21"	"franc_22"	"goose_22"	"grogu_22"	"hamlet_22"	"henry_22"	"hera_22"	"iris_22"	"joans_22"	"korra_22"	"kubo_22"	"marshmallow_22"	"hamlet_23"	"iris_23"	"korra_23"	"franc_24"	"ginger_24"	"goose_24"	"grogu_24"	"henry_24"	"hera_24"	"ivy_24"	"kubo_24"	"marshmallow_24"	"ophelia_24"	"wolverine_24"	"henry_25"	"kubo_25"	"lambchop_25"	"ginger_29"	"henry_29"	"jarjarbinks_29"	"joans_29"	"korra_29"	"jarjarbinks_3"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"goose_37"	"grogu_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"goose_4"	"ginger_41"	"grogu_41"	"hamlet_41"	"hera_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"goose_42"	"grogu_42"	"henry_42"	"ivy_42"	"lambchop_42"	"ophelia_43"	"buddy_44"	"franc_44"	"ginger_44"	"goose_44"	"iris_44"	"ivy_44"	"jarjarbinks_44"	"joans_44"	"lambchop_44"	"marshmallow_44"	"buddy_45"	"franc_45"	"grogu_45"	"hamlet_45"	"henry_45"	"hera_45"	"ivy_45"	"jarjarbinks_45"	"joans_45"	"korra_45"	"marshmallow_45"	"ophelia_45"	"buddy_46"	"charles_46"	"goose_46"	"hamlet_46"	"iris_46"	"ivy_46"	"joans_46"	"lambchop_46"	"marshmallow_46"	"franc_47"	"ginger_47"	"ivy_47"	"marshmallow_47"	"buddy_48"	"charles_48"	"franc_48"	"grogu_48"	"hamlet_48"	"henry_48"	"hera_48"	"iris_48"	"ivy_48"	"jarjarbinks_48"	"joans_48"	"korra_48"	"kubo_48"	"lambchop_48"	"marshmallow_48"	"ophelia_48"	"wolverine_48"	"charles_49"	"franc_49"	"ginger_49"	"henry_49"	"iris_49"	"ivy_49"	"jarjarbinks_49"	"joans_49"	"kubo_49"	"marshmallow_49"	"ophelia_49"	"wolverine_49"	"padme_5"	"buddy_50"	"charles_50"	"franc_50"	"ginger_50"	"grogu_50"	"ivy_50"	"jarjarbinks_50"	"joans_50"	"korra_50"	"kubo_50"	"lambchop_50"	"ophelia_50"	"wolverine_50"	"charles_51"	"franc_51"	"joans_51"	"lambchop_51"	"buddy_52"	"charles_52"	"ginger_52"	"goose_52"	"grogu_52"	"jarjarbinks_52"	"kubo_52"	"marshmallow_52"	"franc_53"	"hera_53"	"kubo_53"	"marshmallow_53"	"charles_55"	"ginger_55"	"iris_55"	"ivy_55"	"lambchop_55"	"ophelia_55"	"buddy_56"	"franc_56"	"grogu_56"	"joans_56"	"buddy_57"	"joans_57"	"ophelia_57"	"wolverine_57"	"ginger_58"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"henry_59"	"iris_59"	"ophelia_59"	"korra_6"	"padme_6"	"iris_60"	"joans_60"	"marshmallow_60"	"wolverine_60"	"joans_62"	"henry_66"	"hamlet_67"	"hera_67"	"ivy_67"	"franc_68"	"jarjarbinks_68"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"grogu_70"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"fpt1"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.03	0.03	0.03	0	0	0	0	0
"fpt2"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.03	0.03	0.03	0	0	0	0	0
"fpt3"	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.03	0.03	0.03	0	0	0	0	0
"fpt4"	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0.03	0	0	0
"fpt5"	0	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.05	0	0	0	0	0	0.03	0	0	0	0	0	0.03	0.01	0	0	0	0	0.03	0	0	0.03	0
"fpt6"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.08	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt7"	0	0	0	0	0.03	0	0	0.1	0	0	0	0	0.07	0	0	0	0	0	0	0.03	0	1.38	65.45	0	0	0	0	0	0	0	0	0	0.78	0	0.03	0	0	0	0.05	0	0	0.03	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0.08	0	0	0	0.03	0.1	0	0	0.03	0	0	0	0.1	0	1.8	0	0.03	0	0	0	0	0	0.03	0.03	0.03	0	0	0	0	0.03	0	0	0	0	0.1	0	0.04	0.08	0	0	0	0	0	0.05	0	0	0	0	0.13	0	0	0	0	0.03	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.03	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.08	0.03	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0.03	0.08	0	0	0	0	0	0	0	0	0.5	1.08	0	0	0	0	0	0	0	0	0	0.45	0	0.03	0	0.03	0	0.08	0	0.1	0	0	0.03	0.03	0	0	0	0	0.1	0	0.03	0.13	0	0	0.05	0.03	0.03	0.15	0	0.1	0.03	0	0
"fpt8"	0	0	0	0	0.03	0	0	0.1	0	0	0	0	0.07	0	0	0	0	0	0	0.03	0	1.38	65.45	0	0	0	0	0	0	0	0	0	0.78	0	0.03	0	0	0	0.05	0	0	0.03	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0	0	0	0	0	0	0	0	0.08	0	0	0	0.03	0.1	0	0	0.03	0	0	0	0.1	0	1.8	0	0.03	0	0	0	0	0	0.03	0.03	0.03	0	0	0	0	0.03	0	0	0	0	0.1	0	0.04	0.08	0	0	0	0	0	0.05	0	0	0	0	0.13	0	0	0	0	0.03	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.03	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.08	0.03	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0	0	0	0	0	0.03	0.08	0	0	0	0	0	0	0	0	0.5	1.08	0	0	0	0	0	0	0	0	0	0.45	0	0.03	0	0.03	0	0.08	0	0.1	0	0	0.03	0.03	0	0	0	0	0.1	0	0.03	0.13	0	0	0.05	0.03	0.03	0.15	0	0.1	0.03	0	0
"fpt9"	0	0.03	0	0	0.1	0	0	0.03	0.15	0.08	0.03	0	0.03	0.2	0	0	0.03	0	0.05	0.03	0.03	0	0	0	0	0	0.03	0.03	0.03	0.03	0	0.03	0	0	0	0.1	0	0	0	0.05	0.05	0	0.03	0	0	0.08	0.05	0.35	0.05	0.03	0	0	0.03	0	0	0.13	0.05	0	0.03	0.05	0.03	0.08	0.07	0.03	0.03	0.03	0	0	0.05	0.05	0	0.05	0.08	0.05	0	0.3	0.1	0.1	0.03	0.03	0	0	0	0.05	0.03	0	0	0	0.07	0.05	0.1	0.09	0.05	0	0.1	0.05	0.07	0.2	0.03	0.03	0.05	0.13	0.03	0	0	0	0	0.19	0.05	0.2	0.03	0.03	0.2	0.03	0.08	0	0	0	0	0.08	0.03	0.13	0.18	0.18	0	0.1	0.08	0.1	0	0.2	0.08	0.08	0.03	0.15	0.1	0.03	0	0.03	0	0.08	0.1	0.05	0.1	0.03	0.1	0	0.03	0.05	0	0.03	0.03	0	0.03	0.03	0	0.15	0	0.03	0	0.03	0.18	0.05	0.07	0.03	0.03	0.1	0.03	0.15	0.1	0	0	0.13	0.15	0.07	0.08	0	0.43	0.03	0.03	0	0.05	0.1	0.05	0.05	0.03	0.03	0.05	0	0.1	0.13	0.03	0.03	0.23	0	0	0.03	0.05	0.03	0	0	0.03	0	0.03	0.05	0	0.1	0.03	0	0.03	0	0.13	0	0.03	0.18	0.05	0.05	0.03	0.05	0.03	0.13	0	0	0	0	0.03	0.03	0.1	0.03	0	0.1	0	0.05	0.07	0.1	0.23	0	0.17	0.05	0.08	0.1	0.03	0.03	0.03	0.03	0.15	0.1	0.13	0.03	0.03	0.2	0.03	0	0.03	0.08	0.03	0	0.17	0.05	0.05
"fpt10"	0.03	0.22	0.15	0.03	0.15	0.08	0.93	0.7	0.15	0.08	8.63	0.15	0.1	2.81	0.17	0.03	0.08	0.28	7.55	3.78	0.05	0	0.1	0	0	0.05	0.07	0.03	10.16	2.51	0.05	0.08	0	0.05	2.78	0.78	0.1	11.25	0	0.18	1.8	0.03	0.03	1.93	0.15	0.15	6.33	0.4	0.2	0.25	0.05	0.03	3	0	0.03	2.18	1.12	0	0.03	0.08	2.2	6.28	0.17	0.1	0.15	0.05	0.08	15.48	0.08	3.33	0	1.1	0.08	0.07	0.05	0.86	0.2	0.17	0.18	0.53	0.05	0.05	0	0.05	0.07	0	0.55	0	0.1	0.05	0.23	0.19	0.05	0	0.2	0.85	1.3	1.07	0.07	0.15	0.23	1.08	0.05	2.58	0	0.03	0	0.26	0.13	0.41	0.05	0.13	1.55	0.03	0.1	5.15	0.05	0.08	1.03	0.51	0.03	0.4	7.29	2.06	0.03	3.08	0.13	0.1	3.03	3.26	0.08	0.23	0.03	0.43	0.28	0.03	4.62	0.1	0.03	0.2	1.95	1.03	1.78	0.1	7.43	0	2.4	0.1	0	2.58	0.05	0.18	0.03	0.35	2.25	3.55	0.03	0.25	0	0.25	7.46	0.7	0.17	0.5	0.05	0.48	0.73	0.18	0.35	4.48	0.35	3.48	0.15	0.12	6.75	0.4	0.5	5.83	0.13	0	0.25	2.7	0.73	0.28	0.28	7.98	0.05	0	3.75	0.18	3.05	0.03	0.43	0	0.03	0.45	0.3	7.73	5.23	0.03	1.73	0.35	0.03	1.18	0.03	0.15	0.3	0.05	9.88	0.05	0.23	0.05	0.15	0.18	6.25	0.2	0.05	0.23	0.43	0.28	0	2.3	0.55	0.8	0.45	0.85	0.1	0.68	0.68	0.88	0.12	0.12	10.65	0.35	0.35	0.78	11.3	1.53	0.08	1.63	1.75	0.35	0.23	0.03	0.3	1.03	0.28	0.03	0.08	5.7	1.7	0.12	0.35	0.08	0.15	0.04	0.7	0.13	0.13
