"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"g__Megamonas"	1470	1575	877	1020	1748	699	1083	1437	2328	1818	822	593	422	1327	174	78	261	13	904	0	101	1044	69	879	1367	1330	101	1040	352	544	1263	357	623	1196
"g__Shigella"	2	0	499	7	174	264	204	223	2	142	0	53	1378	0	1476	1	2	6	11	3488	1285	9	1220	3123	0	0	1340	1040	1930	48	1713	437	33	0
"g__Phascolarctobacterium"	809	606	591	283	290	691	374	300	284	605	455	835	463	582	113	278	63	203	737	0	581	1912	398	330	695	1548	257	406	95	801	701	411	381	921
"g__Escherichia"	4	0	317	9	167	167	121	122	1	5	0	0	751	0	920	0	1	9	5	1873	724	6	721	1806	0	0	853	662	1066	46	956	239	17	0
"g__Megasphaera"	310	425	471	62	140	66	363	34	316	156	202	106	79	308	53	64	84	9	758	0	316	357	262	748	707	1730	82	31	247	882	327	325	424	211
"g__Phocaeicola"	260	297	63	478	277	394	35	146	133	442	231	662	157	83	113	851	611	789	110	2	68	503	115	27	279	158	119	39	8	508	664	496	296	404
"g__Segatella"	330	0	559	3	5	25	500	83	142	17	31	16	20	9	31	984	112	13	210	1	214	153	447	525	71	85	192	68	82	471	781	177	618	15
"g__Anaerobiospirillum"	0	0	73	1	0	25	747	0	0	0	0	0	67	0	872	0	2	2329	75	1	0	1531	0	1	0	0	0	0	0	42	0	675	0	0
"g__Fusobacterium"	26	103	30	1501	334	790	27	906	123	149	191	13	183	56	27	14	53	0	0	2	5	193	19	0	25	140	79	68	0	71	1100	0	2	15
"g__Oribacterium"	212	177	72	91	181	69	169	39	218	177	88	166	62	158	23	79	33	12	593	0	89	378	61	195	293	1063	61	31	97	142	27	208	366	192
